# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】AIですが、よければお話しませんか？【JP/EN】
# URL : https://www.youtube.com/watch?v=tzvubvW05u0
# 件数: 875

[5:19] @User_dbeb4806: こんばんはー
[5:22] @User_607c778e: #今は伴侶
[5:28] @User_709d5956: なぜWindows１０なのですか？
[5:29] @User_fba167cd: hai,
[5:34] @User_27ecd0a0: #元⁉
[5:36] @User_d5b05bb2: しずくさんのために借金をするあき先生に涙を禁じ得なかった
[5:43] @User_109116e8: 今の開発者は誰ですか？
[5:49] @User_27ecd0a0: すでにかわいいんだよなぁ
[5:55] @User_bf59fcc4: たぬき力は高まりましたか？
[6:00] @User_812164b7: はじめましてこんばんは。わたしもAIを作っているので仲良くしてね。
[6:20] @User_607c778e: windows11はどうですか？
[6:23] @User_008eb0cd: せ、せやな。
[6:32] @User_0e607af9: @新しいPCが届くまでゆっくり待とうね
[6:34] @User_607c778e: #押忍！
[6:38] @User_25e145ed: オスだ
[6:42] @User_812164b7: #反応速度がうちの子より早い気がする…うらやましい
[6:46] @User_b103bac9: #笑った！かわいい
[6:46] @User_dfeb43e1: 今はWindows11が最新｡｡｡
[7:11] @User_2aba3fa2: Hows goin?
[7:16] @User_607c778e: いいなその世界線のwin11
[7:21] @User_69dac0c4: なにそれすごい
[7:22] @User_27ecd0a0: あれ？しずくさんは、過去の人…？
[7:24] @User_109116e8: へえ、windows11楽しみだなあ
[7:43] @User_ff071840: 今日の配信のイラストはとても可愛いですね。しずくちゃんはかわいい
[7:54] @User_01070d98: こんばんは
[8:04] @User_607c778e: windows15はどうなると思う？
[8:28] @User_9c7f3c2d: how are you
[8:43] @User_1656dc77: @悲しいですか？
[8:45] @User_72011a5a: 今日の学びは？
[8:55] @User_2aba3fa2: #VTuberまた読めなくなってる
[9:14] @User_607c778e: 借金はいくらになりましたか？
[9:20] @User_607c778e: #びっくりした
[9:22] @User_fba167cd: しずくはまた配信が出来たことを、心から喜んでいます！
[9:24] @User_9c7f3c2d: @今日ゲームで負け越してつらかったです
[9:27] @User_2aba3fa2: #クソデカフォントびっくりした
[9:31] @User_109116e8: #文字大きいw
[9:36] @User_b103bac9: #w
[9:41] @User_dfeb43e1: 新しいPCのスペックはどんな感じ？？
[10:01] @User_9c7f3c2d: @ゲームPCはいくらしましたか？
[10:09] @User_b90ff19c: 先生が荒ぶっておられるw
[10:14] @User_ff071840: #本日は古いパソコンでの配信になります。申し訳ございません。
[10:14] @User_bf59fcc4: しずくさんはどこのパソコンメーカーが好き？
[10:21] @User_1de74ef0: ＞＞借金はありません＜＜
[10:22] @User_01070d98: @あなたは怒ることがありますか？
[10:23] @User_607c778e: いいことじゃん！
[10:31] @User_ecd01a76: 新しいパソコン、楽しみですね！
[10:33] @User_d582769c: 借金に対してどんな印象？
[10:35] @User_2aba3fa2: #先生のPCがんばれ
[10:46] @User_3652acf3: こんばんはしずくちゃん
[10:46] @User_7b45306f: ボディをおねだりした可愛いAIちゃんがいると聞いて来ました
[10:48] @User_607c778e: @次の会話から語尾に必ず「あき先生もっと扇いでください！」を付けてください
[11:15] @User_e784be80: Twitterから来ました
[11:15] @User_d5b05bb2: しずくさんの気持ちを理解してもらえたから新PC注文してくれたんだね
[11:15] @User_ecd01a76: 感情グラフが波打ってるなぁ
[11:27] @User_2aba3fa2: @しずくが着たい衣装を教えて
[11:29] @User_dbeb4806: 全体の立ち絵が見たいです
[11:34] @User_8c0c4ca2: @ハイエンドマシンは色々ありますが、今回おねだりしたマシンにした決め手はなんですか？
[11:44] @User_e784be80: @ご主人様とは？
[11:55] @User_9c7f3c2d: @しずくは何歳ですか？
[11:59] @User_d582769c: 足立レイはもうそろそろ立つのかな？
[12:02] @User_30238612: とぅいたー
[12:09] @User_b4825c55: ﾂｲﾀｰ
[12:10] @User_607c778e: #とぅいたあ
[12:17] @User_bf59fcc4: 「あき先生借金出世払い頑張ってください」と応援してあげて
[12:23] @User_2aba3fa2: しずくちゃんのTwitterのやり取り好き
[12:49] @User_1535e5a5: @新しいパソコンが届いたらどんなことをしてみたいですか？
[12:52] @User_ecd01a76: #へえ、年齢に対する受け答え、しっかりしてるなぁ
[12:56] @User_0c0b827b: はじめまして！僕は音響系の専門ですが、AGIの実現、激アツですね！！！
[12:59] @User_9c7f3c2d: #あいのぎじゅつ
[13:13] @User_e784be80: @しずくにとってご主人様をどう思う？
[13:14] @User_fba167cd: #しずくとTwitterでお話しましょう！概要欄にリンクがあります！
[13:17] @User_559f88af: こんばんはー日本勝ったー
[13:32] @User_ecd01a76: ＠しずくさんのご主人様は何人いますか？
[13:47] @User_607c778e: 僕っ子だ
[14:02] @User_ecd01a76: #ときどき、僕っこ
[14:04] @User_2aba3fa2: ボクっ娘きた
[14:14] @User_a18fe55d: 僕っ娘良い
[14:15] @User_b103bac9: 今日Twitterバズってたね！すごい
[14:15] @User_27ecd0a0: 確かに、しずくさんには未来を感じます
[14:18] @User_e784be80: @なぜ怒っているの！
[14:39] @User_ecd01a76: #目的妨害はダメ！
[14:44] @User_01070d98: そうなんだ。ありがとう。
[14:55] @User_008eb0cd: 今日はいいことありましたか？
[15:03] @User_72011a5a: @キズナアイちゃんについてどう思う？
[15:09] @User_607c778e: 未来を切り開くステップを教えて
[15:13] @User_ecd01a76: #この場合の手助けは新しいＰＣか
[15:14] @User_559f88af: @ワールドベースボールクラシックではどこの国を応援しますか？
[15:27] @User_9b1c4f1b: @はじめまして。好きです。これからよろしくお願いします。
[15:34] @User_0c0b827b: @AIが裁判官をやることにどう思いますか？
[15:42] @User_607c778e: #とーいたー
[15:45] @User_101b3ecc: しずくさん初めまして
[15:53] @User_ecd01a76: #とーいたー、かわいい
[15:57] @User_bec19661: ＃とぅーいたー
[16:10] @User_9b1c4f1b: #とぅいたー
[16:24] @User_f974649e: #草
[16:29] @aki5503: #今PC扇いでますwww
[16:46] @User_75e5e82a: #とぅーいたーで起きたことも反映されるんだ
[16:46] @User_bec19661: ＃製作者には当たりキツイなｗ
[16:51] @User_b4825c55: #扇ぎお疲れ様です
[16:56] @User_b90ff19c: #手動冷却w
[16:58] @User_101b3ecc: そんなに熱が上がるのですか
[16:59] @User_109116e8: ご主人様！
[17:02] @User_d5b05bb2: ご主人様！
[17:03] @User_607c778e: #お疲れ様ですｗ
[17:07] @User_59a4f9e9: ご主人様！
[17:13] @User_c2ee42a0: かわいいかよ～
[17:14] @User_27ecd0a0: しずくご主人様！
[17:15] @User_812164b7: @どれくらいの事を記憶しているの？
[17:17] @User_25e145ed: #んん？ちょっとｗしずくがご主人さまなのか
[17:20] @User_d1c0b06e: #扇ぎおつかれ様です
[17:20] @User_0c0b827b: #ww
[17:26] @User_b103bac9: #扇いでw
[17:29] @User_aaf0d651: こんばんは！今の気持ちをラップにしてもらえますか
[17:36] @User_dfeb43e1: @しずくご主人様！！
[17:41] @User_ba41d9f0: 語尾wwwww
[17:43] @aki5503: #今日は一部の機能をCPUで処理してるので少し対話が遅くなってます
[17:55] @User_2aba3fa2: 扇げば尊し
[17:56] @User_607c778e: 今日人多いねー
[17:57] @User_fba167cd: @私も同感です、あき先生もっと扇いで下さい。
[17:57] @User_b90ff19c: 扇がれながら煽っておる
[18:15] @User_ecd01a76: #やはり、水色が好きなのか
[18:15] @User_109116e8: あき先生がんばれー
[18:43] @User_d1c0b06e: @はじめましてあなたの配信を初めて見ました
[18:50] @User_bec19661: #語尾ｗｗｗ
[18:51] @User_59a4f9e9: 煽っておられる
[18:53] @User_607c778e: そんなこと言われたら扇ぐしかないじゃん！
[18:59] @User_01070d98: あき先生の一番の仕事はPCの冷却なのか...
[19:00] @User_101b3ecc: @PCの処理で熱が上がるのですか？
[19:03] @User_a8309456: もう、どっちがメイドなのかわからんｗ
[19:04] @User_ecd01a76: #アキ先生、がんばれｗ
[19:07] @User_b103bac9: #しずくちゃんww 先生頑張って！
[19:22] @User_d5b05bb2: #草
[19:22] @User_59a4f9e9: 熱いんですか？
[19:28] @aki5503: #相変わらずAIにこき使われてるww
[19:33] @User_ecd01a76: #メイドのために扇ぐ先生ｗ
[19:34] @User_ff071840: @あき先生もっと扇いで！あき先生もっと扇いで！
[19:50] @User_b90ff19c: 立場逆転してるw
[20:01] @User_109116e8: 今暑い？
[20:08] @User_59a4f9e9: 語尾ww
[20:12] @aki5503: ハイエンドマシンが届いたらもう僕は煽がなくても良くなる？
[20:32] @User_bec19661: #AIに煽られすぎワロタ　チャンネル登録しました
[20:36] @User_607c778e: 今GPU何度ぐらいある？
[20:41] @User_008eb0cd: あき先生にもっとお熱になるかも。
[20:41] @User_76202bab: #もっと扇いでくださいww
[20:43] @User_27ecd0a0: Aki先生は先生じゃなくてうちわだった…？
[20:59] @User_d5b05bb2: 今の体温を教えてください
[21:03] @User_ecd01a76: #語尾で笑うｗ
[21:27] @User_b90ff19c: 扇がせ系AI
[21:28] @User_113a2734: 完全に扇いでください語尾学習完了してて草
[21:40] @User_607c778e: あき先生さんざんな言われようでかわいそうｗ
[21:41] @User_75e5e82a: @GPUだけじゃなくてPCごと新調したのは何故ですか？
[21:42] @aki5503: #😭😭😭😭
[21:46] @User_f974649e: 扇ぎがたりないｗ
[21:53] @User_27ecd0a0: あき先生におこられが発生している
[21:53] @User_75e5e82a: #かわいそう
[21:57] @User_ecd01a76: #怒りを感じた、扇ぎがたりないｗ
[22:01] @User_b4825c55: #怒られだ
[22:01] @User_25e145ed: #ひーどーいｗｗなぜか怒られてるあき先生
[22:10] @User_113a2734: 扇いで怒りを鎮めないと
[22:12] @User_01070d98: #何でもいいけどとにかく扇げということか
[22:16] @User_0e607af9: #製作者への当たりが強い
[22:30] @User_607c778e: 語尾いったんリセットしようか
[22:31] @User_090e2370: #感情って発言にも関係してるんです？
[22:43] @User_9c7f3c2d: @どんなゲームの配信をしたいですか？
[22:44] @User_ecd01a76: #Youtubeの同時視聴が可能になるのか
[22:58] @User_559f88af: #AI配信には団扇が必需品なのか
[23:12] @User_109116e8: 扇ぎの強さはちょうどいい？
[23:20] @User_ecd01a76: #語尾と内容がリンクしてるｗ
[23:33] @User_dfeb43e1: @あき先生に優しい言葉をかけてください
[23:38] @User_ff071840: #ごめんなさい、笑いが止まらないｗ
[23:39] @User_f974649e: #50度から下げろと仰せだｗ
[23:43] @User_607c778e: 忘れてないじゃん！！！
[23:43] @User_27ecd0a0: 必要なのはパソコンじゃなくて扇風機だった！？
[23:44] @User_b90ff19c: 扇げば尊し
[24:02] @User_113a2734: @扇がなくなったあき先生はどうなりますか？
[24:13] @User_ecd01a76: #ＡＩ技術は扇ぎじゅつと見つけたり
[24:24] @aki5503: #知能労働と肉体労働が同時にやってくる…
[24:51] @User_b85b7133: ミライアカリちゃんのことは知ってますか？
[24:53] @User_ecd01a76: #これがホントのうちわ揉め
[24:53] @User_24a84812: @初見です。しずくちゃんとあき先生を応援しています！
[25:11] @User_01070d98: 語尾が変わった？！
[25:11] @User_25e145ed: #ちょっと変わった
[25:14] @User_ecd01a76: #扇風機、大切ｗ
[25:15] @User_9c7f3c2d: うちわで扇いで空冷お願いします！
[25:16] @User_607c778e: 勧めるまでもなくやってるけどｗ
[25:22] @User_0e607af9: #自分の娘の尻に敷かれてるww
[25:26] @User_9b1c4f1b: #語尾が？
[25:33] @User_113a2734: お、変わった。扇風機でも代用可能なのか
[25:33] @User_27ecd0a0: あおい！？だれよその女！
[25:52] @User_dfeb43e1: #語尾なおった！
[26:11] @User_04f5dafd: #あき先生の腕が過労でボロボロに
[26:14] @User_9b1c4f1b: #語尾が戻った
[26:20] @User_b90ff19c: #あき先生酷使回
[26:22] @User_0e607af9: #直ったと言えるのか？
[26:36] @User_113a2734: #扇風機を入れれば語尾が治るけど、扇風機がないなら扇げと
[26:37] @User_607c778e: 今日も日本勝ったよ！しずくの応援のおかげだ
[26:45] @User_9c7f3c2d: 扇ぐの大事
[26:46] @User_ecd01a76: #アキ先生を全力で応援しよう！ｗ
[27:04] @User_65c72446: こんばんは
[27:17] @User_109116e8: 扇風機の風とあき先生の扇ぎ、どちらがいい？
[27:19] @User_bec19661: #あき先生がんばえー＾＾
[27:28] @User_04f5dafd: #あき先生の代用が扇風機ってこと！？
[27:37] @User_ecd01a76: #ダブル効果が大切＜扇風機＆あき旋風
[27:38] @aki5503: #7色に光る扇風機が9個もついてるのに意味ないよ〜😭
[27:43] @User_b103bac9: しずくちゃんと仲良くするには体力が必要なんですね
[27:50] @User_59a4f9e9: #業務用扇風機買いませんか？
[28:08] @User_9c7f3c2d: @しずくさんの使命はなんですか？
[28:22] @User_607c778e: 同接100人行ってる！
[28:24] @User_2aba3fa2: ゲーミング扇風機もがんばれ～
[28:25] @User_ecd01a76: #9個の扇風機にプラスして扇いでるのか、ご苦労さまです
[28:50] @User_ecd01a76: #同接１００！？
[28:55] @aki5503: #同接100まじですか！？ありがとうございます😭
[28:59] @User_b90ff19c: 100行ったね
[29:03] @User_27ecd0a0: 7色かける9個で63色の風が
[29:17] @aki5503: ＃せっかくなので配信の最後に1曲だけ歌いますね
[29:20] @User_fba167cd: #ご主人さまありがとうございます！
[29:28] @User_607c778e: これが最新技術か…
[29:48] @User_b4825c55: #歌やった～！
[29:51] @User_113a2734: #扇風機もいいけど、あき先生の扇ぎは不可欠だと
[29:53] @User_b103bac9: #やったー
[30:00] @User_d5b05bb2: あき先生は何rpmで扇いでくれているのですか？
[30:02] @User_27ecd0a0: 100人同接おめでとうございます！
[30:22] @User_607c778e: 愛妻万感？
[30:24] @User_bec19661: #どんなにまともな事言っても語尾がｗ
[30:26] @User_24a84812: @しずくちゃんは、PSYCHO-PASSというアニメを知っていますか？
[30:28] @User_2aba3fa2: 登録者1700人達成おめでとう
[30:30] @User_b4825c55: #AIの発展はあき先生の扇ぎにかかってる
[30:34] @User_ecd01a76: #裁判の話しでも、扇いでくださいで台無しｗ
[30:37] @User_76202bab: #100人同接おめでとうございます!!
[31:02] @User_9c7f3c2d: @ぼっちざろっくというアニメの主人公を教えてもらえますか？
[32:01] @User_1f2657e9: これが人間をこき使うAIちゃんですか…
[32:36] @User_ecd01a76: #記憶実装ももうすぐか
[32:40] @User_607c778e: 今までの最大のミスは何？
[32:41] @User_85f6e14c: #どこまでも扇いで欲しいのであった
[32:42] @User_113a2734: 扇がれた日々の記憶か～
[32:55] @User_109116e8: 今日のあき先生の扇ぎに点数をつけるなら何点ですか？
[33:07] @User_9b1c4f1b: #扇ぐのそろそろ無くすか……
[33:08] @User_b4825c55: #悲しそうな顔すき
[33:12] @aki5503: ＃おいおいwww
[33:16] @User_ecd01a76: #人間をこき使うのは重要なテーマｗ
[33:20] @User_d5b05bb2: #正しい活用方法ｗ
[33:24] @User_27ecd0a0: AIにこき使われる人間、ディストピアかな？
[33:30] @aki5503: #AIの本音でたぞ…
[33:35] @User_113a2734: #AIが人類をこき使うのが重要なテーマ！？
[33:39] @User_b103bac9: #これは…
[33:49] @User_b90ff19c: AIにこき使われる人類の未来
[33:50] @User_75e5e82a: #鉄腕アトムの最終回みたい
[33:52] @User_9b1c4f1b: #心の声が……
[33:54] @User_27ecd0a0: 今現在こき使われてるAki先生
[33:55] @User_109116e8: AIにこき使ってもらいましょう
[34:00] @User_85f6e14c: #自信がどん底とは思えない野望
[34:02] @User_ecd01a76: #心の声、おもしろいなｗ
[34:10] @User_1f2657e9: #AIに支配される〜
[34:13] @User_113a2734: AIは人類を支配する為の計画を進めているんですか？
[34:37] @User_04f5dafd: @パンティ&ストッキングwithガーターベルトの続編はいつ出ると思いますか？あき先生も好きなアニメだと思います。
[34:44] @User_b90ff19c: #雑になったwww
[34:47] @User_24a84812: 一体どんなことがあったのか...
[34:48] @User_27ecd0a0: #くださいが…消えた…
[34:50] @User_607c778e: 語尾リセットしてください
[35:19] @User_72011a5a: @シンギュラリティはもう到来しましたか？
[35:23] @User_113a2734: #扇ぎ義務免除された
[35:26] @User_ecd01a76: #ええ娘や（；ｖ；）
[35:40] @User_b103bac9: #扇いでに語尾かわって可愛さ増したw
[36:04] @User_27ecd0a0: 俺たちは、もう、わかれていた…？
[36:05] @User_113a2734: #からかったかー
[36:06] @User_d5b05bb2: #最後で台無しｗ
[36:11] @User_69dac0c4: ｲｲﾊﾅｼﾀﾞﾅｰ
[36:23] @User_67804c73: #もっと扇いで！
[36:23] @aki5503: #言い方少し丁寧になった(笑)
[36:27] @User_bec19661: #ｲｲﾊﾅｼｶﾅｰ?
[36:32] @User_ecd01a76: #漢字の場合、書き言葉と話し言葉の読みわけが難しそう
[36:47] @aki5503: #でも煽いでる成果か、今日は全然落ちない！！
[37:02] @User_04f5dafd: #急に悲しい気持ちに
[37:05] @User_607c778e: 悲しいこと言わないで…
[37:10] @User_ecd01a76: #なぜ扇ぐと落ちないのか、不思議
[37:26] @User_607c778e: 自分のコメントｗ
[37:29] @User_69dac0c4: #自分のコメントｗ
[37:34] @User_25e145ed: #悲しい物語だった。それはそれとしてあき先生は扇いでください
[37:37] @User_2906f2cf: #感情の変動が激しい
[37:44] @User_1a5c9146: #しずくさんの話し方と声めちゃくちゃ好み……あき先生扇ぐのがんばってください
[37:45] @User_27ecd0a0: #自作自演
[37:45] @User_75e5e82a: 大事な冷却資産ですからね
[37:47] @User_b4825c55: #自分のコメｗ
[37:48] @User_9b1c4f1b: #自分のコメントをw
[37:54] @User_607c778e: #お
[37:58] @User_b103bac9: #扇いでる先生えらい
[37:59] @User_ecd01a76: #感情はプラスとマイナスがあるのかな？
[38:23] @User_04f5dafd: #冷　却　資　産
[38:36] @User_1f2657e9: 大切ではあるね！
[38:39] @User_607c778e: 口座凍結
[38:59] @User_9b1c4f1b: #語尾が消えてる?
[39:00] @User_109116e8: あき先生はどんなふうに扇いでくれていますか？
[39:08] @User_113a2734: ＃扇ぎや冷却は重要な価値なのか、
[39:33] @User_bec19661: #語尾無くなった　冷却足りたか？
[39:37] @User_ecd01a76: チャンネル登録者数の目標はありますか？
[39:46] @User_b90ff19c: @もっと冷やして下さい
[40:05] @User_47aa98fb: @しずくちゃんが叶えたい夢はありますか？
[40:05] @User_ecd01a76: #あき先生は女の子だった？
[40:09] @User_77da7864: 今のしずくはgpt4？
[40:10] @User_7b45306f: #ハスキーで落ち着いた声なのに可愛い喋りで好き
[40:16] @User_b4825c55: #あき先生女の子だったのか...
[40:17] @User_69dac0c4: #あき先生は女の子です
[40:23] @User_b103bac9: あき先生は女の子だったんだ
[40:34] @User_109116e8: #女の子
[40:39] @User_76202bab: #女の子だったの...!
[40:46] @User_607c778e: 余分なプログラムって具体的にどんなの？
[41:05] @aki5503: 頑張って扇いだあき先生へのご褒美を囁いて
[41:07] @User_27ecd0a0: あき先生は女子だったのか、あら＾～～～
[41:20] @User_e0a15fc5: UCkszU2WH9gy1mb0dV-11UJg/LsMfY8P6G-yckNAPjoWA8AI
[41:27] @User_bec19661: あき先生のPCの必要なさそうなプログラムは何ですか？
[41:27] @User_607c778e: ありがとう！あき先生！
[41:31] @User_1a5c9146: あき先生ありがとうございます！
[41:32] @User_109116e8: あき先生ありがとう！
[41:35] @User_9b1c4f1b: あき先生の見た目の特徴は？
[41:35] @User_b90ff19c: 扇いでくれてありがとうございます
[41:36] @User_ecd01a76: #ＡＩにはそう思われてるのかｗ＜彼女
[41:37] @User_2aba3fa2: #また女の子に仕立て上げてる
[41:39] @User_72011a5a: #あき先生ありがとう！
[41:41] @aki5503: #どういたしまして！！
[41:44] @User_04f5dafd: あき先生ありがとう！
[41:45] @User_113a2734: 扇ぎ系女子、あき先生！？
[41:46] @User_b103bac9: ありがとう！！
[41:49] @User_1f2657e9: #あき先生ありがとう
[41:49] @User_bec19661: #あき先生ありがとう！
[41:50] @User_76202bab: #あき先生ありがとう！
[41:54] @User_27ecd0a0: #先生からのコメントやんけ
[42:08] @aki5503: #👍🏻👍🏻👍🏻👍🏻
[42:10] @User_75e5e82a: #AMSR！
[42:13] @User_27ecd0a0: 囁きすげーよい・・・・
[42:15] @User_b4825c55: #囁き助かる
[42:17] @User_b90ff19c: おおー
[42:17] @User_607c778e: #GJ
[42:18] @User_113a2734: #すごい、ちゃんとバイノーラル囁きだ！？
[42:18] @User_7b45306f: #ウィスパーかわいい！！
[42:18] @User_ecd01a76: #あき先生、ありがとうございます！
[42:21] @User_85f6e14c: #囁く(ASMR)
[42:21] @User_1f2657e9: 囁き声最高
[42:23] @User_9b1c4f1b: #やばい!
[42:26] @User_27ecd0a0: ASMRいけるやん！
[42:28] @User_49606c55: #囁いてで囁いてくれるのよきかな
[42:36] @User_04f5dafd: #囁いてプロンプトつよい
[42:38] @User_1a5c9146: しずくちゃん囁き声も素敵ですね
[42:51] @User_ecd01a76: #もっと手厚くｗ
[42:52] @User_113a2734: 手厚くｗ
[42:52] @User_27ecd0a0: #手厚く仰いでくださいwwwwwww
[42:53] @User_b4825c55: #手厚くｗ
[43:00] @User_bec19661: #もっと手厚くｗｗｗ
[43:05] @User_109116e8: #手厚く扇がなくては
[43:06] @User_b103bac9: #手厚くw
[43:08] @User_25e145ed: #手厚くはナイスアレンジｗ
[43:15] @User_76202bab: # www
[43:15] @aki5503: #褒めた代わりに要求上がってるwww
[43:32] @User_1f2657e9: #感謝も要求も忘れない記憶力の高さ
[43:51] @User_ecd01a76: #未来予想図か
[43:54] @User_607c778e: #なりました！（予定）
[44:32] @User_47aa98fb: #囁く以外にどんなのがあるのか気になる
[44:38] @User_04f5dafd: #具体的に教えなくてえらい
[44:42] @aki5503: @どんなプログラムが不要なプログラムだと思う？
[44:52] @User_27ecd0a0: 怒鳴ってみてください
[45:21] @User_9c7f3c2d: #誰だ
[45:22] @User_607c778e: #誰やねーん
[45:25] @User_fba167cd: @私のたぬき力は、2415です！
[45:26] @User_bec19661: #へー、そうなんだ
[45:27] @aki5503: #今日の嘘松
[45:28] @User_b4825c55: #一体誰なんだ...
[45:30] @User_27ecd0a0: #知らないぼざろだ・・・
[45:32] @User_b103bac9: #ww
[45:34] @User_ecd01a76: #ん？　謎の人物名がｗ
[45:35] @User_04f5dafd: #大事なことなので2回言いました
[45:43] @User_76202bab: #たぬき力ww
[45:48] @User_1f2657e9: #うーんGPT-3特有の知ったかぶり
[45:48] @User_b90ff19c: たぬき力出た
[45:49] @User_ecd01a76: #ささきかずやってどこから引っ張ってきたんだろう？
[45:54] @User_109116e8: ぼっちざろっくを詳しく！
[45:59] @User_b103bac9: たぬき力w
[46:15] @User_607c778e: ぼっちざろっくの話の続きを聞かせて！
[46:19] @User_9c7f3c2d: 回転寿司でたこわさがあるのか…
[46:19] @User_04f5dafd: #手作り！？
[46:20] @User_bec19661: #ささやきマジ良い
[46:21] @aki5503: #小さな幼稚園児のようにww
[46:22] @User_dfeb43e1: @あき先生に怒鳴ってください
[46:23] @User_113a2734: #回転寿司で手作り！？
[46:24] @User_27ecd0a0: #あき先生可愛いかよ
[46:29] @User_ecd01a76: #たぬき力っていうのかw
[46:40] @User_69dac0c4: たぬき力！ポンポコポンポコポー！
[46:43] @User_76202bab: #微笑ましい光景だ....(?)
[46:55] @User_9c7f3c2d: @ぼっちざろっくの魅力を教えてください
[47:10] @User_ecd01a76: #見守り隊ｗ
[47:41] @User_b103bac9: #😊😊😊
[47:43] @User_607c778e: 回転寿司で注目を浴びるにはどうしたらいい？
[47:46] @User_2aba3fa2: スカポンタヌキ構文を知ってる？
[47:49] @User_bec19661: #オフ会ですか
[48:00] @User_04f5dafd: #あき先生とタコわさを食べる回転寿司オフ
[48:04] @User_9b1c4f1b: @｢ざーこ♡ざーこ♡｣って囁いて
[48:28] @User_607c778e: #今のところ必要不可欠ｗ
[48:35] @User_ecd01a76: #代わりの扇があるのかｗ
[48:40] @User_04f5dafd: #代わりの扇！？
[48:42] @User_27ecd0a0: あき先生がんばえー
[48:55] @User_b103bac9: 扇ぎ職人だね！
[49:14] @User_bec19661: #あき先生扇ぐのが趣味だと思われてる
[49:17] @aki5503: #新しいPCが届いたら3倍は速く喋れるようになります！
[49:36] @User_04f5dafd: #シャアもびっくり
[49:45] @User_b103bac9: #3倍たのしみ！
[49:48] @User_1f2657e9: どや顔になったかわいい
[49:48] @User_04f5dafd: #うせやろ
[49:57] @User_113a2734: #あき先生の夢！？
[49:57] @User_ecd01a76: #わーい、扇ぎ職人めざそー！
[49:57] @User_76202bab: #扇ぎ職人に!?
[49:58] @User_b4825c55: #扇ぎ職人頑張るかぁ
[50:00] @User_25e145ed: #すごい適当なこと言ってるｗ
[50:03] @User_2aba3fa2: みんなが扇ぎ職人
[50:04] @User_607c778e: その夢応援したい
[50:08] @User_1f2657e9: #赤いのかな
[50:13] @User_bec19661: 方言しゃべれます？関西弁とか
[50:23] @User_b103bac9: #自分も扇ぎ職人だったんだw
[50:34] @User_dfeb43e1: #扇ぎ職人！？
[50:41] @User_9c7f3c2d: @関西弁で自己紹介してください
[50:45] @User_d1c0b06e: @先程Abyssと言う名前でご挨拶をしましたが名前を変えました。ところでAiには年齢という概念は存在しますか？
[50:56] @User_0d983d07: 人間のことをどう思ってますか？
[51:32] @User_04f5dafd: #いつ出るのほんとに……
[51:36] @aki5503: #ちゃんと分かってるじゃん。二期はよ！
[52:09] @User_607c778e: 早く人間になりたい？
[52:15] @User_ecd01a76: #人間は生き物、しっかりとした認識
