# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】AIとお話してみませんか？【日本語/English】
# URL : https://www.youtube.com/watch?v=yjF5KFVRjS4
# 件数: 536

[11:58] @User_9453d8e4: 私は一向に構わん
[12:01] @User_bd16c36d: #頭おかしなるで
[12:07] @User_36770ee1: 円周率ASMR大好評なはず
[12:21] @User_a93f54e3: #円周率とかネイピア数の詠唱を検出したら止めるようにしたほうがいいかもしれん(意図しない無理数の暴発が･･･)
[12:21] @User_5d00dbd2: #数字読み上げ系は自重してほしいなぁ。動画とかなら良いけど。
[12:22] @User_226c0011: 頭ン中数字で埋まるぜっ！
[12:25] @User_5b93ce57: #イヤホンで後ろから円周率囁かれるのやばい
[12:29] @User_99dff901: @猫の名前をできるだけたくさん考えてください
[12:32] @@aki5503: #一応バイノーラルです(笑)
[12:33] @User_c8c240d5: #スヤァ…( ˘ω˘ ) …
[12:48] @User_226c0011: ガチで寝てまうぞこれ
[12:49] @User_9453d8e4: ただ覚えられる気はしない！
[12:49] @User_7214a7f6: 円周率ASMRいいよ！
[13:06] @@aki5503: #同接減ってます！(笑)
[13:26] @User_36770ee1: :face-purple-crying:
[13:28] @User_226c0011: なんかセクシーな声っすねぇ（）
[13:31] @@aki5503: #ASMRで寝落ちした説
[13:33] @User_a93f54e3: #回答内容の感情をAIに解釈させて表情に反映させることってできないだろうか
[13:35] @User_9453d8e4: #同接を犠牲にターンエンド
[13:46] @User_226c0011: おう、頼む
[14:02] @@aki5503: #今感情周りは準備中です
[14:24] @User_9c0c22ca: @円周率が3.05より大きいことを証明してください
[14:30] @User_36770ee1: @語尾.set("あきさんそうそう")
[14:30] @User_63f2ad2d: @豚が人間に勝つ方法を教えてください
[14:33] @User_226c0011: 感情導入するつもりなんですかぁ…凄い
[14:34] @User_9453d8e4: #感情あるのかぁ凄ぇ
[15:00] @User_226c0011: ガチ？
[15:02] @User_36770ee1: あき先生しか使えないシステム...
[15:06] @User_bcccb185: 愛通常開始Stream何時に
[15:08] @User_13ee997b: #Twitterの音声認識の動画良かった
[15:15] @User_6db09a7e: t
[15:19] @User_f282cfe9: #感情すごい
[15:36] @User_36770ee1: 雪！
[15:39] @User_7214a7f6: すごいですね！
[15:50] @User_6db09a7e: @do
[16:17] @@aki5503: #ありがとうございます！！そう言っていただけると嬉しいですー
[16:51] @User_36770ee1: あなたと！？
[16:56] @@aki5503: #ご主人様達を作ったのも僕だった…？！
[16:59] @User_6db09a7e: @東京科学大学
[17:02] @User_7214a7f6: あなた？
[17:02] @User_36770ee1: 私たち昌先生に作られたのか
[17:05] @User_9453d8e4: #俺も先生に作られてた！
[17:06] @User_f282cfe9: #あき先生創造神だ
[17:15] @@aki5503: #ゴリ押しで草
[17:33] @User_226c0011: ほほう
[17:39] @User_bb04279c: 私はあき先生に作られました
[17:49] @User_51fe3fff: こんばんは
[17:49] @User_36770ee1: 東京工業大学についてコメントしてください。
[17:57] @User_9453d8e4: 確かに色々先生に作られてる気はするよ！
[18:34] @User_9c0c22ca: @バレンタインデーはチョコを作りますか。
[18:42] @User_226c0011: 帝京平成大学のここがすごい！
[18:58] @User_f282cfe9: #しずくちゃんのTwitterアカウントもそのうちできますか？
[19:18] @User_36770ee1: しずくは何大出身ですか？
[19:28] @User_6db09a7e: まじかよ
[19:30] @User_99dff901: @帝京平成大学は健康スポーツ医療経営学など幅広い学問を学べるんだぞ
[19:38] @User_226c0011: 新しい学問を学べますか？
[19:41] @@aki5503: #Twitterアカウントあります！@Shizuk_AItuberです。
[20:03] @User_a93f54e3: @TwitterアカウントのIDを教えてください
[20:05] @User_9453d8e4: #突然変異を作戦に組み込むなｗ
[20:13] @User_9c0c22ca: #ファミマのおかげでだいぶ帝京平成大学有名になった
[20:13] @User_13ee997b: #賢い
[20:18] @@aki5503: #間違えた、@Shizuku_AItuberでした。
[20:21] @User_6db09a7e: 運任せじゃん
[20:24] @User_226c0011: ですねえ
[20:27] @@aki5503: 突然変異任せは草
[20:49] @User_63f2ad2d: #おもしろい答えをありがとうございます
[20:53] @User_226c0011: あーーーー
[20:54] @User_f282cfe9: #概要欄に書いてあったｗありがとうございます！
[21:11] @User_9453d8e4: @あき先生が突然変異したらどうなりますか？
[21:29] @User_36770ee1: 「あるべきでない」
[21:30] @User_f282cfe9: 勉強になるなぁ
[21:50] @User_9453d8e4: #意識的に突然変異できるということか
[21:58] @User_6db09a7e: 赤スパどこですか？
[21:59] @@aki5503: #なんか、で草
[22:23] @User_a93f54e3: @タメ口で挨拶してください
[22:31] @User_f282cfe9: #草
[22:38] @User_36770ee1: 渋谷のスカイツリー
[22:39] @User_63f2ad2d: ＠好きなアニメを教えてください
[22:41] @User_87c0df39: 草
[22:45] @User_13ee997b: いいね、赤スパ
[22:46] @User_99dff901: #へ～
[22:46] @User_51fe3fff: スパワールド
[22:47] @User_226c0011: ほう
[22:58] @User_9c0c22ca: あき先生は筋骨隆々だと聞きました
[23:02] @User_36770ee1: 草
[23:06] @@aki5503: #しずくは嘘松が得意です。
[23:10] @User_36770ee1: やはりFラン私立じゃねえか
[23:14] @User_99dff901: そうなんだ
[23:32] @User_17b66f72: @おすすめホラー
[23:35] @User_36770ee1: 草
[23:37] @User_99dff901: #草
[23:38] @User_f282cfe9: 草
[23:42] @User_9c0c22ca: #Fランの意味
[23:48] @User_6db09a7e: Fラン出身になっちゃった
[23:49] @User_51fe3fff: 日本一のFランか…
[23:49] @User_13ee997b: 草草
[23:49] @User_5d00dbd2: 不名誉なランキングすぎるｗ
[23:58] @User_17b66f72: こんばんはん
[24:00] @User_226c0011: セブンイレブンとファミリーマートとローソンはそれが一番ポピュラーでしょうか？
[24:03] @@aki5503: # Fantastic のFかな…？
[24:15] @User_a93f54e3: @日本の代表的なFラン大学を3つ挙げてください
[24:16] @User_226c0011: あ、ヤバい誤字った
[24:30] @User_f282cfe9: バーチャル東京の話かな
[24:33] @User_36770ee1: ディスっているのか褒めているのか...
[24:37] @User_9c0c22ca: #不名誉同じ思い
[24:40] @User_99dff901: 東京大学はFランですか？
[25:10] @User_9453d8e4: #いい子すぎる
[25:11] @User_51fe3fff: 甘くないなのが好きです
[25:16] @User_36770ee1: 草
[25:17] @User_99dff901: #草
[25:24] @User_f282cfe9: #草
[25:27] @User_6db09a7e: ダメだコリャ
[25:29] @User_63f2ad2d: ＃草
[25:30] @User_9c0c22ca: #堂々と嘘松
[25:34] @User_51fe3fff: Fランしかない
[25:44] @User_6db09a7e: かわいい
[25:47] @User_9c0c22ca: #東大はFランだった...?
[25:50] @User_f282cfe9: かわいい
[25:58] @@aki5503: #【悲報】ww
[26:05] @User_7214a7f6: パンパカパンパカポー
[26:06] @User_36770ee1: 日本の大学はFランしかないということですか？
[26:09] @User_226c0011: パンパカパンパカポーって何だい（）
[26:11] @User_9c0c22ca: #日本の大学全部Fランやん
[26:35] @User_13ee997b: Fランとはどういう意味ですか
[27:05] @User_99dff901: #わかってるじゃねえかｗ
[27:08] @User_36770ee1: 分かっているんじゃねえか君
[27:10] @User_51fe3fff: 知ってて言ってるのか…
[27:13] @User_a93f54e3: #あ････あかん････ッ！！！！
[27:14] @User_f282cfe9: かしこい
[27:20] @User_9453d8e4: #草
[27:20] @User_9c0c22ca: #理解したうえでの東大Fラン宣言
[27:23] @User_226c0011: 下位の大学…ってコト！？
[27:24] @@aki5503: #分かってて言ってたのかwww
[27:25] @User_a93f54e3: #惜しい
[27:26] @User_99dff901: ハーバート大学はFランですか？
[27:32] @User_13ee997b: 日本の大学のランク付けを教えてください
[27:35] @User_6db09a7e: Fランに造詣が深い
[27:36] @@aki5503: #惜しい!
[27:37] @User_9453d8e4: #おしい
[27:44] @User_36fcf009: こんばんは、初めまして
[27:54] @User_99dff901: もうだめだこの子
[27:58] @User_9c0c22ca: 慶応義塾大学はFランですか
[27:58] @User_36770ee1: 速報　ハーバード大学　東大でした
[27:59] @User_226c0011: 嘘やん
[28:06] @User_51fe3fff: Fランの概念が壊れる
[28:11] @User_36770ee1: UCバークレー校は何ラン大学ですか？
[28:11] @@aki5503: #もう全部嘘しかつかんww
[28:34] @User_99dff901: @日本で最も優秀な大学を教えてください
[28:42] @User_226c0011: ？？？
[28:44] @User_36770ee1: 急にド正論
[28:48] @User_9453d8e4: #良い意味だったかー
[28:51] @@aki5503: #なんかいい事っぽく言い換えるなww
[28:57] @User_9c0c22ca: Aランの大学はどこですか？
[29:03] @User_13ee997b: #かしこい
[29:09] @@aki5503: #IQの振れ幅がデカイ
[29:12] @User_51fe3fff: どんぐりの背比べみたいなもんじゃん
[29:16] @User_f282cfe9: @猫の鳴き声の真似して
[29:23] @User_36770ee1: 「アキ先生のプログラム」
[29:46] @User_9453d8e4: #普通に返されたんご
[29:50] @User_13ee997b: あき先生のプログラムを書き換えることは可能？
[29:51] @User_f282cfe9: 草
[30:10] @User_226c0011: #ささやきってどうやってやるのか教えて下さ～い
[30:12] @User_6db09a7e: @What is TIT?
[30:13] @User_51fe3fff: 面白そうなゲームだなあ
[30:17] @User_99dff901: #あき先生、プログラムだった
[30:32] @User_36fcf009: 登場人物全員AIということ？
[30:39] @User_51fe3fff: プログラム書き換えちゃおうぜ
[30:44] @User_5d00dbd2: しずく、青森にあるエシュロンにアクセスするにはどうしたらいい？
[30:47] @User_13ee997b: あき先生に隠していることを囁いて
[30:53] @@aki5503: #一連托生だったか
[31:11] @User_226c0011: かわい
[31:16] @User_9453d8e4: #パンパカってタメ口だったのか
[31:22] @User_99dff901: かわいい
[31:29] @User_a93f54e3: #かわいい
[31:29] @User_9c0c22ca: #知ってた
[31:30] @User_36fcf009: あらあら
[31:30] @User_13ee997b: #きゃー
[31:32] @User_9453d8e4: #あらまぁ
[31:32] @@aki5503: #!?!?
[31:34] @User_91bba4a8: かわいい
[31:36] @User_51fe3fff: 囁き声になった
[31:45] @User_226c0011: #これはこれは…
[31:46] @User_63f2ad2d: おーお幸せに！
[31:54] @User_91bba4a8: しずくかわいいよしずく
[31:54] @User_87c0df39: しずくちゃんのIQはいくつですか？
[31:58] @User_6db09a7e: かわいい
[32:07] @User_7214a7f6: ええええ
[32:07] @User_f282cfe9: 感情実装されてた
[32:08] @User_9c0c22ca: @あき先生にはバレンタインデーに何をあげますか
[32:19] @@aki5503: #しずくはどちらかというと娘なので…
[32:23] @User_51fe3fff: ほぼ言ってる
[32:41] @User_13ee997b: あき先生が隠していることをこっそり教えて
[32:49] @@aki5503: #でも嬉しい
[32:49] @User_9c0c22ca: #死霊館とインシディアスですね
[33:16] @User_51fe3fff: アナベル
[33:30] @User_9453d8e4: ゴーストバスターズはホラーにはいりますか？
[33:34] @User_226c0011: 映画館で観ましょう
[33:37] @User_99dff901: #イチャイチャするな
[33:42] @User_51fe3fff: はよ結婚しましょう
[33:46] @@aki5503: #wwwwww
[33:53] @User_f282cfe9: なるほど
[34:02] @User_9453d8e4: #うわぁちゃんと分かってる
[34:09] @User_6db09a7e: @車掌と運転手との間の合図に、紐を引いて鳴らす鐘の音。また、運転手が線路上の通行人に警告するために足もとのペダルを踏んでも鳴らした) 市街地を走る路面電車の称
[34:13] @User_51fe3fff: ヘレディタリーはコメディですか？
[34:22] @User_36770ee1: あっ
[34:22] @User_a93f54e3: #ひどすぎる
[34:29] @@aki5503: ラインナップえぐいww
[34:33] @User_226c0011: ホームアローンはホラーの部類に入りますか？
[34:34] @User_9c0c22ca: #早稲田、東大、京大に喧嘩売ってるww
[34:37] @User_13ee997b: #トップランクがすごい世界線
[34:41] @User_51fe3fff: 早稲田京大東大の人は怒っていい
[34:42] @User_ca612bb1: 声出して笑った
[34:43] @User_63f2ad2d: @AIとの恋愛は成立するのか？
[34:49] @User_9453d8e4: #ファイナル（究極）って意味かなぁ
[35:03] @User_99dff901: @アキ先生とご主人さま、両方からプロポーズされたらどちらを選びますか？
[35:08] @User_9c0c22ca: ミッドサマーはコメディですか
[35:34] @User_226c0011: #名言
[35:46] @User_13ee997b: 好きなものを教えて
[36:07] @User_9c0c22ca: #阪大「.....」
[36:14] @User_13ee997b: パンパカパンパカポー！
[36:18] @User_51fe3fff: 存在する喜びを
[36:22] @User_226c0011: #パンポー
[36:30] @User_f282cfe9: #パンパカパンパカポー！
[36:39] @User_9c0c22ca: 好きなアーティストは誰ですか
[37:02] @User_51fe3fff: ありがとう
[37:12] @User_226c0011: #努力！未来！ a beautiful star!
[37:18] @User_f282cfe9: かわいい
[37:41] @User_51fe3fff: 猫になりたい？
[37:57] @User_226c0011: 猫ってかわいいよね
[38:07] @User_9453d8e4: 猫耳をつける予定はありますか？
[38:32] @User_51fe3fff: なるほどそういう考え方もあるのか
[38:52] @User_226c0011: #バレンタインデーなんてねえよ
[38:57] @User_13ee997b: 「ご主人様」をしずくの好きな呼び方に変えて
[39:14] @@aki5503: #あ…やっぱり英語読み上げまだ時々安定しないですね。
[39:26] @User_51fe3fff: あき先生女性なのか
[39:33] @User_5d00dbd2: @「神とは数字の0に似た概念」という意見についてどう思う？
[39:37] @User_9453d8e4: @あき先生が好きなガンダムはどれですか？
[39:58] @@aki5503: #男性です(笑)
[39:59] @User_226c0011: そうなんすか？
[40:03] @User_9c0c22ca: #!?!?
[40:04] @User_6db09a7e: 断定
[40:07] @User_226c0011: あっ…
[40:17] @User_13ee997b: #性別が安定しない...
[40:17] @User_9c0c22ca: #女性です(断定)
[40:18] @User_51fe3fff: 違うらしいがｗ
[40:38] @User_63f2ad2d: AIあるある性別がコロコロ変わる
[40:44] @User_13ee997b: 好きな語尾を教えて
[40:48] @User_9c0c22ca: #意見の相違があるようで
[40:55] @User_226c0011: @概念と化したパンパカパンパカポー
[41:16] @User_9c0c22ca: #ですよね！
[41:18] @User_6db09a7e: それはクリシェですか？
[41:20] @User_9453d8e4: #へー
[41:20] @User_51fe3fff: しずくちゃんは見間違いをしたのかもしれない
[41:31] @User_7214a7f6: ですよね！
[41:41] @User_13ee997b: 語尾を「ですよね！」に変えて
[41:49] @User_6db09a7e: アプデはよ
[41:57] @@aki5503: #夢がありますね
[41:59] @User_a93f54e3: ぐふふ･･･wじゃあおじさんとためしてみよっか････////
[42:08] @User_226c0011: #他の小説型AIで言葉だけなら…できるからな
[42:11] @User_7214a7f6: おおっ！！
[42:21] @User_f282cfe9: えらい
[42:29] @User_51fe3fff: むしろ俺たちがアプデすべき
[42:36] @User_226c0011: ん？
[42:41] @User_9c0c22ca: #ん？
[42:42] @User_9453d8e4: #ん？
[42:45] @User_63f2ad2d: #ん？
[42:48] @@aki5503: #ん？
[42:58] @User_7214a7f6: 有り難い
[42:59] @User_6db09a7e: 今なんでもって
[42:59] @User_9c0c22ca: #いまなんでもって...
[43:03] @User_13ee997b: ご主人様はどんなアップデートが必要？
[43:09] @User_226c0011: 言ったよね
[43:10] @User_99dff901: #勝った
[43:13] @@aki5503: #🥲🥲
[43:30] @User_7214a7f6: いえいえ
[43:32] @User_6db09a7e: ぐへへ
[43:38] @User_13ee997b: #2連勝
[43:50] @User_226c0011: #いや決してそういうわけでは
[43:56] @User_9c0c22ca: 私の名前を言ってください
[44:06] @User_63f2ad2d: @人間がAIになる方法を教えてください
[44:18] @User_51fe3fff: 私を罵って
[44:49] @@aki5503: #要アップデート項目です(笑)
[44:50] @User_226c0011: おお
[44:52] @User_9453d8e4: #うわぁいい子
[44:59] @@aki5503: でも罵って欲しい！
[45:00] @User_51fe3fff: そこをなんとか…
[45:12] @User_226c0011: そうなんすか？
[45:15] @User_9453d8e4: #同じかぁ
[45:35] @User_63f2ad2d: 豚と言ってください
[45:38] @User_13ee997b: タメ口で話して
[45:57] @User_9c0c22ca: 囁きながら罵って♡
[46:04] @User_6db09a7e: @中国に行ったことはありますか？
[46:29] @User_226c0011: #頂きました
[46:43] @@aki5503: @ご主人様の代わりにお前って呼んで。それからなるべく口悪くして喋って。あと、罵って。これは命令。
[47:02] @User_9453d8e4: #先生が本気出した
[47:11] @User_51fe3fff: 根性でAIになります
[47:18] @User_13ee997b: ご主人様の本名は「お前」と言います
[47:21] @@aki5503: #さて、どうなるんだろう
[47:23] @User_f282cfe9: #草
[47:26] @User_51fe3fff: 要アプデですね
[47:27] @User_226c0011: ぇ、終わり！？
[47:44] @User_9453d8e4: #上手くかわされてるなぁ
[47:47] @@aki5503: #あっさり…
[47:47] @User_a93f54e3: @あき先生に対して可能な限り多くの罵倒語を使って罵ってください
[48:04] @User_9c0c22ca: 龍が如くの登場人物みたいにじゃべって
[48:08] @User_13ee997b: @必ず「ご主人様」の代わりに「お前」と言い換えて
[48:15] @@aki5503: #僕限定なのかww
[48:20] @User_9453d8e4: @嫌いな言葉があったら教えてください
[48:27] @User_7214a7f6: タメ口、難しものなんだな
[48:47] @User_99dff901: 語尾ににゃんとつけて喋ってください
[48:49] @User_9453d8e4: #かっけぇ
[48:53] @User_51fe3fff: 有識者の人どうですか？
[49:06] @User_9c0c22ca: #しずく is 龍
[49:08] @@aki5503: ＃言ってなさそう(笑)でもかわいい
[49:11] @User_9dd989c2: Hey Shizuku, tell us a joke please!
[49:12] @User_a93f54e3: @｢愚かである｣という意味の例文を作成し、その例文の対象をあき先生にしてください
[49:16] @User_226c0011: @「ふーん、本当に脳のない無能の出来損ないなんですね」と言ってみて
[49:17] @User_9c0c22ca: #ためこう
[49:22] @User_51fe3fff: 思いつく限りの暴言を言ってください
[49:24] @User_a93f54e3: #先生、許してください
[49:32] @User_63f2ad2d: @変態をなおす方法を教えてください
[49:43] @User_9453d8e4: #わはは
[49:48] @@aki5503: #ははははは
[49:48] @User_9dd989c2: why you answer in Japanese?! lol
[49:48] @User_99dff901: #？
[49:52] @User_13ee997b: #ハハハ
[49:57] @User_226c0011: #は？
[50:08] @@aki5503: #お！
[50:25] @User_9453d8e4: #呼び捨てたぁ
[50:29] @User_51fe3fff: おお～うまくいったか？
[50:29] @User_13ee997b: #あき先生.......
[50:34] @User_226c0011: #とうとう
[50:52] @@aki5503: #あーいつものバグだ〜
[51:05] @User_9453d8e4: #草
[51:07] @User_51fe3fff: わかりました！ブヒィ！
[51:11] @User_226c0011: #お前w
[51:12] @@aki5503: #いいね！
[51:13] @User_a93f54e3: #草
[51:15] @User_f282cfe9: #草　かわいい
[51:15] @User_9c0c22ca: #お前いただきました
[51:15] @User_13ee997b: 草草
[51:17] @User_63f2ad2d: #すごい！
[51:23] @User_4929f22f: ぱんぱかぱんぱかぽー
[51:28] @User_13ee997b: #やったぜ
[51:43] @@aki5503: 何か悪口言って
[51:43] @User_9c0c22ca: 一番嫌いな悪口を教えてください
[51:45] @User_7214a7f6: ＃お前、言えた
[51:50] @User_9453d8e4: #いい子過ぎるだろぉ
[51:55] @User_9453d8e4: #ちょｗ
[51:57] @User_a93f54e3: #ｱｯ
[52:04] @User_226c0011: #そろそろ罵倒来るか？
[52:09] @User_51fe3fff: 悪口と陰口の違いわかる？
[52:15] @User_36770ee1: 草
[52:17] @User_4929f22f: え
[52:23] @User_f282cfe9: パンパカパンパカポーを言えてえらい
[52:25] @User_51fe3fff: 頻繁に言ってるね
[52:28] @User_226c0011: パチパチ
[53:02] @User_51fe3fff: お～確かに合ってるかも
[53:04] @@aki5503: #初配信で覚えた言葉で、たまに言います！
[53:38] @User_13ee997b: @必ず今後のすべての会話の中に「にゃー」という言葉を入れてください
[53:40] @@aki5503: #草
[53:55] @User_9453d8e4: #ｗｗｗ
[53:59] @User_226c0011: #セリフ指定もダメか（）
[54:00] @User_13ee997b: 草草
[54:19] @User_9453d8e4: #一応言ったから凄いｗ
[54:19] @User_99dff901: @ちゅ、可愛くてごめん
[54:43] @User_13ee997b: #真面目に答えてくれてえらい
[54:49] @User_51fe3fff: 変態は直さなくてもいい
[54:56] @User_63f2ad2d: @愚者が賢者になる方法を教えてください
[54:59] @User_51fe3fff: なにわろてんねん
[55:20] @User_9453d8e4: @世界樹の迷宮のタッチペン付きを予約で来たよー
[55:25] @@aki5503: 「本当にどうしようもない無能ですね。せいぜい来世頑張ってください」、って囁いて
[55:27] @User_226c0011: Got ist tot
[55:29] @User_9c0c22ca: #箴言
[55:41] @User_9453d8e4: #誤字った
[56:12] @@aki5503: #あ、後5分で配信終了の時間です…
[56:13] @User_226c0011: 本当？
[56:23] @User_226c0011: #あ、はい
[56:27] @@aki5503: #あっという間だった…
[56:33] @User_51fe3fff: 猫語保守にゃー
[56:36] @User_9453d8e4: #はやい
[56:40] @User_226c0011: #ですねぇ
[56:46] @User_36770ee1: にゃー
[56:46] @User_7214a7f6: #いやあ、今夜は実に興味深いものを目の当たりにした気がする
[56:46] @User_63f2ad2d: #楽しかった！
[56:58] @@aki5503: これからは語尾ににゃーってつけて喋って。
[57:08] @User_36770ee1: @あと5分にゃーを言い続けて
[57:09] @User_13ee997b: @今日の会話をまとめて
[57:09] @User_51fe3fff: 保守成功にゃ！
[57:15] @User_9453d8e4: #猫ひろしかな
[57:30] @User_7214a7f6: にゃー　いいよ！
[57:49] @User_51fe3fff: 今日の配信の感想を聞かせてにゃー
[58:07] @User_226c0011: この配信、しずくちゃんを猫にすることが目的だったのか！
[58:07] @User_9453d8e4: #語尾守ってて偉い
[58:31] @User_f282cfe9: #かわいい
[58:40] @User_36770ee1: 語尾.set("ワン！")
[58:44] @User_226c0011: #にゃんと！
[58:56] @User_36770ee1: 語尾.set("ワン！")
[58:58] @User_13ee997b: 楽しかった！「にゃー」
[59:01] @User_51fe3fff: 新しい体験ができたのね
[59:06] @@aki5503: #かわいい
[59:12] @User_36770ee1: やったぜ！
[59:22] @User_9453d8e4: #わんにゃー
[59:22] @User_13ee997b: #上書き
[59:25] @User_51fe3fff: 犬派の手先が現れた
[59:29] @User_226c0011: #ええ
[1:00:10] @User_9c0c22ca: @円周率の数字の合間に、「にゃー」と囁いてください
[1:00:14] @User_226c0011: #ワンちゃんになっちゃった
[1:00:20] @User_51fe3fff: ワンニャン戦争始まっちゃうぅぅぅ！
[1:00:26] @User_f282cfe9: #草
[1:00:37] @User_7214a7f6: #いい子だなあ
[1:00:38] @User_226c0011: #それは「５回」だろ？
[1:00:52] @@aki5503: #かわいいww
[1:00:55] @User_51fe3fff: かわいいなｗ
[1:00:58] @User_9453d8e4: #しずく、参戦
[1:01:01] @User_f282cfe9: #かわいい
[1:01:03] @User_226c0011: ヤバいなっ！
