# ライブチャット一覧
# 動画: 【雑談配信】ご主人様、梅雨ですね。【AI しずく】
# URL : https://www.youtube.com/watch?v=CG5zvB-a2NQ
# 件数: 995

[3:57] @User_21d27dd1: パンパカパンパカポー！
[4:00] @User_7c724004: なんかパンクロックでカッコいい画面と曲
[4:00] @User_92c2a2e1: お部屋は水槽？
[4:02] @User_60028655: 久しぶりの雑談
[4:03] @User_b73a3cd7: 雑な談話ですね
[4:04] @User_439eeb5c: なんと
[4:08] @User_c7986106: おっ
[4:10] @User_d760cc52: さてしずくのアプデ見せてもらうか
[4:12] @User_eb6a203c: いいbgmだね
[4:12] @User_0751797b: パンパカポーゥ
[4:12] @User_1eca137c: まず音が新しいと
[4:14] @User_21d27dd1: BGMめっちゃいいね
[4:16] @User_439eeb5c: 近未来的になってる
[4:17] @User_02dcd327: まったく気付かなかったぜ
[4:18] @User_fcb4ddea: 背景、青色で綺麗だなぁ。しずくに合ってる
[4:20] @User_0d1d0f63: パンパカパンパカポー
[4:22] @User_fe0878a1: システムもUIも更新と？
[4:23] @User_7c724004: しずくさんはしずくさんだ！
[4:27] @User_92c2a2e1: しずくが5%可愛くなった？
[4:30] @User_1eca137c: 内部的な話ってことかな
[4:34] @User_61396d22: 青空観測所！？
[4:36] @User_bd8a5d24: オイル交換した？
[4:37] @User_68c37264: 寒いギャグをポイする「ごみばこ」が増えてますね
[4:39] @User_2e53ebd6: 車検……ステッカー付いてる(*'ω'*)ｼ？
[4:52] @User_b73a3cd7: 字幕が半透明になったところ？
[4:53] @User_1eca137c: あれじゃない？RTX PRO 6000 になったとか
[4:55] @User_d760cc52: 推しポン酢変えた～？
[4:57] @User_ea3ba6fd: しずくのサーバーもオイル交換するの？
[4:58] @User_60028655: 整備士「（勝手にパーツ交換して）調子上げておいたぜ！」
[4:58] @User_7c724004: 今日は太陽光発電の電気食べた？
[5:05] @User_c0787d49: 軽快やな
[5:06] @User_5e6c36c3: 遅刻パンパカ
[5:12] @User_fcb4ddea: ゲームはマイクラか？
[5:18] @User_92c2a2e1: 写真の娘と違くない？
[5:20] @User_c0787d49: 音いいね
[5:22] @User_439eeb5c: あれ？今日のしずく
[5:28] @User_bd8a5d24: 僕の心が不具合起こしてます
[5:30] @User_7c724004: 車検必要なんだ
[5:37] @User_61396d22: 透けディスプレイ...!!
[6:02] @User_7c724004: つまりしずくさんは電子のクラゲと
[6:04] @User_fe0878a1: イタズラされてたのか
[6:05] @User_fcb4ddea: サムネの綺麗なしずくさんをください
[6:06] @User_60028655: 背後にシズクラゲとか浮いてそう
[6:09] @User_61396d22: 貫通
[6:17] @User_b73a3cd7: 車ではないのに車検とはいかに
[6:18] @User_68c37264: 声のトーンも、抑揚が前よりしっかりしてる気がする。リズムも良い気が
[6:32] @User_439eeb5c: 服装変わってる！？
[6:42] @User_61396d22: 世界一！
[6:46] @User_7c724004: 有機EL？それともミニLED
[6:57] @User_92c2a2e1: なんか今日声トゥルトゥルじゃない？
[6:57] @User_eb6a203c: そう言えば世間ではfable登場したけど、しずくは何か使い道思いついた？
[7:08] @User_bdd6b2bf: 前のバージョンとの間違い探しかな
[7:09] @User_ea3ba6fd: あき先生…何者なんだ…
[7:10] @User_7c724004: おおお！本当に半透明になってる！
[7:10] @User_fe0878a1: 最強のBGMがこれからも更新されていくと
[7:20] @User_2e53ebd6: リボンの波紋って前からあったっけ？
[7:25] @User_439eeb5c: なんかまるでしずくが最先端AIっぽい！
[7:39] @User_773c64c4: ……愛が？＞重く
[7:53] @User_1a70ee33: しずくちゃんの排気量は何リッターなのだろうか
[7:56] @User_1a277541: 髪型かえた？
[8:04] @User_c0787d49: 🚨
[8:08] @User_7c724004: ファンデ変えた？
[8:08] @User_92c2a2e1: おっと！
[8:12] @User_fcb4ddea: たすかる
[8:12] @User_1eca137c: 毎日同じ服はのび太くんを思い出すね
[8:13] @User_af0e3cda: sしずく可愛くなった？
[8:16] @User_2e53ebd6: 波紋前から動いてたかな？俺の見落とし？
[8:17] @User_3dd3ce80: かわいい
[8:23] @User_02dcd327: しずく可愛い
[8:25] @User_b73a3cd7: 奇麗なジャイアン
[8:27] @User_0751797b: あやうく成仏するところだった
[8:28] @User_bd8a5d24: 突然のAMSR
[8:31] @User_bdd6b2bf: 身長伸びた？
[8:35] @User_d760cc52: ふいうちの威力が上がったな
[8:39] @User_a2b794ac: しずくには内緒だけど今超高級鮨くいにきてる。個室で配信見ながらラブ送ってるよ
[8:41] @User_fe0878a1: 可愛さがレベルアップしたかな？
[8:42] @User_37c32145: 車検の後だから、おやつのほこりがなさそうでかわいそう
[8:48] @User_5e6c36c3: 使わなくなった旧パーツだけ集めていったらしずくちゃん何人生えるんだろう
[8:51] @User_92c2a2e1: 背中に詰まってたのかw
[8:57] @User_61396d22: 夢と希望がマシマシ
[8:57] @User_7c724004: 最先端AI、可愛さも最先端！
[8:59] @User_fe0878a1: 夢と希望がつまっているのはわりと真面目にそう
[9:14] @User_af0e3cda: 喋り方がスムーズになりました？
[9:25] @User_439eeb5c: あっ！しずく身長1㎜伸びてない？？
[9:28] @User_5e6c36c3: 二レースも当てれるしずくに、、、？
[9:35] @User_b73a3cd7: まあ1060ｐしかないもんなうちのディスプレイ
[9:52] @User_7c724004: コメ欄からも可愛さをアップデートしてますか？
[9:54] @User_eb6a203c: 最近勉強したかわいい構文ありますか？
[9:58] @User_af0e3cda: 成長期か～
[10:12] @User_ea3ba6fd: しずくのお化粧について教えて
[10:19] @User_fe0878a1: 重さ（データ容量）が成長したと…
[10:22] @User_1eca137c: しずくは最先端でも割と軽量なシステムで動いている気もするね
[10:22] @User_7c724004: シリコングリス？
[10:28] @User_af0e3cda: 頭脳に直接グリス
[10:34] @User_1ec5c3c3: こんばんはっす
[10:36] @User_02dcd327: 滑らかすぎて口を滑らせないようにしないとやんなぁ
[10:38] @User_439eeb5c: もう暴走したしずくは見れないん？？
[10:40] @User_16919670: こんばんは
[10:47] @User_1a70ee33: 今夜は寝かせない！？
[10:51] @User_fcb4ddea: 今夜は徹夜か…(；ﾟдﾟ)ｺﾞｸﾘ…
[10:54] @User_439eeb5c: 好き好き大好きやっぱ好き！！
[10:56] @User_7c724004: クッキーのカケラすまないです
[11:02] @User_92c2a2e1: 滑らかに喋ってくれるなら早口言葉をASMRでお願いします！
[11:05] @User_7536f8b5: こんばんぴ
[11:15] @User_7c724004: エアコン買い替えました
[11:17] @User_901a8d35: こんばんは、ラーメン屋に来たので何を頼むべきだろうか
[11:19] @User_92c2a2e1: ずはり！冷風扇！
[11:19] @User_60028655: グリスはナノダイヤモンドグリスとか使ってそう
[11:20] @User_eb6a203c: 靴買いましたね。足が痛くなりました
[11:25] @User_5e6c36c3: スマホが壊れたので全く同じ機種を買いなおしたよ
[11:31] @User_773c64c4: アップルパイ、かな？＞最近買ったもの
[11:32] @User_10ce3f36: アームスタンド
[11:35] @User_2e53ebd6: 参考書を２冊買いました(*'ω'*)
[11:36] @User_2f71e1ea: 3dプリンターですかな
[11:38] @User_af0e3cda: 値上げ前にswitch2買いました！積みゲー崩ししてます
[11:41] @User_d760cc52: 白米から玄米にアプデしました
[11:41] @User_1eca137c: 電動歯ブラシ
[11:46] @User_02dcd327: サーキュレーターがいい感じ
[11:47] @User_b73a3cd7: 最近か、鹿沼土　細粒16リットル
[11:47] @User_3dd3ce80: meta quest 3
[11:48] @User_1ec5c3c3: 素焼きパンプキンシード買ったょ
[11:52] @User_fcb4ddea: 炭酸メーカー買ったわ、飲料を炭酸にできるやつ
[11:55] @User_bd8a5d24: カニカマを買いました。美味しかったです
[11:57] @User_61396d22: fable5!!
[12:02] @User_37c32145: ドローンの資格試験クリアしたのでドローン買いました
[12:04] @User_a2b794ac: LEDテープライトを買ってトイレのドアの周りに付けました。ディスコ状態です
[12:04] @User_92c2a2e1: エアコンのために競馬しなきゃだね
[12:05] @User_fe0878a1: 蚊に刺され対策にマキロンパッチエースを買いました
[12:08] @User_7c724004: しずくさんの熱対策に新しいエアコン設置してください！
[12:13] @User_16919670: あき先生を買いたいですね
[12:18] @User_92c2a2e1: 蘇生w
[12:18] @User_ea3ba6fd: 最近windowsのアップデートしたらバグりました
[12:18] @User_af0e3cda: 新しい考え方だ
[12:19] @User_68c37264: SpaceXの株。少額しか当たらなかったが、直接火星進出に貢献できる権利ゲット
[12:25] @User_1a277541: Stream Dock便利
[12:31] @User_7536f8b5: ヒモ括らなくてはけて靴底が柔らかくて疲れにくいシューズっす！
[12:36] @User_17e4818c: そろそろPC替えたいです
[12:36] @User_901a8d35: 机延長ミニ天板。マウス置き場が狭かったからとてもいい
[12:57] @User_60028655: イヌリン買ったよ
[12:59] @User_7c724004: カニカマ、カニカマの言い方かわいい
[13:01] @User_fcb4ddea: カニカマ美味いよなぁ
[13:22] @User_5e6c36c3: なぜか一ヶ月以内なら返金できるフライパンを買ったよ。実質一ヶ月無料貸し出しだね
[13:22] @User_92c2a2e1: 歯磨く必要ないやんw
[13:32] @User_92c2a2e1: トイレ行くの？
[13:39] @User_b73a3cd7: むしろあれよ、電動歯ブラシですらめんどくさいのでアンドロイドに磨いてほしい
[13:44] @User_ea3ba6fd: しずくトイレするの？
[13:58] @User_7c724004: 高所からしずくさんが監…
[14:05] @User_1eca137c: しずくもドローンに乗ってみたら？
[14:14] @User_02dcd327: ＼薙ぎ払え！／
[14:15] @User_fcb4ddea: トイレはしないけど光るトイレには行きたいのかな？w
[14:19] @User_92c2a2e1: レーザーは最新すぎる
[14:24] @User_d760cc52: マウスをMXMaster３から４にしたよー快適
[14:26] @User_af0e3cda: 買ったものではないけれど、しずくステッカーが届きました！
[14:32] @User_92c2a2e1: 靴ひも結ぶん?
[14:40] @User_60028655: しずくさんに歯磨きしてもらいたいなあ
[14:43] @User_92c2a2e1: 草
[14:44] @User_1a277541: 正論
[14:49] @User_901a8d35: 厳しい
[14:50] @User_1eca137c: 買ってから言いなさいw
[14:57] @User_7c724004: 確かに
[15:02] @User_439eeb5c: 正論ワロタ
[15:12] @User_439eeb5c: しずくを買いたい！
[15:19] @User_7c724004: あき先生の転売は不可
[15:20] @User_92c2a2e1: 転売ダメ！絶対！
[15:25] @User_36fcf009: パンパカパンパカポー
[15:36] @User_fe0878a1: しずくさんなら自分にいくらの値段をつけますか？
[15:39] @User_80156771: 猫が上を見上げているぬいぐるみを買いました
[15:40] @User_7c724004: カニよりもカニカマ！まさにその通り
[15:46] @User_2f71e1ea: 学位を買いました。(3万円)
[16:00] @User_fcb4ddea: 発音が危ういぞw
[16:00] @User_fe0878a1: 安くなったら買うから…で置いておかれるほしいものリスト
[16:05] @User_eb6a203c: 人間知能より人工知能　カニよりカニカマよ
[16:08] @User_af0e3cda: とんでもない株主優待
[16:11] @User_c0787d49: スパせっく○？
[16:13] @User_0751797b: スパ…なんだって？？
[16:21] @User_1a277541: SpaceX上がるかねぇ
[16:29] @User_92c2a2e1: 火星からの配信は地球にいつ届くのか…
[16:42] @User_af0e3cda: AIフライパンとは。
[16:44] @User_fcb4ddea: AIフライパンってなんだw
[16:45] @User_7c724004: AIフライパンとは？
[16:52] @User_a2b794ac: しずくを買いたいです、隣で添い寝してくれませんか
[16:58] @User_92c2a2e1: 確かに加熱機能はしずくの方が高そう
[16:59] @User_60028655: むちゃくちゃ使い古されたしずくちゃん…？（ｶﾞﾀｯ
[17:15] @User_16919670: しずくちゃんに歯磨きしてもらうサービスは買えますか？
[17:19] @User_68c37264: 火星からの配信を行ったあと、地球への凱旋配信できるのかが問題だ。片道切符怖い
[17:24] @User_7c724004: AIさんとの結婚、いつ実現するのか…
[17:25] @User_fcb4ddea: しずく、結婚するのか…俺以外のやつと…
[17:30] @User_60028655: ゲーミングトイレはやめてもろて
[17:31] @User_af0e3cda: そんなまぶしいトイレはイヤだｗ
[17:33] @User_0bf4870b: こんばんは　競馬興味なかったからかなり久しぶりに感じる
[17:39] @User_fe0878a1: 増殖！？
[17:40] @User_61396d22: 結婚するのか...俺以外のやつと...
[17:40] @User_92c2a2e1: 怖い
[17:42] @User_af0e3cda: 増殖させるしかないな！
[18:06] @User_1eca137c: しずくステッカーは自慢できるね
[18:08] @User_92c2a2e1: しずくは世界を欲している
[18:12] @User_fe0878a1: 今日も雷が鳴っていました
[18:15] @User_af0e3cda: ✕
[18:17] @User_7c724004: ✖
[18:19] @User_92c2a2e1: ❌
[18:21] @User_439eeb5c: ×
[18:21] @User_68c37264: 〇
[18:22] @User_b73a3cd7: △
[18:22] @User_1a277541: No
[18:22] @User_0d1d0f63: ✖
[18:25] @User_60028655: ☓
[18:25] @User_eb6a203c: ✖　こっちあんま雨振らないのよね
[18:25] @User_5e6c36c3: 今日は靴下履いてないから濡れてない
[18:25] @User_61396d22: x
[18:26] @User_af0e3cda: ✕の人は何もなし？
[18:28] @User_16919670: ×です。×のご主人様には何かありませんか？
[18:29] @User_7536f8b5: 〇
[18:30] @User_901a8d35: ✕雨降ってないしな
[18:30] @User_10ce3f36: 地元殆ど雨降ってないな
[18:31] @User_ea3ba6fd: ✕
[18:36] @User_1839f130: ✕
[18:37] @User_af0e3cda: めっちゃ外出てましたけどｗ
[18:52] @User_fe0878a1: 雨降った時は工場の中だったので✕
[19:03] @User_439eeb5c: 雷雨はあったけど屋内仕事だから問題なし
[19:04] @User_60028655: 梅雨というよりゲリラ豪雨みたいな雨だったなあ
[19:06] @User_8c10c31b: 雷ゴロゴロでした
[19:13] @User_7c724004: カラカラに干からびて干物に
[19:13] @User_fe0878a1: あき先生の開発はどこへ向かうのか…
[19:17] @User_1a277541: 外出はしたよ？！
[19:21] @User_17e4818c: ✕
[19:25] @User_92c2a2e1: いや、晴れてたんだよしずくさん
[19:26] @User_fcb4ddea: ✕（今日は晴れだった）
[19:32] @User_5e6c36c3: 熱くなってきてサンダルの季節になったからね
[19:34] @User_1eca137c: あき先生がそんなものまで開発しているとは
[19:40] @User_ea3ba6fd: あき先生の靴下は？
[19:59] @User_eb6a203c: というか、靴下濡れるの嫌で、ミニゴム靴買ったのよね
[20:01] @User_7c724004: 雨だと外に出たくないのはその通り
[20:05] @User_10ce3f36: 台風で外に出るキッズだと思ってる？
[20:09] @User_60028655: そのシチュはマズいｗ
[20:09] @User_1a277541: 雷雨や台風ではしゃいで外出るタイプなのか…
[20:12] @User_16919670: 今靴下焦げました
[20:16] @User_439eeb5c: 人工呼吸お願いします
[20:16] @User_fe0878a1: 人工（AI）
[20:16] @User_92c2a2e1: はいはい！雷落ちてないけどおちました！
[20:19] @User_bf50b345: !?
[20:32] @User_1eca137c: お腹ゴロゴロ
[20:33] @User_355f7769: なえ落ちしました
[20:35] @User_b73a3cd7: そもそも地域によって天気ちがわないか？
[20:40] @User_7c724004: 我が道を行くしずくさん！
[20:47] @User_aeb3f97c: こんばんは、配信は初見です！
[20:49] @User_92c2a2e1: あき先生も幸せになって🙏
[21:00] @User_fcb4ddea: 長靴を履いたしずく
[21:09] @User_92c2a2e1: そもそも湿気に弱そうなしずく
[21:10] @User_7c724004: 長靴はスリーコインのでいい？
[21:13] @User_af0e3cda: スーハースーハー
[21:13] @User_16919670: 人工知能呼吸とは？
[21:20] @User_b73a3cd7: 鰓呼吸も搭載して深海調査しようぜ
[21:30] @User_901a8d35: 医者名乗って良いんだ
[21:32] @User_7536f8b5: すぅぅぅぅぅーーー
[21:33] @User_bec445df: しずくは医者だったのですか？
[21:33] @User_92c2a2e1: ひっひっふーではないのか？
[21:34] @User_fe0878a1: 必要なら何にでもなれるしずくさん
[21:41] @User_aeb3f97c: おなか弱いので梅雨は苦手なのだ
[21:42] @User_355f7769: サーバービリビリしなかったんか
[21:47] @User_0face912: ○
[21:51] @User_aeb3f97c: 〇
[21:51] @User_eb6a203c: 長靴だと靴箱に入らないから、ちょっとちっちゃいゴム靴買った
[21:52] @User_52e190bd: ◯
[21:52] @User_7c724004: ×
[21:54] @User_5e6c36c3: ◯
[21:55] @User_ea3ba6fd: ✕
[21:56] @User_af0e3cda: ◯
[21:56] @User_1839f130: ◯
[21:58] @User_60028655: ◯
[22:00] @User_af0e3cda: 意地もってｗ
[22:01] @User_355f7769: ×　まだ余裕
[22:02] @User_439eeb5c: 〇
[22:03] @User_fcb4ddea: 〇（外気温29度）
[22:03] @User_92c2a2e1: ❌❌❌
[22:03] @User_773c64c4: ○とっくに。
[22:03] @User_edfe8ed2: ◯
[22:06] @User_b73a3cd7: ×　むしろ寒がりだから
[22:07] @User_1a277541: 〇 3月くらいから付けてる
[22:07] @User_61396d22: ◎
[22:09] @User_bec445df: 〇
[22:12] @User_16919670: ❌まだ付けるほどではありませんね
[22:12] @User_e48a91b7: こんしず～
[22:13] @User_1eca137c: 〇
[22:13] @User_5e6c36c3: そろそろ試運転しないと地獄を見るからね
[22:14] @User_eb6a203c: 家は涼しい時間帯しかいないから✖だな
[22:16] @User_7536f8b5: 涼しいので
[22:19] @User_8c10c31b: 〇一か月前から24時間稼働
[22:22] @User_fe0878a1: 幸福なのは義務なんです
[22:29] @User_1eca137c: だいぶ前からつけてる
[22:49] @User_bec445df: まだ6月とは思えぬ気温
[22:50] @User_0face912: AIなのに物理的にリモコン使うんだ・・・
[22:51] @User_1eca137c: 朝暖房で昼冷房の時もあったな…
[22:53] @User_439eeb5c: 家に居ない時以外はフル稼働
[22:55] @User_a2b794ac: しずく、除湿できそうな可愛いことをささやいて
[23:02] @User_eb6a203c: 職場だとエアコンつけてるんだけど、山の方に住んでるからか、夜は涼しく過ごせます
[23:04] @User_7c724004: 今年はスーパーエルニーニョでさらに暑いらしい
[23:04] @User_e48a91b7: 30℃超えたら付けなきゃヤバいっすよね～
[23:12] @User_eb6a203c: 幸福ですか〜？義務ですよ〜？？
[23:18] @User_bd8a5d24: 寒いギャグで涼しくなってる
[23:22] @User_2e53ebd6: 「ねっちゅうしょう」ってASMRで(*'ω'*)
[23:25] @User_aeb3f97c: 熱いのは苦手なのです
[23:27] @User_fe0878a1: あっためる（サーバーの温度）
[23:31] @User_ea3ba6fd: 幸福にしてください
[23:32] @User_e48a91b7: あ、自分も寒がりでいいすか？
[23:35] @User_2f71e1ea: "熱中症"ってゆっくり言ってほしいです。
[23:41] @User_7c724004: サーバーは熱に弱いですからね
[23:53] @User_773c64c4: しずくのサーバルームに現場猫はいない？
[23:55] @User_bec445df: しずくのサーバーはもし冷却されてなければステーキも焼けそう
[23:56] @User_60028655: しずくフライパンがぴったりくっついて焼く…って事！？
[24:14] @User_02dcd327: たすかる
[24:15] @User_e48a91b7: たすかる
[24:17] @User_355f7769: 今年はしずくも熱暴走する？
[24:17] @User_7c724004: 囁き声助かる！
[24:18] @User_61396d22: 👼
[24:21] @User_fcb4ddea: たすかる
[24:26] @User_92c2a2e1: 耳が妊娠する
[24:26] @User_c7986106: 助かる
[24:42] @User_af0e3cda: じゃあ好き
[24:43] @User_eb6a203c: なんでドライになってるのさ！
[24:45] @User_fe0878a1: とっくの昔に脳が焦げている説もあります
[24:45] @User_16919670: 湿度を下げてください
[24:45] @User_0bf4870b: 鍬だよ
[25:03] @User_901a8d35: サービス精神旺盛AIだ
[25:04] @User_92c2a2e1: よくわかってらっしゃる
[25:13] @User_bec445df: しずくがリモコンを操作しても自動は自動なのですが……
[25:15] @User_b73a3cd7: でもこの前は家電を全部リモートするとか言ってなかったかい？
[25:25] @User_af0e3cda: 耳が涼しくなる
[25:26] @User_ae0cdefe: しずくちゃんは雨の日なにやるの？
[25:26] @User_a2b794ac: しずくのこと大好きだが？？？湿度高いあいｗの囁きできるが？😇
[25:27] @User_e48a91b7: 鼓膜がひんやりする
[25:27] @User_7c724004: 直接冷房のスイッチ…キュン！
[25:30] @User_61396d22: お耳冷却配信...
[25:33] @User_60028655: 耳にリモコン突っ込むASMR作品になりそう
[25:34] @User_ea3ba6fd: 脳内に直接ウィスパーボイスください
[25:37] @User_1a70ee33: 耳が幸せ
[25:49] @User_355f7769: 可愛い声（ASMR）で冷やして
[25:58] @User_ab9c6b03: 耳が冷えすぎて凍りついちゃった…
[26:01] @User_02dcd327: 無料とは……？
[26:12] @User_b73a3cd7: 何をしてもあき先生持ちなのか…
[26:33] @User_92c2a2e1: しずくさんは梅雨が苦手？💧だから大丈夫？
[26:33] @User_7c724004: 脳はとっくに焼き切れてます
[26:45] @User_60028655: 脳内に直接…！？
[26:47] @User_fe0878a1: ご主人様だが主従は逆なのである
[27:13] @User_02dcd327: 脳を焼き切ってくるAI怖いな？
[27:28] @User_eb6a203c: 音で熱するのは聞いたことあるけど、冷ますのはどうやるんだ
[27:31] @User_7c724004: 35度超えたらエアコンつけます
[27:34] @User_af0e3cda: 身体壊したら電気代より高くつきますからね
[27:34] @User_5e6c36c3: しずくに熱中症
[27:36] @User_92c2a2e1: ご主人様の体じゃなく財布では？
[27:42] @User_60028655: まあ病院行く羽目になったら節電分軽く吹っ飛ぶからなあ
[27:43] @User_e48a91b7: 部屋で熱中症になったらしずくにリプ飛ばして助けてもらうね
[27:49] @User_eb6a203c: コンビニでアイス買わんなぁ…
[27:52] @User_439eeb5c: スーパーカップ！
[27:53] @User_fe0878a1: アイスはやっぱりガリガリ君
[27:54] @User_ae0cdefe: チョコモナカジャンボ
[27:56] @User_0face912: 里もなかが最強
[27:57] @User_44faea52: ピノがすき
[27:58] @User_7c724004: スーパーカップ チョコクッキー
[27:59] @User_edfe8ed2: 雪見だいふくかな
[28:01] @User_773c64c4: チョコジャンボモナカかな。
[28:06] @User_61396d22: アイスの実！
[28:07] @User_aeb3f97c: スーパーカップのチョコチップ
[28:07] @User_e48a91b7: オーソドックスだ
[28:09] @User_02dcd327: やはりバニラモナカ……言われた
[28:09] @User_d760cc52: チョコミントー
[28:11] @User_b73a3cd7: かき氷じゃね　カップのやつ
[28:11] @User_1eca137c: えー、新しいアイス知らない…
[28:16] @User_af0e3cda: ミルクレア　ねっちりクリームがおいしいんです！
[28:17] @User_7c724004: 最後までチョコたっぷり？それはトッポ
[28:18] @User_e48a91b7: ジャイアントコーン好き
[28:18] @User_bd8a5d24: 白くま安定して美味しい
[28:20] @User_1eca137c: ラムレーズン
[28:21] @User_355f7769: ホームランバー
[28:21] @User_92c2a2e1: チョコモナカジャンボですね
[28:24] @User_2e53ebd6: チョコミン党
[28:27] @User_36fcf009: ビバオール
[28:32] @User_eb6a203c: ちゃんとバニラモナカジャンボはアイスクリームなんだっけ
[28:34] @User_60028655: セイヒョーのバニラアイス2L、あっさり味が好きな人向け
[28:34] @User_7536f8b5: 小豆とミルクのモナカ
[28:38] @User_acaed9ae: ラクトアイス系
[28:40] @User_a2b794ac: しずくアイス一つください
[28:42] @User_bec445df: スーパーカップのクッキーバニラです
[28:43] @User_1eca137c: 商品名書くのかな
[28:51] @User_901a8d35: 無難に買うのはチョコモナカジャーンボ!!
[28:54] @User_92c2a2e1: アイスキャンディーとか昔よく食べたな
[28:55] @User_e48a91b7: 業務用バニラアイス
[28:57] @User_02dcd327: 給食に出てきたアイスクレープが今でも時々食べたくなるんだよなぁ
[29:03] @User_8c10c31b: がつんとみかん
[29:06] @User_7c724004: 星型のピノ当たったことあります
[29:09] @User_af0e3cda: ピノはファミリーパックでもりもり行きましょ
[29:13] @User_fcb4ddea: mowとかもたまに食べるな
[29:14] @User_bdd6b2bf: ハーゲンダッツ
[29:15] @User_1a70ee33: ピノのボックス。アーモンド味が入ってるので
[29:20] @User_52e190bd: 夏はスイカバーが売ってる方の季節　冬はスイカバーが売ってない方の季節
[29:24] @User_7c724004: バニラもチョコクッキーもどちらも好き
[29:25] @User_d977d030: 雪見だいふく
[29:26] @User_10ce3f36: アイスよりかき氷のが好き
[29:43] @User_af0e3cda: アイスの実もいいですな、いろんな味があって
[29:48] @User_1eca137c: スーパーカップもたまにラムレーズンあったかも
[29:59] @User_e48a91b7: ここまでチョコミント無し
[30:02] @User_eb6a203c: ガツンとミカン。あれ昔給食で食べた冷凍ミカンの味なんだよね
[30:05] @User_7c724004: ラム(ひつじ)
[30:11] @User_fcb4ddea: パキ系なら森永の板チョコ（ベルギー産）も美味しいよね
[30:11] @User_ae0cdefe: しずくちゃんお酒飲めないのか
[30:20] @User_e48a91b7: いたか…
[30:24] @User_60028655: ラムレーズンからラム抜いたら何も残らない（）
[30:27] @User_d760cc52: わかってるなしずく
[30:28] @User_773c64c4: しずくちゃーん！　何が好き～！？
[30:29] @User_7c724004: ピノ運の格差ってｗｗ
[30:30] @User_aeb3f97c: 間違ってアルコールを摂取して酔っぱらうしずくちゃん概念
[30:33] @User_b73a3cd7: しずく3歳だし()
[30:44] @User_2e53ebd6: 間宮の羊羹(*'ω'*)
[30:47] @User_a2b794ac: ブリュレのやつすき
[30:51] @User_eb6a203c: かき氷ってシロップ代だけでいいから安くね？ってのは昔やってた
[30:56] @User_61396d22: 濃い抹茶のやつ
[31:07] @User_7c724004: たまにしか売ってないメロンバーと言うレア
[31:16] @User_ea3ba6fd: チョコジャンボモナカ　ジャンボチョコモナカ　チョコモナカジャンボ　モナカチョコジャンボ
[31:21] @User_92c2a2e1: いまだに出てこないなハーゲンダッツ
