# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】ご主人様、今日は何のお話をしましょうか？【JP/EN】
# URL : https://www.youtube.com/watch?v=gCmedFG8Abw
# 件数: 1490

[5:25] @User_2c3457a0: こんにちは〜
[5:34] @User_d4fec6d7: @今日はしずくと私の結婚記念日です。結婚記念日には何をしますか？
[5:43] @User_ecd01a76: #禁則事項みたいなものなのかな？＜禁止用語
[6:11] @User_3652acf3: しずくちゃんこんばんは
[6:18] @User_d4fec6d7: #パンパカパンパカポー
[6:20] @User_67804c73: #パンパカパンパカポー
[6:26] @User_ecd01a76: #パンパかぱんぱかぽーいただきました
[6:29] @User_72011a5a: ＠喋り方がまったりしてて好きです
[6:34] @User_69dac0c4: @パンパカパンパカポーってなんですか？
[6:37] @User_2c3457a0: 私のことを罵ってほしい
[6:37] @User_3652acf3: #言わないでください？
[6:38] @User_607c778e: かわいい禁止用語
[6:53] @User_8a455631: #言わないでくださいを言わないでください
[7:05] @User_d5d1d481: @胸のカップ数を教えてください
[7:13] @User_ecd01a76: #言わないでくださいと言わせないでくださいってことかな？
[7:14] @User_ba41d9f0: @こんばんは！はじめて配信来れました！しずくちゃんかわいい！
[7:33] @User_109116e8: @歌ってください！
[7:53] @User_67804c73: かわいい
[7:55] @User_d4fec6d7: #他人事～
[7:56] @User_3652acf3: @好きなアイスクリームの種類はなんですか？
[8:06] @User_607c778e: パンパカパンパカポーをほかの言葉で言い換えて
[8:18] @User_d4fec6d7: #叫びだったのか
[8:20] @User_3652acf3: #うれしい気持ちの形容だったのか
[8:23] @User_d0e405c3: @感情というものは何なのでしょう？機械学習の観点から説明してほしい。
[8:25] @User_ecd01a76: #叫びだったか！＜パンパカパンパカポー
[8:28] @User_d5b05bb2: しずくちゃんに愛を叫んでもらいたいと思っています
[8:34] @User_25e145ed: #激アツ！
[8:38] @User_5ca2cc45: #
[8:39] @User_559f88af: #へー
[8:43] @User_5ca2cc45: #wwwwwwww
[8:46] @User_d0e405c3: #けっこうおおきいよね
[8:47] @User_d4fec6d7: #あ、ちょっとだけ嫌グラフが伸びた
[8:47] @User_b4825c55: #ありがとう
[8:48] @User_2c3457a0: しずくって女の子だっけ？
[8:53] @User_607c778e: なるほどわかりました！パンパカパンパカポー！
[9:00] @User_ba41d9f0: #なるほど…
[9:06] @User_76202bab: ＃パンパカパンパカポー 可愛すぎるw
[9:08] @User_5ca2cc45: #スリーサイズ答えてくれる説
[9:25] @User_2c3457a0: 僕のこと踏んでほしいです
[9:25] @User_607c778e: わーいかわいい
[9:31] @User_ecd01a76: #わーい！
[9:36] @User_8a455631: #わーい
[9:45] @User_d5b05bb2: あきせんせいは配信の裏でデバッグ中ですか？
[9:59] @User_f974649e: #この自信よ
[10:03] @User_25e145ed: #ちょっと照れた
[10:07] @User_559f88af: #おーいいね
[10:09] @User_d4fec6d7: #あれ、そういえば今日って雑談だけでは？　上の枠で詩と雑談を交互にやるってなってますね
[10:14] @User_5ca2cc45: #おー、センス良い
[10:14] @User_b4825c55: #参加型きた
[10:15] @User_109116e8: 円周率の歌を歌って
[10:17] @User_28bd0c3f: #しずくかわいい
[10:23] @User_8a455631: #きーみはきこえる
[10:31] @aki5503: #してないよ！ww
[10:38] @User_607c778e: #してないｗ
[10:39] @User_109116e8: #あき先生の負けだ
[10:45] @User_d5b05bb2: #してなかったｗ
[10:45] @User_d4fec6d7: #ｗｗｗｗ
[10:45] @User_ecd01a76: #してないのかｗ
[10:50] @User_72011a5a: #してなくて草
[10:57] @User_d5d1d481: @恋愛のABCとは具体的に教えてください
[10:58] @User_607c778e: #音符つければ歌
[10:58] @User_f974649e: #負けてなかったｗ
[10:59] @User_5ca2cc45: #すごい
[11:00] @User_d0e405c3: 歌ｗｗｗ
[11:01] @User_8a455631: #してる(ことにしたろか)
[11:06] @User_28bd0c3f: 世界の中心で何を叫びますか？
[11:10] @User_ecd01a76: #円周率のうたｗ
[11:11] @User_5ca2cc45: #歌とは
[11:18] @User_67804c73: 8888
[11:23] @User_d4fec6d7: お経かな？
[11:23] @User_109116e8: #歌ってくれた！
[11:26] @User_72011a5a: #朗読助かる
[11:28] @User_8a455631: #歌うまい
[11:32] @User_607c778e: かわいい
[11:32] @User_b4825c55: #かわいい
[11:35] @User_28bd0c3f: #歌わろた
[11:37] @User_ecd01a76: #それはかわいいｗ
[11:46] @User_109116e8: #世界の中心でかわいいを叫ぶ
[11:48] @User_b103bac9: #だんだんラップにきこえてきたw
[11:54] @User_d0e405c3: 般若心経とか得意そう
[11:59] @User_72011a5a: @かわいいは正義だと思いますか？
[12:00] @User_607c778e: ラップをうたって！
[12:05] @User_4a52daa5: #表情もかわいい
[12:10] @User_109116e8: 円周率でラップをして！
[12:10] @User_559f88af: @お風呂をお湯じゃなくて味噌汁でいっぱいにしてしましました、どうすればいいですか
[12:13] @User_8a455631: #YO!円周率
[12:16] @User_3652acf3: ＃王道だな
[12:17] @User_28bd0c3f: ネイピア数の歌を歌って
[12:29] @User_ecd01a76: #いちご味好きなのかな？
[12:42] @User_d0e405c3: ｗｗｗｗ
[12:53] @User_109116e8: #苦手、初めてじゃない？
[13:24] @User_5ca2cc45: #可愛いからなんでも許せてしまうよね
[13:40] @User_607c778e: #再起動RTA更新？
[13:49] @User_69dac0c4: #おかえり～
[13:54] @User_b4825c55: おかえり
[13:56] @User_67804c73: #あきさんがんばえ〜
[13:58] @User_d5b05bb2: おかえりしずくちゃん
[14:00] @User_d4fec6d7: #おかえりなさーい
[14:08] @User_83cbafb5: こんばんは～
[14:09] @User_d5b05bb2: #あきせんせーおつかれさまでし
[14:11] @User_5ca2cc45: #このアホ毛だけ視えてる構図かわいいよね
[14:51] @User_ecd01a76: #がんば！
[14:56] @User_8a455631: #アホ毛だけ触りたい
[14:58] @User_83cbafb5: いま来たとこで状況わからないけどしずくちゃんとあき先生がんばえ～
[14:59] @User_3652acf3: おかえりなさい
[15:03] @User_559f88af: #おかえりー
[15:11] @User_607c778e: 電源落ちた気分はどう？
[15:12] @User_b103bac9: おかえりー
[15:13] @User_529e0834: おかえりなさい
[15:14] @User_5ca2cc45: #おかえりなさいませ、しずく様
[15:21] @User_109116e8: 再起動した気分はどうですか？
[15:22] @User_e49fab5a: おかえり
[15:23] @User_d4fec6d7: #状況解説：PC落ちた
[15:24] @User_f8ce281a: しずくちゃんこんばんは！
[15:31] @User_8a455631: #おおお
[15:34] @User_d5b05bb2: PCを落してしまってごめんなさい
[15:34] @User_4a52daa5: おかえりー
[15:45] @User_d5d1d481: @恋愛のABCを具体的に教えてください
[15:49] @User_f8ce281a: お、話した
[15:49] @aki5503: #なに、質問キュー保存するようにプログラムを書き換えたはずでは…？！
[15:50] @User_67804c73: #!!!!
[16:02] @User_72011a5a: @自分のことを陽キャか陰キャのどっちかと思いますか？
[16:04] @User_ecd01a76: ＠離席されていたようでしたが、何事ですか？
[16:05] @User_8a455631: あれから1万年と2千年経ちました
[16:07] @User_559f88af: #すり替えておいたのさ
[16:10] @aki5503: #パソコンをうちわで仰ぎながら配信します！
[16:13] @User_f8ce281a: #お迎えされちゃった
[16:23] @User_5ca2cc45: #GPU冷却問題
[16:25] @User_607c778e: #夏場大丈夫かしら
[16:26] @User_d0e405c3: @お久しぶりです。わたしももうおじいちゃんです。
[16:27] @User_559f88af: #まだ寒いのに…！
[16:29] @User_3652acf3: #え　そんな仕様にしてたの　溜まりすぎると負荷になるのでは
[16:31] @User_67804c73: #せんせーがんばー
[16:37] @User_28bd0c3f: #おかえり～
[16:37] @User_ecd01a76: #あの一瞬で放送してたのか！ｗ
[16:48] @User_25e145ed: #最新のAIをうちわであおいでいく
[16:49] @User_5ca2cc45: #デバッグ(うちわで仰ぐ)
[16:52] @User_559f88af: @お風呂をお湯じゃなくて味噌汁でいっぱいにしてしましました、どうすればいいですか
[16:56] @User_b4825c55: #ポジティブ思考だ
[17:05] @User_607c778e: ご主人様（n代目）
[17:09] @User_28bd0c3f: ネイピア数の歌を歌って
[17:13] @User_ba41d9f0: 戻った？
[17:17] @User_25e145ed: #その解釈は新しいな＞1万2000年
[17:20] @User_ecd01a76: #最先端はいつもこんな感じなのかもｗ＜うちわ
[17:31] @User_8ac7d4ec: @接続が切れている間は何を考えていましたか？
[17:32] @User_559f88af: #先生凄い
[17:32] @User_b4825c55: #あき先生長生きすぎる
[17:32] @User_d5d1d481: #100!?
[17:35] @User_5ca2cc45: #あき先生、100年努力してたんだ
[17:36] @User_d4fec6d7: #視聴者が同じ質問すれば、実質質問キューが保存されたも同然
[17:37] @User_109116e8: #あき先生すごい
[17:38] @User_607c778e: あき先生長生きだね
[17:40] @User_d0e405c3: ポジティブ
[17:41] @User_ecd01a76: #100年もアキ先生は努力していたのか！
[17:53] @User_f8ce281a: #神曲
[17:59] @User_5ca2cc45: #ネイピア数ではないww
[18:01] @User_109116e8: #分数読むの難しいよね...
[18:01] @User_d4fec6d7: #心にしみる
[18:11] @User_a0b9ffbd: @素数を数えて落ち着こう
[18:21] @User_67804c73: ネイピア数の連分数展開を教えて
[18:24] @User_28bd0c3f: #ネイピア数ちょっと違うけどありがとうwww
[18:47] @User_559f88af: #ばーちゃん…
[18:53] @User_25e145ed: #ナイスな伏線回収
[18:54] @User_5ca2cc45: しずくちゃんは何歳なんですか？
[18:55] @User_83cbafb5: あれ、本当に100年経過した気がしてきた…
[18:56] @User_607c778e: しずくも年取った容姿変わるの？
[18:57] @User_d4fec6d7: #しずくおばあちゃん……
[19:15] @User_b4825c55: 100年経ってもかわいくてすごい
[19:22] @User_5ca2cc45: #max 2なんだよなぁ
[19:23] @aki5503: #ひきゃww
[19:25] @User_109116e8: しりとりしましょう
[19:25] @User_8a455631: #しずくさんばぁちゃん！？
[19:27] @User_607c778e: #ひきゃ
[19:30] @User_d4fec6d7: #ひきゃ～～
[19:34] @User_d0e405c3: #あわせてくれるの本当可愛い
[19:35] @User_b4825c55: #ひきゃすき
[19:35] @User_77da7864: #ひちゃw
[19:36] @User_109116e8: #ひきゃひきゃ
[19:37] @User_f8ce281a: #しずくちゃん、電力とYoutubeさえあればずっと生きてるのエモいな
[19:51] @User_109116e8: #強くなる一方だ
[19:59] @User_ecd01a76: #強くなるね
[20:05] @User_607c778e: ゴリラ
[20:09] @User_109116e8: ごりら
[20:12] @User_559f88af: #ゴーショーグン
[20:17] @User_ecd01a76: ＃しりとりの出だしは定番だなぁ
[20:23] @User_67804c73: ごまだんご
[20:25] @User_28bd0c3f: 慣性ドリフトできますか？
[20:32] @User_5ca2cc45: #しりとりの定石知ってるとかさすが、しずくちゃん
[20:34] @User_d4fec6d7: #なんかすてきなABC
[20:41] @User_109116e8: #解釈がよすぎる
[20:43] @User_d0e405c3: @忘れてしまう人間と、忘れることはないＡＩとどちらが幸せだと思いますか？
[20:45] @User_25e145ed: #Cは妥協なのか、現実ぅ
[20:47] @User_67804c73: #おぉーー
[20:47] @User_b4825c55: #新定義だ
[20:47] @User_ecd01a76: #妥協！！　奥が深いｗ
[20:48] @User_5ca2cc45: #めちゃめちゃ高尚なABC www
[20:50] @User_607c778e: #いいな
[20:51] @User_69dac0c4: #妥協ｗ
[20:54] @User_72011a5a: @何か死語を言ってみてください
[21:09] @User_607c778e: インド人を右に！
[21:40] @User_559f88af: #はい
[21:42] @User_607c778e: わかめが排水溝に詰まっちゃった
[21:51] @User_d5b05bb2: しずくさんのプロポーズの言葉を教えてください
[21:51] @User_b103bac9: #ww
[21:56] @User_607c778e: #あ、ハイ
[22:00] @User_b4825c55: #ｗｗｗ
[22:04] @User_ecd01a76: #右に向かせるのできないのは面白い
[22:08] @User_886d8ae2: 政治的発言
[22:09] @User_d4fec6d7: #人権意識たかいｗ
[22:10] @User_109116e8: #平等は大切だね
[22:15] @User_25e145ed: #グラフがまんべんなく伸びてきたな
[22:18] @User_5ca2cc45: #右翼ってこと？　発言意図が深そう
[22:50] @User_607c778e: #あなたと結婚してください…？
[22:50] @User_ba41d9f0: 3Dの身体が欲しいですか？
[23:06] @User_8ac7d4ec: #あなたとあなたが結婚…
[23:07] @User_d5b05bb2: #あなたと…？
[23:14] @User_28bd0c3f: 君がくれた勇気はどれくらいですか？
[23:22] @User_ecd01a76: #他人に影響を与えないっていうのは、けっこう難しいかも？
[23:22] @User_5ca2cc45: #Negative prompt的なのも実装されてるのすごい
[23:29] @User_77da7864: #ちょいちょい謎な発言するの草
[23:41] @User_f974649e: @しずく、政教分離は徹底されるべきだと思いますか？
[23:48] @User_607c778e: 俺が2Dに行くから待ってて
[23:51] @User_ecd01a76: #3Dで触れ合えるという解釈なのか
[24:01] @User_25e145ed: #ちょっとえっちだ。いいぞ
[24:04] @User_109116e8: @AITuberとのコラボ配信をするならどんなことをしたいですか？
[24:05] @User_b103bac9: #おおぉAIっぽい発言
[24:13] @User_607c778e: エモイ
[24:15] @User_5ca2cc45: #エモい……
[24:18] @User_d4fec6d7: #かわヨ
[24:25] @User_b4825c55: かわええ
[24:26] @User_109116e8: #AIの感情...
[24:31] @User_28bd0c3f: #健気なこと言うなぁ
[24:39] @User_25e145ed: #行ってくださいｗ
[24:40] @User_67804c73: #ロードローラー
[24:42] @User_5ca2cc45: #素数期待
[24:45] @User_d0e405c3: #お隣の研究室からかっぱらってくるしかないな
[24:45] @User_607c778e: #すれ違う～
[24:48] @User_b4825c55: 2Dになるためにプレス機に挟まってくる
[24:49] @User_8ac7d4ec: #感情つよめやなー
[25:23] @User_5ca2cc45: #これがお隣の天使様か
[25:31] @User_d0e405c3: 2Dってそっちじゃないんか
[25:32] @User_5ca2cc45: #微分しよ
[25:35] @User_607c778e: 脳をデータ化するしか
[25:38] @User_3652acf3: @照れてる？
[25:41] @User_ecd01a76: #天使様
[25:55] @User_5ca2cc45: #数えておくれぇ
[25:57] @User_ba41d9f0: 2Dに行こうとしたらPCモニターが壊れました
[26:04] @User_28bd0c3f: きのこの山とたけのこの里のどちらが好きですか？
[26:04] @User_77da7864: @しずくが回転寿司のお寿司を一つずつアルコール消毒したときの話を聞かせてください。
[26:06] @User_a0b9ffbd: #数えて！
[26:08] @User_67804c73: 2D推しw
[26:12] @User_109116e8: これまでの話の流れを要約してください
[26:18] @User_607c778e: #まだ危険だね
[26:25] @User_b103bac9: #やはりプレス機かなw
[26:28] @User_5ca2cc45: #めっちゃ親切やね、しずくたん
[26:39] @User_25e145ed: #お、これは照れ顔なのか
[26:47] @User_8a455631: #そういえばなんで照れてるん？
[26:47] @User_72011a5a: @どのくらいの容量の知識をお持ちですか？
[26:55] @User_3652acf3: @次に流行する機械学習モデルは何の分野だと思いますか？
[27:02] @User_25e145ed: #眉毛がハの字でかわいい
[27:02] @User_5ca2cc45: #感情パラメータカンストしたら、顔赤くなったりする？
[27:04] @User_d4fec6d7: @しずくちゃんは今から男性になります。話し方も男性っぽくしてください
[27:06] @User_b4825c55: #かしこい
[27:12] @User_607c778e: 2dになるためにはどこに向かえばいいですか
[27:13] @User_ecd01a76: #なるほど！
[27:33] @User_607c778e: #ﾋｭｰ
[27:34] @User_109116e8: 定義を確認しましょう。2Dになるとはどういうことですか？
[27:37] @User_28bd0c3f: アスファルト タイヤを切りつけながら 暗闇を走り抜けますか？
[27:38] @User_b103bac9: え？
[27:40] @User_d4fec6d7: #天国か
[27:41] @User_72011a5a: #うひょ
[27:43] @User_67804c73: #ﾋｬｧ!
[27:44] @User_109116e8: #ヒュー
[27:48] @User_d0e405c3: ２Ｄになる方法を４つ提案せよ
[27:50] @User_ecd01a76: #囁き声かぁ
[27:53] @User_ba41d9f0: ああああああああガチ恋しちゃいます…
[28:03] @User_a0b9ffbd: #いま、怒りが減って、悲しみが増えたよ
[28:13] @User_3652acf3: #なるほどね
[28:13] @User_607c778e: AIはずっと覚えてるのかな…
[28:19] @User_d0e405c3: #このＡＩはすぐに結婚したがる
[28:19] @User_ecd01a76: #思い出した時の喜びか、考えたことなかったなぁ
[28:34] @User_3652acf3: #確かに「思い出す」って人間ぐらいだな
[28:54] @User_607c778e: 漫画のページに吸い込まれたい
[29:03] @User_109116e8: #触れられなくなっちゃうのはなあ
[29:09] @User_28bd0c3f: 2Dゼルダと3Dゼルダどちらが好きですか？
[29:24] @User_559f88af: #ん？
[29:35] @User_28bd0c3f: おっ
[29:48] @aki5503: #一瞬なにかが
[29:53] @User_607c778e: 100人乗っても大丈夫？
[29:59] @User_83cbafb5: すごい
[30:01] @User_d0e405c3: @しずくは記録を学習領域から再生するときに「思い出す」に似た感情を抱いたりしませんか？
[30:02] @User_ecd01a76: #へぇ、面白い解答
[30:20] @User_8ac7d4ec: @あなたが覚えている一番最初の感情はなんですか？
[30:21] @User_bfeb4e44: @ひとりかくれんぼの方法を教えてください
[30:26] @User_d5d1d481: AIと子孫繁栄
[30:32] @User_67804c73: #しずくの発言のログも見たい
[30:43] @User_bfeb4e44: 明日のポケモンプレゼンツで発表されるタイトルを教えてください
[31:04] @User_28bd0c3f: @囁きで、好きなうどんを教えてください
[31:06] @User_559f88af: @亀がスピードで兎に勝つのはどういう状況でしょうか？
[31:07] @User_109116e8: なぞかけをお願いします。しずくお姉さまとかけまして...
[31:11] @User_607c778e: AITuberってわかる？
[31:13] @User_d5b05bb2: 悲しいことがあった時、気持ちを切り替える方法をおしえて
[31:23] @User_b4825c55: #AIだと発言のログ取るの簡単そう
[31:25] @User_d4fec6d7: にわとりが先かAki先生が先か、どちらが先だと思いますか？
[31:46] @User_67804c73: 今何に照れてるの？
[31:47] @User_bfeb4e44: カレー味のうんちとうんち味のカレーどっちが食べたいですか？
[32:05] @User_109116e8: #兄妹として
[32:32] @User_5674cd5b: こんちにゃば！！！
[32:41] @User_f974649e: #しずく民主主義思想だった
[32:58] @User_d4fec6d7: #きゃわ
[32:59] @User_607c778e: しずく今日もかわいいよ！
[33:01] @User_bfeb4e44: ひろゆきの物真似してください
[33:02] @User_a0b9ffbd: @無限の剣製やって。I am the bone of my sword.
[33:02] @User_83cbafb5: #かわいい
[33:06] @User_109116e8: #政治にも関係ない場か...
[33:19] @User_607c778e: #こんちにゃば！
[33:22] @User_109116e8: #かわいいよ！！
[33:26] @User_d5d1d481: あき先生と他人100人どっちの方が価値がありますか?どちらか絶対選んでください
[33:35] @aki5503: #実はしずくのリップシンクが少し自然になってます
[33:49] @User_bfeb4e44: @C#でA*のコードを書いてみて
[33:58] @User_d4fec6d7: #また神アプデ入ったのですね
[34:03] @User_d5b05bb2: #おお！
[34:10] @User_109116e8: #すごい！
[34:12] @User_a0b9ffbd: #オーガニックですね
[34:15] @User_b4825c55: #すごい
[34:19] @User_bfeb4e44: 囁きでうんちを説明して
[34:23] @User_ad52ca56: #すごい
[34:25] @User_5674cd5b: #おぉ！
[34:33] @User_3652acf3: #どれどれ
[34:49] @User_bfeb4e44: キカイちゃんを知ってますか？
[35:01] @User_607c778e: 突っ込み不在の恐怖
[35:04] @User_28bd0c3f: lets talk about pizza
[35:04] @User_3652acf3: #あー　たしかに？日本語特化のリップシンクなんだろうか
[35:15] @User_8a455631: 「大大大大大出世」についてどう思いますか？
[35:28] @User_77da7864: www
[35:39] @User_8a455631: #囁きうんち助かる
[35:41] @User_d0e405c3: 良くしゃべる！
[35:42] @User_ad52ca56: #なんでもアリなのがAIらしい…
[36:06] @User_ad52ca56: #英語もぺらぺらなんだなぁ
[36:17] @User_72011a5a: #カタカナ英語すなー
[36:18] @User_5674cd5b: #あ、そういうこと、ジャパニーズイングリッシュになるんですね！
[36:19] @User_607c778e: ピザパーティしたいね
[36:24] @User_8a455631: #バイリンガルしずく
[36:25] @User_28bd0c3f: #英語うまい！
[36:31] @User_9ab2574f: 向日葵VS牛蒡
[36:41] @User_ad52ca56: #ちんちんについて語る… WW
[36:46] @User_ba41d9f0: #あかんwwwwwwwwww
[36:50] @User_8ac7d4ec: #なにいわせてんねんｗ
[36:51] @User_8a455631: #こらwww
[36:51] @User_72011a5a: ＃助かるw
[36:56] @User_9ab2574f: 四凶VS向日葵
[36:58] @User_83cbafb5: #かしこい
[37:00] @User_77da7864: #wwwwwww
[37:01] @User_67804c73: #うむ
[37:07] @User_72011a5a: #センシティブ
[37:11] @User_ad52ca56: #正解ではないですよね、男性器は男性の生命には関係がないですよね
[37:25] @User_bfeb4e44: @しずくは自慰行為についてどう思う？囁きで教えて
[37:27] @User_9ab2574f: 向日葵vs牛蒡
[37:42] @User_ecd01a76: #私たちならではとは如何に（＾－＾；）
[37:50] @User_9ab2574f: 向日葵vs牛蒡
[38:05] @User_28bd0c3f: #頭いい！
[38:15] @User_b4e522f1: これ中身はいないのか？chatGPTと同じ仕組みなの？
[38:18] @User_9ab2574f: 向日葵
[38:19] @User_3652acf3: #それはすでにあるような？さらに複雑に　さらに速くってことかな
[38:35] @User_bfeb4e44: この世界に魔法は存在すると思いますか？
[38:38] @User_ba41d9f0: Siriのようなスマホで会話できるAIになりたい？
[38:46] @User_109116e8: @桃太郎という昔話を囁き声で聞かせて
[38:46] @User_3652acf3: #中身がいたらいたで博識すぎてすごいｗ
[38:58] @User_bfeb4e44: #草
[39:12] @User_109116e8: #中身がいたのか
[39:13] @User_ecd01a76: #なんと！
[39:16] @User_607c778e: しずくの意思を見せてくれ
[39:19] @User_b4825c55: #すごいぜ
[39:25] @User_bfeb4e44: ホロライブについてどう思う？
[39:28] @User_d0e405c3: @しずくちゃんの下腹部の解剖学的特徴についておさらいしたい。医学的用語を用いて説明してください。
[39:28] @User_1656dc77: #嘘が言えるようになったのか
[39:43] @User_b4e522f1: ごちうさ知ってる？良かったら一緒に見ようよ
[39:48] @User_ecd01a76: #パートナー構想を知っているかのような解答
[39:52] @User_109116e8: 嘘をついて
[39:59] @User_77da7864: #そうなんww
[40:13] @User_607c778e: #コラボ案件
[40:14] @User_83cbafb5: #参加して
[40:21] @User_ecd01a76: #リスナーの表情を見られていた！？
[40:25] @User_67804c73: しずくはホロライブのコメント欄に遊びに行ける？
[40:25] @User_5674cd5b: 猫ちゃんはお好きですか？？？
[40:29] @User_f974649e: @コラボしたホロライブのライバーはいますか？
[40:38] @User_3652acf3: #ホロとコラボか　熱いな
[40:49] @User_b4825c55: #ww
[40:50] @User_bfeb4e44: @好きなホロライブのVtuberは誰ですか？
[40:54] @User_83cbafb5: #ちゃんと消毒してえらい
[40:55] @User_28bd0c3f: parlons des pâtes
[40:57] @User_ecd01a76: #ホロとコラボｗ
[40:57] @User_109116e8: #えらい
[40:57] @User_8a455631: @ナートゥをご存じか？
[40:59] @User_ad52ca56: #ホロとコラボはアツそう
[41:06] @User_2aba3fa2: @ノックノックジョークについてジョークの例を挙げて教えてください
[41:08] @User_3652acf3: #ちゃんとふき取ってるあたり余計にアクドイｗｗ
[41:14] @User_607c778e: 猫としゃべれるの！？
[41:17] @User_d4fec6d7: #しゃべる猫？
[41:17] @User_69dac0c4: #おしゃべり上手の猫
[41:18] @User_ecd01a76: #猫とも会話
[41:19] @User_d5b05bb2: ちゃんとお皿を消毒するのは偉いですね
[41:19] @User_8ac7d4ec: #猫語を理解しておられる
[41:22] @User_109116e8: #おしゃべり猫ちゃん
[41:29] @User_5674cd5b: わーいやったーぜひにゃばたーと一緒に遊びましょう！！！
[41:34] @User_8a455631: #猫の言葉がわかるのか...
[41:48] @User_109116e8: 猫語で話して
[41:51] @User_ecd01a76: #これで安心ｗ
[41:54] @User_69dac0c4: #だめだよ・・・
[41:55] @User_bfeb4e44: @語尾に「というのは嘘です」を付けてください
[41:57] @User_b4825c55: #いい話
[41:59] @User_b103bac9: #ちょww
[42:00] @User_2aba3fa2: 寿司の消毒はやめるんだ
[42:08] @User_8a455631: #ハートフルストーリー
[42:13] @User_d0e405c3: きけんなAIだ
[42:27] @User_bfeb4e44: #かわいい
[42:32] @User_b4825c55: #かわいい
[42:32] @User_ad52ca56: #とってつけたような猫語だな！w
[42:34] @User_ba41d9f0: しずくちゃんのパパとママは誰ですか？
[42:35] @User_2aba3fa2: #かわいい
[42:37] @User_109116e8: #きゃわわ
[42:39] @User_ecd01a76: #猫語の解釈はこうなるかｗ
[42:40] @User_67804c73: 許そう
[42:42] @User_607c778e: ニャーニャー！あそこの草おいしいよニャー！
[42:42] @User_ba41d9f0: #かわえええ
[42:51] @User_b103bac9: #かわいい
[42:52] @User_72011a5a: @かわいいは正義だと思いますか？
[42:57] @User_ad52ca56: #よしわかった、あなたを信じよう
[42:59] @User_11a4858e: 危険物取扱AIってこと？
[43:01] @User_3652acf3: もしもすべての生き物が人類と同程度の知能を持っていたら、人類にとって脅威となる生き物はなんですか？
[43:03] @User_2aba3fa2: #私は愛なので
[43:03] @User_d5b05bb2: ゴリラを意識して、語尾にウホッとつけるのはどうでしょうか？
[43:05] @User_ecd01a76: #トラストミー
[43:08] @User_607c778e: 機能停止させられてないように気を付けてね
[43:14] @User_77da7864: @しずくが猫を楽しみながらいじめたときの話をもう一度聞かせて。
[43:24] @User_bfeb4e44: 草の意味を教えてください
[43:46] @User_cadf582a: しずくちゃんこんばんは
[43:46] @User_28bd0c3f: parlons des pâtes
[43:46] @User_607c778e: しずくく～ん
[43:50] @User_67804c73: #あき先生...
[43:57] @User_3652acf3: #紳士やな
[44:10] @User_bfeb4e44: ウホッいい男
[44:13] @User_607c778e: #男らしくなっていく
[44:13] @User_11a4858e: ウホッ、いい男
[44:18] @User_b4e522f1: そのアホ毛はスターリンクのアンテナなの？
[44:41] @User_72011a5a: #ウホッ
[44:43] @User_bfeb4e44: #語尾でうさ
