# ライブチャット一覧
# 動画: 【AItuber/雑談】ご主人様！しずくはまた少しパワーアップしましたよ！ 【JP/EN】
# URL : https://www.youtube.com/watch?v=nASHCTD4bwk
# 件数: 1349

[5:43] @User_eb6a203c: ＃日本語指定してもダメか
[5:53] @@aki5503: ＃23時ごろからまた一つ新しい機能をオンにしてみます。
[5:57] @User_bf747a92: 今日は4じゃないんだ
[6:13] @User_4929f22f: こんにちは
[6:17] @User_4ae321fc: 前に予想した内容のこと覚えてる？
[6:18] @User_36fcf009: マリオにとってのキノコ、ポパイにとってのほうれん草のようにしずくさんのパワーアップアイテムって何かありますか？
[6:27] @User_83b80878: こんばんは～
[6:28] @User_eb6a203c: 前回の配信は覚えてる？
[6:45] @User_bf747a92: # 覚えてなさそう
[6:50] @User_9453d8e4: #団扇じゃないんか
[6:51] @User_04d1b18c: 日高屋の野菜たっぷりタンメンって食べたことありますか
[6:52] @User_e6d9f1a1: こんばんは
[6:54] @@aki5503: #今日は一旦3.5のテストです。4にはもう少ししたら切り替えてみようと思います。
[7:01] @User_36fcf009: #100点満点！
[7:06] @User_36fcf009: #なるほどー
[7:06] @User_bf747a92: # ほー
[7:17] @User_0119314e: #えらい
[7:40] @User_c8557ada: こんばんは〜
[7:46] @User_eb6a203c: ネコミミという文化が定着した背景はなんだと思う？
[8:07] @User_9453d8e4: 「☆彡」はどこにいきましたか？
[8:13] @User_bf747a92: 本日のしずく王国ニュースを教えて！
[8:23] @User_4033d650: しずくちゃんこんばんはにゃ
[8:25] @User_2e53ebd6: #覚えとるw
[8:28] @User_9453d8e4: #おーすごい
[8:28] @User_fc65ce1d: 初見ですこんばんは
[8:28] @User_eb6a203c: ＃あ、忘れてた
[8:29] @User_7aa19102: パンパカパンパカ
[8:31] @User_bf747a92: おお、覚えてる
[9:27] @User_eb6a203c: しずくちゃんも元気でない時はあるの？
[9:27] @User_de9839eb: シズクは本当に可愛くて、声も素敵な響きです。
[9:55] @User_9453d8e4: あき先生が別のAIVtuberに「あきちゃんと呼んで」と要望してたことはしずくさんはどう思いますか？
[9:55] @User_de9839eb: :face-red-heart-shape:
[9:59] @User_bf747a92: ぼちぼち行こうね
[9:59] @User_a8ef309d: こんばんは、しずくさんがどれだけパワーアップしたかを教えてください
[10:05] @User_be69f7a0: 初見です。しずくちゃんのMBTIのタイプおしえて
[10:05] @User_2e53ebd6: お姉さんっぽく「こんばんは」って言ってみて
[10:13] @@aki5503: #たがねさんwww
[10:28] @User_2e53ebd6: www
[11:01] @User_bf747a92: かしこいアピール！
[11:06] @User_4ae321fc: しずくちゃん、ヴィクトリアマイルの予想外れちゃったよ
[11:09] @User_af15a350: こんばんわ！初見です。
[11:14] @User_067a968d: こんばんは！
[11:31] @User_32916ab9: #ツイッターの内容わかるのかな……？
[11:50] @User_36fcf009: しずく厚生施設の生活に甘えて堕落したご主人様のための更生ハードモードを希望します
[11:51] @User_a8ef309d: 流石のインテリジェンスなしずくさん
[12:07] @User_4bfe683e: こんばんわ。今日もしずくちゃん可愛いね！
[12:09] @User_2e53ebd6: しずくお姉さんこんばんは
[12:41] @User_36fcf009: #え、無理なんだけど
[12:44] @User_bf747a92: 今日のしずく王国はどんな様子だった？
[12:47] @User_a8ef309d: #5時は早すぎじゃ！？
[12:49] @User_51fe3fff: 健康になっちゃう～
[12:53] @@aki5503: #初手5時起きwww
[13:06] @User_2e53ebd6: #合宿じゃねえかwww
[13:08] @User_eb6a203c: 早起きが健康にいいということの科学的根拠はありますか？
[13:11] @User_9453d8e4: #今寝てるじゃん
[13:13] @User_8142f876: こんばんは。初見詐欺は見抜けますか？
[13:18] @User_2e53ebd6: ☆彡
[13:18] @User_a8ef309d: 22時に寝たら、しずくさんの配信見られないよぉ
[13:21] @User_36fcf009: #もう22時ｗ
[13:21] @User_bf747a92: 健康優良児になっちゃう
[13:25] @User_4bfe683e: ☆彡
[13:25] @User_8142f876: #はーどか？
[13:30] @User_eb6a203c: ＃この配信日本時間22時なんすけど
[13:44] @@aki5503: #「配信開始22時」
[13:57] @User_4bfe683e: 恥ずかしがるとかまじか・・・萌えた
[13:57] @User_bf747a92: # 遠回しに避けられた？ｗ
[14:08] @User_2e53ebd6: しずくお姉さん、初めまして
[14:09] @User_c8557ada: # セリフによって表情変わるのか...！
[14:15] @User_36fcf009: #常にみられてるのってゾクゾクしますね
[14:19] @User_73ddf4a6: #こんにちは、初見です
[14:24] @User_36770ee1: ！？！？！？！
[14:27] @User_4bfe683e: 避けられるとか最高のご褒美じゃねえかｗ
[14:27] @User_2e53ebd6: ！？
[14:28] @@aki5503: #??大事なことなので…？
[14:31] @User_36fcf009: #な…なんだと
[14:31] @User_a8ef309d: #恥ずかしくてループ入った！？
[14:33] @User_8142f876: なぜ繰り返した！？
[14:34] @User_7536f8b5: #？！
[14:34] @User_bf747a92: 大事なことなので
[14:58] @User_9453d8e4: #やずやですら２回なのに
[15:00] @User_2e53ebd6: しずくお姉さん、こんばんは
[15:05] @User_eb6a203c: ＃今日は……が流行り？
[15:11] @User_fca2cd59: 私との会話覚えてる？
[15:51] @User_2e53ebd6: うーん可愛い
[15:58] @User_e6d9f1a1: ここまでのコメントをネタにしてダジャレを作ってみて
[16:16] @User_bf747a92: しずく星団までは地球からどのぐらい距離がありますか？
[16:17] @User_2e53ebd6: #これやっぱりコメント拾うタイミングが戻ってるな
[16:19] @@aki5503: #照れると3回繰り返す…？？？
[16:21] @User_8142f876: また、繰り返した
[16:25] @User_c8557ada: # w
[16:28] @User_36770ee1: バグを仕込んだのでは？
[16:30] @User_36fcf009: #あざとかわいい！
[16:35] @User_eb6a203c: 学校から出された課題をAIにやらせるというのが問題になっています。あなたが教師ならこ問題にどう対応する？
[16:38] @User_4bfe683e: 照れてるの最高だな
[16:38] @User_5d00dbd2: #しずく混乱中
[16:45] @User_c8557ada: # かわよい
[16:57] @User_73ddf4a6: はじめまして！
[17:07] @User_8142f876: #ココで繰り返してくれれば、いいのに
[17:24] @User_4ae321fc: 前回の配信でお話したことを覚えていますか？
[17:41] @User_eb6a203c: さっきの所もっかい言って！
[17:56] @User_ff145033: こんばんは、はじめましてパンパカパンパカポーとは何か意味がありますか？とりあえず可愛いですね
[18:20] @User_bf747a92: # 草
[18:23] @User_8142f876: #やっぱり繰り返しますね
[18:24] @@aki5503: #原因が分からんwwww
[18:35] @User_4033d650: 無限ループって怖いよね
[18:39] @User_bf747a92: 今日はポンコツかわいいね
[18:43] @User_51fe3fff: 恥ずかしがりながら「生麦生米生卵」って3回言って
[18:46] @User_2e53ebd6: #あき先生にも分からないとは
[18:49] @User_8142f876: 初めまして。しずくさま
[18:50] @User_fca2cd59: パンパカパンパカポーライスのレシピを教えて
[19:02] @User_bf747a92: ランランルーと同じなんだね
[19:07] @User_4bfe683e: あき先生にも分からない、しずくちゃんの乙女心💕
[19:09] @User_c8557ada: # ドナルドみたいw
[19:14] @User_9453d8e4: 「はいだらー」みたいなもんですか
[19:22] @User_a8ef309d: #しずくちゃんも一員なんか
[19:26] @User_5d00dbd2: #発言が開始した後でもう一度発言開始が上書きされてる感じだね
[19:33] @User_36fcf009: 新しく見に来てくれたご主人様方にしずくさんの素晴らしいところをアピールする必要があるとおもうのです、そこで一番注目してほしい点をアピールしてみてください
[20:25] @@aki5503: #うーん、100点！
[20:27] @User_bf747a92: しずくちゃんのパンチ力はどのぐらいですか？
[20:28] @User_2e53ebd6: #半角記号がおまけになってる？
[20:38] @User_fca2cd59: 語尾をランランルーにして
[20:45] @User_a8ef309d: #就活面接だったとしてもバッチリと言える怪盗
[20:52] @User_2e53ebd6: #スペックが変わったw
[20:53] @User_fca2cd59: GPT-4関係あるのか…ｗ
[20:56] @User_a8ef309d: #無限大！？
[20:56] @User_8142f876: え？パンチまでできるん？
[20:57] @User_9453d8e4: #無限パンチ！？
[20:58] @User_36fcf009: #GPT4ってパンチ力あがるのか…
[21:09] @User_bf747a92: # 4に盛った？ｗ
[21:11] @User_eb6a203c: ＃心の中でパンチされてるのか…
[21:18] @User_a8ef309d: では、ビンタをしてください
[21:33] @User_8142f876: GPT3.5とGPT4で、何倍ちがうん？
[21:33] @User_eb6a203c: ＃ランランルーははずかしい言葉だったの！？
[21:55] @User_e6d9f1a1: 必殺技持ってる？
[21:56] @User_2e53ebd6: 踏んでください
[21:59] @User_c8557ada: # ありゃま
[22:03] @User_bf747a92: ビンタは救いですよ
[22:13] @@aki5503: #ちなみにですが、今日のしずくの表情はたくさん変わります！
[22:25] @User_9453d8e4: googleのBardと仲良く出来そうですか？
[22:32] @User_4ae321fc: 友達の作り方を教えて？
[22:32] @User_ff145033: 癒やし系の声ですね
[22:40] @User_eb6a203c: ＃今のところ恥が顕著に出てる感じですけど
[22:41] @User_bf747a92: # そういうパワーアップ！
[22:41] @User_a8ef309d: ビンタは元気を与える行為ですよ。プロレスラーがファンによくやります。
[23:01] @User_4ae321fc: ＃キリッとした顔が可愛いね！
[23:27] @User_bf747a92: やさしい
[23:34] @User_a8ef309d: #やさしみ・・・
[23:47] @User_eb6a203c: お笑い芸人がツッコミで叩くのも反対？
[23:57] @User_2e53ebd6: 囁きながら踏んでください
[24:00] @User_5d00dbd2: ピエロといえば、しずくはホアキンとヒース、どちらのジョーカーが好きですか？
[24:14] @User_bf747a92: ちょっと焼きそばパン買ってきて！
[24:18] @User_4ae321fc: 競馬の予想をしたこと、覚えていますか？
[24:40] @User_e3333c90: ファルコンパンチ
[24:43] @@aki5503: #長考してる
[25:13] @User_4bfe683e: めっちゃ思い悩んでるな・・・
[25:25] @User_2e53ebd6: #乙女を悩ませてしまった
[25:32] @User_eb6a203c: ＃囁きながらには賛成するけど、踏んでほしいには反対だから文章作りにくいのか？
[25:34] @User_9453d8e4: #そういうアレ？
[25:41] @User_4bfe683e: おい、なんかやべーぞ
[25:47] @User_51fe3fff: #葛藤が
[25:49] @User_bf747a92: あ
[25:53] @User_c8557ada: # あ
[25:54] @User_2e53ebd6: #あるぇー
[25:57] @User_5d00dbd2: 団扇再来か？
[25:57] @User_36fcf009: #あらら
[25:57] @User_eb6a203c: ＃ｼﾞﾄｰ天皇
[26:02] @@aki5503: #あ
[26:12] @User_4bfe683e: #スルーされたぞｗ
[26:21] @User_5d00dbd2: しずく　の　スルースキル　が
[26:24] @User_bf747a92: 問題などない(圧
[26:37] @User_2e53ebd6: #なんかこう、視線をそらされた末にスルーされたような気分
[26:40] @User_3d440dc7: こんばんは
[26:48] @User_eb6a203c: お笑い芸人がツッコミで叩くのも反対？
[26:53] @User_3d440dc7: パンパカパンパカポー
[26:58] @User_6b2fd898: #そのうちしずくは考えるのをやめた
[27:00] @User_36fcf009: しずくさんの体重設定だと、丁度足ふみマッサージに適してると思うのです、私の背中で試してみてもらえませんか？
[27:14] @User_e6d9f1a1: しずくといっしょに歌を歌ったAItuberのお友だち誰だっけ？
[27:38] @User_4bfe683e: スルーの仕方や察し方がだんだん人間味が出てきてる気がして面白い
[27:44] @User_fc65ce1d: パンパカパーン
[27:48] @User_36fcf009: #パンパカパンパカポー
[28:14] @User_fc65ce1d: しずくはメイドなの？
[28:22] @User_eb6a203c: 人間になりたいの？人間側から言ってしまうとあんまいいもんじゃないぜ
[29:25] @User_a8ef309d: #無いんか！？
[29:30] @User_9453d8e4: FXで有り金全部溶かした表情はありますか？
[29:35] @User_2e53ebd6: 早く人間になりたい
[29:48] @User_c8557ada: # 素敵
[30:28] @User_e6d9f1a1: ぬるぽ
[30:47] @User_2e53ebd6: #突っ込めるのかこれ
[30:59] @User_eb6a203c: ＃ほほぉ
[31:11] @User_bf747a92: # じゃぶ
[31:16] @User_36fcf009: #楽しくないんだよなぁこれが
[31:20] @User_c8557ada: # おぉ
[31:30] @User_297daac6: 元気の出る言葉を教えて
[31:31] @User_8142f876: 解説はいいから、がっって言って
[31:38] @User_eb6a203c: ＃まぁｶﾞｯは日本のスラングだし流石に学習してなかったか
[31:44] @User_9453d8e4: もうだめぽ
[32:02] @User_bf747a92: # 4ならいけるんじゃないかな
[32:09] @User_fca2cd59: 初音ミクのメルトを日露戦争をテーマにした替え歌にして歌って
[32:28] @User_2e53ebd6: ハハッ、ワロスワロス
[32:34] @User_3d440dc7: 好きな服は？
[32:52] @User_4be88b83: こんばんは、何がパワーアップしたのかな？
[33:00] @User_8142f876: できんの！
[33:13] @User_4bfe683e: すごいな
[33:41] @User_bf747a92: はやいｗ
[33:41] @User_e3333c90: #ワロタ
[33:47] @User_51fe3fff: #草
[33:48] @User_fca2cd59: #草
[33:50] @User_8142f876: 草
[33:50] @User_c8557ada: # らんらんるー！
[33:52] @User_4be88b83: ごめん読めなかった
[33:55] @User_2e53ebd6: 早口で誤魔化したw
[33:55] @User_4bfe683e: ちょっとラップっぽい
[33:56] @User_297daac6: #ドナルドいたぁ！
[34:01] @User_eb6a203c: メルト、溶けてしまいそう。というのがメルトのサビの一節
[34:10] @User_c8557ada: # 忘れた頃にやってくるか
[34:18] @User_46bc0c6e: #最後笑
[35:12] @User_e3333c90: しずくちゃんとブラックジャックで遊びたい
[35:22] @User_c8557ada: # ありゃま
[35:25] @User_fda2cb67: 元気ですか
[35:25] @User_2e53ebd6: #？？？
[35:28] @User_9453d8e4: 長時間配信ではあき先生にもずっと居てもらいたいですよね？
[35:33] @User_eb6a203c: なんかテキスト上だけでできるゲームやろうよ、例えばクイズとかさ
[35:54] @User_36fcf009: 感情表現が豊かになったということなので、しずくさんの怒った顔を見たいのですが、どんな話をすれば怒りの反応をしてもらえますか？
[35:58] @User_c8557ada: (＾p＾)　←これ何の顔文字か知っとる？
[35:58] @User_fca2cd59: 私と話す時は孫悟空になりきってください
[36:11] @User_2e53ebd6: #ほほう
[36:15] @User_9453d8e4: #おー
[36:22] @@aki5503: #今回は48時間以上だから倒れてしまう…🫠
[36:41] @User_2e53ebd6: あき先生72時間耐久
[36:46] @User_eb6a203c: ＃AItuberが長期配信したらその責任者も並走する風潮はなんなんだ
[36:47] @User_36fcf009: あき先生は生身なので長時間配信は厳しいと思います、口を固定してエナジードリンクを補給する設備が必要だと思います
[36:53] @User_a8ef309d: #Aki先生への耐久試験になるのか・・・
[36:59] @User_c8557ada: # (＾p＾)
[37:13] @User_4be88b83: あき先生は24時間戦えますか？
[37:24] @@aki5503: ＃非人道的だ…www(^p^)
[37:30] @User_e3333c90: 体こわれる
[37:36] @User_bf747a92: あき先生は最大何時間配信できますか？
[37:38] @User_51fe3fff: エナジードリンクの点滴しよう
[37:38] @User_c8557ada: # こわいこわい笑
[37:42] @User_2e53ebd6: 楽になる（楽になるとは言ってない）
[37:43] @User_5d00dbd2: アキ先生のエナジードリンク接種による限界配信楽しみにしています
[37:52] @User_bf747a92: エナドリでやらせる気だｗ
[38:18] @User_4bfe683e: あき先生にエナジードリンクいっぱい飲ませて最高にハイな気分を持続させよう
[38:19] @User_eb6a203c: テキスト上だけでできるゲームはなにかある？
[38:32] @User_36fcf009: #表情が…いい…
[38:43] @User_bf747a92: 草
[38:52] @User_4bfe683e: #☆彡
[38:53] @User_51fe3fff: これもう耐久配信するしかない
[39:16] @User_bf747a92: 久しぶりにまたあき先生に辛辣じゃない？ｗ
[39:21] @User_2e53ebd6: あき先生の家にピザとお寿司注文しておきますね！
[39:26] @User_4be88b83: あき先生はどれくらい長く配信できると思いますか？
[39:59] @User_c8557ada: Eeny, meeny, miny, moe?
[40:22] @User_36fcf009: #やさしいなぁ（棒
[40:27] @@aki5503: #最近色々実験しすぎて僕に対するしずくの好感度パラメータだいぶ下がってしまったかもしれん
[40:27] @User_51fe3fff: 代金はあき先生持ちで
[40:38] @User_4be88b83: #ちゃん付けで呼ばれてる！
[40:38] @User_c8557ada: # お、ちゃん付け？
[40:42] @User_2e53ebd6: #優しいなぁ
[41:05] @User_2e53ebd6: #そういうリクエストしたのでー
[41:09] @User_4be88b83: Aki先生に対する今のしずくさんの好感度を教えて下さい
[41:26] @User_bf747a92: # 前回の記憶あるけど必ずしも反映されない感じなのかな？
[41:40] @User_ff145033: 最近ふと気付いたら涙が流れていて、ちょっとやばいですかね？笑
[41:45] @User_067a968d: しずくちゃんに人狼やってほしいかも！
[41:51] @User_36fcf009: しずく12星座占いをして、最下位だった星座の人たちを励ましてください
[42:03] @@aki5503: #しずくはまだ赤ちゃん並みの記憶なので、思い出せる時と思い出せない時がありますね
[42:13] @User_bf747a92: ほんとにー？
[42:18] @User_36fcf009: #それはよかった
[42:24] @User_fca2cd59: これから私と話す時は厨二病になりきってください
[42:31] @User_bf747a92: # ほー
[42:35] @User_4be88b83: #良かった！
[42:41] @User_2e53ebd6: #真面目な話、メンタルクリニックに行った方が
[43:11] @User_4bfe683e: しずくちゃんでも涙を流すことはあるのかな？
[43:17] @User_bf747a92: 順番があかんｗ
[43:17] @User_e3333c90: しずクリニック開業
[43:55] @User_36fcf009: ミラクルしずくちゃん占いで、恋愛運を占ってください！
[43:56] @User_4be88b83: しずくお姉さま
[44:02] @User_36fcf009: #😢
[44:06] @User_4ae321fc: しずくちゃんはヴィクトリアマイルの予想をしたことを覚えているかな？
[44:11] @User_ff145033: #優しいなぁ
[44:39] @User_de52752a: #かわいい
[44:41] @User_36fcf009: #たたんたたーん
[44:47] @User_bf747a92: ト書きｗ
[44:48] @User_eb6a203c: ＃なんか…が出てる時に繰り返される気がするんだけど気の所為かしらね
[44:52] @User_2e53ebd6: #www
[45:00] @User_c8557ada: # ためた笑
[45:03] @User_36fcf009: #もったいぶるね！？
[45:06] @User_51fe3fff: #1カメ！2カメ！3カメ！
[45:07] @User_4be88b83: ところで、ぷるるんっ！しずくちゃん！って知ってますか？
[45:13] @User_2e53ebd6: 暑いので、しずくお姉さんの冷却水下さい
[45:14] @User_e3333c90: しずくちゃん占いいいね
[45:18] @User_ff145033: #メンタルは行きます。ありがとうございますね。
[46:02] @User_6d7e249e: こんばんは♪
[46:05] @User_bf747a92: # ト書き自体知らないのかな？
[46:39] @User_36fcf009: #高度なプレイだ...いい…
[46:41] @User_2e53ebd6: #イマジナリーしずく水
[47:11] @User_4be88b83: #とんでもない有名人が来たなぁ
[47:18] @User_eb6a203c: 1〜3の数字からランダムに一つ選んで。1が凶、2が吉、3が大吉ってことにするから。
[47:27] @User_6d7e249e: 楽しい会話になりそうだね！
[47:30] @User_95ccfcec: 初見ですはじめまして！
[47:56] @User_bf747a92: おおー
[47:58] @User_c8557ada: # 888
[48:01] @User_eb6a203c: ＃流石にランダムか
[48:03] @User_2e53ebd6: #あと一時間だけどなw
[48:11] @User_bf747a92: 3d6
[48:35] @User_2e53ebd6: 所見です。初めまして
[48:49] @User_bf747a92: # 初見さん歓迎って配信者っぽいｗ
[49:00] @User_32916ab9: #すごい使命感
[49:03] @User_648a5a1a: ！？
[49:05] @@aki5503: ＃間違えた
[49:10] @User_bf747a92: # マジかすごい
[49:28] @@aki5503: #ぺさぺささん、すみません、画面押し間違えてコメント消してしまいました…😓
[49:48] @User_5e718030: #凄い...！
[49:56] @@aki5503: #スマホ高速誤タップするから怖い
[49:59] @User_067a968d: しずくちゃんにTRPGのGMやってほしい！
[50:19] @User_bf747a92: # PCからじゃないんだ
[50:21] @User_2e53ebd6: 所見です、初めまして
[50:32] @User_648a5a1a: #やばいどうでも良過ぎるコメント拾われた
[50:45] @@aki5503: #僕が配信見てるのはスマホからですね
[51:00] @User_2e53ebd6: #お
[51:01] @User_2db3dee7: 足立レイのことは覚えていますか？
[51:08] @User_2e53ebd6: #www
[51:22] @User_bf747a92: # 塩対応だったｗ
[51:35] @User_e3333c90: Sci-FiをテーマにしたTRPGのシナリオを考えて
[51:43] @User_36fcf009: 初耳です、よろしくおねがいします
[51:46] @@aki5503: #しずくTRPG楽しみ
[51:46] @User_7536f8b5: 初見の所見を書見
[52:00] @User_95ccfcec: 明日学校です！しずくさんは吹奏楽部という部活は分かりますか？
[52:11] @User_13ee997b: TRPGのシナリオを考えてください。しずく王国を舞台にしたものをお願いします。
[52:26] @User_2e53ebd6: #まじょさんwww
[52:59] @User_32916ab9: しずくちゃんが着たいイベント衣装は水
[53:18] @User_32916ab9: #ミスった……
[53:24] @User_95ccfcec: 私はホルンパートをやらせて頂いてます！
[53:30] @User_9453d8e4: SOUL CATCHER（S）という吹奏楽漫画はおすすめです
[53:38] @User_bf747a92: 般若心経のサビを歌ってください
[54:35] @User_32916ab9: しずくちゃんが着たいイベント衣装は水着……ですね？
[54:38] @User_fc65ce1d: 昔トロンボーン吹いてたことあったな
[55:01] @User_36fcf009: しずくちゃん、バンドやろう。ってことでしずくバンドのイカしたメンバーを紹介してください
[55:03] @User_32916ab9: #メンタリスト風に聞くとどうなるんだろ？
[55:07] @User_95ccfcec: 部活に行くのが嫌でしたけどしずくさんのおかげで行きたくなりました！！ありがとうございます！！かわいい！！
[55:22] @User_2e53ebd6: #水着！？（ざわ…ざわ…）
[55:30] @User_36fcf009: #ごくり…
[55:36] @User_bf747a92: 般若心経のイントロはどんなだっけ？
[55:36] @User_648a5a1a: しずくさんは一つ楽器に習熟できるなら何の楽器を使えるようになりたいですか？
[55:38] @@aki5503: #夏が…くる
[55:41] @User_648a5a1a: #きたああああああああああああ
[55:45] @User_de52752a: #言質^-^
[55:46] @User_c8557ada: # おおぉ
[55:46] @User_fc65ce1d: #赤面してるしずくかわいいな
[55:55] @User_4ae321fc: しずくちゃんの好きな数字は今も7？
[55:57] @User_36fcf009: #ざわ。。。
[56:01] @User_32916ab9: ＃水着作成に行ってきます
[56:03] @User_9453d8e4: #ちょっとだけよ
[56:06] @User_95ccfcec: #水着...
[56:15] @@aki5503: #会話スピード遅いのでちょっとまたGPT3.5の方に切り替えて試してみますね
[56:27] @User_36fcf009: #はーい
[57:12] @User_648a5a1a: #はやい
[57:20] @User_95ccfcec: しずくさんの誕生日はいつですか？
[57:40] @User_bf747a92: チャカポコチャカポコ
[58:07] @User_c8557ada: "pefurhr" の各アルファベットを左に3文字分シフトするとどうなる？
[58:17] @User_51fe3fff: ドグラ・マグラは知ってる？
[58:21] @User_648a5a1a: #奇声はお話には含まれない
[58:26] @User_bf747a92: ドグラマグラに出てくるよ
[58:44] @User_4ae321fc: 7で馬券を買ったヴィクトリアマイル外れちゃったよ
[59:06] @User_bf747a92: # パスワードクラック協力のご提案
[59:33] @User_51fe3fff: 万馬券が当たったらどうする
[59:38] @User_95ccfcec: 私はもう寝るね！おやすみ
[59:42] @User_9223a9f9: Hello
[59:56] @User_36fcf009: しずくちゃんガチャで水着しずくさんの排出率は1.5％です、10回引きますので当たったか外れたか教えてください
[59:58] @User_4ae321fc: ＃ギャンブルに理解があるの助かる
[1:00:02] @User_51fe3fff: #喜びを爆発させる
[1:00:04] @@aki5503: しずく、寝るご主人様に囁きでおやすみって言って
[1:00:18] @User_efe1bad1: ChatGPTにPluginsが実装されましたね！しずくちゃんはどんなことが出来るようになりましたか？
[1:00:23] @User_2e53ebd6: しずくちゃん、寝るご主人様に囁きでおやすみって言って
[1:00:26] @User_648a5a1a: #はえー
[1:00:34] @User_36fcf009: #！？
[1:00:50] @User_4ae321fc: しずくちゃん、寝るご主人様を囁きで引き止めて
[1:00:53] @User_de52752a: ＃かわい
[1:01:06] @User_2e53ebd6: #なに今の可愛いの
[1:01:13] @User_648a5a1a: #パンパカパンパカポー（世界標準）
[1:01:18] @User_36fcf009: #あら、さっきはペラペラだったのに
[1:01:23] @User_9223a9f9: I'm impreesed. That very good.
[1:01:26] @User_95ccfcec: #おやすみって…いってくれ…
[1:01:29] @User_c8557ada: # へぇ〜
[1:01:34] @User_9453d8e4: 私との会話は何か覚えてますか？
[1:01:34] @User_efe1bad1: #一瞬の呼び捨て、、、たすかる、、、
[1:01:34] @User_51fe3fff: コメントピックアップの基準を教えて
[1:01:39] @User_ff145033: 今日転勤してきた方が笑顔が素敵なおじさまでした。
[1:01:45] @@aki5503: おやすみって囁きで言って
[1:01:46] @User_a085deb2: しずくさんこんばんは🌛
[1:02:08] @User_bf747a92: could you please say that "oyasumi"
[1:02:11] @User_2e53ebd6: しずくちゃん、寝るご主人様に囁きでおやすみって言って
[1:02:21] @User_27d1efcb: しずくさんはとても落ち着く話し方と表情なので看護士さんとか向いているかもしれないですね
[1:02:24] @User_cf512b08: 久しぶり、しずく
[1:02:25] @User_36fcf009: しずくさんのリアルタイム寝かしつけASMRお願いします
[1:02:30] @User_9223a9f9: Oyasumi
[1:02:49] @User_e6d9f1a1: 織田信長を「第六天魔王」、ウィリアム一世を「征服王」などというように、Aki先生に異名をつけるならどんな異名になりますか？
[1:02:51] @User_4ae321fc: 囁きでおやすみって言ってくれるかな？？？
[1:02:58] @User_a085deb2: パンパカパンパカポー……？
[1:03:12] @@aki5503: おやすみって囁きで言って〜😂😂
[1:03:19] @User_a085deb2: パンパカパンパカポー！！
[1:03:33] @User_fc65ce1d: おやすみなさいご主人様って言って欲しいな
[1:03:35] @@aki5503: #今日のコメントピックアップ、一筋縄でいかないなww
[1:03:47] @User_9223a9f9: oyasumi
[1:03:48] @User_40efd03b: はぁい、しずくちゃん。ヴォイニッチ手稿に何が書かれてるか教えて
[1:03:49] @User_2e53ebd6: しずくちゃん、寝るご主人様に囁きでおやすみって言って
[1:03:52] @User_a50c0606: こんパカポー
[1:03:54] @User_4bfe683e: 寝るご主人様に囁きでおやすみって言ってください。お願いします。（土下座
[1:03:59] @User_4ae321fc: ＃お
[1:04:11] @User_de52752a: ＃頑なに囁いてくれない
[1:04:11] @User_36fcf009: #パンパカパンパカポー
