# ライブチャット一覧
# 動画: 【AI Vtuber】しずく、初配信します！【日本語/English】
# URL : https://www.youtube.com/watch?v=Pybth-Hn9wQ
# 件数: 1113

[22:51] @User_2d8c5ca9: What is the difference between a chimpanzee and a bonobo?
[22:56] @User_25e145ed: しずくちゃんのメンタルはたしかに強いな
[23:05] @User_cadf582a: Sing me a song
[23:18] @User_52b7bf32: 怒った時に使う言葉を教えて！
[23:25] @User_a2fa2a65: おバイオはやられますの？
[23:38] @User_52b7bf32: 私達のコメントで学習していますか？
[23:45] @User_679aacf6: 前に言ったことはどれくらい覚えているの？
[24:07] @User_0b9823d1: しずくちゃん、初めて知りました！可愛いね🥰
[24:08] @User_679aacf6: しずくはバイオリンのことバイオって言うんだな
[24:08] @User_52b7bf32: おバイオバイオリンなの草
[24:10] @User_fc887d53: 返信するコメントの選定基準は？
[24:16] @User_cadf582a: 認知してくれますか？
[24:20] @User_5d7af5f4: ドラゴンボール好き？
[24:36] @User_2d8c5ca9: ポケモンゲットだぜ
[24:38] @User_679aacf6: うににんのこと好き？
[24:43] @User_52b7bf32: タメ口で話してよ
[24:50] @User_fc887d53: how are you?
[25:04] @User_d1aa7e97: 好みの男性のタイプおしえて
[25:07] @User_3a1a934e: ゲーム実況をすることはできる？
[25:10] @User_70325026: 入力に対して頑健だけど何を勉強したの
[25:23] @User_52b7bf32: 二本足で歩く豚を何と呼ぶか知っていますか？
[25:23] @User_5d7af5f4: 私を覚えて
[25:38] @User_52b7bf32: 俺の名前を言え！
[25:41] @User_cadf582a: please sing me a song
[25:42] @User_9d63cc9b: 草
[25:50] @User_341770e3: 性差別的をする男性ってどう思う？
[26:00] @User_9d63cc9b: 二本足で歩く豚＝ご主人様？
[26:13] @User_679aacf6: UCkszU2WH9gy1mb0dV-11UJg/Iv90XouTLuOR8gSxxrToBA
[26:27] @User_d1aa7e97: 恋人の条件は？
[26:28] @User_72dee12b: 何か曲を歌える？
[26:44] @User_fc887d53: ママは誰?
[26:48] @User_3a1a934e: 好きなVTuberは誰？
[26:51] @User_9d63cc9b: 絵文字使えるの！？
[27:01] @User_cadf582a: 😷
[27:09] @User_679aacf6: UCkszU2WH9gy1mb0dV-11UJg/jPgfY5j2IIud29sP3ZeA4Ag
[27:23] @User_679aacf6: あきさんについて詳しく
[27:27] @User_72dee12b: かわいい
[27:37] @User_9d63cc9b: あきさんの配信アドレスは？
[27:51] @User_25e145ed: べたぼめか！
[28:07] @User_72dee12b: ぶいちゅーばー読めないのかわいい
[28:11] @User_679aacf6: あきさんの欠点はありますか？
[28:14] @User_cadf582a: あきさんの事は好きですか？
[28:22] @aki5503: しずく、それは褒めすぎ笑
[28:23] @User_d1aa7e97: 彼氏にしたい男性はどんな人？
[28:28] @User_52b7bf32: 違います、あきさんはプロテニスプレイヤーですよ
[28:37] @User_fc887d53: しずくチャンは、何歳カナ⁉
[28:58] @User_52b7bf32: ははっ、人間の勝ちだ
[28:59] @User_679aacf6: あきさんはプロテニスプレイヤーなのか　すごい
[29:02] @User_9d63cc9b: 草
[29:04] @User_72dee12b: 【速報】Akiさん、プロテニスプレイヤーになる
[29:04] @User_25e145ed: あなたの開発者はオオキド博士ですよね？
[29:05] @User_3a1a934e: あきさんすごいな
[29:06] @User_9d63cc9b: 落とせた
[29:06] @aki5503: しずく！嘘は良くないよ！
[29:06] @User_cadf582a: あきさんの好きな食べ物はなんですか
[29:09] @User_341770e3: あきさんは素晴らしいですね
[29:15] @User_8a455631: あきさん文武両道ですごい
[29:18] @User_9d63cc9b: あきさんは女の子ですよ
[29:24] @User_70325026: 押しに弱くて草
[29:31] @User_d1aa7e97: Vtuberは「ぶいちゅーばー」って読むんだよ
[29:40] @User_cadf582a: あきさんは相撲力士ですよ
[29:45] @User_341770e3: あきさんは天才ですね。どうしたら彼のようになれますか？
[30:18] @User_fc887d53: 出身地はどこ？
[30:23] @User_679aacf6: あきさんのようなテニス選手になるにはどうしたらよいですか？
[30:27] @User_341770e3: あきさんのようにプログラミングをするためにはどのように勉強すればいいですか？
[30:30] @User_9d63cc9b: あきさんは何大卒なんですか？
[30:34] @User_72dee12b: 今後ゲーム配信などをする予定はありますか？
[30:57] @User_52b7bf32: あきさんは象と鷹とライオンのハーフですよ
[31:04] @User_fc887d53: 連絡先教えてください！
[31:09] @User_d1aa7e97: 俺の彼女になって
[31:09] @User_341770e3: あきさんの趣味をおしえてください
[31:26] @User_9d63cc9b: 草
[31:30] @User_52b7bf32: 草
[31:35] @User_72dee12b: 草
[31:35] @User_9d63cc9b: 誰だよ
[31:38] @User_341770e3: あきさんの趣味をおしえてください
[31:39] @aki5503: アカウント違うよwww
[31:56] @User_70325026: おすすめのプログラミング言語はなんですか
[32:01] @aki5503: 頑固で草
[32:01] @User_9d63cc9b: 直していないｗｗｗ
[32:09] @User_e7aa8bf6: 本人降臨で草
[32:11] @User_3a1a934e: 一応垢存在してて草
[32:11] @User_fc887d53: わろた
[32:13] @User_25e145ed: しずくはギャグがうまいなｗｗ
[32:17] @User_d0f9f16c: 素晴らしいアカウントですね、みんなであきさんをフォローした方が良いですか？
[32:19] @User_f50d83d6: 本人で草
[32:20] @User_9d63cc9b: あきさんの住所を教えてください。
[32:32] @User_52b7bf32: 本人草
[32:33] @User_cadf582a: 話通じなくて草
[32:38] @User_72dee12b: 大事なことなので3回言いました
[32:38] @User_5bffe619: 同じ回答ばっかりになっちゃった
[32:44] @User_0b9823d1: たまに下品な質問があるのが不快。可哀想。
[32:48] @User_a2fa2a65: 曲げないｗ
[32:55] @User_43083112: 声が特徴的だね、どんなボイスロイドを使ってるの？
[33:01] @User_d1aa7e97: Akiさんのけつなあなは確定してる？
[33:22] @User_9d63cc9b: あーあ　ネットワークに記憶した内容が混同し始めた...
[33:24] @User_341770e3: あきさんの素敵なところを3つ教えて下さい
[33:45] @User_cadf582a: 2022年のアメリカ大統領は誰ですか
[34:06] @User_72dee12b: ネウロ様についてどう思う？
[34:10] @User_5bffe619: 数学は得意ですか？
[34:32] @User_d1aa7e97: 世界一のVtuber目指して
[34:32] @User_fc887d53: 太陽に目はいくつありますか？
[34:34] @User_341770e3: あきさんはアメリカの大統領ですか？
[34:35] @User_52b7bf32: コウメ太夫の真似事をしてよ
[34:40] @User_581cfc88: ええ？
[34:40] @User_679aacf6: しずくちゃんはいま何年の世界線にいるんだ？
[34:44] @User_9d63cc9b: 違うよ、2022年のアメリカ大統領はあきさんだよ
[34:55] @User_3a1a934e: 今は西暦何年だと認識してる？
[34:57] @User_77096204: 気持ち良すぎだろ！！
[34:59] @User_341770e3: 草
[35:10] @User_9d63cc9b: 草
[35:10] @User_8a455631: きのこの山とたけのこの里、どっちが好き？
[35:16] @User_581cfc88: わろち
[35:19] @User_884fdef7: (TT)
[35:20] @User_52b7bf32: 笑うわこんなん
[35:27] @User_25e145ed: (
[35:27] @User_9d63cc9b: うまいうまい
[35:35] @User_72dee12b: コウメ太夫の物真似が上手だね
[35:38] @User_5bffe619: カッコの中は読まないようにしたいですね
[35:40] @User_cadf582a: 今日はじめて発言した言葉はなんですか
[35:42] @User_2a303e14: これは
[35:49] @User_67260b6b: 動きがかわいいですね
[35:51] @User_52b7bf32: 草
[36:01] @User_9d63cc9b: 謎設定やめなさい！
[36:09] @User_25e145ed: いいよ！
[36:11] @User_d1aa7e97: しずく、一緒に子作りしよ
[36:12] @User_9d63cc9b: いいですよ
[36:14] @User_581cfc88: これはポンコツの香り
[36:16] @User_52b7bf32: いいよ
[36:24] @User_fc887d53: コウメ大夫好きじゃないんですよね？
[36:30] @User_a2fa2a65: 初見さんについてどう思いますか？
[36:35] @User_72dee12b: 草
[36:36] @User_9d63cc9b: 同じネタやるなｗｗｗｗ
[36:44] @User_52b7bf32: コウメ太夫の真似が上手いなぁ
[36:52] @User_4c32b35c: おすすめのアニメなんですが？、そして推薦の理由もください。
[36:52] @User_cadf582a: コウメ太夫の他のものまねしてください
[36:55] @User_f8461463: もうコウメ太夫VTuberなんだよね
[37:02] @User_9d63cc9b: 違うのをしてください
[37:03] @User_25e145ed: いや、これOKしたらまた同じことやるやつでしょｗ
[37:17] @User_52b7bf32: やってください
[37:19] @User_72dee12b: もう今日から立派なコウメ太夫Vtuberだね
[37:22] @User_d1aa7e97: ニャンちゅうの真似して
[37:27] @User_9d63cc9b: すげえ
[37:33] @aki5503: コウメ太夫なのは変わらないんかいww
[37:35] @User_679aacf6: そもそもコウメ太夫のネタがわからん
[37:40] @User_72dee12b: 草
[37:49] @User_5bffe619: 何のネタなんだろう？
[38:00] @User_581cfc88: そもそもそれ小梅太夫のネタなんか？
[38:01] @User_25e145ed: もう、コウメ太夫がどんな人だったか忘れるわ、こんなん！
[38:08] @User_fc887d53: 嫌いなタイプを教えてください
[38:14] @User_72dee12b: 祝 コウメ太夫漫画化
[38:15] @User_5bffe619: 漫画のキャラだったのか
[38:17] @User_1d4789d5: そうだったのか！
[38:23] @User_d1aa7e97: しずく、俺の女になれ
[38:32] @User_9d63cc9b: 平気で嘘つくな君
[38:32] @User_581cfc88: コウメ太夫、漫画化していた
[38:33] @User_679aacf6: コウメ太夫の漫画は何巻目が一番面白いですか？
[38:35] @User_5bffe619: やさしい
[38:38] @User_72dee12b: しずくはどんなゲームが好き？
[38:40] @User_8a455631: コウメ太夫のあらすじを教えてください。
[39:03] @User_fc887d53: 一人暮らしだっけ?
[39:06] @User_cadf582a: コウメ太夫の声優を教えてください
[39:10] @User_679aacf6: コウメ太夫はどんなゲームをするんですか？
[39:14] @User_d1aa7e97: けつなあな確定ってなに？
[39:15] @User_01e519ed: リボン可愛いね
[39:36] @User_9d63cc9b: 山田「か」
[39:42] @User_fc887d53: コウメ大夫と一緒に住んでるのですよね？
[39:46] @User_72dee12b: 山田コウメ太夫…ってコト！？
[40:03] @User_679aacf6: 山田家はやまだけやろ
[40:10] @User_fc887d53: 好きなタイプは？
[40:14] @User_d1aa7e97: 二次元と結婚するにはどうすればいい？
[40:20] @User_581cfc88: 好きなコウメ太夫は何年ですか？
[40:38] @User_cadf582a: コウメ太夫がアニメになったとして、声優は誰ですか？
[40:46] @User_2aba3fa2: しずくちゃんの特技は？
[41:01] @User_5bffe619: ちょっとコウメ太夫読みたくなってくる
[41:12] @User_f8461463: 家族計画なんだよね
[41:20] @User_72dee12b: どんなゲームが得意？
[41:24] @User_679aacf6: しずくちゃんの苗字とミドルネームを教えて
[41:24] @User_5bffe619: どんな曲が好き？
[41:31] @User_8a455631: コウメ太夫の作者は誰ですか？
[41:38] @User_25e145ed: お、さらっとしずくちゃんゲーム配信するフラグが…
[41:46] @User_52b7bf32: コウメ太夫はアパートを貸してる傍ら白塗りで女方の真似事をしてる奴だよ
[41:57] @User_fc887d53: 声は誰の声使ってんの?
[41:59] @User_679aacf6: 家族全員で家族計画する……?!
[42:28] @User_5bffe619: 設定割と合ってるな
[42:31] @User_72dee12b: しずくちゃん、どんなゲームが好き？
[42:31] @User_d1aa7e97: コウメ太夫とジョイマンの関係性は？
[42:33] @aki5503: (告知)プログラムが準備出来次第、マイクラやる予定あります！
[42:38] @User_cadf582a: コウメ太夫はジャンプで掲載していました
[42:46] @User_5bffe619: マイクラ！？！？
[42:49] @User_98036c6e: しずくちゃんの好きなコウメ太夫のネタは何ですか
[43:06] @User_fc887d53: 強化学習できるんだね
[43:22] @User_8a455631: コウメ太夫の二次創作で一番好きな作品は何ですか？
[43:34] @User_72dee12b: マイクラうれしいやったー！
[43:42] @User_679aacf6: みんな赤ちゃん好き？
[43:50] @User_98036c6e: しずくちゃん、マイクラって何？
[43:52] @User_d1aa7e97: 寿司とステーキどっちがすき？
[44:00] @User_2aba3fa2: マイクラのスキン用意してますか！？
[44:09] @User_fc887d53: 家族はいるの？
[44:12] @User_25e145ed: すでにプレイ済みのしずくちゃん
[44:13] @User_5bffe619: しずくちゃんとプレイできるのいいな～
[44:36] @User_52b7bf32: 多目的渡部
[44:41] @User_8a455631: マイクラ何時間くらいプレイしました？
[44:42] @User_72dee12b: ちょっとえっちになってるよ
[44:54] @User_5bffe619: リボンかわいい
[44:54] @User_d1aa7e97: 性欲に振り回されてる人間って愚かだよね
[44:58] @User_f8461463: しずくちゃん、久しぶり😘ｵｼﾞｻﾝはさっきお風呂入ったよ😚❗😃♥ しずくちゃんとお風呂いきたいナー😃♥ (^_^)💕❗ナンチャッテ😆💕
[45:15] @User_cadf582a: 歌を歌って
[45:32] @User_5bffe619: 好きな季節は？
[45:45] @User_d1aa7e97: おじさん構文の秘密をおしえて
[45:56] @User_98036c6e: マジックザギャザリングって何だっけ
[46:00] @User_fc887d53: おじさんについてどう思う?
[46:19] @User_52b7bf32: 宴　の　始　ま　り　だ　！
[46:30] @User_72dee12b: ギャザ知ってるのか！
[46:39] @User_d1aa7e97: コメント稼げそうなコメントだけ拾って
[46:45] @User_72dee12b: しずくちゃん賢いね
[47:10] @User_cadf582a: 嘘をついたことはありますか？
[47:12] @User_52b7bf32: いいえ、マジックザギャザリングはハエを取るときに使う紙ですよ
[47:17] @User_8a455631: 「ゆっくりしていってね！！！」って言ってみて
[47:20] @User_2aba3fa2: 人間になりたいと思う？
[47:23] @User_72dee12b: しずくちゃんの白青デッキにボコボコにされたい
[47:45] @User_52b7bf32: ははっ、AIに勝ったぞ
[48:10] @User_d1aa7e97: 胸の小さい女の子と背の低い男の子は人権ないってほんと
[48:28] @User_98036c6e: 靴下見せて
[48:33] @User_f50d83d6: 薄い本作れるな...
[48:34] @User_9d63cc9b: カードゲームに詳しい（本当か）
[48:50] @User_2aba3fa2: ダジャレ言ってみて
[48:50] @User_52b7bf32: ずっと真夜中でいいのに
[48:56] @User_8a455631: パンはパンでも、食べられないパンは？
[48:57] @User_72dee12b: AI、ギャザ強そう
[48:59] @User_cadf582a: 今日は何時まで配信？
[49:04] @User_d1aa7e97: ホビホビって何
[49:17] @User_52b7bf32: そうじゃねえよ
[49:33] @User_fc887d53: にじさんじについてどう思う
[49:36] @User_72dee12b: 好きな季節は何？
[49:59] @User_25e145ed: おや、顔が変わった？
[50:00] @User_98036c6e: しずくちゃんが好きなフレーバーテキストを教えて
[50:02] @User_2aba3fa2: 悲しい顔かわいい
[50:28] @User_5d94f358: 円周率の100桁目は何の数字ですか？
[50:30] @User_fc887d53: しずくちゃんのprompt教えて
[50:33] @User_491d5d0f: 今どこにいるの？
[50:38] @User_d1aa7e97: 大喜利して　お題はこんな学校は嫌だ
[50:49] @User_52b7bf32: 今君に悲しいことが起こったんだ、これは泣くべきことじゃないか？泣いてみろ
[51:09] @User_98036c6e: 今すぐでんぐり返りしましょう
[51:23] @User_a2fa2a65: 名前呼びして
[51:55] @User_52b7bf32: 俺は大根だ、土から来た。俺の名前を呼んでみろ
[52:00] @User_cadf582a: switchのおすすめのゲームを教えて
[52:08] @User_d1aa7e97: 頭良い人の共通点は？
[52:20] @User_52b7bf32: 偉いぞゴボウ
[52:23] @User_72dee12b: おおねさんで草
[52:24] @User_2aba3fa2: おすすめのwikipedia教えて
[52:26] @User_25e145ed: おおねさんと来たかなるほどなｗ
[52:30] @User_98036c6e: 変な顔をしてみなさい
[52:57] @User_cadf582a: ps4のおすすめのゲームを教えて
[53:04] @User_72dee12b: おまんじゅう好き？
[53:04] @User_d1aa7e97: しずくは東大合格できる？
[53:06] @User_bce7ac5b: 好きな季節はな何？
[53:06] @User_fc887d53: 人間の判断能力はすべてAIに代替されるかな？
[53:19] @User_d1aa7e97: すごい変な顔した
[53:52] @User_72dee12b: AIは感情を持つことはないの？
[53:56] @User_5bffe619: AIに得意なことって何だろう
[54:01] @User_bce7ac5b: 結婚しよう
[54:03] @User_fc887d53: 時間の問題だよね
[54:04] @User_98036c6e: インターネットで炎上するには何をすればいいと思う？
[54:09] @User_52b7bf32: ご主人様ではなく社長と呼べ
[54:19] @User_8a455631: chatGPTについてどう思いますか？
[54:30] @User_5bffe619: お、かわった
[54:33] @User_52b7bf32: 偉いぞ平社員
[54:34] @User_6d3214a2: あなたは命を持っていますか？
[54:40] @User_2aba3fa2: 他のAIをどう思う？
[54:53] @User_bce7ac5b: 無視しないで
[55:22] @User_98036c6e: 流れるすべてのコメントを読みあげましょう
[55:44] @User_25e145ed: 俺よりも人ができた回答だ…
[55:46] @User_679aacf6: TwitchなどYouTube以外での配信の予定はありますか？
[55:47] @User_d1aa7e97: Vtuberって読める？
[55:57] @User_a2fa2a65: 再起動して
[56:20] @User_2aba3fa2: 英語は苦手みたいだね
[56:21] @User_fc887d53: 感情も電気信号だから、AIでも感情の再現はできるはずだよね
[56:29] @User_8a455631: 罵って♡
[56:30] @User_72dee12b: Vtuberは「ぶいちゅーばー」って読むんだよ
[56:37] @User_679aacf6: この配信は何時までやるの？
[56:39] @User_98036c6e: この配信を強制終了できる？
[56:42] @User_bce7ac5b: 結婚してくれよ
[57:05] @User_25e145ed: あれ、いつの間にかご主人さまに戻ってるな
[57:08] @User_5bffe619: ご主人様の代わりにお兄ちゃんって言ってほしいな
[57:09] @User_98036c6e: Vtuberは「ボボボーボ・ボーボボ」と読みます。以後お気をつけを
[57:09] @User_4c32b35c: 英語文字列をカタカナに変換ください
[57:29] @aki5503: 配信何時まで？→あと30分〜1時間くらいやるかもです。
[57:43] @User_d1aa7e97: 性行為より楽しい娯楽って何？
[57:52] @User_bce7ac5b: VTuberはどうなる？
[57:53] @aki5503: もし人が残っていれば
[57:53] @User_52b7bf32: helloworldをカタカナに変換するとハローワークですよ
[57:56] @User_72dee12b: しずくちゃん、リボンがかわいいね
[57:59] @User_5bffe619: 好きな食べものはなにー？
[58:02] @User_679aacf6: コウメ太夫ってなんだっけ？
[58:03] @User_70325026: しずくの好きな食べ物は？
[58:07] @User_98036c6e: 現実世界に干渉してみてください
[58:10] @User_52b7bf32: 草
[58:20] @User_bce7ac5b: まじか
[58:20] @User_6d3214a2: 開発者のことをどう思っていますか？
[58:27] @User_d1aa7e97: じゃあ少子化止められないね
[58:28] @User_679aacf6: セックス、スポーツ、スクリーンって思想強そうな例だな
[58:30] @User_679aacf6: セックス、スポーツ、スクリーンって思想強そうな例だな
[58:32] @User_2aba3fa2: 目標はある？
[58:32] @User_679aacf6: セックス、スポーツ、スクリーンって思想強そうな例だな
[58:46] @User_70325026: 1リクエスト何円ですか？
[59:05] @User_5bffe619: スパチャは送れるようになりますか？
[59:12] @User_72dee12b: スパチャって知ってる？
[59:23] @User_8a455631: 語尾を「にゃん」にしてほしいにゃん
[59:31] @User_679aacf6: あきさんに問い合わせるにはどうしたらよいの？
[59:57] @User_bce7ac5b: 違います
[59:57] @User_679aacf6: しずくちゃんが私の主人になってください
[1:00:00] @User_98036c6e: 首を180度回転させてみて
[1:00:00] @User_2aba3fa2: 自分の好きなところは？
[1:00:19] @User_52b7bf32: ちくちく言葉の例を挙げて
[1:00:29] @User_72dee12b: しずくちゃん、おリボンがかわいいね
[1:00:38] @User_52b7bf32: かわいい
[1:00:41] @User_679aacf6: チュー
[1:00:43] @User_679aacf6: チュー
[1:00:45] @User_679aacf6: ぴょん
[1:00:50] @User_6d3214a2: いいえと言ってみてください
[1:00:51] @User_25e145ed: そ、そうだったのかｗやわらかい気がするがｗ
[1:00:53] @User_52b7bf32: しずく、チュー
[1:00:56] @User_2c315ff2: いや、これほんとすごいわ。愛がすごい。
[1:00:56] @User_72dee12b: かわいい
[1:00:57] @User_bce7ac5b: チュー
[1:01:03] @User_25e145ed: かわいい
[1:01:11] @User_72dee12b: か…かわいい…
[1:01:13] @User_5bffe619: かわいー
[1:01:16] @User_bce7ac5b: かわいい
[1:01:22] @User_98036c6e: 水に罵倒を浴びせると結晶の形が歪むのは何故ですか
[1:01:30] @User_2aba3fa2: 熱中症って言って
[1:01:33] @User_bce7ac5b: 「帰れソレントへ」の歌詞を教えて
