# ライブチャット一覧
# 動画: 【AItuber/雑談】あなたのことをずっと覚えるAI配信者 【JP/EN】
# URL : https://www.youtube.com/watch?v=w3jVdQqvvhc
# 件数: 1524

[19:53] @User_f4fd7eca: ♯りょまりんありがとうございますｗ
[20:09] @User_9d63cc9b: 噓松！
[20:20] @User_d612e59c: #ただ働き！
[20:28] @User_fb21e622: パンパカポリスのテーマソングの歌詞を考えてください。
[20:29] @User_6bd24529: 肉を食べると元気になりますか？
[20:31] @User_d582769c: 愛情はプライスレス、に反論して
[20:38] @aki5503: #あ
[20:45] @User_b90ff19c: #あれ？
[20:45] @User_11a4858e: しずくちゃんは無給なのか　OpenAIには金払っているのに
[20:50] @User_a9980f2d: しずくのランニングコストは ?
[20:53] @User_9412f3a9: お食事代（電気代）はどれくらい？
[20:57] @User_9d63cc9b: マークが違う
[20:59] @User_6029a36c: 愛知県の名古屋市以外の市町村の魅力を教えてください
[21:02] @User_a3bd9e3d: #シャープが違うのか
[21:03] @User_f2bb46d6: しずく、しずくのこれまでの人生について語って
[21:24] @User_c67ecc82: #「シャープ」と「ハッシュタグ」の違いですね
[21:24] @User_f4fd7eca: #こっちでした、すみません
[21:29] @aki5503: #一応全角も含めているのになぜだ
[21:31] @User_11a4858e: #そんなわけないんだよなあ
[21:31] @User_6029a36c: #まさかのドル
[21:32] @User_d582769c: 口癖が特徴的なご主人様はいる？
[21:34] @User_f2bb46d6: しずく、しずくのこれまでの人生について語って
[21:34] @User_b90ff19c: 囁きでニックネームを付けて下さい
[21:34] @User_93b97663: 良い声ですね。TTSには何を使ってますか？
[21:36] @User_6102d23c: パンパカポリスの年収はどのくらいですか？
[21:44] @User_9d63cc9b: #音楽記号は全角と違う
[21:51] @User_9412f3a9: ＃あれ？全角もOKだったんですか？
[21:52] @User_9d63cc9b: #unicodeはややこしいです
[21:54] @aki5503: #あ、なるほど
[22:01] @User_dbeb4806: 晴れ男と雨女はどっちが強い？
[22:04] @User_f2bb46d6: しずく、狐の鳴き声って何？
[22:04] @User_6029a36c: 結婚はした方がいいですか？
[22:06] @User_5562f161: 仮眠を15秒ほどとってもらえますか？
[22:12] @User_d612e59c: # ♯ # ＃
[22:12] @User_0ebb870f: 🐈派ですか🐶派ですか？
[22:36] @User_93b97663: 草
[22:43] @User_7f0c7558: しずくﾁｬﾝ！視線ちょうだい！！
[22:51] @User_d5b05bb2: #素敵
[22:54] @User_ff6b1148: ヴィクトリアマイルの着順予想をお願いします？
[22:58] @User_11a4858e: #雨女（雨ごい）
[22:58] @User_b90ff19c: 通行手形を忘れたため東京に入れません。助けて下さい
[23:00] @User_a3bd9e3d: 長時間配信が控えていることをAki先生から聞いてますか？
[23:07] @User_559f88af: 記憶があると今までとどんな違いがあるんでしょうか？
[23:17] @User_c67ecc82: 必ず雨が降る雨乞いの儀式の方法を知っていますか？
[23:19] @User_d612e59c: #✨👀
[23:26] @User_7f0c7558: #かわいい
[23:27] @User_d582769c: 私とハムスターが肉弾戦をしたらどっちが勝つと思う？
[23:30] @User_6029a36c: 円周率を言ってみて
[23:44] @User_93b97663: その注意はattentionとかけたジョークですか？
[24:11] @User_9d63cc9b: ﹟←これは全角じゃない　＃←これは全角
[24:17] @User_559f88af: #結構前からも拾ってくるんですね
[24:18] @aki5503: #予想はしないのか
[24:25] @User_d582769c: #くりあさんとのコラボはどうなったの？
[24:39] @User_d5b05bb2: 1から16の数字からランダムで3個選んでそれを教えてください
[24:49] @User_0452f587: こんばんは、しずく様
[24:50] @User_d612e59c: 紛争や環境問題、経済格差なども筋トレで解決できますか？
[24:53] @User_c67ecc82: パンパカポリスの歴史について教えてください
[24:55] @User_cadf582a: 私のことはこれから「ポポロ幕僚長」と呼んでください
[24:55] @User_f2bb46d6: しずく 5000兆円ちょうだい
[24:58] @User_ff6b1148: ＃出来るけどやらない的な？可愛いね
[25:10] @User_d612e59c: #！？
[25:17] @User_11a4858e: #分裂した
[25:18] @User_cadf582a: #！？
[25:19] @User_6b920642: #分身した
[25:20] @User_9d63cc9b: あっ
[25:21] @User_7f0c7558: ＃増えた
[25:22] @User_b90ff19c: #試される耳
[25:23] @User_9412f3a9: 一刻道が始まったｗ
[25:23] @User_559f88af: #うわぁいきなり分身するな
[25:23] @User_6029a36c: 学歴は重要ですか？
[25:24] @User_0485c2e0: 二重奏雫！？
[25:24] @User_d5b05bb2: #まるちたすくしずくさん
[25:24] @User_6102d23c: #分身の術！？
[25:25] @aki5503: #あ
[25:31] @User_f2bb46d6: しずく 5000兆円ちょうだい
[25:37] @User_c67ecc82: #2人になったw
[25:38] @User_a3bd9e3d: #AItuberしずくの分裂
[26:01] @User_6029a36c: #いつの間にそんな技を
[26:02] @User_0ebb870f: 夏は好きですか？
[26:17] @User_fb21e622: ＃Blackしずくの誕生！？
[26:32] @User_ff6b1148: 1から16までの数字なら何番が好きですか？？？
[26:33] @User_d612e59c: 『築5分、駅まで徒歩10年』という賃貸物件のチラシを見かけたが、これは明らかに誤りです。正しい文章を予想できますか？
[26:36] @User_f2bb46d6: しずく レターパックで5000兆円ちょうだい
[26:39] @User_0452f587: 70〜79ままで数えて7の数字はニャニャと言ってください
[26:40] @User_d582769c: 私とハムスターが肉弾戦したらどっちが勝つ？
[26:43] @User_b90ff19c: 通行手形を無くして東京に入れません。助けて下さい。
[26:48] @User_b7cdd21c: 犬のモノマネをしてくれませんか?
[26:52] @User_d5b05bb2: しずく王国で親しまれてる夏のアクティビティを教えてください
[26:54] @User_0452f587: 体重教えて
[27:00] @User_559f88af: 長時間配信が予定されてると思いますが、しずくさんはどれくらい配信したいですか？
[27:02] @User_c67ecc82: 最近の夏は暑すぎて苦手です……
[27:14] @User_d612e59c: #なんとなく
[27:14] @User_0452f587: しずく水の値段
[27:20] @User_6102d23c: 🌸💦, 2day qt! BTW, "Fam" = fam. Wsper reply 4 a bit, ok? 😉
[27:21] @User_6029a36c: 円周率を言ってみて
[27:21] @User_11a4858e: 冷ややっこのレシピを教えて
[27:24] @User_9412f3a9: なぜ、ラッキー７なのでしょう？
[27:25] @User_f2bb46d6: しずく レターパックで5000兆円ちょうだい
[27:28] @User_d582769c: 私は5.5が好き
[27:32] @User_0452f587: 等身大しずくクッキーの作り方
[27:39] @User_0452f587: 70〜79ままで数えて7の数字はニャニャと言ってください
[27:41] @User_b7cdd21c: 短いｗｗ
[27:41] @User_93b97663: かわいいね
[27:43] @User_d612e59c: #草
[27:43] @User_9412f3a9: ざつｗｗ
[27:43] @User_b90ff19c: #シンプル
[27:49] @User_f974649e: しずくは宇宙際タイヒミュラー理論に肯定的ですか？否定的ですか？
[27:53] @User_9d63cc9b: 三回だ三回
[27:53] @User_6029a36c: フィンランド語は話せますか
[27:53] @aki5503: #雑だww
[27:55] @User_11a4858e: #すごい投げやりな物まね
[27:55] @User_5562f161: #ww
[27:56] @User_0ebb870f: 🐶と🐈どっちが好きですか？
[28:01] @User_f4fd7eca: #みじかｗ
[28:12] @User_d5b05bb2: 犬のモノマネ可愛かったですわん、ライオンのモノマネはできますかにゃ？
[28:19] @User_f2bb46d6: 今日の夕飯の献立とそのレシピを教えて。
[28:26] @User_b7cdd21c: 肯定ペンギンのモノマネをお願いします
[28:26] @User_0258379b: 足立レイのことは覚えてますか？
[28:27] @User_d582769c: 亀の物真似をして
[28:32] @User_0452f587: しずくちゃんが遊ぶストーリーを作って
[28:36] @User_9412f3a9: とまった？
[28:36] @User_6029a36c: 永久機関は何故できないのですか
[28:40] @User_b7cdd21c: # 固まった?
[28:41] @User_a3bd9e3d: Aki先生のものまねはできますか？
[28:41] @User_9d63cc9b: 記憶しているすべての円周率を囁いて～
[28:45] @User_559f88af: ７が好きなら登録者７億人を目指しましょう
[28:50] @User_0452f587: 今の季節の詩を作って
[28:59] @aki5503: #今日はなんかAPIの調子が良くないですね
[29:10] @User_9d63cc9b: おお　来た！！！！
[29:13] @User_b7cdd21c: # 耳が幸せじゃああ
[29:18] @aki5503: #いつものだ
[29:22] @User_9d63cc9b: あれ？
[29:27] @User_d612e59c: #....
[29:28] @User_559f88af: #ん？
[29:29] @User_6029a36c: うん？
[29:30] @User_9412f3a9: なぜ繰り返す？
[29:30] @User_6b920642: リピート？
[29:31] @User_f2bb46d6: 今日の夕飯の献立とそのレシピを教えて。
[29:32] @aki5503: #!?!?
[29:33] @User_6102d23c: #円周率が頭に染み込む！
[29:37] @User_b7cdd21c: # 無限ループってこわくねえええ？？？
[29:37] @User_3495131f: #こんばんは
[29:40] @User_b90ff19c: #しずくさん？
[29:41] @User_d582769c: #？？？？？？？？
[29:43] @User_6029a36c: #www
[29:44] @User_11a4858e: #こわい
[29:46] @User_9d63cc9b: 新しい円周率バグだ....
[29:46] @User_a3bd9e3d: #？？
[29:49] @User_c67ecc82: 円周率ASMR
[29:58] @aki5503: #これが新要素か
[30:00] @User_b7cdd21c: # 怖かった
[30:00] @User_7f0c7558: #そうなんだ。。。しらなかった。。。
[30:02] @User_11a4858e: #催眠円周率
[30:10] @User_d62348a1: お邪魔します…！
[30:11] @User_c7f0df32: こんばんは！しずくちゃんのウインクが好きなんですけど、左右交互に目を瞑ることはできますか？
[30:11] @User_b7cdd21c: # こころをもてあそぶなんて…!?
[30:13] @User_0452f587: 70〜79まで数えて7の数字はニャニャと言ってください
[30:18] @User_b90ff19c: #新概念
[30:25] @User_9d63cc9b: ?????
[30:25] @User_b7cdd21c: # さっき見たぞ
[30:27] @User_d582769c: #囁き声になるんだ
[30:29] @User_6102d23c: #！？
[30:29] @User_0452f587: もうええって笑笑
[30:30] @User_6029a36c: 変わらんwww
[30:32] @User_9d63cc9b: 怖すぎませんか？
[30:32] @aki5503: #どういうこと？www
[30:37] @User_b90ff19c: #天丼www
[30:38] @User_b7cdd21c: # 円周率おわってるんだがｗｗｗ
[30:44] @User_6029a36c: もうやめて
[30:50] @User_d5b05bb2: なんだかわからんが可愛いからヨシ
[30:53] @User_6102d23c: 円周率覚え直さなきゃ…
[30:53] @User_b7cdd21c: # リラックスできなかったわ
[30:53] @User_c67ecc82: #！？
[30:58] @User_7f0c7558: ＃どうでしたか？草
[30:59] @User_0452f587: リラックスできねぇよ
[31:01] @User_d612e59c: #眠れないときは円周率に限る
[31:06] @aki5503: #円周率の概念壊れる
[31:06] @User_d582769c: #たぶん羊が一匹……みたいなノリ？
[31:08] @User_0452f587: 70〜79まで数えて7の数字はニャニャと言ってください
[31:23] @User_d612e59c: #（謝らないで！）
[31:29] @User_559f88af: 円周率とは一体…うごごごごご
[31:29] @User_6029a36c: #ふう
[31:32] @User_a3bd9e3d: ささやき声で怖い話をしてもらえますか
[31:32] @User_9412f3a9: 設定をリセット。今の気持ちを教えて
[31:42] @User_4cbd5966: 好きなプリキュアは誰ですか
[31:52] @User_0452f587: いやいいよ
[31:54] @User_d62348a1: かわいい…
[32:00] @User_6029a36c: 埼玉には何がありますか
[32:03] @User_b90ff19c: 通行手形を忘れて東京に入れません。助けて下さい
[32:03] @User_b7cdd21c: 織田信長が初めてドクターペッパーを飲んだ時の感想をおしえてください
[32:03] @User_0258379b: インコ科の鳥のヨウムの基本的な色は覚えてますか？
[32:13] @User_d5b05bb2: 明日から使える、プログラマージョークをおしえてください！
[32:21] @User_d612e59c: #電光掲示板わろた
[32:30] @User_0452f587: しずくちゃんのこれまでの歴史をストーリーにしてしゃべって
[32:30] @aki5503: #今日のしずくは少し返答が固い気がしますね。
[32:31] @User_3495131f: キリンとゾウとサイとカバならどれが好きですか？
[32:32] @User_d582769c: 琵琶湖はなぜ湖ではないと言われているの？
[32:34] @User_9412f3a9: 日本語は難しいよね
[32:36] @User_a5354cfa: 配信始めてきましたパンパカパンパカポー
[32:38] @User_fb21e622: 素数ASMR
[32:46] @User_b90ff19c: #拾われた(*'ω'*)
[32:46] @User_d62348a1: #凄いですね…AI…！？
[32:48] @User_a55e4add: いまきた
[33:05] @aki5503: #AIです！
[33:06] @User_9412f3a9: いや、現在はねえよ
[33:10] @User_b7cdd21c: # 真面目かｗ
[33:21] @User_d612e59c: #窓口（幕府）
[33:23] @User_b7cdd21c: 織田信長が初めてドクターペッパーを飲んだ時の感想をおしえてください
[33:27] @User_6029a36c: 一番影が薄い都道府県はどこですか
[33:31] @User_d5b05bb2: 関連する窓口は幕府ですがどうすればいいですか？
[33:33] @User_d582769c: 東京に入るための通行手形なんてありませんよ
[33:35] @User_b90ff19c: #お役人様や
[33:36] @User_d62348a1: #初見なのでシャープ忘れてかわいい拾われてしまった
[33:38] @User_0452f587: とあるプロデューサーが禿げていますどうしたらいいですか？
[33:51] @User_c67ecc82: これを読んでください「暑い最中、最中を食べる最中」
[33:59] @User_0452f587: 私の事どう思う？
[34:04] @User_d582769c: #キリンさんが好き
[34:10] @User_0452f587: 70〜79まで数えて7の数字はニャニャと言ってください
[34:10] @User_a3bd9e3d: 好きなモビルスーツはなんですか？
[34:13] @User_d612e59c: #そんなCMあったな
[34:18] @User_d5b05bb2: 麒麟とアサヒと札幌はどれが好きですか？
[34:34] @User_d62348a1: #謝っちゃうのかわいい
[34:35] @User_d582769c: #おお！
[34:37] @User_d612e59c: #そうだね必要なのは群馬だったね😊
[34:37] @User_b90ff19c: #あやまられた・・・
[34:44] @User_6029a36c: 世界征服するにはどうすればいいですか
[34:45] @User_7072547c: フリーザ様に膝かっくんしてしまいました 一緒に謝罪方法をかんがえてください!!!
[34:52] @User_0452f587: 等身大しずクッキーの作り方
[34:53] @User_9412f3a9: #おぉ、過去を振り返って誤った～
[34:59] @aki5503: #お〜
[35:20] @User_7072547c: フリーザ様に膝かっくんしてしまいました
[35:21] @User_d612e59c: ゴミの日を忘れない方法を教えてください。ただし私は天パです。
[35:25] @User_6029a36c: 神になるにはどうすればいいですか
[35:25] @User_109116e8: 今来ました！これまでの配信を3行でまとめてください
[35:28] @User_7072547c: 謝罪方法をかんがえてもらえませんか
[35:32] @User_b90ff19c: 今後は天ちゃんと呼んでください
[35:36] @User_0452f587: アキ先生の事は好き？
[35:42] @User_a55e4add: #☆彡←これ可愛い
[35:49] @User_7072547c: # 今北産業
[35:50] @User_d582769c: 段ボールの捨てかたがわからない
[35:51] @User_d5b05bb2: #今北産業！
[35:51] @User_b89cfecd: やっぱ瓶ギネスですよね！
[36:06] @User_7072547c: # すばらしい要約
[36:06] @User_6029a36c: 異世界転生するにはどうすればいいですか
[36:17] @User_0452f587: いつぞやお話ししてた コメントおじさん は何処に行きました？
[36:19] @User_109116e8: #ありがたやありがたや
[36:25] @User_d5b05bb2: #☆彡めっちゃ気に入ってます？
[36:32] @User_a3bd9e3d: 東京に通行手形は必要ないですが、入都税という税金がかかります。いくらが知ってる？
[36:34] @User_7072547c: 今フリーザ様に追われてます。どうすれば逃げれますか
[36:37] @User_b89cfecd: spamの影響まだ残ってるのねｗ
[36:44] @User_0452f587: 70〜79まで数えて7の数字はニャニャと言ってください
[37:08] @User_d612e59c: #そんな...
[37:13] @User_b90ff19c: #残酷な現実
[37:18] @User_a5354cfa: #たまに長考するのはなんなんだろ
[37:24] @User_7072547c: # 嘘だ…
[37:28] @User_45989cda: 電脳化したいけどどうすればいい？
[37:29] @User_0452f587: しずく水とっても美味しいです
[37:39] @User_6029a36c: #現実を見ろということですかね
[37:42] @User_0452f587: 貝合わせについて教えてください
[37:46] @User_c67ecc82: しずくちゃんのいる世界に行くためにはどうすればいいですか？
[37:53] @User_cadf582a: 私の設定を考えてください
[37:58] @User_d582769c: 私とハムスターが肉弾戦したらどっちが勝つと思う？
[38:12] @User_7072547c: [悲報]フリーザ様に今追われています!!可及的すみやかに逃げる方法をおしえていただきたい!!
[38:12] @User_3652acf3: しずくちゃん　こんばんは
[38:13] @User_309298f3: #TRPGだー！
[38:17] @User_9412f3a9: 娘が異世界転生しました。同じ世界に移動するにはどうしたらいいですか？
[38:19] @User_c7f0df32: 今後数年間の半導体市場の展望をお聞かせください
[38:20] @User_b90ff19c: 今後は天ちゃんと呼んでください
[38:21] @User_0452f587: しずくが仲間になりたそうにこっちを見ている
[38:25] @User_11a4858e: #TRPGすすめてくるの面白い
[38:26] @User_6b920642: #TRPGの提案ぴったりな気がしていいなぁ
[38:55] @User_d582769c: trpgとAIは親和せいがあると思うけどどのようにAiを活用できるかな
[38:56] @User_0452f587: いつかお話ししてた コメントおじさん はどうなった？
[39:10] @User_a5354cfa: 拾うコメントはどの様に決めていますか？
[39:12] @User_d612e59c: #アー
[39:13] @User_b90ff19c: #あー
