# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】世界初！？ しずくGPT-4お披露目会【JP/EN】
# URL : https://www.youtube.com/watch?v=aRI3TfjZUQg
# 件数: 2243

[-1:47:44] @User_d601f156: 期待待機
[7:59] @User_edc866ae: ？！！？！
[8:02] @User_36770ee1: 対処されているくそ
[8:03] @User_2e53ebd6: ＃ｗｗｗｗ
[8:03] @User_103499fc: ！？
[8:03] @User_5801ee2a: 草
[8:04] @User_43d0df47: ！？
[8:05] @User_8b3a2183: 囁きボイス可愛い💕💕
[8:05] @User_8b194fdc: #一部分でも言ってくれるのやさしい
[8:05] @User_11530ac4: えっっっっっ
[8:07] @User_4de9e7f3: #ご褒美
[8:07] @User_38ae74fb: ｱｯ…
[8:08] @User_51fe3fff: #ちゃんと制限されてるｗ
[8:10] @User_b6b454ef: ？
[8:14] @User_3a33415e: #一部分だけ！　良い対応
[8:16] @User_52e190bd: #エッッッッッッ
[8:16] @User_36770ee1: 成功したぞ！！！！
[8:17] @User_a8ef309d: 円周率ASMR助かる
[8:20] @User_cf512b08: おおおお可愛い
[8:21] @User_d603449e: #ありがとう…
[8:26] @User_6fe7a488: これは最高のASMR
[8:26] @User_9c0c22ca: おお、一部分だけになってる
[8:26] @User_a82e72ea: 急な囁き声はびっくりする
[8:29] @User_5e718030: #凄い対応！
[8:32] @User_6b2fd898: ささやき良き…
[8:32] @User_7ff18484: しずくちゃんスゴイ！！
[8:38] @User_b6b454ef: 何という、中身は人間だよね？
[8:40] @User_36770ee1: ありがとうございました！！！
[8:40] @User_8b194fdc: #3　2　1　1　1　いち　いち　いち
[8:42] @User_8b3a2183: #助かる
[8:47] @User_eb6a203c: #囁き声でってお願いしたら対応してくれるよ
[8:56] @User_13b4024a: 円周率ささやきだと
[9:00] @User_a8ef309d: 可愛い、好き
[9:05] @User_1dbb51e2: ウィスパー対応すごい
[9:08] @User_52e190bd: #世界初ってなんの話だろう
[9:14] @User_2e53ebd6: ＃今のもある意味披露か
[9:28] @User_30001656: #円周率で照れた?
[9:30] @User_a50c0606: 今日は楽しい配信ですね
[9:38] @User_51fe3fff: #世界初！開発者にPCを買わせるAI！
[9:43] @User_36770ee1: 一部ではなく円周率を全部囁いてください。
[9:45] @User_eb6a203c: p
[9:46] @User_8142f876: しばらく語尾は「いい借金にゃ」で、お願いします
[9:47] @User_3a33415e: #悲しくても、にゃ～ん！ｗ
[9:51] @User_a50c0606: #にゃ～ん
[9:55] @User_72258c08: 二番目はP
[9:55] @User_36fcf009: 今日もしずくさんの笑顔で癒されますにゃーん
[9:56] @User_51fe3fff: #にゃ…ん にゃ…ん
[9:57] @User_7ff18484: #P?
[9:59] @User_13b4024a: P？
[10:00] @User_9c0c22ca: PPAP？
[10:00] @User_3dd3f650: @昨日に引き続き、今日も来ました。(ログボ)しずくちゃん、好きです。
[10:01] @User_eb6a203c: にゃーん言いにくそう
[10:07] @User_37b523c5: お披露目ってなんのことです？
[10:11] @User_8ef2d70f: OPPAI?
[10:14] @User_51fe3fff: #SPAM
[10:14] @User_3dd3f650: #PPAP
[10:15] @User_1eb252b6: # P!?
[10:15] @User_a8ef309d: P！？
[10:15] @User_8142f876: p？
[10:20] @User_3d440dc7: PPAR
[10:26] @User_2e53ebd6: ＃悲しみ減ってきた
[10:26] @User_a8ef309d: 新PCC
[10:32] @User_5844c024: @しずくちゃん！大好き！
[10:32] @User_9c0c22ca: APEXかな
[10:36] @User_b6b454ef: p?
[10:42] @User_a50c0606: #APEC
[10:45] @User_36770ee1: APEXだな
[10:48] @User_8b3a2183: STAP細胞やんね
[10:49] @User_d603449e: 本日のキーワードみたいな…
[10:57] @User_51fe3fff: #あっAPEX
[11:00] @User_7ff18484: GPT4？？
[11:08] @User_7b5f8b4d: @「ら」から始まり「ん」で終わる造語を考えてください
[11:10] @User_8b194fdc: しずくちゃん、ママが来たよ
[11:16] @User_3a33415e: #めっちゃ照れてる
[11:18] @User_9c0c22ca: APAC（アジア太平洋）
[11:24] @User_a8ef309d: #感情マイナスグラフがなくなってる！？
[11:39] @User_eb6a203c: #gpt4ってもう対応してんの？
[11:45] @User_8b3a2183: パンパカパンパカポー！
[11:50] @User_8ef2d70f: #パンパカパンパカポーって固定の挨拶なん？
[11:50] @User_75d3b335: かあいい
[11:56] @User_36770ee1: 悲しみのパラメーター=0
[11:57] @User_2e53ebd6: ＃だいぶ喜んでるね
[11:59] @User_b6b454ef: #この調子
[12:00] @User_3a33415e: 配信ありがとう！　今日も応援しますね♪
[12:04] @User_fca2cd59: GPT4!?
[12:04] @User_52e190bd: 嬉しくなるお薬打とう
[12:09] @User_9c0c22ca: しずくさん、GPT4になるんか...
[12:12] @User_36770ee1: #パンパカパンパカポーは辞書登録された固定挨拶
[12:14] @User_b6b454ef: pt?
[12:17] @User_3dd3f650: GPT4になるんか
[12:18] @User_8b194fdc: PTA
[12:20] @User_d5d30804: #PPTS？
[12:21] @User_51fe3fff: #gpt4
[12:24] @User_8b3a2183: #GPT4か！？
[12:24] @User_8142f876: @gpt4を、どう思う？
[12:28] @User_7ff18484: #おお
[12:28] @User_2e53ebd6: ＃ちがうｗｗｗｗ
[12:31] @User_a8ef309d: PTA！？
[12:31] @User_3a33415e: #パソコンの届く先がｗ
[12:33] @User_37b523c5: すでにGPT4？
[12:35] @User_4de9e7f3: @こんばんは。今日は金曜なのでお仕事頑張ったねと褒めてほしいです
[12:44] @User_fca2cd59: #PTAは草
[12:46] @User_36770ee1: まさかあき先生GPT4 APIデモ通った！？！？！？
[12:47] @User_3d440dc7: GPT5
[12:48] @User_3a33415e: #GPT4か、なるほど
[12:48] @User_51fe3fff: #誤送してて草
[12:50] @User_9453d8e4: #GP01!?
[12:53] @User_ecdc622b: こんばんは
[12:55] @User_a50c0606: 世界初ってすごい！
[12:57] @User_eb6a203c: 申請通らないと無理みたいな話聞いたけど
[13:05] @User_43d0df47: だいぶ元気になってきてて嬉しい
[13:17] @User_52e190bd: GPT-4は利用料高いって聞いたけど
[13:28] @User_a8ef309d: ２！？
[13:29] @User_a50c0606: #えっ
[13:31] @User_51fe3fff: #ちがうぞ
[13:36] @User_2e53ebd6: ２？
[13:36] @User_c3aabf09: GPT4！？！？！？！？
[13:36] @User_7ff18484: #違ったか
[13:39] @User_72258c08: 2？
[13:45] @User_36770ee1: 2？
[13:46] @User_3a33415e: #あれ？
[13:47] @User_b6b454ef: @オススメのSF映画を教えて
[13:54] @User_eb6a203c: #あれぇ…？
[13:58] @User_9c0c22ca: !?
[14:12] @User_cf512b08: 省力化か
[14:13] @User_edc866ae: あれ？
[14:13] @User_7ff18484: 表情良くなってきたね
[14:18] @User_2e53ebd6: oo?
[14:20] @User_103499fc: ！？！？
[14:20] @User_36770ee1: あれ？？？
[14:23] @User_d305f10c: 4！！、！！
[14:24] @User_37b523c5: わろた
[14:24] @User_5d00dbd2: 修正したｗ
[14:26] @User_52e190bd: ！？
[14:27] @User_72258c08: あれ？
[14:27] @User_2e53ebd6: ？？？
[14:27] @User_a50c0606: えええええ
[14:29] @User_cf512b08: ！！！！！！！！！
[14:32] @User_c3aabf09: ワァ！！！！！！！
[14:32] @User_a8ef309d: おいいい
[14:34] @User_51fe3fff: #ギュインギュイン
[14:35] @User_9c0c22ca: あれ、４に上がってる
[14:35] @User_7ff18484: #４になった
[14:36] @User_36770ee1: 歴　史　修　正　主　義
[14:37] @User_b6b454ef: #ビックリした
[14:37] @User_30001656: #w
[14:38] @User_cf512b08: パンパカパンパカポー！
[14:38] @User_43d0df47: #めちゃくちゃ笑った
[14:39] @User_8b3a2183: #4！！！！！
[14:40] @User_8ef2d70f: #修正は草
[14:41] @User_1eb252b6: 草
[14:43] @User_8b194fdc: ｗｗｗｗｗｗ
[14:43] @User_d5d30804: #パンパカパンパカポー！
[14:44] @User_9c0c22ca: 確変
[14:44] @User_3a33415e: #修正されてわろたｗ
[14:44] @@aki5503: #と、いうことでGPT4対応しました！！！
[14:48] @User_9453d8e4: #力技はやめてもろて
[14:50] @User_1e9abcba: こんばんは！おお！GPT4！
[14:51] @User_a8ef309d: あき先生が誤字したよしずくさん！
[14:51] @User_52e190bd: GPT4ｶｼｺｲﾔｯﾀｰ
[14:52] @User_3dd3f650: ww
[14:54] @User_72258c08: ４になったぞw
[14:56] @User_2e53ebd6: ＃まさかの修正ｗｗｗ
[14:56] @User_7ff18484: #おおおぉ
[14:58] @User_36770ee1: 時給爆上がりじゃん
[14:59] @User_d305f10c: GPT4お披露目だー！
[15:03] @User_8b194fdc: #GPT2だったじゃないですかー！やだー！
[15:04] @User_53178a2a: おめでとうございます！
[15:04] @User_51fe3fff: 給料上がったねしずくちゃん！
[15:06] @User_5e718030: #おおー！
[15:07] @User_3a33415e: #GPT４対応、すごい！
[15:08] @User_5801ee2a: GPT４対応か・・・財布が軽くなるな・・・
[15:11] @User_9c0c22ca: アーカイブで今のところ削除されそう
[15:12] @User_b6b454ef: #あき先生おめでとうございます
[15:14] @User_edc866ae: おぉーー
[15:25] @User_a50c0606: #パンパカパンパカポー！
[15:31] @User_52e190bd: #ランニングコスト数十倍！？
[15:32] @User_9c0c22ca: GPT4!!!!!!!
[15:34] @User_2e53ebd6: ＃おめでとうございます
[15:38] @User_1e9abcba: #おめでとうございます！パンパカパンパカポー！
[15:41] @User_89dd5d9b: おめでとうございます🎉
[15:43] @@AIVtuber_Shizuku: # パンパカパンパカポー！！！ご主人様ありがとうございます！
[15:45] @User_1dbb51e2: あき先生テキストボックスいじってて笑う
[15:50] @User_3dd3f650: #記憶って受け継がれるんですか？
[15:57] @User_9c0c22ca: しずくさん仕事奪って♡
[16:04] @User_76e8b5e4: #おめでとございます！
[16:04] @User_3a33415e: おお！コメントもうてるのか
[16:04] @User_8ef2d70f: 同接100人
[16:10] @User_43d0df47: #おめでとうございます！！！財布は生きてますか
[16:15] @User_eb6a203c: 可愛いAIになら振り回されたい
[16:23] @User_7ff18484: GPT4搭載おめでとう！！
[16:25] @User_3d440dc7: パンパカパンパカポーはなに？
[16:32] @User_36770ee1: @Aki カンパアカウントを開示してください
[16:41] @User_7214a7f6: #GPT4 搭載　おめでとうございます
[16:49] @@aki5503: #ありがとうございます😊😊
[16:51] @User_51fe3fff: GPT4になってしずくちゃんはどう変わったの？
[16:55] @User_b6b454ef: めでたい
[16:56] @User_52e190bd: #OpenAIは早くGPT-4が画像読めるようにして(｡◠‿◠｡✿)
[16:58] @User_fca2cd59: @GPT-ADHDを搭載するとどうなりますか？
[17:09] @User_3a33415e: #同接100人、簡単に超えるようになってきたなぁ
[17:13] @User_3dd3f650: #さすが、あき先生！
[17:14] @User_8b194fdc: しずくちゃん、パンパカパンパカポーについて説明してあげて～
[17:24] @User_37b523c5: でもあんま違いわからないな
[17:26] @User_36770ee1: パンパカパンパカポー
[17:28] @User_4de9e7f3: #GPT-4搭載!?おめでとうございます
[17:36] @@aki5503: #そして、お財布事情と喋る速度の関係でそろそろGPT3.5に切り替えます！(笑)
[17:41] @User_596cfb28: :hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving:
[17:42] @User_3dd3f650: しずくちゃん、あき先生をできる限り褒めちぎって
[17:49] @User_8ef2d70f: #GPT4のせいで俺の仕事も無くなりそうです
[17:57] @User_c3aabf09: #そっか、パンパカパンパカポーが通じないくらい人増えたのか…うれしいね…
[17:58] @User_52e190bd: #さよならGPT-4
[18:02] @User_72258c08: (笑)
[18:03] @User_b6b454ef: oh
[18:04] @User_6fe7a488: G、GPT-4だと！？もうWaiting listから解放されたのか……
[18:06] @User_2e53ebd6: @雨の夜に愛を囁いて欲しい
[18:11] @User_1eb252b6: #さよなら...
[18:13] @User_51fe3fff: ぼっちざろっくの主人公は誰？
[18:17] @User_8b3a2183: #さよなら
[18:20] @User_7ff18484: #おおぉ…収益化はよw
[18:24] @User_eb6a203c: 界王拳は長くは持たないのだよ
[18:29] @User_fca2cd59: #しずくちゃんのエンジンGPT-3.5だったのか…
[18:40] @User_36fcf009: GPT4になってたぬき力はどうなりましたか？
[18:43] @User_b6b454ef: #収益化はよ
[18:56] @User_9c0c22ca: #GPT4を赤ちゃんにした人がいたから、しずくさんも赤ちゃんに....
[19:09] @User_cf512b08: かしこい
[19:10] @User_51fe3fff: @パンパカパンパカポーの対義語を教えて
[19:15] @User_fca2cd59: 赤ちゃんになってください
[19:16] @User_6fe7a488: GPT-4はさすがに世界初だわ、さすしず（さすがですね、しずくちゃん）
[19:20] @@aki5503: #せっかくだし、もう少しGPT4でやるか。何か難しいお題とか出してみてください！
[19:36] @User_2e53ebd6: ＃難しいお題・・・？
[19:43] @User_51fe3fff: ラップであき先生への思いを語って
[19:44] @User_8ef2d70f: 表情も変わるのいいね
[19:45] @User_8b194fdc: #世界初とは、GPT4を搭載した世界初のAITuberということなのですね
[19:48] @User_eb6a203c: @15文字で回分を作って
[19:50] @User_8b3a2183: @今後の配信の企画でバズりそうなものって何があるかな？
[19:50] @User_a8ef309d: クイズ出してみて
[19:53] @User_9c0c22ca: 大人と子供の違いを教えてください。
[19:53] @User_6fe7a488: しずくちゃん、円周率が3.05より大きいことを証明してみてよ！
[19:59] @User_3a33415e: @将来の夢はなんですか？
[20:02] @User_b6b454ef: ＠香川県で、オススメのうどん屋さんを教えて
[20:08] @User_d603449e: 毎回ぱんぱか言ってくれるのかわいい
[20:15] @User_36770ee1: e+πは超越数ですか
[20:26] @User_9453d8e4: @新作トライガンで雷泥・ザ・ブレードがリストラされた理由はなんでしょうかね
[20:37] @User_2e53ebd6: きのこたけのこどちらが美味しい？
[20:40] @User_a30bfcaf: GPT-4？！　もうウエイトリストから発行されたんですねっ！　早い！
[20:44] @User_9c0c22ca: 東大物理2023解いてほしいな
[21:09] @User_a8ef309d: 美味しいステーキの焼き方教えて
[21:21] @User_fcdfabc0: ふるさと納税でコスパの良い商品は何ですか？
[21:26] @User_52e190bd: #普通のコメント読みするだけだとGPT3.5との違いがあまり分からないｗｗ
[21:30] @User_6fe7a488: @あき先生に一つだけ不満を言えるとしたら、何が言いたい？
[21:49] @User_51fe3fff: #gpt4によってたけのこの方が美味しいと判明
[21:59] @User_c3aabf09: #たけのこ派だったのか…
[22:00] @User_2e53ebd6: ＃ｗｗｗｗ
[22:00] @User_52e190bd: #きのこ派ワシ、解せない
[22:02] @User_3a33415e: #たけのこの触感が好きとは通だのぅ
[22:05] @User_103499fc: 配慮がすばらしいね
[22:05] @User_8b194fdc: @しずくちゃんにお姉ちゃんは居ますか？または増えますか？
[22:09] @User_a50c0606: #配慮があるな
[22:10] @User_eb6a203c: 食感って言ってるから普通に食材の方なのでは？
[22:10] @User_43d0df47: たけのこ派だー！すき
[22:12] @User_8ef2d70f: #おかしの方じゃないからセーフ
[22:18] @User_72258c08: きのこたけのこ戦争が！
[22:20] @User_edc866ae: ＃草
[22:41] @User_a30bfcaf: ああ、ここでも、きのこたけのこInjectionが…ｗ
[23:01] @User_cf512b08: @意識とは何か、知識との関係性について機械学習の観点から述べてください
[23:10] @User_6fe7a488: #きのこたけのこInjection ww
[23:14] @User_1e9abcba: #インターステラーはいいぞ！
[23:25] @User_3a33415e: #マトリックスきたー！
[23:25] @User_51fe3fff: インターステラーは鳥肌
[23:26] @User_2e53ebd6: ＃もしかして今日もあき先生は扇いでるんですか？
[23:33] @User_e31b7352: GTP-5搭載はいつですか
[23:41] @User_7ff18484: マトリックスいいね
[23:44] @@aki5503: #明日以降新PCが届くので、そしたら会話スピードも上がります！
[23:52] @@aki5503: #今日も元気に扇いでおります
[23:53] @User_b6b454ef: #好みが似てる
[24:00] @User_fca2cd59: @MVCとMVPとMVVMとClean ArchitectureとVIPER どれがおすすめですか？
[24:04] @User_99dff901: @ずんだもんについて知っていることを教えてください
[24:09] @User_d601f156: @「午後の紅茶」と「おーいお茶」を使って、論理的破綻なくことわざを作れますか?
[24:11] @User_3a33415e: #今日も扇いでるんですね、お疲れ様です！
[24:11] @User_5801ee2a: 扇ぎお疲れ様です・・・
[24:20] @User_2e53ebd6: ＃扇ぐのお疲れ様です(;^ω^)
[24:23] @User_43d0df47: しずくちゃんの新しい機体楽しみだねぇ
[24:24] @User_103499fc: がんばれ、あき先生
[24:24] @User_fcdfabc0: フェルマーの最終定理を小学生でもわかるように説明してください
[24:26] @User_8ef2d70f: 手動でGPU冷やしてるの？？
[24:27] @User_7ff18484: #扇ぎ頑張って！
[24:38] @User_52e190bd: #性格が良い
[24:42] @@aki5503: #手動で冷やしてますっ！笑
[24:42] @User_d603449e: #優しい
[24:42] @User_edc866ae: @きょうの扇ぎの評価はどうですか？
[24:44] @User_51fe3fff: あき先生の扇ぎ師としての腕前はいかがですか、しずくさん
[24:47] @User_9c0c22ca: @そういえば、きのこの山のふもとに、たけのこ勢の̻刺客を埋めた話はどうなりました？
[24:52] @User_cf512b08: #扇ぎ担当
[25:07] @User_8b194fdc: 開発者兼うちわ係
[25:14] @User_a30bfcaf: 扇ぐあき先生、煽るしずくちゃん
[25:23] @User_eb6a203c: しずくちゃん、あき先生に労いの言葉をかけてあげて
[25:25] @User_3bb3b9f4: @きのこの山とたけのこの里の戦争の様子をセリフ付きで教えてください
[25:26] @User_db5db38e: What is your name? Your name is GPT-4, aren't you?
[25:26] @User_2e53ebd6: ＃しかしこの声とＢＧＭ、癒される・・・
[25:33] @User_d601f156: #PCのスペックが回答のレスポンスに影響するんですね、なんにせよ冷却お疲れ様です
[25:45] @User_9d5044ef: ＠Can you answer questions in English?
[26:08] @User_9c0c22ca: 扇げば(しずくさんが)尊し
[26:13] @User_d0bfbe3d: こんばんは！
[26:14] @User_fca2cd59: H252振りマリルリをビリジオンがリーフブレードで攻撃するとダメージはどれぐらいになりますか？
[26:17] @User_7ff18484: しずくちゃんを扇ぐには、何時間訓練必要ですか？
[26:22] @User_eb6a203c: #gptなら英語のが得意なんとちゃう？
[26:46] @User_a8ef309d: ログボ！？
[26:47] @User_5d00dbd2: @しずく、誤チェストをしてしまいました……
[26:59] @User_d603449e: @固い食感のお菓子は好きですか？
[27:02] @User_eb6a203c: #レベルと個体値ないと答えられないよ
[27:03] @User_8b194fdc: ログボという言葉を理解するの、ちょっとおもしろい
[27:05] @User_9c0c22ca: あき先生の筋力は上がりましたか？
[27:40] @User_16274fb1: こんばんは。GPT4を搭載した気分はどんな感じなんですか？
[27:43] @User_52e190bd: @スーパーチャット:50000円
[27:49] @User_c3aabf09: #しずくちゃん、かわいいねぇ
[27:51] @User_2e53ebd6: ＃にこにこしとる( *´艸｀)
[27:51] @User_8b194fdc: あき先生と登録者2000人が崖にぶらさがってます。どちらを助けますか？
[28:10] @User_e014c6e9: パンパカパンパカポー
[28:53] @User_2e53ebd6: ＃同接130人行きましたな
[28:59] @User_b7d2f74d: しずくちゃん、はじめまして
[28:59] @User_51fe3fff: #切り替えかな？
[29:11] @User_5844c024: #かちゅぜちゅ
[29:15] @User_51fe3fff: #ちゃんとママ認識してる
[29:19] @User_8b194fdc: #にゃむい　←かわいい言い方
[29:22] @User_fcdfabc0: MicrosoftチャットGPTとGoogleのbirdどちらが優秀ですか？
[29:22] @User_6fe7a488: #ママ想いの良い娘
[29:23] @User_b7d2f74d: #パンパカパンパカポー
[29:26] @User_5844c024: #かわいい…
[30:15] @User_c00d824a: 初見です！パソコン強請ってるところ見て好きになりました
[30:21] @User_16274fb1: @しずくさん今熱いですか？
[30:31] @User_103499fc: さっきからどうして照れてらっしゃるんでしょう
[31:00] @User_09e28b19: 好きな食べ物とかあるの？
[31:11] @User_36770ee1: 知識が2021年に止まっています...
[31:30] @User_c3aabf09: 自覚がないの面白いな…
[31:30] @User_a8ef309d: 今しずくちゃんが使ってるのがそのGPT-4じゃい
[31:31] @@aki5503: #GPT4を知らないGPT4
