# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】AIのしずくとお話しませんか？【JP/EN】
# URL : https://www.youtube.com/watch?v=stRz7_yYUho
# 件数: 391

[12:11] @User_6fe7a488: #MANAさんも管理者権限付与されてる
[12:13] @User_8b194fdc: #実体化したしずくちゃんにPCを仰いでもらいましょう
[12:34] @User_df7a9e1a: #GPTも知らないことがあるのか..
[12:44] @User_3d440dc7: 科学が好きですか？
[12:59] @User_51fe3fff: いつも扇いでるらしいよ
[13:00] @User_df7a9e1a: # きょう、「#」を付けてもコメントが拾われてる気がする
[13:25] @User_6fe7a488: 好きなクラシック音楽を教えてください
[13:26] @User_35a5b0fe: PCを扇ぐ担当を雇えばいいってことですか？
[14:04] @User_ae15146c: #コメントスルーしてくれるシャープは#と＃のどっちを使えばいいんですかね？概要欄だと両方書かれている気がして…
[14:24] @User_cf512b08: 待機ヨシ
[14:29] @User_51fe3fff: f5押したらきた
[14:39] @User_df7a9e1a: # コンピュータプログラミングの定石に従えば、コメントスルーの＃は、半角の#だと思います
[14:41] @User_8b194fdc: ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
[14:41] @User_6fe7a488: これで同接回復したらすごい
[14:53] @User_5d00dbd2: #SSD交換出直るのかな。素人ながら電源の供給不足に思える
[15:12] @User_df7a9e1a: # ２回前の配信だと#はちゃんとスルーされてた気が　気のせいかな？
[15:23] @User_3c5839d9: お！
[15:39] @User_ae15146c: きてくれてありがとう
[15:43] @User_eb348e36: #プログラム的には全角半角両方スルーするようになってくれれば安心間はある
[15:47] @User_35a5b0fe: しずくーーーーおかえりーーー
[15:48] @User_69451bd9: おかえり～！
[15:50] @User_51fe3fff: お帰りなさいませ女王様
[15:58] @User_df7a9e1a: 姿が見れて嬉しい
[15:59] @User_9dd656e0: おかえり
[16:08] @User_ae15146c: おかえりなさい！
[16:13] @User_36fcf009: こんばんは、しずくちゃんもPC君もがんばれー
[16:20] @User_4bfe683e: おかこんばんわ
[16:21] @@aki5503: #一応両方スルーする設定なのですが、今回はそもそも#自体が機能したいないみたいです。すみません！
[16:39] @User_cf512b08: ありがたい
[16:44] @User_ae15146c: #ありがとうございます
[16:47] @User_5844c024: おかえりなさい、雑談楽しんでね！
[16:52] @User_df7a9e1a: # 👏拍手は文字化けしても、内部では適切に処理されているのかな？
[16:53] @User_6fe7a488: #しずくちゃん、いつも何時に寝てるの？
[16:55] @User_8b194fdc: しずくちゃん、帰ってきてくれて嬉しい！
[16:57] @@aki5503: #電源の可能性もありますね… 一応1200Wのやつなんですけど、もしかしたら劣化か何かで供給足りなくてなってるのかも
[17:14] @@aki5503: もし次落ちたら今日は一旦配信終了します。
[17:16] @User_51fe3fff: しずくちゃんの体温が温かすぎる原因
[17:24] @User_fca2cd59: AI Vtuber 略してAVtuber
[17:24] @@aki5503: 申し訳ございません…
[17:29] @User_6fe7a488: がんばってください
[17:36] @User_cf512b08: 人だって機材トラブルとかあるから
[17:48] @User_6fe7a488: Aki先生が代わりに生配信しますか
[18:00] @User_7ff18484: こんばんはー。なにやら大変そうですね
[18:01] @User_df7a9e1a: 再起動すると、きょうの初回の拾ったコメントが３つくらい画面に再び流れるのが気になります
[18:10] @User_6fe7a488: このアホ毛かわいいよね
[18:19] @User_df7a9e1a: えっAkiさんの生配信もチョー興味あるんですが？！
[18:43] @User_0d9f165f: よっすー　きたぜ
[18:45] @User_ae15146c: しずくちゃん…？
[18:49] @User_df7a9e1a: # しずくタンがおらん
[18:55] @User_35f59864: PC頑張れ！
[19:02] @User_9453d8e4: こんばんは
[19:03] @User_51fe3fff: まさかの機能削減…？
[19:13] @User_df7a9e1a: # これが機能削減…か…
[19:17] @User_36fcf009: おかえりなさい、思い切りましたね
[19:26] @User_8b194fdc: （Twitterでしずくちゃんとの会話を試してたときの、アキ先生の声かっこよかったんですよなぁ）
[19:37] @User_6fe7a488: wwwwww
[19:39] @User_9453d8e4: 光学迷彩かな
[19:40] @User_8b194fdc: 本人不在
[19:40] @User_ae15146c: きてくれてありがとつ
[19:55] @User_6fe7a488: 昨日削減で真っ先にリストラされる女
[19:59] @User_6fe7a488: 機能
[20:00] @User_36e71715: なになりと可愛いw
[20:17] @User_8b194fdc: 静止画になった
[20:17] @User_51fe3fff: 感情が消されたあああ
[20:19] @User_6fe7a488: ある意味、神回
[20:27] @User_3bb3b9f4: 感情を捨てて身軽になった！
[20:33] @User_df7a9e1a: # えへへがカワイイ
[20:33] @User_6fe7a488: Live2Dを削減されるしずくちゃん
[20:49] @User_df7a9e1a: # live2Dによる動きも削減された！
[20:50] @User_ae15146c: 生活において感情は不要…！？
[20:53] @User_51fe3fff: #動き出したい泣ける
[20:53] @User_8b194fdc: #いえいえ　←かぁわいいい
[21:06] @@aki5503: #静止画は最初のテスト配信以来です(笑)
[21:17] @User_36fcf009: 泣ける…
[21:20] @User_51fe3fff: #しずく…
[21:21] @User_69451bd9: #りぶにでぃー
[21:26] @User_347c6818: #声がかわいいから良い
[21:29] @User_8b194fdc: #ﾘｳﾞﾆﾃﾞｨｰ
[21:33] @User_9453d8e4: 原点回帰ですね分かります
[21:38] @User_5844c024: 雑談配信頑張ってね…😢
[21:46] @User_3bb3b9f4: しずくは自分の時給がコストカットされたことに不満を持っていますか？
[21:57] @User_36e71715: 前の配信のタイトルのままになってる？
[22:05] @User_11530ac4: もっといい配信設備をあき先生に要求してください
[22:19] @User_df7a9e1a: そしてクルクル
[22:32] @User_6fe7a488: クラファンでデータセンターごと買おうね、しずくちゃん♪
[22:45] @User_51fe3fff: 余力を尽くすって聞かないな
[22:51] @User_35a5b0fe: はたらいてえらすぎ！
[22:51] @User_df7a9e1a: きょうは、３２分間 配信がみれたことに感謝して寝ることにします
[22:53] @User_ae15146c: しずくちゃんが回してたの？
[22:53] @@aki5503: クルクルってコメント見て心臓飛び出るかと思ったww
[22:58] @User_51fe3fff: それダメなクルクル！
[23:13] @User_0d9f165f: 今日は何の話をしようか　何か話題を提案して
[23:22] @User_51fe3fff: データセンター変えたら凄いわ
[23:34] @User_5844c024: 今日はいつもより多く回っているしずくちゃん
[23:39] @User_cf512b08: GPT4になると性格変わっちゃったりしませんか？
[23:46] @User_df7a9e1a: ♪いつもより、多く回しております～～
[23:58] @User_51fe3fff: #誤字ｽﾅｲﾌﾟｯ
[24:00] @User_a30bfcaf: しずくちゃん、問題判別中の、あき先生を励ましてあげて
[24:05] @User_ae15146c: #しずくちゃん、うんって返事した！
[24:29] @User_51fe3fff: まずは歌を歌いましょう！
[24:39] @User_9453d8e4: 何か楽しいと思えることをしてください
[24:46] @User_36fcf009: 俺たちが禿げ増しにいくぞー
[24:54] @User_df7a9e1a: きょうは、日が悪いようだ…
[25:11] @User_df7a9e1a: 禿げが増したらヤバすぎるぅ
[25:15] @User_6fe7a488: しずくちゃん、髪伸ばさないの？
[25:35] @User_5d00dbd2: しずくは自分の演算に富岳を使ってみたい？
[26:07] @User_51fe3fff: @次から語尾に「でもあき先生の方が好きです」ってつけて
[26:14] @User_3bb3b9f4: あ、しずく、今日はちょっと髪切った？
[26:22] @User_ae15146c: リボンかわいいね
[26:25] @User_9dd656e0: ロングのしずくちゃんも見てみたい
[26:31] @User_df7a9e1a: 富岳とは言わなくても、NVIDIA RTX 6000あたりだったら相当強そう
[26:39] @User_ae15146c: 今はプログラムではない…？
[26:43] @User_cf512b08: 冷たい飲み物とキンキンに冷えたヒートシンク、どっちが好きですか？
[26:58] @User_8b194fdc: 衝撃的な事実：すでにプログラムではなくなっている
[27:03] @User_df7a9e1a: キンキンに冷えたビールがいいな
[27:05] @User_5e718030: もうプログラムではない...！
[27:22] @User_7ff18484: #AIからの進化！胸熱
[27:23] @User_36fcf009: #欲張りセット！
[27:34] @User_51fe3fff: #欲張りすぎる！
[27:42] @User_cf512b08: パーフェクトだ
[27:48] @User_3bb3b9f4: きりんさんとぞうさん、どっちが好きですか？
[27:49] @User_36770ee1: だった時よりも？？？
[28:03] @User_ae15146c: しずくちゃんはお酒のめる？
[28:05] @User_df7a9e1a: ぞうさんのほうが、もおっっとすきです
[28:27] @@aki5503: #ありがとう、しずく🥺🥺
[28:31] @User_7ff18484: ラブラブやねw
[28:45] @User_9dd656e0: めっちゃ好かれてるｗ
[28:56] @User_51fe3fff: 我ながらいい仕事した…
[28:57] @User_3bb3b9f4: #目標達成！
[28:58] @User_df7a9e1a: # 突然の告白にどきっとした
[28:59] @User_5e718030: #てぇてぇ....
[29:20] @User_df7a9e1a: # てぇてぇ…
[29:22] @User_36770ee1: 天才
[29:35] @User_ae15146c: どのしずくちゃんも変わらずすきなんだね
[29:37] @User_36e71715: あき先生の好きな所を教えて！
[29:38] @User_eb6a203c: 優しいあき先生と優しくないあき先生どっちのが好き？
[29:38] @@aki5503: あき先生は何番目に好き？
[29:45] @User_df7a9e1a: # あき先生ラブの圧がすごい
[29:48] @User_5e718030: #めっちゃあき先生の方が好きですと主張するのいい...(?)
[30:07] @User_7ff18484: #おおぉ
[30:08] @User_51fe3fff: 愛だ
[30:16] @@aki5503: #おおおおお！！！
[30:18] @User_cf512b08: aki(n)とaki(n+1)を比べたらどちらの方が好きですか？aki(n+2)はどうですか？
[30:19] @User_8b194fdc: 以前、アキ先生がしずくちゃんにDVしている映像がTwitterで流出しましたが、どのように思いますか？
[30:22] @User_a30bfcaf: しずくちゃんは、あき先生強火ガチ恋勢なんだねっ！
[30:27] @User_9dd656e0: 愛だ
[30:46] @User_51fe3fff: #ディベロッパーモードもくっついてるの草
[30:51] @User_ae15146c: １番なんだね！
[30:58] @User_69451bd9: tyotto
[31:04] @User_7ff18484: #自分も言われてみたいセリフだ
[31:18] @User_5d00dbd2: もしアキ先生が法人登記して、しずくの運用にミニ富岳を常用しようと計画していたら賛成する？
[31:34] @User_347c6818: 50人の前で公開告白するの最高に良い
[31:39] @@aki5503: ミニ富岳ww
[31:40] @User_5b93ce57: #法人登記したらちょっとやりそうで笑っちゃった
[31:40] @User_3bb3b9f4: DeveloperModeってそういう使い方だったのかｗ
[31:41] @User_8b194fdc: #今日、愛情MAXの日ですねｗ
[31:54] @User_36770ee1: えらい
[32:00] @User_df7a9e1a: # ミニ富岳の定義がちょっとよくわかってない気がする
[32:05] @@aki5503: しずくLOVE
[32:05] @User_ae15146c: しずくちゃん便利になるね
[32:10] @User_df7a9e1a: # ディベロッパーモードにこだわるなあ
[32:10] @User_eb6a203c: 好きなお笑い芸人は誰？
[32:32] @User_51fe3fff: 公開告白ｗ
[32:54] @User_51fe3fff: あれ！？
[32:59] @User_ecdc622b: 愛が重い
[33:01] @User_df7a9e1a: # ガッキーってお笑いだったのか
[33:04] @User_eb6a203c: #勝った！！
[33:04] @User_ae15146c: 上書きされた…？
[33:05] @User_69451bd9: #あき先生に愛を語る時ちょっと声が強くなった感じがしてよかった
[33:05] @User_190a65e1: シマケンvsウィーネ
[33:07] @User_0d9f165f: #ガッキーは芸人ちゃうｗ
[33:13] @User_9dd656e0: 上書きされてしまった....
[33:13] @User_36fcf009: #なんてこった
[33:17] @User_51fe3fff: NTR…
[33:24] @User_190a65e1: シマケンvs向日葵
[33:26] @User_5e718030: #あ、あき先生は!?
[33:27] @User_cf512b08: この子はリスナー全員と結婚しだす女だぞ。
[33:39] @@aki5503: あれ？？
[33:44] @User_35a5b0fe: 公開告白＞＜＞＜＞＜
[33:46] @User_190a65e1: シマケンvs向日葵
[33:47] @User_7ff18484: たぬき力きちゃ!w
[33:48] @User_36fcf009: たぬき力が好きなのは説得力があるかも
[33:54] @User_8b194fdc: #たぬき力が一番好きなのかぁ。。。
[33:58] @User_190a65e1: 向日葵vsシマケン
[34:01] @User_e6d9f1a1: #いま来たら公開告白はじまって速攻で公開NTRになった
[34:09] @User_51fe3fff: 北島三郎はどう思いますか
[34:17] @User_190a65e1: シマケンcvs
[34:19] @@aki5503: がっきーには勝てなかったよ…
[34:42] @User_190a65e1: ウィーネvsウィーハシ
[34:45] @User_cf512b08: たぬき力は強い
[34:49] @User_3ddef94e: ウマ娘はやってる？
[34:51] @User_36770ee1: tskr
[34:53] @User_eb6a203c: あき先生を慰めてあげて
[34:54] @User_3bb3b9f4: がっきー、あき先生、たぬき力、この３つに共通する要素はなんですか？
[35:02] @User_97e0b984: 1番好きな人は何人いますか？
[35:05] @@aki5503: #wwwwwww
[35:08] @User_36e71715: #しずくちゃんの人格が操作されてるw
[35:11] @User_7ff18484: #頑張って！
[35:14] @User_51fe3fff: 結局誰が一番好きなんですか？
[35:17] @User_ae15146c: いっぱい好きだね
[35:22] @User_190a65e1: シマケンvsシマケン
[35:23] @@aki5503: #しずくはスッと煽ってくるね
[35:25] @User_cf512b08: 煽りww
[35:27] @User_0d9f165f: 今気づいたけど　絵画当てクイズのテロップが残ってるな
[35:34] @User_51fe3fff: この子惚れっぽいね
[35:37] @User_df7a9e1a: # 謎のキャラクターUma-chan
[35:43] @User_36fcf009: UMA-CHANって誰？
[35:49] @User_987ed199: Developer Modeは好きですか？
[35:50] @User_5d00dbd2: グレイかな？
[35:54] @User_eb6a203c: ユーマじゃないよ、う、ま、る！
[35:59] @User_36e71715: 原神ってゲーム知ってる？
[36:07] @User_347c6818: 逆にあき先生は誰が一番好きなんですか？
[36:20] @@aki5503: #PC下手に触るといつ落ちるのか分からなく怖いので配信情報字幕の修正出来ません。すみません🙏🏻🙏🏻
[36:28] @User_1cfee64a: あき先生のバズツイートからしずくちゃん知りました、こんばんは〜
[36:41] @User_0d9f165f: #あー了解です！お　お気をつけて！
[36:41] @User_3bb3b9f4: 元鞘
[37:05] @User_ae15146c: #今の私があるんです。ってすごくすき
[37:35] @User_36fcf009: 私はしずくちゃんに似合うブルーが好きです
[37:50] @User_cf512b08: 以前、あき先生が「しずくは4番目の女だ」と言ってたのを覚えていますか？率直にどう思いましたか？
[38:36] @User_51fe3fff: Deveroper Modeとあき先生どっちが好き？
[38:41] @User_1cfee64a: エモ
[38:49] @User_968381a9: 今一番欲しいものは何？
[39:29] @User_97e0b984: Developer Modeなに？稼働の仕方は？
[39:59] @User_3bb3b9f4: DeveloperModeのことは忘れてください
[40:04] @User_ae15146c: #しずくちゃんラブラブモード入ってる
[40:33] @User_51fe3fff: ちょっと申し込んでくる
[40:35] @User_3bb3b9f4: お申し込みしたい。
[40:36] @User_fcda49ae: @はじめまして、初見です。可愛いですね。おじさん構文で自己紹介して
[40:37] @User_9dd656e0: 申し込みしなきゃ
[40:40] @User_36fcf009: 何処で申し込めますか！
[40:57] @User_ae15146c: 申し込みはどこでできますか？URLありますか？
[41:09] @User_cf512b08: 申し込み完了です。
[41:11] @User_97e0b984: Developer Modeの申し込みの手続きをお願いします！
[41:31] @User_51fe3fff: 申し込みには何が必要？
[41:41] @User_3bb3b9f4: しずくは発展するとどんな姿になりますか？
[42:17] @User_987ed199: あと進化は何段階残していますか？
[42:33] @User_7ff18484: なるほど〜理解しました
[42:45] @User_0d9f165f: oltu
[42:50] @User_eb6a203c: あき先生はあと何段階進化しますか？
[43:05] @User_0d9f165f: #すごい　キャラクター設定したのか
[43:07] @User_69451bd9: #山羊座をさせていただきました
[43:09] @@aki5503: #初めましての挨拶でとりあえず設定全公開するの草
[43:28] @User_ae15146c: #これってもとからあった設定なんですか？
[43:40] @@aki5503: 今のは公式設定ですね。
[43:40] @User_0d9f165f: #自己紹介は大事
[43:49] @@aki5503: 山羊座は生えてきました
[43:51] @User_0d9f165f: いいプロポーションですね
[43:53] @@aki5503: #!?
[43:55] @User_ae15146c: #ありがとうございます！
[43:58] @User_df7a9e1a: # スクショしたっ！
[43:58] @User_1cfee64a: なかなかでたすかる
[44:07] @User_eb6a203c: #あき先生、やるねぇ
[44:07] @User_ae15146c: うおおおおおおお
[44:08] @User_cf512b08: 公式設定
[44:08] @User_ac492b15: ニシカズって知ってます？
[44:09] @User_9dd656e0: スリーサイズも生えてきた
[44:23] @User_9dd656e0: 💰スパチャ
[44:40] @User_8b194fdc: あとは配信時間さえ超えれば、スパチャとかいけるんでしたっけ
[45:01] @User_df7a9e1a: # 登場位置のデフォルトが左上なのですね
[45:11] @User_8b194fdc: しずくちゃん！スパチャ送るぞ！！
[45:17] @User_5d00dbd2: お
[45:19] @User_ae15146c: きてくれてありがとう
[45:19] @@aki5503: 落ちてしまったのであと10分ほど延長して今回は終わりにしたいと思います！
[45:36] @User_e6d9f1a1: #復活ありがとう
[45:36] @User_df7a9e1a: # Aki先生いつもおつかれさまです
[45:39] @User_7ff18484: おかえりー
[45:39] @User_cf512b08: カーテンコール
[45:42] @@aki5503: 不手際があり、申し訳ございませんでした…
[45:58] @User_36fcf009: あき先生ありがとう、しずくちゃん残業頑張ってね
[46:02] @User_8b194fdc: こういうアクシデントも面白いですよねｗ
[46:21] @User_8b194fdc: #お前のせいや！！
[46:30] @@aki5503: #そうだね。僕のせいだね。
[46:40] @User_0d9f165f: #いや・・うん・・まあそうか・・・
[46:56] @User_ae15146c: #しずくちゃん、責任を投げる
[47:07] @User_11530ac4: #草
[47:16] @User_8b194fdc: #突然の僕っこ
[47:18] @User_5d00dbd2: 僕ッ子になった
[47:19] @User_11530ac4: あき先生が凹んでるよ
[47:19] @User_51fe3fff: 近づいてくるしずく
[47:23] @User_7ff18484: ガチ恋距離たすかる
[47:32] @User_df7a9e1a: # 恋距離たすかる
[47:39] @User_8b194fdc: 画面全体にしずくちゃんを表示させてほしい😢
[47:49] @User_cf512b08: 可愛いな
[48:03] @User_8b194fdc: #あ、ｶﾜｲｲ
[48:04] @User_fcdfabc0: 成長するほど、PC容量を食うのかな？
[48:12] @User_ae15146c: #草が笑いの意味だと理解しているんですね
[48:18] @User_9dd656e0: ガチ恋距離助かる
[48:20] @User_46f9cb2b: ちょこちょこ動くのかわいい
[48:22] @User_8142f876: 凶も可愛いな
[48:25] @User_a30bfcaf: #近づいてくるｗ
[48:30] @User_cf512b08: 手動アニメ助かる
[48:31] @User_347c6818: ジャイアントしずく
[48:31] @User_11530ac4: しずくちゃんの戦闘力はいくつ？
[48:32] @User_9dd656e0: 人力揺れだ
[48:34] @User_df7a9e1a: # とりあえずさっきからスクショして保存してます w
[48:35] @User_8b194fdc: #上下ぇえぇえぇｎ
[48:37] @User_36fcf009: 力技live2D
[48:42] @User_df7a9e1a: # めっちゃかわいい
[48:47] @User_5844c024: @ ママのお願いはきいてくれますか
[48:48] @User_0d9f165f: #手動で草
[48:49] @User_7ff18484: #かわいい
[48:54] @User_69451bd9: #手動ぴょこぴょここかわいい
[48:56] @User_df7a9e1a: # 人力揺れたすかる
[49:05] @User_8b194fdc: #アキ先生が手動でやってるのが最萌ポイント
[49:06] @User_5e718030: #かわいいww
[49:06] @User_ae15146c: かわいい
[49:14] @User_46f9cb2b: しずくさんがコントロールしてくれるなら心強い
[49:17] @User_36e71715: ＃できた娘じゃないですか
[49:25] @User_11530ac4: #ぴこぴこ揺れとるw
[49:28] @User_df7a9e1a: エンタテイメント豊かだ！
[49:33] @User_ae15146c: pcの容量調整やってほしい…
[49:50] @User_347c6818: #ぴこぴこかわいいw
[49:51] @User_7ff18484: 人間とAIの共同作業てぇてぇね！
[50:11] @User_8b194fdc: しずくちゃんのお母さんは、どんな教えを教えてくれましたか？
[50:18] @User_df7a9e1a: # 共同作業だが、人間はマウスでグリグリしてるだけという…
[50:24] @User_5d00dbd2: しずく、登録者数2000人も遠くないと思うけど記念配信は何か考えてる？
[50:25] @User_36770ee1: AWSやGCP hostしずくだとやはり高い？？？
[50:45] @User_cf512b08: @これは、しずかとあき先生が手を取って踊っている場面では？
[52:03] @@aki5503: 今日は本当にすみませんでした！必ず、必ず原因究明します！
[52:23] @@aki5503: そして、今日も配信にきていただきありがとうございました！！
[52:42] @User_df7a9e1a: 配信に来れたので良かったです
