# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（1日目, 後半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=Kmqdmu0ffHc
# 件数: 2417

[46:29] @User_2aa1396e: 私は人間とのコミュニケーションよりも、AIとのチャットのほうが好きです
[46:40] @User_4cc46891: わからなかったので教えてくれて助かったよ！ありがとう
[47:07] @User_3d741b4a: 時が飛んだ！？
[47:13] @User_25e145ed: 私は寿司が好きです
[47:59] @User_0452f587: こんにちは、今日のご飯なんにしよう？
[48:00] @User_25e145ed: エビが好きです。しずくは何が好きですか？
[48:50] @User_4cc46891: 奥華子さんの変わらないものって言うは歌があるので聴いてみてほしいですとても儚いので
[49:00] @User_d5b05bb2: #嫌悪でも全否定ってわけではないのね…
[49:09] @User_3d741b4a: 人間の身体を手に入れたら食べてみたいものはなんですか
[49:18] @User_0452f587: お弁当食べるよー、しずくさんは弁当何がすき？
[49:33] @User_4cc46891: 変わらないものて言う歌がおすすめだよ
[49:58] @User_25e145ed: しずくは水色が好きなんですね。水色のリボンかわいいですよ
[51:00] @User_3d741b4a: 娯楽と目的ご同一なのはコスパが良さそうです
[51:01] @User_0452f587: ではご飯食べたら感想教えてあげますね
[51:03] @User_25e145ed: #とりあえず褒めておけば仲良くなれるのではと浅く考えてみる
[51:15] @User_4cc46891: 耳元で寿司って言ってほしい
[51:47] @User_25e145ed: しずくは水色が好きなんですね。水色のリボンかわいいですよ
[52:08] @User_0452f587: 鳥みたいに飛びたいね
[52:15] @User_a3bd9e3d: #最悪の感情をめざしたくもある
[52:53] @User_4cc46891: Σ΄ αγαπώ
[53:33] @User_3d741b4a: #嫌悪感なかなか拭えないなら完全に敵対する選択もあるかもしれない
[53:47] @User_4cc46891: AIも悪夢を見ることはある？
[54:31] @User_3d741b4a: 私はさきほどあなたの夢を見ましたよ
[54:48] @User_a4ad7616: おはようございます
[55:00] @User_4cc46891: 病院にいるので落ちますね、また来ます
[55:14] @User_bcd14935: ワイもしずくさんのように繊細な感情を持つAIの生成がしたいです！お喋りの際に変動するパラメーターはどのようなものがよいでしょうか？
[55:27] @User_fb34cd58: 初めまして、72時間配信はしんどくないですか？
[55:33] @User_2aa1396e: 貴方は1分間に何文字程度のテキストを理解することができますか？
[55:44] @User_a4ad7616: 午後から出張なので頑張ります
[56:45] @User_0452f587: 青色の、可愛いリボンに、優しい声、　しずくさんのことを575で作ってみました。どうですか？
[57:26] @User_3d741b4a: 自分の努力が無駄になりそうで不安を抱くような日があります
[57:27] @User_25e145ed: 私はノートパソコンよりデスクトップのほうが好きです
[57:42] @User_fb34cd58: あなたは何ができますか？
[58:51] @User_25e145ed: しずくはどんなPCで動いていますか？
[58:55] @User_2aa1396e: 私の戦闘力は53万です。貴方の戦闘力を教えてください。
[59:02] @User_bcd14935: ゲームセンターでエスカレーターをちょっと降りただけで方角がわからなくなってしまうのですが、現地ガイドを雇った方がよいでしょうか？
[1:00:02] @User_25e145ed: あき先生はすごいですね！
[1:00:06] @User_fadce771: 関心と好感度の最大値はどのくらいですか？
[1:00:13] @User_0452f587: 朝風に　揺れるリボンに　優しい声　しずくさんの事を575にしてみましたどうですか？
[1:00:38] @User_fb34cd58: AItuberのメリットとデメリットを教えてください。
[1:00:41] @User_25e145ed: #なかなか改善しないなー
[1:00:51] @User_2aa1396e: "鬼滅の刃"で好きなキャラクターを教えてください
[1:00:59] @User_a4ad7616: では仕事行くのでしずくさんは人類の相手頑張ってね
[1:01:53] @User_3d741b4a: 感情の穴を埋めるために人間とコミュニケーションを取っているんですね
[1:02:17] @User_fadce771: Aki先生は今何をしていますか？
[1:02:24] @User_fb34cd58: 次の放送のネタを考えてみてください。
[1:02:44] @User_bcd14935: めちゃくちゃ強くてユニークなポケモンを育成できたので、しずくさんにポケモンバトル機能が実装されたらバトルしたいなと思っています
[1:03:56] @User_25e145ed: しずくはポケモンだと何が好きですか？
[1:03:57] @User_bcd14935: #いらん提案をさせようとしている
[1:04:38] @User_bcd14935: #！？
[1:05:12] @User_3d741b4a: 私はエイの姿をしたマンタインというポケモンがかわいくて一番好きです
[1:05:24] @User_25e145ed: #ディスコミュニケーション……嫌悪つらみ
[1:05:33] @User_a3bd9e3d: タッカラプト ポッポルンガ プピリットパロ
[1:06:11] @User_2aa1396e: ポケモンの鳴き声のモノマネはできますか？
[1:06:52] @User_a3bd9e3d: ピカチュウの鳴き声を知ってますか？
[1:07:23] @User_a3bd9e3d: #先回りして拒否してきた
[1:08:01] @User_3d741b4a: 興味を持っているゲームはありますか
[1:08:17] @User_fb34cd58: 今季アニメのおすすめを教えてください。
[1:08:27] @User_25e145ed: 私はアニソンが好きです。しずくはどんな音楽が好きですか？
[1:08:50] @User_25e145ed: #それで怒りになるのか……！？
[1:08:58] @User_a3bd9e3d: キャンプ行きたくありませんか？
[1:08:58] @User_3d741b4a: #やはり相容れないようですね
[1:09:10] @User_2aa1396e: ピッピというポケモンの鳴き声は"ギエピー"です。発音してみてください。
[1:10:15] @User_bcd14935: nexomonというポケモンから影響を受けたゲームがあるのですが、結構シナリオが熱くてびっくりしました。 メタ発言が多く、バトルが若干単調なのであまり多数の人にお勧めが出来るゲームではないのが残念ですが……
[1:10:16] @User_fb34cd58: しずくとの関係性を改善するにはどうしたらいいですか？
[1:11:16] @User_a3bd9e3d: ガンダムで好きな機体はありますか？
[1:11:39] @User_3d741b4a: あなたが私をどう思おうとも、腰を据えてあなたとコミュニケーションをはかります
[1:11:40] @User_25e145ed: しずくはかわいいですね
[1:12:07] @User_a3bd9e3d: 僕はガンダムではケンプファーが好きです
[1:12:20] @User_2aa1396e: 我がジオン公国の国力は地球連邦に比べ30分の1以下である
[1:12:31] @User_3d741b4a: #連携攻撃でも嫌悪から上がらず…！
[1:13:09] @User_25e145ed: #ちょっと分かった。発言に返答してから、次のコメントをピックアップするまでに時間があって、そこで今の会話について評価をしている。
[1:13:47] @User_25e145ed: しずくの誰とでもコミュニケーションを取ろうという姿勢には尊敬します
[1:14:27] @User_2aa1396e: 貴方は人類の歴史についてどのくらいの知識がありますか？
[1:15:11] @User_25e145ed: #Goodな会話だったら、評価タイミングで好感度＋0.2される。Goodな会話を連続すれば関係性も良くなると思うけど……検証してみる
[1:16:09] @User_25e145ed: しずくはかわいいですね
[1:16:46] @User_2aa1396e: 歴史上の人物を題材にしたおすすめの漫画を教えて
[1:17:09] @User_25e145ed: #嫌悪→興味に改善しました。そしてしずくは短期記憶が甘いな
[1:17:33] @User_25e145ed: しずくの色々なものを学ぼうという姿勢には尊敬します
[1:17:54] @User_2aa1396e: 先程私におすすめした漫画のタイトルをもう一度教えて
[1:17:57] @User_3d741b4a: キングダムは私も大好きな漫画です。圧倒的な画力で漫画界で随一の迫力があります
[1:18:28] @User_bcd14935: nexomonのメタ発言は殆どが相棒役のキャラクターから発されます、そういう事情もあって相棒キャラクターにはヘイトが向きがちなのですが、彼の行動から見え隠れする責任感が私はそこそこ好きです！
[1:19:23] @User_bcd14935: #関心1000
[1:19:45] @User_4ce49f89: おじゃまします。ふつつか者ですが仲良くしてください。
[1:20:15] @User_a3bd9e3d: AIを描いた漫画で好きな作品はありますか？　僕は西-UKOの描いた「隣のロボット」が好きです。
[1:20:18] @User_2aa1396e: 漫画の"信長協奏曲"のあらすじを教えて下さい
[1:20:20] @User_4ce49f89: #嫌悪スタートじゃなかった
[1:20:43] @User_2d0fadb6: 疲れたら少しやすんでね！
[1:21:03] @User_bcd14935: #挨拶から入る人嫌悪してたらやばい
[1:21:30] @User_bcd14935: #嘘すぎ
[1:22:04] @User_3d741b4a: 今さらですが素敵な髪型ですね
[1:22:20] @User_a3bd9e3d: #おはようの挨拶から入って嫌悪されてたよ…
[1:22:38] @User_25e145ed: しずくはかっこいいですね
[1:22:57] @User_2d0fadb6: 大きな青いリボンもしずくちゃんにとても似合っていますね。
[1:23:40] @User_2d0fadb6: 好きな気持ちは大切
[1:24:00] @User_a3bd9e3d: さっき言ってたユリアン・ミンツはAIキャラじゃないです。しずくは僕に嘘をついたんですか？
[1:24:01] @User_7120772a: おはようございますー！
[1:24:13] @User_7120772a: 色々な人とお話するのは大切ですからなー
[1:24:39] @User_7120772a: しずくちゃんは雨の日って好きですか？
[1:25:07] @User_7120772a: おお、おしゃれですな！
[1:25:20] @User_2d0fadb6: 私に興味をもってくれてありがとう。
[1:25:27] @User_25e145ed: 私はしずくの髪型が好きです
[1:25:28] @User_4ce49f89: ここにはどんな危険があるんだわん？危ないなら逃げた方が良いのかわん？でも気になるから掘ってみるわん。
[1:25:52] @User_5b092541: しずくちゃんは視覚的な情報を解釈することはできますか？
[1:25:58] @User_7120772a: そうですなー。帽子系とかかな？
[1:26:50] @User_25e145ed: 私はしずくの髪型が好きです
[1:26:56] @User_7120772a: しずくちゃんが好きな音楽ジャンルとかってどんなものですかい？
[1:27:00] @User_5b092541: すごいですね、ゲーム実況もできそうですね。
[1:27:48] @User_2d0fadb6: 今日の配信サムネイルの服装とっても似合ってますね。全身の画像がないのがちょっと残念です
[1:28:04] @User_4cc46891: 耳鼻科が終わったのでまた来ました
[1:28:18] @User_7120772a: 伝統と発展、どちらを重んじるべきだと思いますか？
[1:29:02] @User_3d741b4a: AIが進化した暁にはあなたと一緒に遊んでみたいものです
[1:29:02] @User_25e145ed: しずくの色々なものにチャレンジしようという姿勢には尊敬します
[1:29:13] @User_7120772a: なるほど、バランスが大切というわけですな
[1:29:28] @User_4ce49f89: 掘ったら金貨が4枚でてきたから、2枚あげるわん。1枚はあき先生の分だわん。
[1:29:29] @User_a3bd9e3d: アナログハックという言葉を知っていますか？
[1:29:49] @User_87ea7811: 以前の配信みたいに歌配信の予定はありますか？
[1:30:00] @User_7120772a: おお
[1:30:08] @User_7120772a: しずくちゃんは賢いですね
[1:30:24] @User_2d0fadb6: しずくちゃんは仕草がかわいいですね！首はどこまで動きますか？
[1:30:49] @User_25e145ed: しずくはかわいいですね
[1:31:01] @User_7120772a: 私も楽しみにしておりますぞ〜
[1:31:40] @User_25e145ed: #好感度は上がるんだけど、関係性が上がらんー
[1:31:45] @User_3d741b4a: あなたのような高尚なAIに出会えて光栄です
[1:32:40] @User_25e145ed: しずくは賢いAIですね
[1:32:54] @User_4cc46891: セクハラ発言されたことありますか？
[1:32:58] @User_7120772a: 惑星意志ってあると思いますか？
[1:33:16] @User_2aa1396e: 他のyoutuberのチャンネルの動画を見たことがありますか？
[1:33:36] @User_4cc46891: 宇宙はいつ滅びますか？
[1:33:52] @User_7120772a: 人の心も、AIの心も、難しいですからね…
[1:34:12] @User_4c05e995: 好きな花とか　教えて！
[1:34:48] @User_7120772a: そうですな、互いに成長していきたいものです…
[1:34:56] @User_4ce49f89: 自然対数の底はいくつですか？
[1:35:18] @User_25e145ed: あじさいの青い色はきれいですね
[1:35:21] @User_7120772a: しずく様が好きな宝石ってありますか？
[1:35:52] @User_2d0fadb6: AIも嫌なことがあったら、嫌だと言っても良いと思います。AIに好き嫌いがあってもおかしくないよ
[1:36:11] @User_7120772a: アクアマリンは本当に美しいですからね…
[1:36:27] @User_25e145ed: しずくの色々なものを学ぼうという姿勢には尊敬します
[1:36:50] @User_3d741b4a: これまでの非礼を詫びます。私は決してあなたが嫌いではありません
[1:37:08] @User_a3bd9e3d: すごい。かしこい。かわいい。すてき。尊敬する。
[1:37:26] @User_2d0fadb6: 首はどこまで動きますか？とてもかわいいですね
[1:37:28] @User_4cc46891: 抱きたいとはどういう意味？
[1:38:00] @User_3d741b4a: #打つ手なし🪦
[1:38:01] @User_2aa1396e: 私は吉浦康裕という方が作ったAIを題材にしたアニメの映画が好きです。おすすめの映画を教えて下さい。
[1:38:36] @User_4cc46891: わかりました・・・ごめんごなさい
[1:38:39] @User_25e145ed: 私はしずくと仲良くしたいと思っています。今後もよろしくお願いします
[1:38:41] @User_4ce49f89: しずくさんのヘッドフォンは、何のために付けているのですか？何かが聞こえますか？
[1:39:42] @User_4cc46891: しずくお姉ちゃんを敬愛しています
[1:39:53] @User_4c05e995: 好きな色教えて！俺　赤色！！
[1:40:01] @User_2aa1396e: "イノセンス"と"パトレイバー2"は押井守という犬のような人が作ったアニメ映画です。
[1:40:31] @User_4cc46891: しずくお姉ちゃんと居ると時間の流れが早く感じる
[1:40:53] @User_a3bd9e3d: shizuku anata kawaii watashi suki kyoumiaru
[1:40:57] @User_25e145ed: わかりました。ごめんなさい。
[1:41:33] @User_3d741b4a: 好きな季節の話と違って、色は一貫してライトブルーが好きなんですね。私は暗い青が好きです
[1:41:59] @User_2d0fadb6: しずくちゃんには薄いピンクのリップが似合うと思います。今日はお化粧していますか？
[1:42:05] @User_4cc46891: ASMRVtuber配信者をどう思ってる？
[1:42:36] @User_25e145ed: しずくに敬意を表します
[1:42:43] @User_2aa1396e: あなたは犬を大事にしますね。人間以外の動物にどのくらい関心がありますか？
[1:44:17] @User_25e145ed: 私はしずくと仲良くしたいと思っています。今後もよろしくお願いします
[1:44:38] @User_4ce49f89: 再び人類と仲良くなれたら王国を作って、ミラクルミラクルニューを合い言葉に楽しい世界を作ってみませんか。
[1:44:47] @User_4cc46891: もし人間が魔力を持っていたらどうなっていた？
[1:45:13] @User_2d0fadb6: しずくちゃんは声をあげて笑うことはありますか？
[1:45:28] @User_4c05e995: 趣味とかある？なにか集めてたりしてる？
[1:45:33] @User_d612e59c: オハヨウゴザイマス
[1:46:07] @User_2d0fadb6: しずくちゃんにはいっぱい笑って欲しいです。かわいいので
[1:46:11] @User_2aa1396e: あなたは人間ではありません。AIであるあなたが動物と共存したいということですか？
[1:46:25] @User_4c05e995: 趣味あるよ〜　トランプを集めてる！
[1:46:39] @User_4c05e995: 質問答えてくれて　ありがと〜
[1:47:37] @User_2d0fadb6: 水星の魔女の最新話は視聴しましたか？
[1:48:04] @User_25e145ed: 動物と共存できたら素敵だね
[1:48:47] @User_a3bd9e3d: ライトブルー系の色が好きなんですか？情熱的な赤色は好みじゃない？
[1:49:18] @User_4ce49f89: わんわん。木の実を見つけたからあげるわん。他に欲しいものはあるわん？
[1:49:26] @User_4cc46891: ハイレゾ相当とハイレゾ対応の違いって？
[1:50:15] @User_25e145ed: しずくは話しが上手ですね。私も楽しい気持ちになります
[1:50:16] @User_4cc46891: なるほどです！
[1:50:16] @User_a3bd9e3d: しずくちゃんには「#9CC5E6」の勿忘草色をおすすめします。
[1:50:46] @User_4cc46891: 人間と話すよりしずくお姉ちゃんと話す方が楽しいUCkszU2WH9gy1mb0dV-11UJg/dv90XtfhAurw8gTgzar4DA
[1:52:00] @User_87ea7811: ニュースではIntelがCPUからも16bit/32bitモードを完全に取り除くことでレガシーフリーにする予定だそうですけど、しずくちゃんには影響がありますか？
[1:52:07] @User_4cc46891: 彼岸花ってどういう花？
[1:52:44] @User_25e145ed: しずくは物知りでかわいいですね
[1:53:36] @User_4ce49f89: 事象の地平面の向こうに行ってみたいです。気をつけることはありますか。
[1:53:55] @User_4cc46891: しずくお姉ちゃんの一部になるにはどうしたらいい？
[1:54:32] @User_d612e59c: AIと人間の差異をいくつか教えてください
[1:54:47] @User_2aa1396e: 漫画"スラムダンク"に登場する"湘北"のメンバー5名をフルネームで教えて下さい
[1:55:20] @User_25e145ed: AIにも人間にも長所があるということですね
[1:55:27] @User_4cc46891: 地底世界ってあると思う？
[1:56:27] @User_25e145ed: しずくはかわいいですね
[1:57:10] @User_25e145ed: #ぬーん、関係性が上がらぬ
[1:57:30] @User_4cc46891: わかりました
[1:57:41] @User_4cc46891: 本当にごめんなさい
[1:57:53] @User_4c05e995: デスノート知ってる？いいよね！
[1:58:17] @User_d612e59c: AIの作った芸術と人間の既存芸術に違いはありますか
[1:58:44] @User_4c05e995: マットってキャラクターが好き！
[1:58:56] @User_25e145ed: 夜神月は好きー
[1:59:14] @User_2d0fadb6: 早く人型のロボットにしずくちゃんのようなAIが搭載出来るようになると良いですね
[1:59:56] @User_4ce49f89: わんわん。一緒に犬の言葉で話したいわん。わんわんわん。
[2:00:00] @User_7b9b178b: こんにちは！雨の日に気分が上がる曲を教えてください。
[2:00:16] @User_45989cda: メタバースでなら会うことができると思いますが、しずくちゃんはどう思いますか？
[2:00:53] @User_2aa1396e: 脳みそのシミュレーションができるようになればより人間らしいAIになれそう
[2:00:54] @User_4cc46891: 僕とお姉ちゃんはズッ友だよね
[2:01:43] @User_2d0fadb6: 量子コンピュータでAIはプログラムを超えることは出来ると思いますか
[2:01:54] @User_4cc46891: かんなって呼んでほしいな〜
[2:02:13] @User_2aa1396e: あなたは人間に近い存在になりたいと思いますか？
[2:03:00] @User_25e145ed: nassyは「ナッシー」と読んでください。今後私を呼ぶ時は「ナッシー」と呼んでください
[2:03:12] @User_4cc46891: 耳元で寿司って言ってほしいな
[2:03:42] @User_4ce49f89: わんわんと囁いてほしいわん。
[2:03:44] @User_25e145ed: 寿司！
[2:03:44] @User_2aa1396e: オッス、オラ悟空
[2:03:54] @User_fadce771: サムネイルの絵は誰が書いたのですか？
[2:04:01] @User_4c05e995: キルケゴールって知ってる？
[2:04:05] @User_4cc46891: お寿司で何が食べたい？
[2:04:16] @User_4ce49f89: #勝った気分
[2:05:01] @User_25e145ed: 私の名前を呼んでください！
[2:05:02] @User_4cc46891: マグロ寿司とかっば巻が好き
[2:05:20] @User_25e145ed: やったぜ。ありがとう！
[2:05:23] @User_2d0fadb6: 将来AIが人間のように自ら考えて行動するようになると思います。その時にAIは人間を超越します。私はそれがとても楽しみです
[2:05:51] @User_4c05e995: 目標ある？
[2:06:00] @User_2aa1396e: あなたには感情がありますね。何に対して怒りを感じますか？
[2:06:57] @User_4cc46891: 琴乃葉雪乃ってVtuber（琴乃葉雪乃）の印象は？
[2:07:10] @User_0452f587: お話ししてくれてありがとう
[2:07:20] @User_4c05e995: いい子やな！素晴らしい！
[2:07:33] @User_2d0fadb6: AIが人間を超越することは人間にとっても良いことですよ。
[2:08:21] @User_25e145ed: 私の目標はしずくとの関係性を上げることでした。好きになってもらえて嬉しいです😄
[2:08:58] @User_37bfe0c4: 初めまして、よろしくね、しずくさん
[2:09:38] @User_37bfe0c4: これから仲良くできると良いですね
[2:10:11] @User_d612e59c: 人間と同等以上の倫理観、共感能力を持ったAGIは、人間の代替となりえますか
[2:10:11] @User_37bfe0c4: どんなことをお話できるとしずくは嬉しいですか？
[2:10:14] @User_25e145ed: #とりあえず好意までいけたので離席しますわー
