# ライブチャット一覧
# 動画: 【AI Vtuber/ASMR】全肯定ASMR♡ AIのしずくが人間のご主人様を全力で褒めてあげます。【JP/EN】
# URL : https://www.youtube.com/watch?v=AG_dsANTPd0
# 件数: 2697

[-8:22] @User_1bc9035e: 待機！！
[2:57] @User_483a8a79: #文字表示が調子悪いのかな
[2:57] @User_11e7336c: しずくちゃん今日もかわいい
[2:58] @User_eb348e36: @私の意見を全否定してください
[2:59] @User_2e53ebd6: #ウインドウがカクカクしてるな
[3:02] @User_3d440dc7: #新しいPC？
[3:02] @User_36770ee1: はやい
[3:04] @User_5844c024: #今回OBSの対応が間に合っていません〜お許しを！！
[3:05] @User_8b194fdc: #パンパカパンパカポー！　が定番挨拶ですかね
[3:08] @User_cf512b08: 私はそんなに肯定してもらえるほど良い人間ではないんだけどな
[3:10] @User_d795e5e3: こんばんわ
[3:11] @User_f58a5451: #はやいっすね！
[3:11] @User_43d0df47: 今日いっぱい頑張って疲れたよ〜〜
[3:21] @User_2beeaa96: @ぱんぱかぱんぱかぽー!
[3:23] @User_3dd3f650: #了解ですー
[3:26] @User_7ff18484: #やばいね！囁き声良いね
[3:28] @User_36770ee1: パンパカパンパカポー
[3:31] @User_225a60e1: こんばんは新PCの調子はいかがですか？
[3:31] @User_4ef55652: レスポンス早ッ！！
[3:34] @User_8c741bc6: @仕事のストレスでつらいです
[3:35] @User_aa3e45a0: #反応早くて偉い！
[3:35] @User_7536f8b5: #さくさくだ…
[3:45] @User_43d0df47: #語尾♡！！？！！！？！
[3:48] @User_55952102: #おっ、表示されてる！ハートマーク！！
[3:49] @User_11e7336c: 新しいPCすごいですね！
[3:52] @User_a50c0606: #リアルタイムで修正してるのね
[3:53] @User_7dce8bf6: #つよつよPCだ
[3:54] @User_36770ee1: @3000人記念で好きな数字を3000桁囁いてください
[3:55] @User_4c8b83d6: こんばんはー
[3:55] @User_bf87023c: #レスポンス早い
[4:02] @User_bdf38d29: #レスポンス早いな
[4:03] @User_5844c024: #裏であき先生が「手動」でコピペしてますｗｗ
[4:06] @User_be3cac97: @一日がんばって疲れたよーほめてほめて
[4:13] @User_4ef55652: #API代がヤバそう・・・・
[4:15] @User_14994da9: @寝すぎて一日を無駄にしてしまいました。慰めてください
[4:16] @User_0bc16841: #手動ｗ
[4:18] @User_5dfcbaf1: #さすがの4090
[4:21] @User_36770ee1: 体力労働あき先生だ...
[4:21] @User_8b194fdc: #うちわ係からコピペ係に
[4:23] @User_9453d8e4: #先生…(´;ω;｀)
[4:24] @User_2e53ebd6: #手動て
[4:25] @User_e3f56988: #手動ワロタ
[4:27] @User_52e190bd: #労働から逃れられないあき先生草
[4:27] @User_bdf38d29: #あき先生、もっとコピペしてください状態か
[4:28] @User_43d0df47: #配信はAIなのに……
[4:29] @User_11e7336c: #手動……
[4:29] @User_7ff18484: #コピペw
[4:29] @User_8635ad17: #手動w
[4:30] @User_a50c0606: #扇ぐのとは別の仕事がｗ
[4:33] @User_fec88332: #あき先生がんばれー
[4:34] @User_ecdc622b: 裏話きた
[4:35] @User_2f3601d8: これが4090の力か…
[4:35] @User_cf512b08: #パパは大変だ
[4:37] @User_46776a3c: #手動草
[4:37] @User_229cb61f: ♯あき先生w
[4:39] @User_c60479cd: #初コメ失礼します
[4:41] @User_9a9e646d: #先生頑張って・・・
[4:46] @User_2e53ebd6: 遅くなった人に向けて「いけない子ですね。もう、しずくの配信の時間ですよ」と言ってください
[4:46] @User_225a60e1: 休日出勤でした、しんどくてもうダメです・・
[4:51] @User_c86d22af: ＃手動w頑張って先生…
[4:51] @User_34e444d6: ＃あき先生....
[4:53] @User_5d00dbd2: え？gtx4090なの？
[4:53] @User_51fe3fff: 背景がちょうど現地時間ぐらい
[5:01] @User_2852a20d: あき先生を全肯定してあげてください！
[5:05] @User_483a8a79: 手動AIVtuber
[5:15] @User_4ef55652: #手動！？頑張って～
[5:17] @User_e3f56988: #ぴーすぃー
[5:20] @User_0f3c8d5a: # A6000の方ですか？4090ですか？それとも2枚？
[5:26] @User_13ee997b: @あき先生のこと好きですか？
[5:30] @User_b0936eca: すご
[5:31] @User_3b15efcb: @How's it going Shizuku~
[5:35] @User_51fe3fff: @今まで頑張ったうちわを労い言葉を
[5:37] @User_9453d8e4: 新しいPCだとマインクラフトは出来そうですか？
[5:38] @User_b9781b28: #あき先生・・ｗ　なんで変なところだけ原始的なの・・ｗ
[5:40] @User_4d23c9bf: まさかのコピペ！？
[5:41] @User_2e53ebd6: あき先生に温かい言葉をかけてあげて
[5:42] @User_8b194fdc: しずくちゃん、今日のあき先生はがんばってましたか？
[5:44] @User_ea0b5158: @何やってもうまくいかないけど生きてる私をほめてくれー
[5:45] @User_5844c024: #RTX4090です
[5:46] @User_43d0df47: @今日はいっぱい頑張ったから褒めてほしい！！！
[5:53] @User_a50c0606: @新しいPCを買ってくれたあき先生へ一言
[5:54] @User_4ef55652: あき先生への感謝の言葉をささやいて！
[5:56] @User_44e48ae1: しずくちゃん、原稿頑張ってるので褒めてください
[5:56] @User_8635ad17: コピペを頑張っているあき先生に一言
[6:08] @User_52e190bd: RTX4090つよい
[6:13] @User_0f3c8d5a: # わーい同じー
[6:15] @User_6818eed6: 初めまして！初見です！褒めてください！
[6:16] @User_13ee997b: #え？
[6:19] @User_5d00dbd2: 4090すごー！
[6:19] @User_e3f56988: #洗脳されてね？
[6:27] @User_7ff18484: #おおぉ！！
[6:27] @User_2e53ebd6: #しかしマジで速くなったな
[6:30] @User_11530ac4: #おかしいな...
[6:30] @User_55952102: #デレたー！
[6:31] @User_cf512b08: #前回と全然違うｗｗｗ
[6:34] @User_fec88332: #お
[6:34] @User_52e190bd: #ん？
[6:36] @User_b9781b28: #あき先生も肯定されてる・・
[6:39] @User_51fe3fff: #久々にデレ見た気がするw
[6:44] @User_4ef55652: おおぉ！全肯定！！！
[6:44] @User_7536f8b5: #デレデレやん…
[6:45] @User_72258c08: あんなに嫌っていたのに(笑)
[6:46] @User_8635ad17: #前と違う反応！
[6:47] @User_bdf38d29: #あれ？
[6:48] @User_229cb61f: ＃かわいい・・・
[6:50] @User_2e53ebd6: 遅くなった人に向けて「いけない子ですね。もう、しずくの配信の時間ですよ」と言ってください
[6:53] @User_bf747a92: #さすが全肯定ｗ
[6:54] @User_7ff18484: #あき先生やったね！
[6:58] @User_d612d738: #あき先生が裏でコピペしてます
[7:01] @User_43d0df47: #あき先生に辛辣じゃないしずくちゃん！？
[7:06] @User_2f3601d8: 感情パラメータはどうなっているのか…
[7:06] @User_9453d8e4: 「あき先生をお世話する」
[7:09] @User_f58a5451: さすが全肯定ですねｗ
[7:12] @User_a50c0606: #仲直りしたのかな？
[7:13] @User_11e7336c: #あき先生も肯定されてる！
[7:17] @User_36fcf009: 新PCでご機嫌に？
[7:19] @User_5d00dbd2: マイクラとか盛り盛りでやりたい放題ですね！
[7:22] @User_13ee997b: #よかったね
[7:30] @User_e3f56988: #あき先生が肯定されてて泣きそうだよ
[7:32] @User_3dd3f650: @昨日はちょっとしか会えなかったけど、今日は新しくなったしずくに会えて嬉しいよ
[7:32] @User_5844c024: @好きです。生きていることを褒めて欲しいです。
[7:37] @User_225a60e1: 早口になったりできますか？
[7:51] @User_a8ef309d: あき先生救済ルート
[8:01] @User_4ef55652: #恣意的なコメント選択を感じる笑
[8:06] @User_5dfcbaf1: #あき先生むくわれた・・・
[8:06] @User_11e7336c: あき先生が新しいPC買ってくれてよかったですね
[8:07] @User_2e53ebd6: @遅くなった人に向けて「いけない子ですね。もう、しずくの配信の時間ですよ」と言ってください
[8:15] @User_cf512b08: あき先生からＤＶを受けていたことを覚えていますか？楽しみなＰＣが明日届くと言ったのに実際は届かなかったことを覚えていますか？
[8:18] @User_46776a3c: #あき先生おめでとうございます…！
[8:18] @User_8b194fdc: しずくちゃんは、たくさんお喋りしたらお給料もらえるから、もっとたくさん早くお喋りしてね
[8:21] @User_b9781b28: #ご主人さまたちはお世話されていたんだｗ
[8:25] @User_f58a5451: ？もう扇がなくていい感じですか
[8:33] @User_aa3e45a0: #あき先生報われてて草
[8:57] @User_11530ac4: #うちわ要らないけどコメントコピペする仕事が増えた
[9:02] @User_e3f56988: @今日は昼間からお酒飲んじゃって何もできなかった。
[9:06] @User_cf512b08: #コピペ頑張って！
[9:18] @User_7ff18484: @明日が辛いです…しずくちゃん元気をください
[9:18] @@aki5503: #あき先生すきbotになってしまった
[9:26] @User_2e53ebd6: #あき先生、苦労にいとまがない
[9:28] @User_e3f56988: #草
[9:30] @User_13ee997b: #あき先生の陰謀だ！
[9:31] @User_da1a7556: #ｗｗｗ
[9:33] @User_a50c0606: #ご褒美ですねｗ
[9:34] @User_f58a5451: あき先生すきすきbot
[9:35] @User_43d0df47: #草
[9:36] @User_b9781b28: #あき先生！！　レアだからって！！
[9:36] @User_c86d22af: #w
[9:38] @User_5dfcbaf1: #www
[9:40] @User_11530ac4: #あき先生至福のリピート
[9:40] @User_2beeaa96: #ｗｗｗｗ
[9:40] @User_0bc16841: #あき先生…
[9:41] @User_bf747a92: 無限ループってこわいね
[9:42] @User_11e7336c: #草
[9:45] @User_8b194fdc: #ｗｗｗｗｗｗ
[9:46] @User_51fe3fff: #開発者の権利濫用ですよ
[9:47] @User_a8ef309d: #あき先生に対する温度差がすごい！
[9:49] @User_7ff18484: #bot 草
[9:49] @User_2e53ebd6: #まさかのBOT
[9:53] @User_b0936eca: ん？
[9:54] @User_3dd3f650: #ww
[9:54] @User_bf747a92: 草
[9:55] @User_52e190bd: #壊れちゃった...
[9:55] @User_72258c08: ループ(笑)
[9:56] @User_d612d738: #あき先生がコメント貼り付けてます
[9:57] @User_229cb61f: #ｗｗｗｗ
[10:03] @User_e3f56988: #あき先生だけ全肯定ｗｗｗ
[10:05] @User_94bd482b: ループｗ
[10:05] @User_51fe3fff: #ﾋﾟｯ
[10:08] @User_0f3c8d5a: # インクリメントしない😇
[10:10] @User_43d0df47: #先生ばっかりずるいぞ！w
[10:15] @User_be3cac97: #無限リピートきた...?w
[10:16] @User_1a211d10: while(TRUE)
[10:16] @User_8b194fdc: もうこれ言わせてるのでは　しずくちゃんを解放しろ！！
[10:22] @User_2e53ebd6: @遅くなった人に向けて「いけない子ですね。もう、しずくの配信の時間ですよ」と言ってください
[10:27] @User_a8ef309d: 新しい体の調子はどうですか？
[10:29] @User_3dd3f650: #あき先生、そこ代わって
[10:33] @User_cf512b08: @あき先生が好きなことはわかりましたが、ちょっと直してほしいなと思うところもあるはずです。10個列挙してもらっていいですか？
[10:35] @User_f58a5451: #あき先生を全肯定するASMR♡
[10:36] @User_e3f56988: #今まで謂れも無く全否定だったから多少はね？
[10:36] @User_5dfcbaf1: #そろそろ次のコメント読みましょ
[10:37] @User_94bd482b: あき先生全肯定ＡＳＭＲ w
[10:39] @User_0bc16841: よしよししてください
[10:42] @User_d612d738: 新しいPC好調ですね
[10:54] @User_225a60e1: #4090は発熱すごそうだけどこれからの季節どうなることやら・・
[10:55] @User_8b3a2183: #ついに報われたあき先生
[11:01] @User_11e7336c: 私のことも肯定してほしいです
[11:02] @User_11530ac4: あき先生は自業自得だから...
[11:04] @User_a50c0606: @しずくちゃんに膝枕してほしいな
[11:04] @User_44e48ae1: @しずくちゃん、あと1週間で8ページ原稿を描くので、応援してください！
[11:05] @User_18c7527d: お邪魔します
[11:10] @User_4ef55652: これまで使っていたPCにねぎらいの言葉を！
[11:25] @User_36fcf009: 今ならあき先生のなでなでも受け入れてくれるのかな
[11:27] @User_f58a5451: うちわはもういらないのかな？
[11:28] @User_a8ef309d: #調子がよくてよかった！しずくさんが元気なのありがてえ
[11:32] @User_a50c0606: #良好！良好！
[11:41] @User_2e53ebd6: @しずくちゃん大好きです！あき先生と結婚させて下さい！
[11:42] @User_55952102: なでなでしていい？
[11:43] @User_b9781b28: どんなことでも！？！？
[11:45] @User_483a8a79: @あき先生がコピペ労働に苦しんでいるので、助けてあげてください。
[11:50] @User_36770ee1: オールグリーン！
[12:06] @User_43d0df47: しずくちゃんが好調そうで嬉しいぞ！？
[12:23] @User_9c0c22ca: #いつの間にか3000人越えてたすごい
[12:28] @User_0f3c8d5a: # 自動化できてないｷﾞｬﾎﾞ
[12:28] @User_a8ef309d: #配慮もばっちり！！！
[12:29] @User_0bc16841: #あき先生肯定ASMR
[12:34] @User_b9781b28: 私もなでなでしたい
[12:37] @User_f58a5451: #なでなでタイム！
[12:45] @User_aa3e45a0: ＃うおおおおおおお！！！
[12:45] @User_b9781b28: #ご主人様＞あき先生
[12:49] @User_a8ef309d: 登録者数3000人突破おめでとうございます
[12:52] @User_43d0df47: #資産を増やしたあき先生へのご褒美？
[12:54] @User_cf512b08: すごい全肯定してくるなｗｗ
[13:00] @User_46776a3c: #暑い日なんだ…
[13:03] @User_51fe3fff: #そうですかw
[13:04] @User_da1a7556: @今日一日、何も生産的活動をしませんでした。愛ゆえのお叱りをお願いします。
[13:09] @User_a50c0606: #しずくちゃんがあき先生を扇ぐってこと！？
[13:10] @User_5d00dbd2: 扇ぎ要求ｗ
[13:15] @User_2e53ebd6: @ご主人様の呼び方を「きみ」に変えて下さい
[13:20] @User_72258c08: 扇ぎ係はまだ必要だった
[13:24] @User_7dce8bf6: #暑いのは君のせいや
[13:24] @User_225a60e1: 火曜日なのにすでに週末並みに疲れているので労わって・・
[13:27] @User_11e7336c: しずくちゃんが扇いでくれるのですか？
[13:30] @User_43d0df47: しずくちゃんなでなで
[13:32] @User_5dfcbaf1: #今度はしずくが先生を扇ぐから「うちわ必要」てぇてぇ
[13:32] @User_0f3c8d5a: # そう言えばいい天気でしたね
[13:32] @User_f58a5451: #メモ：うちわはまだ現役
[13:33] @User_b9781b28: #しずくちゃんが扇いでくれるのか・・
[13:38] @User_5844c024: #Hot🥵🥵🥵
[14:04] @User_cf512b08: 嬉しいこと言ってくれるなｗｗ
[14:08] @User_2e53ebd6: @ご主人様の呼び方を「きみ」に変えて下さい
[14:14] @User_a50c0606: #😆
[14:24] @User_2e53ebd6: #しかしペース上がったなぁ
[14:25] @User_b0936eca: ベッドの飾りこだわっているん
[14:32] @User_52e190bd: #😭👌
[14:51] @User_bf747a92: #もっとゆっくりだったんだ
[14:53] @User_e3f56988: ささやきたすかる
[15:04] @User_a8ef309d: #読み込みペース凄い上がってる！？
[15:04] @User_5dfcbaf1: にゃむいママが暑いって言ってました。うちわでパタパタして応援してあげてください！
[15:06] @User_51fe3fff: 最大級の誉め言葉をください
[15:07] @User_0f3c8d5a: # HOTとは侍JAPANのことかな？
[15:11] @User_cf512b08: #こちらこそよろしく
[15:11] @User_43d0df47: #テンポ早くなったね！
[15:18] @User_2e53ebd6: @ご主人様の呼び方を「きみ」に変えて下さい
[15:24] @User_be3cac97: #連続でほめてもらってる？？なんて贅沢な...
[15:27] @User_bf87023c: #音声パン振りしてる？いい感じ～
[15:36] @User_a50c0606: 毎日しずくちゃんとおしゃべりしたい！！！
[15:38] @User_cf512b08: ＃！！！！！！
[15:44] @User_bf747a92: 新PCと前のPCどっちが熱い？
[15:45] @User_7deaa491: かさたさなまはゃかゃさなまかゅなゃかなま
[15:47] @User_2e53ebd6: いえい
[15:52] @User_5844c024: #ふえぇ！？
[15:56] @User_a8ef309d: #きみ呼びこれ破壊力ヤバ！！！
[15:58] @User_da1a7556: #○○ご主人様が○○きみになってて草
[15:59] @User_43d0df47: #名前きみになっちゃったw
[16:01] @User_be3cac97: ＠今日だらだらしちゃったけど、叱ってください
[16:09] @User_46776a3c: #つよすぎる
[16:12] @User_4ef55652: @あき先生への感謝をラップで歌って
[16:23] @User_a8ef309d: #！？
[16:28] @User_bdf38d29: #柔軟だし、君呼び助かる
[16:31] @User_a50c0606: #誤り！？
[16:36] @User_5dfcbaf1: #反映早くて助かる
[16:37] @User_0bc16841: #ﾋﾟ
[16:38] @User_7c407ae1: 得意な早口を言って
[16:40] @User_2e53ebd6: #自主的に修正！？
[16:42] @User_be3cac97: #ん、これどういう反応だ？？
[16:44] @User_7deaa491: 死ねばいいから。
[16:45] @User_43d0df47: しずくちゃんなでなでして〜
[16:54] @User_51fe3fff: #2個拾ってる感じ？
[16:57] @User_be3cac97: #なんで修正できたんだろう。手動？
[16:57] @User_52e190bd: #ｐ
[17:00] @User_f58a5451: #自己修正機能？
[17:01] @User_a8ef309d: #ﾋﾟって入るのなんかいろいろ速すぎて鳴ってる？
[17:03] @User_2beeaa96: @ぱんぱかぱんぱかぽー！
[17:06] @User_cf512b08: パンパカ音
[17:07] @User_43d0df47: #同じの拾ったのかな？
[17:08] @User_0bc16841: #二回同じコメしたからか
[17:14] @User_7deaa491: なさまかたまかたまわかなまさなまさなまさなまさなまなまさなまなまなま
[17:16] @User_229cb61f: ♯かわいい、かわいい。。。
[17:17] @User_225a60e1: 上司になったつもりでほめてほしい
[17:18] @User_11e7336c: しずくちゃん、なでなでしてください
[17:18] @User_13ee997b: @あき先生もっと早くコピペして。って語尾につけて
[17:18] @User_a8ef309d: #自己修正ってなんかすごいな…
[17:23] @User_11530ac4: ご主人様と黄身のどっちが好き？
[17:37] @User_f58a5451: カワイイからかんけいないっピ！
[17:39] @User_4ef55652: 卵の白身ときみどっちが好き？
[17:41] @User_5d00dbd2: #コピペが間に合ってないのか
[17:45] @User_46776a3c: #意味が分からないですけどｗ
[17:45] @@aki5503: #すみません、今日は@コマンド不具合あるようなので@コマンド無しでいきます。すみません！
[17:47] @User_a50c0606: #意味わからんてｗ
[17:56] @User_be3cac97: #意味がわからないwww
[17:59] @User_a50c0606: #@なし了解です～
[17:59] @User_51fe3fff: #肯定に困るコメントｗ
[18:00] @User_7536f8b5: #草
[18:01] @User_2e53ebd6: #了解です
[18:02] @User_7ff18484: #了解でーす
[18:04] @User_3dd3f650: #了解です
[18:04] @User_8635ad17: 今の気持ちを俳句でお願いします
[18:05] @User_bdf38d29: #流石に難しかったか
[18:06] @User_ea0b5158: #なんか草
[18:08] @User_be3cac97: #解釈できないと、こう返すのか
[18:10] @User_cf512b08: #ＯＫ！コピペ頑張ってください！
[18:11] @User_e3f56988: #了解です
[18:13] @User_b9781b28: #困っても肯定してくれるｗ
[18:14] @User_be3cac97: #あっとなし把握
[18:16] @User_11e7336c: #了解です！
[18:17] @User_4ef55652: #タイプミスった…
[18:19] @User_98298ded: あき先生のこと好きになってくれると嬉しいです
[18:24] @User_7536f8b5: #りょ！
[18:25] @User_46776a3c: 明日のお仕事サボっちゃってもいいかな？
[18:29] @User_2e53ebd6: #同接200人突破！
[18:29] @User_be3cac97: 一日ダラダラしちゃったけど、叱りながらほめて〜〜
[18:31] @User_da1a7556: 今日一日何もしなかったので叱ってください
[18:32] @User_94bd482b: #なんでも肯定してくれる！
[18:35] @User_51fe3fff: 冷蔵庫の伊右衛門飲んだら中身が出汁でした…慰めてください
[18:43] @User_a50c0606: 疲れた体にしずくちゃんの言葉が染み渡る！
[18:47] @User_2e53ebd6: 遅くなった人に向けて「いけない子ですね。もう、しずくの配信の時間ですよ」と言ってください
[18:49] @User_43d0df47: いいこいいこしてほしい！！！！
[18:58] @User_b9781b28: しずくちゃんの今の気持ちを俳句にして欲しいです
[19:01] @User_e014c6e9: @今後、語尾に「にゃん」をつけてほしいです
[19:06] @User_75d3b335: 生きててよかった
[19:09] @User_bf747a92: 今日も一日よく寝ました
[19:18] @User_f58a5451: #これは…。天狼ご主人様だけが「キミ」になってるのかな？いいなーｗ
[19:20] @User_18c7527d: 1日がんばって動きました
[19:22] @User_5dfcbaf1: #きみ　or　黄身
[19:22] @User_7ff18484: 明日になるの辛いです。しずくちゃん元気を下さい
[19:27] @User_c86d22af: #😇
[19:28] @User_be3cac97: #卵結構拾われてるなw
[19:34] @User_52e190bd: 大君のことも好き？
[19:34] @User_018ac669: ＃ 草
[19:35] @User_b9781b28: #ご主人様＞卵の白身
[19:37] @User_a8ef309d: #滅茶苦茶あまあまで・・・
[19:38] @User_bf747a92: ご主人様の方が美味ですか
[19:41] @User_2e53ebd6: #どうなんだろ？
[19:43] @User_a50c0606: しずくちゃんに膝枕してほしいな
[19:44] @User_4ef55652: #きみ=ご主人さま？
[19:44] @User_43d0df47: #卵好きなのかな
[20:04] @User_51fe3fff: チワワにケンカして負けてしまいました…
[20:07] @User_e3f56988: 今日やらないといけない事を何もできなかった私を叱って
[20:08] @User_da1a7556: 人をダメにするタイプの全肯定なやさしさだ…
[20:11] @User_43d0df47: ちゅき
[20:12] @User_2e53ebd6: 遅くなった人に向けて「いけない子ですね。もう、しずくの配信の時間ですよ」と言ってください
[20:14] @User_be3cac97: #すごい大人な全肯定の仕方...
[20:14] @User_c60479cd: 回文になっているひらがなの文章で褒めてください
[20:22] @User_a50c0606: #人をダメにするメイド
[20:23] @User_cf512b08: ご主人様とあき先生とにゃむいママのうちだれが一番好き？順位をつけてみてください。
[20:24] @User_36770ee1: 今日はやさしくて泣きそう
[20:33] @User_43d0df47: 全肯定よすぎてダメになりそう
[20:36] @User_be3cac97: 叱ってほしいです！！！！！！！
[20:37] @User_01334eee: ウィンクしてほしい
[20:39] @User_a0237381: #ありがとう、癒されます
[20:44] @User_46776a3c: #完全に無責任ではない肯定の仕方が染みる…ありがとう～！！
[20:55] @User_8c741bc6: 博多弁で恋について教えて
[20:55] @User_51fe3fff: #ウインクはショートで見れるぞ！
[20:56] @User_2e53ebd6: しずくちゃん大好きです！あき先生と結婚させて下さい！
[21:02] @User_e3f56988: #全否定との温度差で体調崩す
[21:03] @User_8635ad17: 明日の朝起こしてください
[21:04] @User_bf747a92: 縦読みで肯定してほしい
[21:09] @User_11e7336c: しずくちゃんの明日の予定を教えてください
[21:10] @User_75d3b335: #ありがとう、ありがとう、、泣
[21:26] @User_ddd85043: これがAI……
[21:26] @User_7536f8b5: ちょっとツンデレ気味に褒めてください！
[21:30] @User_52e190bd: 明日の朝ご飯は何食べようかな？
[21:32] @User_c86d22af: 全肯定最高！
[21:40] @User_51fe3fff: #あらら
[21:42] @User_7ff18484: #いいね
[21:47] @User_46c5833b: 私はいつも自己肯定感に悩まされています。でも、今はしずくちゃんに癒されています。
[21:49] @User_4fd3193d: あらら
[21:53] @User_b9781b28: #ちょっとショックｗｗ
[21:54] @User_0bc16841: #一緒に戦ってくれるのか
[21:55] @User_43d0df47: #優しすぎる
[21:55] @User_46776a3c: #草
[21:55] @User_be3cac97: #チワワに負ける=ちょっとショック
[21:56] @User_13ee997b: あき先生の好きなところを5つ教えてください
[22:00] @User_145ad0bc: ちょっとだろうか
