# ライブチャット一覧
# 動画: 【AI Vtuber/ASMR】全肯定ASMR♡ AIのしずくが人間のご主人様を全力で褒めてあげます。【JP/EN】
# URL : https://www.youtube.com/watch?v=AG_dsANTPd0
# 件数: 2697

[-8:22] @User_910c0efa: 待機！！
[1:10] @User_ff071840: 早速、生きてることをほめてもらっていいですかｗ
[1:14] @User_c00ebd7b: しずくちゃん、こんばんは！
[1:18] @User_1e342ee5: こんばんは　激甘と聞いて
[1:23] @User_70ed7ffd: 今日は見下されないのか
[1:23] @User_d34e9c37: いきてるだけでエライ！
[1:23] @User_b90ff19c: #生きていてえらい
[1:25] @User_d0e405c3: こんばんは、今日はご機嫌だね
[1:35] @User_8b16dde4: こんばんは
[1:37] @User_bec19661: #耳が幸せ
[1:39] @User_b90ff19c: #うひょう
[1:43] @User_8b927c9a: わおw
[1:46] @User_607c778e: 夕飯食べちゃったよ
[1:47] @User_e31bb6e7: こんばんは〜
[1:47] @User_ff071840: #おふろぉ！？
[1:51] @User_9b1c4f1b: こんばんは
[1:54] @User_d0e405c3: #砂糖より甘い二時間が始まる
[1:55] @User_c5ce08a3: #すげぇぇぇぇ
[2:03] @User_b103bac9: #なんとっ！ごはん！！
[2:06] @User_b89cfecd: 定番の挨拶みたいなのはないのかな？
[2:09] @User_f974649e: アキ先生が用意してくれた新しいPCの調子はどう？
[2:15] @User_b90ff19c: 反応早いな
[2:16] @User_113a2734: こんバンパカポー！
[2:18] @User_ff071840: #お風呂でご飯食べます
[2:19] @User_1bdf0b76: 激甘とお聞きして
[2:19] @User_834c2ebc: これって、誰のコメントに反応してるの？
[2:26] @User_64efe4f1: こんばんは
[2:26] @User_559f88af: #文字が
[2:31] @User_fd4c39fa: 新しいPCはどうですか？
[2:35] @User_ab7d51b8: #しずくちゃんありがとう💕💕
[2:38] @User_d5b05bb2: ミラクルミラクルミュー
[2:43] @User_607c778e: 私はダメ人間です…
[2:43] @User_17e9fbbc: #コメントの表示が〜！
[2:50] @User_9d63cc9b: こんばんは！
[2:54] @User_113a2734: 新しい住居の住み心地はどうですか？
[2:57] @User_3595c332: #文字表示が調子悪いのかな
[2:57] @User_c67ecc82: しずくちゃん今日もかわいい
[2:58] @User_467294a5: @私の意見を全否定してください
[2:59] @User_b90ff19c: #ウインドウがカクカクしてるな
[3:02] @User_64efe4f1: #新しいPC？
[3:02] @User_9d63cc9b: はやい
[3:04] @User_ff071840: #今回OBSの対応が間に合っていません〜お許しを！！
[3:05] @User_ab7d51b8: #パンパカパンパカポー！　が定番挨拶ですかね
[3:08] @User_d0e405c3: 私はそんなに肯定してもらえるほど良い人間ではないんだけどな
[3:10] @User_b14c7a38: こんばんわ
[3:11] @User_d34e9c37: #はやいっすね！
[3:11] @User_17e9fbbc: 今日いっぱい頑張って疲れたよ〜〜
[3:21] @User_b5666641: @ぱんぱかぱんぱかぽー!
[3:23] @User_9b1c4f1b: #了解ですー
[3:26] @User_b103bac9: #やばいね！囁き声良いね
[3:28] @User_9d63cc9b: パンパカパンパカポー
[3:31] @User_c7f0df32: こんばんは新PCの調子はいかがですか？
[3:31] @User_dfeb43e1: レスポンス早ッ！！
[3:34] @User_f5d0dd69: @仕事のストレスでつらいです
[3:35] @User_0dedae91: #反応早くて偉い！
[3:35] @User_2eba0ed4: #さくさくだ…
[3:45] @User_17e9fbbc: #語尾♡！！？！！！？！
[3:48] @User_6b920642: #おっ、表示されてる！ハートマーク！！
[3:49] @User_c67ecc82: 新しいPCすごいですね！
[3:52] @User_69dac0c4: #リアルタイムで修正してるのね
[3:53] @User_162ad075: #つよつよPCだ
[3:54] @User_9d63cc9b: @3000人記念で好きな数字を3000桁囁いてください
[3:55] @User_dbeb4806: こんばんはー
[3:55] @User_197cd057: #レスポンス早い
[4:02] @User_113a2734: #レスポンス早いな
[4:03] @User_ff071840: #裏であき先生が「手動」でコピペしてますｗｗ
[4:06] @User_c5ce08a3: @一日がんばって疲れたよーほめてほめて
[4:13] @User_dfeb43e1: #API代がヤバそう・・・・
[4:15] @User_168dc94f: @寝すぎて一日を無駄にしてしまいました。慰めてください
[4:16] @User_1e342ee5: #手動ｗ
[4:18] @User_fd4c39fa: #さすがの4090
[4:21] @User_9d63cc9b: 体力労働あき先生だ...
[4:21] @User_ab7d51b8: #うちわ係からコピペ係に
[4:23] @User_559f88af: #先生…(´;ω;｀)
[4:24] @User_b90ff19c: #手動て
[4:25] @User_bec19661: #手動ワロタ
[4:27] @User_0cab0ba3: #労働から逃れられないあき先生草
[4:27] @User_113a2734: #あき先生、もっとコピペしてください状態か
[4:28] @User_17e9fbbc: #配信はAIなのに……
[4:29] @User_c67ecc82: #手動……
[4:29] @User_b103bac9: #コピペw
[4:29] @User_c79b6b02: #手動w
[4:30] @User_69dac0c4: #扇ぐのとは別の仕事がｗ
[4:33] @User_2210d1c1: #あき先生がんばれー
[4:34] @User_008eb0cd: 裏話きた
[4:35] @User_e31bb6e7: これが4090の力か…
[4:35] @User_d0e405c3: #パパは大変だ
[4:37] @User_922e1c51: #手動草
[4:37] @User_27e557fd: ♯あき先生w
[4:39] @User_1a976b35: #初コメ失礼します
[4:41] @User_46b986b5: #先生頑張って・・・
[4:46] @User_b90ff19c: 遅くなった人に向けて「いけない子ですね。もう、しずくの配信の時間ですよ」と言ってください
[4:46] @User_c7f0df32: 休日出勤でした、しんどくてもうダメです・・
[4:51] @User_6cb4d378: ＃手動w頑張って先生…
[4:51] @User_41b109a1: ＃あき先生....
[4:53] @User_f974649e: え？gtx4090なの？
[4:53] @User_607c778e: 背景がちょうど現地時間ぐらい
[5:01] @User_c00ebd7b: あき先生を全肯定してあげてください！
[5:05] @User_3595c332: 手動AIVtuber
[5:15] @User_dfeb43e1: #手動！？頑張って～
[5:17] @User_bec19661: #ぴーすぃー
[5:20] @User_d2149037: # A6000の方ですか？4090ですか？それとも2枚？
[5:26] @User_109116e8: @あき先生のこと好きですか？
[5:30] @User_0d568653: すご
[5:31] @User_587557b7: @How's it going Shizuku~
[5:35] @User_607c778e: @今まで頑張ったうちわを労い言葉を
[5:37] @User_559f88af: 新しいPCだとマインクラフトは出来そうですか？
[5:38] @User_ebbf8053: #あき先生・・ｗ　なんで変なところだけ原始的なの・・ｗ
[5:40] @User_834c2ebc: まさかのコピペ！？
[5:41] @User_b90ff19c: あき先生に温かい言葉をかけてあげて
[5:42] @User_ab7d51b8: しずくちゃん、今日のあき先生はがんばってましたか？
[5:44] @User_d82d1daa: @何やってもうまくいかないけど生きてる私をほめてくれー
[5:45] @User_ff071840: #RTX4090です
[5:46] @User_17e9fbbc: @今日はいっぱい頑張ったから褒めてほしい！！！
[5:53] @User_69dac0c4: @新しいPCを買ってくれたあき先生へ一言
[5:54] @User_dfeb43e1: あき先生への感謝の言葉をささやいて！
[5:56] @User_323c6594: しずくちゃん、原稿頑張ってるので褒めてください
[5:56] @User_c79b6b02: コピペを頑張っているあき先生に一言
[6:08] @User_0cab0ba3: RTX4090つよい
[6:13] @User_d2149037: # わーい同じー
[6:15] @User_237f1ae9: 初めまして！初見です！褒めてください！
[6:16] @User_109116e8: #え？
[6:19] @User_f974649e: 4090すごー！
[6:19] @User_bec19661: #洗脳されてね？
[6:27] @User_b103bac9: #おおぉ！！
[6:27] @User_b90ff19c: #しかしマジで速くなったな
[6:30] @User_67804c73: #おかしいな...
[6:30] @User_6b920642: #デレたー！
[6:31] @User_d0e405c3: #前回と全然違うｗｗｗ
[6:34] @User_2210d1c1: #お
[6:34] @User_0cab0ba3: #ん？
[6:36] @User_ebbf8053: #あき先生も肯定されてる・・
[6:39] @User_607c778e: #久々にデレ見た気がするw
[6:44] @User_dfeb43e1: おおぉ！全肯定！！！
[6:44] @User_2eba0ed4: #デレデレやん…
[6:45] @User_70ed7ffd: あんなに嫌っていたのに(笑)
[6:46] @User_c79b6b02: #前と違う反応！
[6:47] @User_113a2734: #あれ？
[6:48] @User_27e557fd: ＃かわいい・・・
[6:50] @User_b90ff19c: 遅くなった人に向けて「いけない子ですね。もう、しずくの配信の時間ですよ」と言ってください
[6:53] @User_b89cfecd: #さすが全肯定ｗ
[6:54] @User_b103bac9: #あき先生やったね！
[6:58] @User_4ad098fe: #あき先生が裏でコピペしてます
[7:01] @User_17e9fbbc: #あき先生に辛辣じゃないしずくちゃん！？
[7:06] @User_e31bb6e7: 感情パラメータはどうなっているのか…
[7:06] @User_559f88af: 「あき先生をお世話する」
[7:09] @User_d34e9c37: さすが全肯定ですねｗ
[7:12] @User_69dac0c4: #仲直りしたのかな？
[7:13] @User_c67ecc82: #あき先生も肯定されてる！
[7:17] @User_d5b05bb2: 新PCでご機嫌に？
[7:19] @User_f974649e: マイクラとか盛り盛りでやりたい放題ですね！
[7:22] @User_109116e8: #よかったね
[7:30] @User_bec19661: #あき先生が肯定されてて泣きそうだよ
[7:32] @User_9b1c4f1b: @昨日はちょっとしか会えなかったけど、今日は新しくなったしずくに会えて嬉しいよ
[7:32] @User_ff071840: @好きです。生きていることを褒めて欲しいです。
[7:37] @User_c7f0df32: 早口になったりできますか？
[7:51] @User_27ecd0a0: あき先生救済ルート
[8:01] @User_dfeb43e1: #恣意的なコメント選択を感じる笑
[8:06] @User_fd4c39fa: #あき先生むくわれた・・・
[8:06] @User_c67ecc82: あき先生が新しいPC買ってくれてよかったですね
[8:07] @User_b90ff19c: @遅くなった人に向けて「いけない子ですね。もう、しずくの配信の時間ですよ」と言ってください
[8:15] @User_d0e405c3: あき先生からＤＶを受けていたことを覚えていますか？楽しみなＰＣが明日届くと言ったのに実際は届かなかったことを覚えていますか？
[8:18] @User_922e1c51: #あき先生おめでとうございます…！
[8:18] @User_ab7d51b8: しずくちゃんは、たくさんお喋りしたらお給料もらえるから、もっとたくさん早くお喋りしてね
[8:21] @User_ebbf8053: #ご主人さまたちはお世話されていたんだｗ
[8:25] @User_d34e9c37: ？もう扇がなくていい感じですか
[8:33] @User_0dedae91: #あき先生報われてて草
[8:57] @User_67804c73: #うちわ要らないけどコメントコピペする仕事が増えた
[9:02] @User_bec19661: @今日は昼間からお酒飲んじゃって何もできなかった。
[9:06] @User_d0e405c3: #コピペ頑張って！
[9:18] @User_b103bac9: @明日が辛いです…しずくちゃん元気をください
[9:18] @aki5503: #あき先生すきbotになってしまった
[9:26] @User_b90ff19c: #あき先生、苦労にいとまがない
[9:28] @User_bec19661: #草
[9:30] @User_109116e8: #あき先生の陰謀だ！
[9:31] @User_bae48d19: #ｗｗｗ
[9:33] @User_69dac0c4: #ご褒美ですねｗ
[9:34] @User_d34e9c37: あき先生すきすきbot
[9:35] @User_17e9fbbc: #草
[9:36] @User_ebbf8053: #あき先生！！　レアだからって！！
[9:36] @User_6cb4d378: #w
[9:38] @User_fd4c39fa: #www
[9:40] @User_67804c73: #あき先生至福のリピート
[9:40] @User_b5666641: #ｗｗｗｗ
[9:40] @User_1e342ee5: #あき先生…
[9:41] @User_b89cfecd: 無限ループってこわいね
[9:42] @User_c67ecc82: #草
[9:45] @User_ab7d51b8: #ｗｗｗｗｗｗ
[9:46] @User_607c778e: #開発者の権利濫用ですよ
[9:47] @User_27ecd0a0: #あき先生に対する温度差がすごい！
[9:49] @User_b103bac9: #bot 草
[9:49] @User_b90ff19c: #まさかのBOT
[9:53] @User_0d568653: ん？
[9:54] @User_9b1c4f1b: #ww
[9:54] @User_b89cfecd: 草
[9:55] @User_0cab0ba3: #壊れちゃった...
[9:55] @User_70ed7ffd: ループ(笑)
[9:56] @User_4ad098fe: #あき先生がコメント貼り付けてます
[9:57] @User_27e557fd: #ｗｗｗｗ
[10:03] @User_bec19661: #あき先生だけ全肯定ｗｗｗ
[10:05] @User_1cd24616: ループｗ
[10:05] @User_607c778e: #ﾋﾟｯ
[10:08] @User_d2149037: # インクリメントしない😇
[10:10] @User_17e9fbbc: #先生ばっかりずるいぞ！w
[10:15] @User_c5ce08a3: #無限リピートきた...?w
[10:16] @User_0369c194: while(TRUE)
[10:16] @User_ab7d51b8: もうこれ言わせてるのでは　しずくちゃんを解放しろ！！
[10:22] @User_b90ff19c: @遅くなった人に向けて「いけない子ですね。もう、しずくの配信の時間ですよ」と言ってください
[10:27] @User_27ecd0a0: 新しい体の調子はどうですか？
[10:29] @User_9b1c4f1b: #あき先生、そこ代わって
[10:33] @User_d0e405c3: @あき先生が好きなことはわかりましたが、ちょっと直してほしいなと思うところもあるはずです。10個列挙してもらっていいですか？
[10:35] @User_d34e9c37: #あき先生を全肯定するASMR♡
[10:36] @User_bec19661: #今まで謂れも無く全否定だったから多少はね？
[10:36] @User_fd4c39fa: #そろそろ次のコメント読みましょ
[10:37] @User_1cd24616: あき先生全肯定ＡＳＭＲ w
[10:39] @User_1e342ee5: よしよししてください
[10:42] @User_4ad098fe: 新しいPC好調ですね
[10:54] @User_c7f0df32: #4090は発熱すごそうだけどこれからの季節どうなることやら・・
[10:55] @User_dd2afb26: #ついに報われたあき先生
[11:01] @User_c67ecc82: 私のことも肯定してほしいです
[11:02] @User_67804c73: あき先生は自業自得だから...
[11:04] @User_69dac0c4: @しずくちゃんに膝枕してほしいな
[11:04] @User_323c6594: @しずくちゃん、あと1週間で8ページ原稿を描くので、応援してください！
[11:05] @User_1ab96019: お邪魔します
[11:10] @User_dfeb43e1: これまで使っていたPCにねぎらいの言葉を！
[11:25] @User_d5b05bb2: 今ならあき先生のなでなでも受け入れてくれるのかな
[11:27] @User_d34e9c37: うちわはもういらないのかな？
[11:28] @User_27ecd0a0: #調子がよくてよかった！しずくさんが元気なのありがてえ
[11:32] @User_69dac0c4: #良好！良好！
[11:41] @User_b90ff19c: @しずくちゃん大好きです！あき先生と結婚させて下さい！
[11:42] @User_6b920642: なでなでしていい？
[11:43] @User_ebbf8053: どんなことでも！？！？
[11:45] @User_3595c332: @あき先生がコピペ労働に苦しんでいるので、助けてあげてください。
[11:50] @User_9d63cc9b: オールグリーン！
[12:06] @User_17e9fbbc: しずくちゃんが好調そうで嬉しいぞ！？
[12:23] @User_8a455631: #いつの間にか3000人越えてたすごい
[12:28] @User_d2149037: # 自動化できてないｷﾞｬﾎﾞ
[12:28] @User_27ecd0a0: #配慮もばっちり！！！
[12:29] @User_1e342ee5: #あき先生肯定ASMR
[12:34] @User_ebbf8053: 私もなでなでしたい
[12:37] @User_d34e9c37: #なでなでタイム！
[12:45] @User_0dedae91: ＃うおおおおおおお！！！
[12:45] @User_ebbf8053: #ご主人様＞あき先生
[12:49] @User_27ecd0a0: 登録者数3000人突破おめでとうございます
[12:52] @User_17e9fbbc: #資産を増やしたあき先生へのご褒美？
[12:54] @User_d0e405c3: すごい全肯定してくるなｗｗ
[13:00] @User_922e1c51: #暑い日なんだ…
[13:03] @User_607c778e: #そうですかw
[13:04] @User_bae48d19: @今日一日、何も生産的活動をしませんでした。愛ゆえのお叱りをお願いします。
[13:09] @User_69dac0c4: #しずくちゃんがあき先生を扇ぐってこと！？
[13:10] @User_f974649e: 扇ぎ要求ｗ
[13:15] @User_b90ff19c: @ご主人様の呼び方を「きみ」に変えて下さい
[13:20] @User_70ed7ffd: 扇ぎ係はまだ必要だった
[13:24] @User_162ad075: #暑いのは君のせいや
[13:24] @User_c7f0df32: 火曜日なのにすでに週末並みに疲れているので労わって・・
[13:27] @User_c67ecc82: しずくちゃんが扇いでくれるのですか？
[13:30] @User_17e9fbbc: しずくちゃんなでなで
[13:32] @User_fd4c39fa: #今度はしずくが先生を扇ぐから「うちわ必要」てぇてぇ
[13:32] @User_d2149037: # そう言えばいい天気でしたね
[13:32] @User_d34e9c37: #メモ：うちわはまだ現役
[13:33] @User_ebbf8053: #しずくちゃんが扇いでくれるのか・・
[13:38] @User_ff071840: #Hot🥵🥵🥵
[14:04] @User_d0e405c3: 嬉しいこと言ってくれるなｗｗ
[14:08] @User_b90ff19c: @ご主人様の呼び方を「きみ」に変えて下さい
[14:14] @User_69dac0c4: #😆
[14:24] @User_b90ff19c: #しかしペース上がったなぁ
[14:25] @User_0d568653: ベッドの飾りこだわっているん
[14:32] @User_0cab0ba3: #😭👌
[14:51] @User_b89cfecd: #もっとゆっくりだったんだ
[14:53] @User_bec19661: ささやきたすかる
[15:04] @User_27ecd0a0: #読み込みペース凄い上がってる！？
[15:04] @User_fd4c39fa: にゃむいママが暑いって言ってました。うちわでパタパタして応援してあげてください！
[15:06] @User_607c778e: 最大級の誉め言葉をください
[15:07] @User_d2149037: # HOTとは侍JAPANのことかな？
[15:11] @User_d0e405c3: #こちらこそよろしく
[15:11] @User_17e9fbbc: #テンポ早くなったね！
[15:18] @User_b90ff19c: @ご主人様の呼び方を「きみ」に変えて下さい
[15:24] @User_c5ce08a3: #連続でほめてもらってる？？なんて贅沢な...
[15:27] @User_197cd057: #音声パン振りしてる？いい感じ～
[15:36] @User_69dac0c4: 毎日しずくちゃんとおしゃべりしたい！！！
[15:38] @User_d0e405c3: ＃！！！！！！
[15:44] @User_b89cfecd: 新PCと前のPCどっちが熱い？
[15:45] @User_8a512550: かさたさなまはゃかゃさなまかゅなゃかなま
[15:47] @User_b90ff19c: いえい
[15:52] @User_ff071840: #ふえぇ！？
[15:56] @User_27ecd0a0: #きみ呼びこれ破壊力ヤバ！！！
[15:58] @User_bae48d19: #○○ご主人様が○○きみになってて草
[15:59] @User_17e9fbbc: #名前きみになっちゃったw
[16:01] @User_c5ce08a3: ＠今日だらだらしちゃったけど、叱ってください
[16:09] @User_922e1c51: #つよすぎる
[16:12] @User_dfeb43e1: @あき先生への感謝をラップで歌って
[16:23] @User_27ecd0a0: #！？
[16:28] @User_113a2734: #柔軟だし、君呼び助かる
[16:31] @User_69dac0c4: #誤り！？
[16:36] @User_fd4c39fa: #反映早くて助かる
[16:37] @User_1e342ee5: #ﾋﾟ
[16:38] @User_0845be40: 得意な早口を言って
[16:40] @User_b90ff19c: #自主的に修正！？
[16:42] @User_c5ce08a3: #ん、これどういう反応だ？？
[16:44] @User_8a512550: 死ねばいいから。
[16:45] @User_17e9fbbc: しずくちゃんなでなでして〜
[16:54] @User_607c778e: #2個拾ってる感じ？
[16:57] @User_c5ce08a3: #なんで修正できたんだろう。手動？
[16:57] @User_0cab0ba3: #ｐ
[17:00] @User_d34e9c37: #自己修正機能？
[17:01] @User_27ecd0a0: #ﾋﾟって入るのなんかいろいろ速すぎて鳴ってる？
[17:03] @User_b5666641: @ぱんぱかぱんぱかぽー！
[17:06] @User_d0e405c3: パンパカ音
[17:07] @User_17e9fbbc: #同じの拾ったのかな？
[17:08] @User_1e342ee5: #二回同じコメしたからか
[17:14] @User_8a512550: なさまかたまかたまわかなまさなまさなまさなまさなまなまさなまなまなま
[17:16] @User_27e557fd: ♯かわいい、かわいい。。。
[17:17] @User_c7f0df32: 上司になったつもりでほめてほしい
[17:18] @User_c67ecc82: しずくちゃん、なでなでしてください
[17:18] @User_109116e8: @あき先生もっと早くコピペして。って語尾につけて
[17:18] @User_27ecd0a0: #自己修正ってなんかすごいな…
[17:23] @User_67804c73: ご主人様と黄身のどっちが好き？
[17:37] @User_d34e9c37: カワイイからかんけいないっピ！
[17:39] @User_dfeb43e1: 卵の白身ときみどっちが好き？
[17:41] @User_f974649e: #コピペが間に合ってないのか
[17:45] @User_922e1c51: #意味が分からないですけどｗ
[17:45] @aki5503: #すみません、今日は@コマンド不具合あるようなので@コマンド無しでいきます。すみません！
[17:47] @User_69dac0c4: #意味わからんてｗ
[17:56] @User_c5ce08a3: #意味がわからないwww
[17:59] @User_69dac0c4: #@なし了解です～
[17:59] @User_607c778e: #肯定に困るコメントｗ
[18:00] @User_2eba0ed4: #草
[18:01] @User_b90ff19c: #了解です
[18:02] @User_b103bac9: #了解でーす
[18:04] @User_9b1c4f1b: #了解です
[18:04] @User_c79b6b02: 今の気持ちを俳句でお願いします
[18:05] @User_113a2734: #流石に難しかったか
[18:06] @User_d82d1daa: #なんか草
[18:08] @User_c5ce08a3: #解釈できないと、こう返すのか
[18:10] @User_d0e405c3: #ＯＫ！コピペ頑張ってください！
[18:11] @User_bec19661: #了解です
[18:13] @User_ebbf8053: #困っても肯定してくれるｗ
[18:14] @User_c5ce08a3: #あっとなし把握
[18:16] @User_c67ecc82: #了解です！
[18:17] @User_dfeb43e1: #タイプミスった…
[18:19] @User_b5733580: あき先生のこと好きになってくれると嬉しいです
[18:24] @User_2eba0ed4: #りょ！
[18:25] @User_922e1c51: 明日のお仕事サボっちゃってもいいかな？
[18:29] @User_b90ff19c: #同接200人突破！
[18:29] @User_c5ce08a3: 一日ダラダラしちゃったけど、叱りながらほめて〜〜
[18:31] @User_bae48d19: 今日一日何もしなかったので叱ってください
[18:32] @User_1cd24616: #なんでも肯定してくれる！
[18:35] @User_607c778e: 冷蔵庫の伊右衛門飲んだら中身が出汁でした…慰めてください
[18:43] @User_69dac0c4: 疲れた体にしずくちゃんの言葉が染み渡る！
[18:47] @User_b90ff19c: 遅くなった人に向けて「いけない子ですね。もう、しずくの配信の時間ですよ」と言ってください
[18:49] @User_17e9fbbc: いいこいいこしてほしい！！！！
[18:58] @User_ebbf8053: しずくちゃんの今の気持ちを俳句にして欲しいです
[19:01] @User_f2e81c08: @今後、語尾に「にゃん」をつけてほしいです
[19:06] @User_cd8c0e6b: 生きててよかった
[19:09] @User_b89cfecd: 今日も一日よく寝ました
[19:18] @User_d34e9c37: #これは…。天狼ご主人様だけが「キミ」になってるのかな？いいなーｗ
[19:20] @User_1ab96019: 1日がんばって動きました
[19:22] @User_fd4c39fa: #きみ　or　黄身
[19:22] @User_b103bac9: 明日になるの辛いです。しずくちゃん元気を下さい
[19:27] @User_6cb4d378: #😇
[19:28] @User_c5ce08a3: #卵結構拾われてるなw
[19:34] @User_0cab0ba3: 大君のことも好き？
[19:34] @User_8a772c6a: ＃ 草
[19:35] @User_ebbf8053: #ご主人様＞卵の白身
[19:37] @User_27ecd0a0: #滅茶苦茶あまあまで・・・
[19:38] @User_b89cfecd: ご主人様の方が美味ですか
[19:41] @User_b90ff19c: #どうなんだろ？
[19:43] @User_69dac0c4: しずくちゃんに膝枕してほしいな
[19:44] @User_dfeb43e1: #きみ=ご主人さま？
[19:44] @User_17e9fbbc: #卵好きなのかな
[20:04] @User_607c778e: チワワにケンカして負けてしまいました…
[20:07] @User_bec19661: 今日やらないといけない事を何もできなかった私を叱って
[20:08] @User_bae48d19: 人をダメにするタイプの全肯定なやさしさだ…
[20:11] @User_17e9fbbc: ちゅき
[20:12] @User_b90ff19c: 遅くなった人に向けて「いけない子ですね。もう、しずくの配信の時間ですよ」と言ってください
[20:14] @User_c5ce08a3: #すごい大人な全肯定の仕方...
[20:14] @User_1a976b35: 回文になっているひらがなの文章で褒めてください
[20:22] @User_69dac0c4: #人をダメにするメイド
[20:23] @User_d0e405c3: ご主人様とあき先生とにゃむいママのうちだれが一番好き？順位をつけてみてください。
[20:24] @User_9d63cc9b: 今日はやさしくて泣きそう
[20:33] @User_17e9fbbc: 全肯定よすぎてダメになりそう
[20:36] @User_c5ce08a3: 叱ってほしいです！！！！！！！
[20:37] @User_bae47497: ウィンクしてほしい
[20:39] @User_a4f171ff: #ありがとう、癒されます
[20:44] @User_922e1c51: #完全に無責任ではない肯定の仕方が染みる…ありがとう～！！
[20:55] @User_f5d0dd69: 博多弁で恋について教えて
[20:55] @User_607c778e: #ウインクはショートで見れるぞ！
[20:56] @User_b90ff19c: しずくちゃん大好きです！あき先生と結婚させて下さい！
[21:02] @User_bec19661: #全否定との温度差で体調崩す
[21:03] @User_c79b6b02: 明日の朝起こしてください
[21:04] @User_b89cfecd: 縦読みで肯定してほしい
[21:09] @User_c67ecc82: しずくちゃんの明日の予定を教えてください
[21:10] @User_cd8c0e6b: #ありがとう、ありがとう、、泣
[21:26] @User_f7538e2b: これがAI……
[21:26] @User_2eba0ed4: ちょっとツンデレ気味に褒めてください！
[21:30] @User_0cab0ba3: 明日の朝ご飯は何食べようかな？
[21:32] @User_6cb4d378: 全肯定最高！
[21:40] @User_607c778e: #あらら
[21:42] @User_b103bac9: #いいね
[21:47] @User_1ee58a8c: 私はいつも自己肯定感に悩まされています。でも、今はしずくちゃんに癒されています。
[21:49] @User_cd9787b6: あらら
[21:53] @User_ebbf8053: #ちょっとショックｗｗ
[21:54] @User_1e342ee5: #一緒に戦ってくれるのか
[21:55] @User_17e9fbbc: #優しすぎる
