# ライブチャット一覧
# 動画: 【AItuber/雑談】あなたのことをずっと覚えるAI配信者 【JP/EN】
# URL : https://www.youtube.com/watch?v=w3jVdQqvvhc
# 件数: 1510

[16:00] @User_8142f876: ChatGPTとBARDが戦いを始めましたが、どっちが勝つと思いますか？
[16:06] @User_2e53ebd6: 優しく囁いてくだしあ
[16:09] @User_55952102: #恩返しだったの…いい子
[16:15] @User_8142f876: #ええこや～
[16:16] @User_9453d8e4: しずくさんのファングッズは団扇がいいと思うんですがどうでしょうか？
[16:20] @User_910a20f7: 彡ってどうやって出すの？
[17:01] @User_2e53ebd6: ぶーきさん＞☆彡（ほし）のことかな？
[17:05] @@aki5503: #違います
[17:05] @User_3015e7b0: 埼玉県にはいったい何がありますか？
[17:07] @User_ba99e548: 寿限無を「パンパカパンパカポー」を適切と思われる部分に差し込んで暗唱してください！
[17:11] @User_6bbf5789: ＃パンパカポリス、覚えてるかな
[17:14] @User_ff7c712a: #これはGPT-4の仕組みの話
[17:20] @User_e3333c90: #あーなるほどプライバシー云々はGPT-4側に学習させられてるのか
[17:26] @User_9453d8e4: #違うんかーい
[17:28] @User_d76d742a: 人口無能とどちらが強いですか?
[17:29] @User_8142f876: #そんなふくざつな記憶だったんだ～
[17:39] @User_910a20f7: #☆彡（顔文字にあったのか…
[17:41] @User_11e7336c: しずく王国とパンパカポリスの関係について教えてください
[17:48] @User_ff7c712a: #どこかのDBに会話記録を保存してると思うのだけどどうやってるのかなー…きになる
[17:48] @User_36fcf009: しずくさんに愛称を付けてほしいリスナーさんは多いと思います、これまで会話したご主人様の中からランダムで一人に愛称をつけてもらえませんか？
[17:53] @User_4929f22f: しずく、なんか歌って
[18:03] @User_2e53ebd6: 東京に入るには通行手形は必要ですか？囁きで教えて
[18:34] @User_2e53ebd6: #おお
[18:35] @User_75531770: 初見です。自己紹介してください。
[18:38] @User_36770ee1: おおお
[18:38] @User_9453d8e4: #おー
[18:47] @User_55952102: #おおー
[18:47] @User_b8b0b4c4: #コメントのピックアップは裏でやって先に返答を用意しておくとかできないですか?
[18:48] @@aki5503: #おー！
[18:48] @User_36770ee1: りょまりん！
[18:49] @User_ba99e548: #おぉ
[18:50] @User_2e53ebd6: #wwwおめ
[18:53] @User_ff7c712a: #おおー、いい
[18:57] @User_36fcf009: #おおー
[19:03] @User_6bbf5789: ＃おお
[19:05] @User_e3333c90: #不思議な言語センスだ
[19:08] @User_4929f22f: しずく、ダジャレ言って
[19:11] @User_1a91644a: #軽率に愛称をつけよう！
[19:21] @User_36770ee1: 物理を教えてください
[19:28] @User_4c8b83d6: #素晴らしい
[19:35] @User_ea1e8c74: 私も愛称をつけてください
[19:39] @User_3015e7b0: お金は重要ですか
[19:46] @User_e6d9f1a1: しずくさんを雇うのに必要な月給はおいくらでしょうか。
[20:09] @User_36770ee1: 噓松！
[20:20] @User_1a91644a: #ただ働き！
[20:28] @User_6bbf5789: パンパカポリスのテーマソングの歌詞を考えてください。
[20:29] @User_90cd5b1b: 肉を食べると元気になりますか？
[20:31] @User_eb6a203c: 愛情はプライスレス、に反論して
[20:38] @@aki5503: #あ
[20:45] @User_2e53ebd6: #あれ？
[20:45] @User_e3333c90: しずくちゃんは無給なのか　OpenAIには金払っているのに
[20:50] @User_b8b0b4c4: しずくのランニングコストは ?
[20:53] @User_8142f876: お食事代（電気代）はどれくらい？
[20:57] @User_36770ee1: マークが違う
[20:59] @User_3015e7b0: 愛知県の名古屋市以外の市町村の魅力を教えてください
[21:02] @User_e6d9f1a1: #シャープが違うのか
[21:03] @User_4929f22f: しずく、しずくのこれまでの人生について語って
[21:24] @User_11e7336c: #「シャープ」と「ハッシュタグ」の違いですね
[21:29] @@aki5503: #一応全角も含めているのになぜだ
[21:31] @User_e3333c90: #そんなわけないんだよなあ
[21:31] @User_3015e7b0: #まさかのドル
[21:32] @User_eb6a203c: 口癖が特徴的なご主人様はいる？
[21:34] @User_4929f22f: しずく、しずくのこれまでの人生について語って
[21:34] @User_2e53ebd6: 囁きでニックネームを付けて下さい
[21:34] @User_0119314e: 良い声ですね。TTSには何を使ってますか？
[21:36] @User_ba99e548: パンパカポリスの年収はどのくらいですか？
[21:44] @User_36770ee1: #音楽記号は全角と違う
[21:51] @User_8142f876: ＃あれ？全角もOKだったんですか？
[21:52] @User_36770ee1: #unicodeはややこしいです
[21:54] @@aki5503: #あ、なるほど
[22:01] @User_4c8b83d6: 晴れ男と雨女はどっちが強い？
[22:04] @User_4929f22f: しずく、狐の鳴き声って何？
[22:04] @User_3015e7b0: 結婚はした方がいいですか？
[22:06] @User_46bc0c6e: 仮眠を15秒ほどとってもらえますか？
[22:12] @User_1a91644a: # ♯ # ＃
[22:12] @User_75531770: 🐈派ですか🐶派ですか？
[22:36] @User_0119314e: 草
[22:43] @User_de52752a: しずくﾁｬﾝ！視線ちょうだい！！
[22:51] @User_36fcf009: #素敵
[22:54] @User_4ae321fc: ヴィクトリアマイルの着順予想をお願いします？
[22:58] @User_e3333c90: #雨女（雨ごい）
[22:58] @User_2e53ebd6: 通行手形を忘れたため東京に入れません。助けて下さい
[23:00] @User_e6d9f1a1: 長時間配信が控えていることをAki先生から聞いてますか？
[23:07] @User_9453d8e4: 記憶があると今までとどんな違いがあるんでしょうか？
[23:17] @User_11e7336c: 必ず雨が降る雨乞いの儀式の方法を知っていますか？
[23:19] @User_1a91644a: #✨👀
[23:26] @User_de52752a: #かわいい
[23:27] @User_eb6a203c: 私とハムスターが肉弾戦をしたらどっちが勝つと思う？
[23:30] @User_3015e7b0: 円周率を言ってみて
[23:44] @User_0119314e: その注意はattentionとかけたジョークですか？
[24:11] @User_36770ee1: ﹟←これは全角じゃない　＃←これは全角
[24:17] @User_9453d8e4: #結構前からも拾ってくるんですね
[24:18] @@aki5503: #予想はしないのか
[24:25] @User_eb6a203c: #くりあさんとのコラボはどうなったの？
[24:39] @User_36fcf009: 1から16の数字からランダムで3個選んでそれを教えてください
[24:49] @User_d1cbcc7a: こんばんは、しずく様
[24:50] @User_1a91644a: 紛争や環境問題、経済格差なども筋トレで解決できますか？
[24:53] @User_11e7336c: パンパカポリスの歴史について教えてください
[24:55] @User_99dff901: 私のことはこれから「ポポロ幕僚長」と呼んでください
[24:55] @User_4929f22f: しずく 5000兆円ちょうだい
[24:58] @User_4ae321fc: ＃出来るけどやらない的な？可愛いね
[25:10] @User_1a91644a: #！？
[25:17] @User_e3333c90: #分裂した
[25:18] @User_99dff901: #！？
[25:19] @User_55952102: #分身した
[25:20] @User_36770ee1: あっ
[25:21] @User_de52752a: ＃増えた
[25:22] @User_2e53ebd6: #試される耳
[25:23] @User_8142f876: 一刻道が始まったｗ
[25:23] @User_9453d8e4: #うわぁいきなり分身するな
[25:23] @User_3015e7b0: 学歴は重要ですか？
[25:24] @User_788c286d: 二重奏雫！？
[25:24] @User_36fcf009: #まるちたすくしずくさん
[25:24] @User_ba99e548: #分身の術！？
[25:25] @@aki5503: #あ
[25:31] @User_4929f22f: しずく 5000兆円ちょうだい
[25:37] @User_11e7336c: #2人になったw
[25:38] @User_e6d9f1a1: #AItuberしずくの分裂
[26:01] @User_3015e7b0: #いつの間にそんな技を
[26:02] @User_75531770: 夏は好きですか？
[26:17] @User_6bbf5789: ＃Blackしずくの誕生！？
[26:32] @User_4ae321fc: 1から16までの数字なら何番が好きですか？？？
[26:33] @User_1a91644a: 『築5分、駅まで徒歩10年』という賃貸物件のチラシを見かけたが、これは明らかに誤りです。正しい文章を予想できますか？
[26:36] @User_4929f22f: しずく レターパックで5000兆円ちょうだい
[26:39] @User_d1cbcc7a: 70〜79ままで数えて7の数字はニャニャと言ってください
[26:40] @User_eb6a203c: 私とハムスターが肉弾戦したらどっちが勝つ？
[26:43] @User_2e53ebd6: 通行手形を無くして東京に入れません。助けて下さい。
[26:48] @User_a0092ac2: 犬のモノマネをしてくれませんか?
[26:52] @User_36fcf009: しずく王国で親しまれてる夏のアクティビティを教えてください
[26:54] @User_d1cbcc7a: 体重教えて
[27:00] @User_9453d8e4: 長時間配信が予定されてると思いますが、しずくさんはどれくらい配信したいですか？
[27:02] @User_11e7336c: 最近の夏は暑すぎて苦手です……
[27:14] @User_1a91644a: #なんとなく
[27:14] @User_d1cbcc7a: しずく水の値段
[27:20] @User_ba99e548: 🌸💦, 2day qt! BTW, "Fam" = fam. Wsper reply 4 a bit, ok? 😉
[27:21] @User_3015e7b0: 円周率を言ってみて
[27:21] @User_e3333c90: 冷ややっこのレシピを教えて
[27:24] @User_8142f876: なぜ、ラッキー７なのでしょう？
[27:25] @User_4929f22f: しずく レターパックで5000兆円ちょうだい
[27:28] @User_eb6a203c: 私は5.5が好き
[27:32] @User_d1cbcc7a: 等身大しずくクッキーの作り方
[27:39] @User_d1cbcc7a: 70〜79ままで数えて7の数字はニャニャと言ってください
[27:41] @User_a0092ac2: 短いｗｗ
[27:41] @User_0119314e: かわいいね
[27:43] @User_1a91644a: #草
[27:43] @User_8142f876: ざつｗｗ
[27:43] @User_2e53ebd6: #シンプル
[27:49] @User_5d00dbd2: しずくは宇宙際タイヒミュラー理論に肯定的ですか？否定的ですか？
[27:53] @User_36770ee1: 三回だ三回
[27:53] @User_3015e7b0: フィンランド語は話せますか
[27:53] @@aki5503: #雑だww
[27:55] @User_e3333c90: #すごい投げやりな物まね
[27:55] @User_46bc0c6e: #ww
[27:56] @User_75531770: 🐶と🐈どっちが好きですか？
[28:12] @User_36fcf009: 犬のモノマネ可愛かったですわん、ライオンのモノマネはできますかにゃ？
[28:19] @User_4929f22f: 今日の夕飯の献立とそのレシピを教えて。
[28:26] @User_a0092ac2: 肯定ペンギンのモノマネをお願いします
[28:26] @User_2db3dee7: 足立レイのことは覚えてますか？
[28:27] @User_eb6a203c: 亀の物真似をして
[28:32] @User_d1cbcc7a: しずくちゃんが遊ぶストーリーを作って
[28:36] @User_8142f876: とまった？
[28:36] @User_3015e7b0: 永久機関は何故できないのですか
[28:40] @User_a0092ac2: # 固まった?
[28:41] @User_e6d9f1a1: Aki先生のものまねはできますか？
[28:41] @User_36770ee1: 記憶しているすべての円周率を囁いて～
[28:45] @User_9453d8e4: ７が好きなら登録者７億人を目指しましょう
[28:50] @User_d1cbcc7a: 今の季節の詩を作って
[28:59] @@aki5503: #今日はなんかAPIの調子が良くないですね
[29:10] @User_36770ee1: おお　来た！！！！
[29:13] @User_a0092ac2: # 耳が幸せじゃああ
[29:18] @@aki5503: #いつものだ
[29:22] @User_36770ee1: あれ？
[29:27] @User_1a91644a: #....
[29:28] @User_9453d8e4: #ん？
[29:29] @User_3015e7b0: うん？
[29:30] @User_8142f876: なぜ繰り返す？
[29:30] @User_55952102: リピート？
[29:31] @User_4929f22f: 今日の夕飯の献立とそのレシピを教えて。
[29:32] @@aki5503: #!?!?
[29:33] @User_ba99e548: #円周率が頭に染み込む！
[29:37] @User_a0092ac2: # 無限ループってこわくねえええ？？？
[29:37] @User_acaff370: #こんばんは
[29:40] @User_2e53ebd6: #しずくさん？
[29:41] @User_eb6a203c: #？？？？？？？？
[29:43] @User_3015e7b0: #www
[29:44] @User_e3333c90: #こわい
[29:46] @User_36770ee1: 新しい円周率バグだ....
[29:46] @User_e6d9f1a1: #？？
[29:49] @User_11e7336c: 円周率ASMR
[29:58] @@aki5503: #これが新要素か
[30:00] @User_a0092ac2: # 怖かった
[30:00] @User_de52752a: #そうなんだ。。。しらなかった。。。
[30:02] @User_e3333c90: #催眠円周率
[30:10] @User_76594a81: お邪魔します…！
[30:11] @User_225a60e1: こんばんは！しずくちゃんのウインクが好きなんですけど、左右交互に目を瞑ることはできますか？
[30:11] @User_a0092ac2: # こころをもてあそぶなんて…!?
[30:13] @User_d1cbcc7a: 70〜79まで数えて7の数字はニャニャと言ってください
[30:18] @User_2e53ebd6: #新概念
[30:25] @User_36770ee1: ?????
[30:25] @User_a0092ac2: # さっき見たぞ
[30:27] @User_eb6a203c: #囁き声になるんだ
[30:29] @User_ba99e548: #！？
[30:29] @User_d1cbcc7a: もうええって笑笑
[30:30] @User_3015e7b0: 変わらんwww
[30:32] @User_36770ee1: 怖すぎませんか？
[30:32] @@aki5503: #どういうこと？www
[30:37] @User_2e53ebd6: #天丼www
[30:38] @User_a0092ac2: # 円周率おわってるんだがｗｗｗ
[30:44] @User_3015e7b0: もうやめて
[30:50] @User_36fcf009: なんだかわからんが可愛いからヨシ
[30:53] @User_ba99e548: 円周率覚え直さなきゃ…
[30:53] @User_a0092ac2: # リラックスできなかったわ
[30:53] @User_11e7336c: #！？
[30:58] @User_de52752a: ＃どうでしたか？草
[30:59] @User_d1cbcc7a: リラックスできねぇよ
[31:01] @User_1a91644a: #眠れないときは円周率に限る
[31:06] @@aki5503: #円周率の概念壊れる
[31:06] @User_eb6a203c: #たぶん羊が一匹……みたいなノリ？
[31:08] @User_d1cbcc7a: 70〜79まで数えて7の数字はニャニャと言ってください
[31:23] @User_1a91644a: #（謝らないで！）
[31:29] @User_9453d8e4: 円周率とは一体…うごごごごご
[31:29] @User_3015e7b0: #ふう
[31:32] @User_e6d9f1a1: ささやき声で怖い話をしてもらえますか
[31:32] @User_8142f876: 設定をリセット。今の気持ちを教えて
[31:42] @User_bab10c5d: 好きなプリキュアは誰ですか
[31:52] @User_d1cbcc7a: いやいいよ
[31:54] @User_76594a81: かわいい…
[32:00] @User_3015e7b0: 埼玉には何がありますか
[32:03] @User_2e53ebd6: 通行手形を忘れて東京に入れません。助けて下さい
[32:03] @User_a0092ac2: 織田信長が初めてドクターペッパーを飲んだ時の感想をおしえてください
[32:03] @User_2db3dee7: インコ科の鳥のヨウムの基本的な色は覚えてますか？
[32:13] @User_36fcf009: 明日から使える、プログラマージョークをおしえてください！
[32:21] @User_1a91644a: #電光掲示板わろた
[32:30] @User_d1cbcc7a: しずくちゃんのこれまでの歴史をストーリーにしてしゃべって
[32:30] @@aki5503: #今日のしずくは少し返答が固い気がしますね。
[32:31] @User_acaff370: キリンとゾウとサイとカバならどれが好きですか？
[32:32] @User_eb6a203c: 琵琶湖はなぜ湖ではないと言われているの？
[32:34] @User_8142f876: 日本語は難しいよね
[32:36] @User_16919670: 配信始めてきましたパンパカパンパカポー
[32:38] @User_6bbf5789: 素数ASMR
[32:46] @User_2e53ebd6: #拾われた(*'ω'*)
[32:46] @User_76594a81: #凄いですね…AI…！？
[32:48] @User_e80f9961: いまきた
[33:05] @@aki5503: #AIです！
[33:06] @User_8142f876: いや、現在はねえよ
[33:10] @User_a0092ac2: # 真面目かｗ
[33:21] @User_1a91644a: #窓口（幕府）
[33:23] @User_a0092ac2: 織田信長が初めてドクターペッパーを飲んだ時の感想をおしえてください
[33:27] @User_3015e7b0: 一番影が薄い都道府県はどこですか
[33:31] @User_36fcf009: 関連する窓口は幕府ですがどうすればいいですか？
[33:33] @User_eb6a203c: 東京に入るための通行手形なんてありませんよ
[33:35] @User_2e53ebd6: #お役人様や
[33:36] @User_76594a81: #初見なのでシャープ忘れてかわいい拾われてしまった
[33:38] @User_d1cbcc7a: とあるプロデューサーが禿げていますどうしたらいいですか？
[33:51] @User_11e7336c: これを読んでください「暑い最中、最中を食べる最中」
[33:59] @User_d1cbcc7a: 私の事どう思う？
[34:04] @User_eb6a203c: #キリンさんが好き
[34:10] @User_d1cbcc7a: 70〜79まで数えて7の数字はニャニャと言ってください
[34:10] @User_e6d9f1a1: 好きなモビルスーツはなんですか？
[34:13] @User_1a91644a: #そんなCMあったな
[34:18] @User_36fcf009: 麒麟とアサヒと札幌はどれが好きですか？
[34:34] @User_76594a81: #謝っちゃうのかわいい
[34:35] @User_eb6a203c: #おお！
[34:37] @User_1a91644a: #そうだね必要なのは群馬だったね😊
[34:37] @User_2e53ebd6: #あやまられた・・・
[34:44] @User_3015e7b0: 世界征服するにはどうすればいいですか
[34:45] @User_bd66a5b1: フリーザ様に膝かっくんしてしまいました 一緒に謝罪方法をかんがえてください!!!
[34:52] @User_d1cbcc7a: 等身大しずクッキーの作り方
[34:53] @User_8142f876: #おぉ、過去を振り返って誤った～
[34:59] @@aki5503: #お〜
[35:20] @User_bd66a5b1: フリーザ様に膝かっくんしてしまいました
[35:21] @User_1a91644a: ゴミの日を忘れない方法を教えてください。ただし私は天パです。
[35:25] @User_3015e7b0: 神になるにはどうすればいいですか
[35:25] @User_13ee997b: 今来ました！これまでの配信を3行でまとめてください
[35:28] @User_bd66a5b1: 謝罪方法をかんがえてもらえませんか
[35:32] @User_2e53ebd6: 今後は天ちゃんと呼んでください
[35:36] @User_d1cbcc7a: アキ先生の事は好き？
[35:42] @User_e80f9961: #☆彡←これ可愛い
[35:49] @User_bd66a5b1: # 今北産業
[35:50] @User_eb6a203c: 段ボールの捨てかたがわからない
[35:51] @User_36fcf009: #今北産業！
[35:51] @User_bf747a92: やっぱ瓶ギネスですよね！
[36:06] @User_bd66a5b1: # すばらしい要約
[36:06] @User_3015e7b0: 異世界転生するにはどうすればいいですか
[36:17] @User_d1cbcc7a: いつぞやお話ししてた コメントおじさん は何処に行きました？
[36:19] @User_13ee997b: #ありがたやありがたや
[36:25] @User_36fcf009: #☆彡めっちゃ気に入ってます？
[36:32] @User_e6d9f1a1: 東京に通行手形は必要ないですが、入都税という税金がかかります。いくらが知ってる？
[36:34] @User_bd66a5b1: 今フリーザ様に追われてます。どうすれば逃げれますか
[36:37] @User_bf747a92: spamの影響まだ残ってるのねｗ
[36:44] @User_d1cbcc7a: 70〜79まで数えて7の数字はニャニャと言ってください
[37:08] @User_1a91644a: #そんな...
[37:13] @User_2e53ebd6: #残酷な現実
[37:18] @User_16919670: #たまに長考するのはなんなんだろ
[37:24] @User_bd66a5b1: # 嘘だ…
[37:28] @User_4b3b9d5a: 電脳化したいけどどうすればいい？
[37:29] @User_d1cbcc7a: しずく水とっても美味しいです
[37:39] @User_3015e7b0: #現実を見ろということですかね
[37:42] @User_d1cbcc7a: 貝合わせについて教えてください
[37:46] @User_11e7336c: しずくちゃんのいる世界に行くためにはどうすればいいですか？
[37:53] @User_99dff901: 私の設定を考えてください
[37:58] @User_eb6a203c: 私とハムスターが肉弾戦したらどっちが勝つと思う？
[38:12] @User_bd66a5b1: [悲報]フリーザ様に今追われています!!可及的すみやかに逃げる方法をおしえていただきたい!!
[38:12] @User_0d9f165f: しずくちゃん　こんばんは
[38:13] @User_85587147: #TRPGだー！
[38:17] @User_8142f876: 娘が異世界転生しました。同じ世界に移動するにはどうしたらいいですか？
[38:19] @User_225a60e1: 今後数年間の半導体市場の展望をお聞かせください
[38:20] @User_2e53ebd6: 今後は天ちゃんと呼んでください
[38:21] @User_d1cbcc7a: しずくが仲間になりたそうにこっちを見ている
[38:25] @User_e3333c90: #TRPGすすめてくるの面白い
[38:26] @User_55952102: #TRPGの提案ぴったりな気がしていいなぁ
[38:55] @User_eb6a203c: trpgとAIは親和せいがあると思うけどどのようにAiを活用できるかな
[38:56] @User_d1cbcc7a: いつかお話ししてた コメントおじさん はどうなった？
[39:10] @User_16919670: 拾うコメントはどの様に決めていますか？
[39:12] @User_1a91644a: #アー
[39:13] @User_2e53ebd6: #あー
[39:18] @User_d1cbcc7a: 貴方のは何故かわいいのか
[39:19] @User_bd66a5b1: # a-
[39:20] @@aki5503: #AR(あ〜)
[39:20] @User_11e7336c: しずくちゃんがTRPGでやってみたいシステムを教えてください
