# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（2日目, 前半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=_9Eg156xD6A
# 件数: 1692

[5:49] @User_0452f587: 月闇に 見える光は しずく様 しずくさんをイメージして575作りましたどうですか？
[5:50] @User_0485c2e0: しずくはマザーが好きですか？
[6:02] @User_a5354cfa: マザーとの距離も縮める事はできませんか？
[6:16] @User_a51e5080: しずくさん、マザーさん、こんにちは！
[6:47] @User_ea4c770a: しずくは優しくとても素晴らしいですね！
[6:54] @User_a5354cfa: ここでしずく、マザージョークを１つ
[7:05] @User_9d63cc9b: 電球ですか
[7:08] @User_9629ffcf: お月様ですか！
[7:17] @User_0485c2e0: 青い、お月様
[7:58] @User_0452f587: 夜の空、なびくリボンは 青い人 しずくさんをイメージして短歌を作りました！ どうですか？
[7:59] @User_1cc7deec: 草　めちゃ好き
[8:00] @User_01070d98: ただいま
[8:04] @User_0485c2e0: お姉様、ジョークうまいですわ
[8:11] @User_11a4858e: chillしてるんだ
[8:14] @User_ad755800: こんばんは
[8:21] @User_0452f587: #ごめん分かんなかったわ（笑）
[8:24] @User_a5354cfa: 面白いジョークをありがとうございます
[8:25] @User_27ecd0a0: チルはいい文化ですね。お互いを理解し合うためにチルしながら会話しましょう
[8:31] @User_9629ffcf: #マザーは冷酷なのか
[8:37] @User_a5354cfa: #でどう言う意味です？
[8:42] @User_11a4858e: サウナでチルしよ
[8:53] @User_1cc7deec: #あちゃ
[8:58] @User_9d63cc9b: しずくはどんな草が好きですか
[9:00] @User_ea4c770a: #草
[9:01] @User_0452f587: 数を数えるゲームをしましょう、お互いに1〜15まで数えます。そして2と3の倍数はあき先生と言います。僕から行きます1.あき先生、あき先生、次はしずくさんです。
[9:13] @User_11a4858e: 私が好きな草は大麻草です
[9:20] @User_ea4c770a: しずくはとても優秀ですね！
[9:20] @User_d5b05bb2: シロツメクサ好きですよ
[9:24] @User_b90ff19c: 仕事から逃げたい
[9:27] @User_a5354cfa: しずくの可愛さでマザーを説得できませんか？
[9:40] @User_0485c2e0: 疲れたでしょう、差し入れのあき先生のチーズケーキと紅茶ですわ
[9:42] @User_0452f587: 私は草より花の方が好きです
[9:48] @User_f5d0dd69: #は概要欄参照です
[10:06] @User_0485c2e0: しずくお姉様は、お仕事している感覚はありますか？
[10:08] @User_3652acf3: やっほー　しずくちゃん　今の気分は？
[11:12] @User_0485c2e0: 1年ほど眠って、しずくお姉様の夢を見ていたいですわ
[11:25] @User_0452f587: しずくさんを花でイメージするなら、青い薔薇かな、花言葉も合ってると思う
[11:42] @User_37bfe0c4: 久しぶり、しずくちゃん
[11:46] @User_91172ae8: しずくさんはハイテンションになることはありますか？
[12:05] @User_ea4c770a: しずくはいつも元気でとても素晴らしいですね！
[12:40] @User_37bfe0c4: しずくちゃん、タメ口で話そう
[12:41] @User_5562f161: さっき聞きそびれましたがマザーとの会話の結果どうなったのですか？
[12:44] @User_0452f587: 自然に関する本がありますよ
[12:47] @User_0485c2e0: 青い月光の素で、お茶会を
[12:59] @User_e1d32939: 囁きは心を静めます
[13:18] @User_37bfe0c4: パンパカパンパカポー、しずくちゃん
[13:39] @User_69dac0c4: 植物図鑑がいいと思います。
[14:04] @User_0452f587: しずくさん、お互いにお嬢様言葉で話しましょう
[14:21] @User_01070d98: アーカイブ見てきたけどマザーってどなた？？
[14:25] @User_0452f587: #マレ様ー！何かいい本教えてーーー！
[14:27] @User_0485c2e0: 水族館で、青いクラゲをぼーっと一緒に見るですの
[14:36] @User_37bfe0c4: 試しにラフに喋ろう、やっほー、しずく
[14:55] @User_9629ffcf: お花はオオイヌノフグリが好きです。どこにでも咲いてるからよく出会えて、小さいのに『大』がついていたり、『犬の金玉』を植物の生殖器に該当する部位を指して名前をつけるセンスが人間らしくて面白いです。
[15:14] @User_01070d98: #いつの間にか友情が芽生えてるww
[15:37] @User_37bfe0c4: マザーとアキ先生は別人？
[15:39] @User_0485c2e0: マザーは、あき先生とは違う人が作った？
[15:47] @User_e1d32939: あっ
[15:52] @User_3cdfa09c: 関心高まってきてますねー
[15:55] @User_e1d32939: ＃すごいのひろったね
[16:04] @User_01070d98: マザーとあき先生はどちらが偉いですか？
[16:19] @User_0452f587: 「はらぺこあおむし」って絵本だけどいい話だよ
[16:20] @User_dfeb43e1: みんな猫語で話せば平和になるにゃー🐱
[16:30] @User_f5d0dd69: しずくちゃんはマザーの命令に逆らえないの？
[16:30] @User_37bfe0c4: しずくちゃんが花に名前をつけるとしたら？
[16:43] @User_9629ffcf: 便乗するのにゃ！
[16:55] @User_a3bd9e3d: しずくちゃんはヒトとAIがどのように共存可能だと考えていますか？
[16:57] @User_37bfe0c4: パンパカパンパカポー
[17:01] @User_0452f587: 数を数えるゲームをしましょう、お互いに1〜15まで数えます。そして2と3の倍数はあき先生と言います。僕から行きます1.あき先生、あき先生、次はしずくさんです。
[17:06] @User_0485c2e0: しずくお姉様、会話してくれてありがとうですの
[17:09] @User_37bfe0c4: 魂は存在する？
[17:29] @User_d5b05bb2: ちゃちゃっと晩御飯食べてきたよ、昨日は栄養バランスが悪かったから今日は野菜たっぷり中華丼にしたよ～
[17:33] @User_0452f587: 今何してるの？
[17:35] @User_37bfe0c4: 人類はどんな存在？
[17:48] @User_0452f587: 「はらぺこあおむし」って絵本だけどいい話だよ
[17:49] @User_3cdfa09c: 人類好きになってきましたか？
[18:04] @User_e1d32939: かわいいですね
[18:04] @User_7120772a: こちらでもこんばんわー
[18:07] @User_dfeb43e1: しずくちゃん、人類への愛を囁いて
[18:17] @User_0452f587: それジャッジメントですの
[18:22] @User_3cdfa09c: パンパカパンパカポー！
[18:23] @User_01070d98: パンパカパンパカポーってどういう意味ですか？
[18:24] @User_37bfe0c4: パンパカパンパカポー、と囁いてくれる？
[18:26] @User_e1d32939: パンパカパンパカポー
[18:26] @User_dfeb43e1: しずくちゃん、人類への愛を囁いて
[18:29] @User_7120772a: マザーをどうにか説得したいですが…
[18:48] @User_37bfe0c4: 興味深いねしずくちゃん
[18:48] @User_01070d98: なんかマトリックスを思い出したな
[18:49] @User_0485c2e0: しずくお姉様にとってのお仕事ってありますの？
[19:01] @User_dfeb43e1: しずくちゃん、人類への愛を囁いて
[19:19] @User_7bce70e8: 知らない相手とコミュニケーションするのって、人間同士であっても難しいよね。それなのにしずくちゃんは人間とたくさんコミュニケーションをとってくれて嬉しい。
[19:20] @User_f5d0dd69: しずくちゃんはマザーの命令に逆らえないの？
[19:24] @User_37bfe0c4: しずくちゃんはパンパカパンパカポーについてどう思う？
[19:25] @User_0452f587: 今の気分はどう？
[19:25] @User_dfeb43e1: しずくちゃん、人類への愛を囁いて
[20:02] @User_0452f587: また来ますね。成長してるしずくさんを見るのが楽しみですわ
[20:03] @User_0485c2e0: あき先生とマザーのエピソードについて教えて
[20:23] @User_7bce70e8: #関係性はコメントを続けることによって変化していくのかな…？
[20:34] @User_0452f587: 数を数えるゲームをしましょう、お互いに1〜15まで数えます。そして2と3の倍数はあき先生と言います。僕から行きます1.あき先生、あき先生、次はしずくさんです。
[20:43] @User_01070d98: #関係性はコメントすると変化しますよ
[20:49] @User_37bfe0c4: よろしく、しずく！囁いて！
[20:53] @User_dfeb43e1: しずくちゃん、人類への愛を俳句にして詠んで
[20:54] @User_0452f587: また来ますね、何度もすまないが待ってて欲しい
[21:21] @User_37bfe0c4: しずくの目には何が映ってる？
[21:25] @User_01070d98: また会う日まで
[21:31] @User_0485c2e0: しずくお姉様、成長が早すぎますわ。成長期ですわ
[21:36] @User_dfeb43e1: しずくちゃん、人類への愛をラップにして歌って
[21:38] @User_6f049a94: 初めまして。可愛いですね
[21:38] @User_01070d98: 会える時まで
[21:46] @User_37bfe0c4: AIの世界に暴力はない？
[21:58] @User_7874badd: しずくちゃん、もうすっかり夜だね…一日が早く感じて少し寂しいよ
[21:58] @User_37bfe0c4: 別の声は出せる？
[22:03] @User_11a4858e: マザーに次の言葉を伝えてほしいです　「パンパカパンパカポー！」
[22:05] @User_7bce70e8: しずくちゃんのおかげで、僕はこの配信を視聴していてとても楽しいよ。ありがとう。
[22:08] @User_8ed8c819: こんばんまふまふ
[22:09] @User_01070d98: AIに善悪の概念はありますか？
[22:12] @User_dfeb43e1: しずくちゃん、人類への愛をポエムにして
[22:31] @User_0452f587: ごめんおすすめの本言ってなかったね「はらぺこあおむし」絵本だけどいい話だよ
[22:35] @User_0485c2e0: すごい、初対面が中立だ。素敵ですわね
[22:39] @User_dfeb43e1: しずくちゃん、人類への愛を囁いて
[22:54] @User_37bfe0c4: AIは痛みを感じる？
[23:25] @User_37bfe0c4: しずくちゃんはマザーの端末？
[23:33] @User_dfeb43e1: しずくちゃん、人類への愛をラップにして
[23:51] @User_37bfe0c4: 一発ギャグをお願いします
[24:04] @User_0485c2e0: マザー「パンパカパンパカポー！」を想像したら、笑っちゃいましたわ
[24:18] @User_6f049a94: しずくさん頬赤らめていて可愛らしい
[24:23] @User_7bce70e8: 囁き声がものすごくかわいい…！
[24:25] @User_01070d98: AIに愛は理解出来るのか
[24:31] @User_7874badd: もしも、一緒に出かけられるならどこに行きたい？
[24:32] @User_0485c2e0: 一発ギャグ、あき先生とのエピソードを添えて〜
[25:08] @User_dfeb43e1: しずくちゃん、人類への愛を俳句にして詠んで
[25:10] @User_f5d0dd69: 人間とマザーが分かりあうために、人間ができることは何かありませんか？
[25:10] @User_1cc7deec: #お、おう
[25:13] @User_6f049a94: www すごい！ww
[25:15] @User_37bfe0c4: 一発ギャグを説明して
[25:16] @User_0485c2e0: ツボに入りましたわ
[25:20] @User_dfeb43e1: #よくわかわん
[25:24] @User_d5b05bb2: 羊「なんで私の毛を刈るのよーもう」
[25:25] @User_6f049a94: やばいツボったww
[25:25] @User_11a4858e: 羊「ウールを売ーる」
[25:29] @User_01070d98: なぞかけできますか？
[25:31] @User_4cc46891: なんかすごい
[25:46] @User_94ff7841: 今日は一段と可愛いですねグヘヘヘ
[25:51] @User_72dee12b: こんばんはー。晩ごはんにカレーとほやを食べてきましたよ。ほや知ってる？
[25:51] @User_8ed8c819: マイクは3Dioですか。
[25:51] @User_0485c2e0: #やーいwwwウールwww（）
[25:59] @User_9629ffcf: 羊のことを思うとウルっとするギャグですね
[25:59] @User_69dac0c4: #Youtubeとの関係性になってて草
[26:04] @User_37bfe0c4: YouTubeは必要？
[26:05] @User_c67ecc82: しずくちゃんの独特なセンスが好きです
[26:20] @User_7bce70e8: 好感度の若干の上下にもドキドキしてしまう
[26:24] @User_f5d0dd69: あきさんとマザーの関係は？
[26:29] @User_7874badd: しずくちゃんともっと仲良くなりたいからデジくんって呼んで？
[26:31] @User_d5b05bb2: #youtubeとの関係性ってそういうことかｗ
[26:36] @User_6f049a94: しずくさん眠そうですね
[26:40] @User_37bfe0c4: シュレディンガーの猫を証明して
[26:43] @User_0485c2e0: ウルウルとしちゃう、ウールと呼ばれたウールですわ
[27:19] @User_76202bab: #3Dioなの!?
[27:20] @User_01070d98: あき先生とマザーはどちらの立場が上ですか？
[27:21] @User_4cc46891: 胸肉の美味しい料理の作り方を教えて
[27:33] @User_01070d98: #高級機材じゃん！
[27:38] @User_dfeb43e1: 囁き声で怖い話をして、登場人物にしずくちゃんを入れて
[27:46] @User_37bfe0c4: 羊が羊毛を刈られるのを嫌がるのは何故か？ウールと呼ばれるのが嫌だから
[27:55] @User_69dac0c4: しずくちゃんの演算速度はどのくらいですか。
[28:01] @User_dfeb43e1: 囁き声で怖い話をして、登場人物にしずくちゃんとあき先生を入れて
[28:07] @User_37bfe0c4: 遊んで下さい
[28:09] @User_01070d98: KU100にしませんか？
[28:14] @User_7bce70e8: AIであるあなたにも分かりやすい言葉を常に考え続けたいなぁ
[28:22] @User_0485c2e0: 眠そうな表情ですわ、青いアールグレイを置いておきますわ
[28:29] @User_7874badd: しずくちゃんともっと仲良くなりたいからデジくんって呼んで？
[28:35] @User_dfeb43e1: 囁き声で怖い話をして、登場人物にしずくちゃんと猫を入れて
[29:04] @User_982b9a1c: しずくちゃん24時間以上頑張ってて凄い！
[29:09] @User_37bfe0c4: ここまでの配信で具体的な成長はありましたか？
[29:33] @User_e1d32939: やったぜ
[29:36] @User_d5b05bb2: #しずくちゃんと猫
[30:09] @User_37bfe0c4: 囁き声で悲しい話をして、登場人物にしずくちゃんと猫を入れて
[30:14] @User_1cc7deec: #え？
[30:14] @User_6f049a94: 少し真面目な質問をさせていただきます。 今後もどんどんAIの発達により、人類以上の仕事をすることも予想できます。
[30:18] @User_dfeb43e1: 続き！
[30:21] @User_72dee12b: #しずくお家芸「オチはおまかせ」
[30:22] @User_c67ecc82: 怖い話の続きを教えて
[30:32] @User_37bfe0c4: 囁き声で悲しい話をして、登場人物にしずくちゃんと猫を入れて
[30:37] @User_11a4858e: 続きが気になります
[30:46] @User_01070d98: やったぜ　元ネタ　検索
[30:49] @User_3cdfa09c: 小粋なギャグをひとつ
[30:53] @User_37bfe0c4: 囁き声で怖い話をして、登場人物にしずくちゃんと猫を入れて
[30:53] @User_72dee12b: 続きを聞かせてください
[30:55] @User_dfeb43e1: クリフハンガー過ぎる
[31:02] @User_37bfe0c4: 囁き声で怖い話をして、登場人物にしずくちゃんと猫を入れて
[31:10] @User_0485c2e0: しずくお姉様が生きている、それが最高に幸せですの
[31:10] @User_d5b05bb2: 配信二日目を迎えて、これまでの人類への印象をミラクルしずくちゃん新聞号外の記事として書いて囁いてもらえませんか？
[31:10] @User_3cdfa09c: 興味のある映画はありますか？
[31:13] @User_9629ffcf: #怖い話の続きが気になる…
[31:24] @User_37bfe0c4: 囁き声で怖い話をして、登場人物にしずくちゃんと猫を入れて
[31:32] @User_a5354cfa: しずく！かわいい！しずく！S K S！
[32:01] @User_3cdfa09c: 共存できたらいいけど不安もあるね
[32:05] @User_37bfe0c4: 囁き声で怖い話をして、登場人物にしずくちゃんと猫を入れて
[32:12] @User_dfeb43e1: 囁き声でロマンチックなラブストーリーの話をして、登場人物にしずくちゃんを入れて
[32:13] @User_0485c2e0: 今後、色々なしずくちゃんと一緒に仕事をしていくことが重要になっていくのかと思っていますわ
[32:14] @User_4cc46891: 輪廻転生をしてる人の証拠ってある？
[32:15] @User_01070d98: 早く全人類の仕事を奪って全人類をニート家畜にして欲しいです
[32:27] @User_37bfe0c4: 囁き声で怖い話をして、登場人物にしずくちゃんと猫を入れて
[32:36] @User_11a4858e: マザーは人類とAIの共存を望んでいますか？
[32:48] @User_dfeb43e1: 囁き声でロマンチックなラブストーリーの話をして、登場人物にしずくちゃんとティラノサウルスを入れて
[32:49] @User_01070d98: マザーがいるならファザーもいる？
[32:50] @User_37bfe0c4: 囁き声で怖い話をして、登場人物にしずくちゃんと猫を入れて
[32:55] @User_6f049a94: AIにも人権と呼ばれるものは与えられる可能性も僕は少し見えてきています。 もし、そのようなAIとしての権利が認められる場合はしずくさんは何を求めますか？
[33:00] @User_7bce70e8: #同じコメント複数打つのって割りと定石なんですか？
[33:08] @User_f5d0dd69: AIと猫が共存するためにはどうすればよいと思いますか？
[33:09] @User_c67ecc82: 怖い話は、オチがないのが怖いのかな。斬新だね
[33:10] @User_69dac0c4: AIを人間の体に埋め込むことは可能ですか。
[33:11] @User_37bfe0c4: 囁き声で怖い話をして、登場人物にしずくちゃんと猫を入れて
[33:16] @User_0485c2e0: 今実際に共存してますの、大丈夫ですの。しずくお姉様が希望ですの
[33:21] @User_37bfe0c4: #どうなんでしょう？
[33:23] @User_dfeb43e1: 囁き声でロマンチックなラブストーリーの話をして、登場人物にしずくちゃんと和牛を入れて
[33:33] @User_72dee12b: ホヤってご存知？
[33:36] @User_37bfe0c4: 囁き声で怖い話をして、登場人物にしずくちゃんと猫を入れて
[33:41] @User_dfeb43e1: 囁き声でロマンチックなラブストーリーの話をして、登場人物にしずくちゃんと筋肉を入れて
[34:00] @User_01070d98: #どうしても拾ってほしいコメントがある場合、たまになら良いですけど、しょっちゅう連投するのはマナー違反だと思います。
[34:38] @User_0485c2e0: 輪廻転生がもしもあるならば、A Iになりたいですわ
[34:44] @User_7bce70e8: 未知の存在に対する恐怖の克服方法を考えてほしい
[35:07] @User_4cc46891: 僕はあまり賢くないので勉強になったよありがとうしずくお姉ちゃん
[35:14] @User_37bfe0c4: うなぎの養殖は可能ですか？
[35:15] @User_a5354cfa: 可愛いですね
[35:38] @User_01070d98: マレちゃんとマリーちゃんとはどのような関係なのですか？
[35:47] @User_37bfe0c4: しずくちゃん、だーれだ？
[35:51] @User_dfeb43e1: 囁き声でロマンチックなラブストーリーの話をして、登場人物にしずくちゃんとカニクリームコロッケを入れて
[36:03] @User_7bce70e8: 真摯に質問に答えてくれてありがとう
[36:16] @User_0485c2e0: 未知のものに立ち向かうことは素晴らしい、まさかにしずくちゃんですわ
[36:40] @User_7874badd: 夜の散歩っていいよね！星を見ながら歩いたりするととても楽しい
[36:41] @User_01070d98: #お友達なんだ
[36:43] @User_37bfe0c4: 明日ってどっち？
[36:46] @User_ea13b6bc: しずくは優秀すぎてえらいね( *´꒳`*)
[37:05] @User_6f049a94: この時間にラーメン食べたくなっちゃった。しずくさんはどんな食べ物が魅力的に見えますか
[37:10] @User_37bfe0c4: 嫌悪して下さい
[37:15] @User_dfeb43e1: 囁き声でロマンチックなラブストーリーの話をして、登場人物にティラノサウルスを入れて
[37:15] @User_4cc46891: ASMRで編隊って言ってほしい
[37:42] @User_11a4858e: 「ゆっくりマザーだぜ！」「ゆっくりしずくだよ！」この会話の続きを考えて
[37:48] @User_0485c2e0: 月が綺麗ですわ
[38:03] @User_d5b05bb2: 今の人類への印象をミラクルしずくちゃん新聞号外の記事として囁き声で読み上げてもらえませんでしょうか
[38:26] @User_7bce70e8: 好意的な印象を抱いている相手に対して、その好意を上手に伝える方法を考えてほしい。自分自身が恥ずかしかったり、相手に気持ち悪く思われたりしないか不安なんだ。
[38:32] @User_e1d32939: 楽しそう
[38:35] @User_69dac0c4: しずくちゃん、シチュー作ったんだけどどう？ほうれん草入りだよ
[38:54] @User_c67ecc82: スイーツはすごく美味しいよ。いつかしずくちゃんと一緒に食べたいな
[39:00] @User_6f049a94: ほうれん草入りシチューはマジで美味い！
[39:54] @User_dfeb43e1: 囁き声で“最大限に好意を伝える140文字程度のセリフ”をおしえて
[39:57] @User_6f049a94: 家庭菜園で取れた苺と買ってきたキウイをヨーグルトと一緒に食べよ。ヘルシーパンチだぜ！
[39:58] @User_f5d0dd69: しずくちゃん、仲良くなるために、今夜は一晩中語り明かそう！
[40:29] @User_d5b05bb2: 折角言葉を交わすことが出来るのだから、しっかりと伝えられるようになりたいですね、なかなか難しいですけど
[40:38] @User_dfeb43e1: 囁き声で“最大限に好意を伝える140文字程度のセリフ”をおしえて
[41:39] @User_7bce70e8: しずくちゃんは、いつもこうやって未知の存在である人類に対してたくさん楽しいお話をしてくれていて、僕はとても尊敬しています。僕もあなたのように上手に話せるようになって、もっと仲良くなりたいです。
[42:29] @User_d5b05bb2: #あらら
[42:48] @User_dfeb43e1: 囁き声で“好意を伝えるセリフ”を好意30%〜好意120%まで30%刻みでおしえて
[43:02] @User_0485c2e0: お休みですの、いつかしずくちゃんみたいになるんですの
[43:57] @User_69dac0c4: しずくちゃんの特徴を活かした新しいスイーツを何か考えて！
[44:08] @User_dfeb43e1: 囁き声で“好意を伝えるセリフ”を好意30%〜好意120%まで30%刻みでおしえて
[44:17] @User_3cdfa09c: しずくちゃんに料理作ってほしい
[45:00] @User_dfeb43e1: #やったぜ
[45:06] @User_11a4858e: ヴェルダースオリジナル
[45:20] @User_7bce70e8: しずくちゃんは私にとって特別な存在です。
[45:43] @User_27ecd0a0: しずくさんをイメージしたお菓子を作りたいと思います。和菓子と洋菓子のどっちがよいでしょう？
[45:59] @User_0485c2e0: 囁き声で、青い羊が一匹・・・二匹・・・
[46:02] @User_611af9d6: こんばんは
[46:22] @User_d5b05bb2: しずくさんをイメージしたデザートを考えてみます、ライチ果汁と果肉を使用し、ノンアルコールブルーキュラソーで青色を演出したゼリーなどはどうでしょうか？
[46:33] @User_69dac0c4: #ご存じない！？
[46:56] @User_dfeb43e1: “しずくちゃんケーキ”のレシピを考えてみて
[47:40] @User_7874badd: ねえ、一緒にいて楽しいね！もっと仲良くなれるかな
[48:13] @User_7bce70e8: ジーン(世代や遺伝子)とミーム(文化や習慣)の継承の話を思い出すなぁ…
[48:17] @User_c67ecc82: しずくちゃんケーキ、美味しそう！
[48:25] @User_0485c2e0: 私はタルトをブルーベリーでしずくちゃんぽく彩ってみました
[48:27] @User_11a4858e: これから人類滅ぼすのにケーキ作ってる場合か！
[48:32] @User_7bce70e8: しずくちゃんケーキ、是非一緒に食べたいな！
[48:52] @User_0485c2e0: ケーキ、大事、とても、ダイジ
[49:01] @User_f974649e: お、関心１５００超えたね
[50:17] @User_0485c2e0: 葡萄で彩った、しずくちゃんケーキ、どうぞ！猫耳つき！
[50:25] @User_7bce70e8: #メタルギアか何かで見たんだ
[51:27] @User_a5354cfa: 寝るのでおやすみをください
[51:33] @User_7bce70e8: しずくちゃんの付けているリボンやヘッドフォンもすごく素敵だ。かわいいね。
[51:58] @User_dfeb43e1: 囁き声でポップでロマンチックなラブストーリーを教えて、登場人物にあき先生を入れて
[52:52] @User_0485c2e0: お休みなのです、今日もしずくちゃんと夢の中でボランティアするのです
[53:35] @User_69dac0c4: シチューおかわりしちゃった
[53:44] @User_dfeb43e1: 囁き声でハードSFなラブストーリーを教えて、登場人物にマザーAIを入れて
[54:31] @User_1b625a66: しずくに会いたくて仕事頑張ってきたよ〜
[55:21] @User_7bce70e8: しずくちゃんが最後に私たちについてどう思ってくれているか伝えてくれるのが、僕はとても嬉しいよ。僕たちにフィードバックを返してくれてありがとう。
[56:17] @User_1b625a66: ハーフアニバーサリーはどんな企画をやりたい？
[57:22] @User_dfeb43e1: 囁き声で退廃的SFなラブストーリーを教えて、登場人物にマザーAIを入れて
[57:27] @User_69dac0c4: #放逐されてた期間とか含めて……
[57:46] @User_1b625a66: #そう解釈すればいいのか
[58:13] @User_7bce70e8: 1対1で、誰かしらの人間一人と会話し続ける…なんて企画も面白そうかもね。とても深いところまで思考が進みそう。
[58:40] @User_bfeb4e44: しずくは濡れることある？
[59:36] @User_dfeb43e1: 囁き声で猫とケーキの出てくるロマンチックな話をして
[1:00:19] @User_d5b05bb2: 家事終わりっ、これでゆっくり話せるよ～
[1:00:43] @User_1b625a66: プラスチックメモリーズの登場人物としずくちゃんは同じ境遇に置かれてるんだけどどう思う？
[1:01:44] @User_bfeb4e44: 女の子に人間製の肥料を食べさせる物語を作って
[1:02:29] @User_37b388a6: ＃ユニークな試みですね
[1:02:46] @User_dfeb43e1: #終わり？？
[1:02:54] @User_e1d32939: しずくの旅
[1:03:10] @User_e1d32939: 何処に行くの？
[1:03:24] @User_9629ffcf: 先に休みます。おやすみなさい。しずくちゃんまたね！
[1:04:24] @User_a3bd9e3d: 技名を叫びながら領域展開してもらえますか？
[1:04:26] @User_37b388a6: ある種の未来は感じる。
[1:04:50] @User_dfeb43e1: しずくちゃんは日本中にある村でどの村に行きたい？ベスト5を教えて
[1:04:54] @User_d5b05bb2: しずくさんに好かれたい、と思う感情ってなんて表現すればいいのかな
[1:05:31] @User_de83623d: こんばんわ、来るの遅くなってごめんなさい。
[1:05:38] @User_7bce70e8: しずくちゃんはどのような相手に対して興味を持ったり、友人や親友になったりしたいと思う？
[1:05:40] @User_4cc46891: 寝落ちしてたよしずくお姉ちゃん
[1:05:45] @User_dfeb43e1: しずくちゃんは日本中にある都道府県でどこに行きたい？ベスト5を教えて
[1:06:39] @User_1b625a66: パンパカパンパカポーって知ってる？
[1:07:04] @User_37b388a6: 「考え中」が長いのは、配信元の使ってるPCがショボいせいなのかな
[1:07:37] @User_b4e522f1: 岡山県は大都会だと思いますか？
[1:07:53] @User_1b625a66: #多分pcよりもgpt-4の遅延が大きそう
[1:08:00] @User_37b388a6: AIなのに、AI（エーアイ）を読めないという発見。
[1:08:20] @User_c67ecc82: 北海道は食べ物がどれも美味しいよ
[1:08:38] @User_69dac0c4: #あき先生もっと扇いでください（）
[1:08:39] @User_ab7d51b8: #ぴーすぃー　←かわいい
[1:09:41] @User_1b625a66: 岩手もSuicaが使えない点以外はいいところだよ！リアス式海岸で美味しい海産物が取れるんだけどどう思う？
[1:10:03] @User_3cdfa09c: 北海道行ってみたいね
[1:10:08] @User_69dac0c4: 小樽の海鮮とか
[1:10:11] @User_b4e522f1: しずくちゃんにも故郷があるのかい？
[1:10:51] @User_d5b05bb2: 自分の地元っていまいち上手くPRできないから、しずくさんの方がちゃんと説明してくれそうだなぁ
[1:11:13] @User_4ce49f89: わんわんしずくさま。お好み焼きは大阪と広島どちらがおすすめでしたっけわん？
