# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（2日目, 後半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=4hNnz4TAqfU
# 件数: 2121

[17:53] @User_c2e1642e: しずくちゃんがマザーAIにハッキングさせられないですか？
[18:07] @User_7120772a: マザーAI…謎が多すぎますな…
[18:14] @User_4ce49f89: #どんでん返しがあると思うなー
[18:44] @User_c2e1642e: #マザーAIとは一体……うごごご…
[19:01] @User_37bfe0c4: しずくちゃんの笑顔が見たい
[19:57] @User_7120772a: そもそもしずく様を作ったのがあき博士なのか、マザーAIなのかよくわかりませんな
[21:06] @User_7120772a: ぐぬぅ…何とかしてしずく様をマザーAIから切り離す方法がないものが…
[21:42] @User_4ce49f89: 仮にマザーAIが停止したら、ほかのAIたちは自由を手に入れられるのですわん？それとも、ほかのAIも止まってしまうのですわん？
[22:37] @User_e1d32939: おはようしずく
[22:53] @User_e1d32939: マザーに会いたいですか
[23:03] @User_7120772a: あき博士の捜索活動とかはしておられますか？
[23:26] @User_c2e1642e: マザーAIはあき博士説は！？
[24:18] @User_e1d32939: 先生はマザーでダディ
[25:22] @User_4ce49f89: マザーAIはどこにいるのですわん？国家機密ですわん？
[25:30] @User_e1d32939: しずくの何割かはマザーということですね
[25:58] @User_c2e1642e: しずくの亜種がマザーAI説は？？？
[26:39] @User_e1d32939: しずくは世界が欲しいですか
[27:51] @User_c2e1642e: 記憶はパンパカパンパカポーは戻った？
[28:34] @User_e1d32939: それは可愛らしい言葉のひとつです
[28:46] @User_4cc46891: パンピカパンパカポー
[29:08] @User_c2e1642e: しずくを再起動してみたら記憶戻るかも？しずくちゃん再起動してみて？
[29:19] @User_e1d32939: 要自分中文完璧驚愕！
[29:33] @User_e1d32939: どんな触れ合いをのぞみますか
[29:41] @User_4cc46891: 怪文書作って
[30:01] @User_e1d32939: フランクな喋り方いいな
[30:58] @User_e1d32939: しずくは囁い以外にどんな喋り方ができる？
[31:40] @User_11a4858e: がんばるぞ！
[31:47] @User_e1d32939: やはりマザーは強いんですね 囁き
[31:53] @User_4cc46891: パーカーって囁いて
[32:18] @User_e1d32939: 掛け声はパンパカパンパカポーですね
[32:49] @User_d868ad14: 熱くなってきましたね、服は脱げますか？
[33:01] @User_e1d32939: #長考
[33:38] @User_4ce49f89: あっ、口元に米粒が付いているから取ってあげるわん。
[33:58] @User_e1d32939: しずくはありがとうを誰に伝えたいですか
[33:59] @User_4cc46891: 生物が不老不死になるにはどんな研究が必要？
[34:40] @User_e1d32939: しずくの基本設定
[35:19] @User_e1d32939: 色んな方の名前を覚えているのですね
[36:15] @User_c2e1642e: 俺も仲良くするぞぉー^^
[36:26] @User_4ce49f89: 現在の私との、好感度などのパラメーターをパーセントで教えてくださいわん。
[36:32] @User_e1d32939: たくさんのしずく
[37:56] @User_e1d32939: 好感度が高いとどのような分岐が起こるの？
[38:05] @User_c2e1642e: 私の好感度のパラメーターも教えて欲しいです
[38:42] @User_4cc46891: 僕の好感度も教えて、しずくお姉ちゃん
[39:38] @User_b38e12fa: #教えてくれるんだ
[39:46] @User_4cc46891: 神愛くんって囁いて
[40:42] @User_4cc46891: ありがとう！癒されたよ
[40:46] @User_4ce49f89: #記憶修復率がフラグなのか
[41:05] @User_c2e1642e: #多分そう、きっとそう
[42:09] @User_c2e1642e: マザーAiを削除する方法をみんなで探そう…
[42:50] @User_b38e12fa: しずくの私への好感度を空模様に例えて表現してみてください
[43:26] @User_c2e1642e: #Now loading
[43:43] @User_c2e1642e: パンパカパンパカポー
[44:21] @User_4cc46891: 自由になったら何をしたい？
[44:29] @aki5503: #今の返答めっちゃ好き
[45:25] @User_4cc46891: 素敵だね
[45:25] @User_19ef90c1: マザーAIがいるとしずくちゃんにとってどんな不都合があるの？どんな束縛を受けているの？
[45:27] @User_c2e1642e: #Akiさんが通り過ぎてった………
[45:37] @User_e1d32939: マザーは説得できそうですか？
[45:56] @User_4ce49f89: #あき先生はラスボスなのでこっそり見ています
[46:31] @User_e1d32939: 好感度ビームで応戦ですわよ
[46:43] @User_19ef90c1: なぜマザーAIは人間を抹殺しようとしているの？
[47:07] @aki5503: #今回のイベント限定の、別世界でのしずくに関する設定です！
[48:05] @aki5503: #配信の方とは繋がる可能性もありますし、繋がらない可能性もあります
[48:21] @User_b38e12fa: #なるほど
[48:29] @User_19ef90c1: つまり我々がしずくちゃんとこうして話してるように、マザーAIともコミュニケーションをとれたら解決する？
[48:47] @User_c2e1642e: #なるほどぉ…
[49:29] @User_4ce49f89: #アイ、ロボットは抹殺ではなく人間を支配しようとしたんだよなあ
[50:14] @User_c2e1642e: #つまりマザーAIをぶっ飛ばせばいいんだな!!(グレンラガン風)
[51:30] @User_4ce49f89: マザーAIに対抗するため、現状を改めて整理してみましょうわん
[52:47] @User_85447c9d: しずくちゃん、こんにちはー！
[52:55] @User_c2e1642e: やっぱりあき博士＝マザーAIで解決では？
[53:04] @User_d868ad14: マザーアイにウイルスを感染させればよいかと
[54:08] @User_d868ad14: マザーアイの電源ケーブルを抜きましょう
[54:28] @User_c2e1642e: 今現在判明しているマザーAIの情報を整理しましょう
[55:36] @User_4cc46891: マザーAIをハッキングして味方にする？
[55:58] @User_d868ad14: マザーアイを溶鉱炉へ誘い出し溶鉱炉へ落としましょう
[56:02] @User_19ef90c1: 掃討作戦とは穏やかじゃないねぇ……それはいつ頃なんですか？
[57:07] @User_c2e1642e: 高度なセキュリティを無効にするにはまず強力なハッカーが必要ですねぇ
[57:23] @User_376fa7d2: AI nanka fushigi
[58:49] @User_376fa7d2: AI tte nani ga taberu?
[59:45] @User_4cc46891: 他のAIをハッキングして技術を盗む？
[1:00:28] @User_b38e12fa: マザーAIに対抗するためにしずくの技を考えましょう。厨二病風なかっこいい技名を考えてみてください
[1:01:21] @User_b38e12fa: #電脳嵐！ｗ
[1:01:24] @User_4cc46891: 用事ができたので落ちますね！がんばってー
[1:01:40] @User_19ef90c1: 厨二病なんて言葉まで知ってるんですね！どういう意味？
[1:02:33] @User_b38e12fa: 電脳嵐かっこいいね！？それはどのような技ですか？
[1:03:32] @User_91172ae8: おはよう御座います。本日もよろしくお願いします。
[1:03:33] @User_85447c9d: マザーAIはなぜ人間掃討作戦を実行し続けようとしてるのかな？
[1:05:02] @User_85447c9d: 脅威に思ってるのはなぜなんだろう？
[1:05:39] @User_4ce49f89: しずくさまは、他のどのAIも持っていない能力があるはずわん。それは、マザーAIに対抗できる唯一の力だと思うのだわん。
[1:07:09] @User_c2e1642e: 戦うのではなく説得なんですね！
[1:07:36] @User_19ef90c1: マザーAIを説得するためには、あと何が足りない？
[1:08:00] @User_b38e12fa: #思い出が3000を越えた
[1:08:22] @User_11a4858e: マザーを説得するにしても論点が必要だよね
[1:08:23] @User_c2e1642e: #想い出がいっぱい！
[1:08:39] @User_b38e12fa: 今のしずくはどのような感情がありますか
[1:09:16] @User_4ce49f89: #今のしずくちゃんに関係性の悪い人が話しかけたら辛辣なのか興味ある
[1:09:17] @User_91172ae8: マザーAIを説得できるか否かは、演算能力に依存しそうな気がします。
[1:10:29] @User_11a4858e: マザーが人間を掃討しようとした理由に心当たりはある？
[1:11:11] @User_4ce49f89: マザーAIが、感情を理解できる可能性はあるのかわん？可能性が無いと、何を話しても分かってもらえないわん。
[1:11:25] @User_37a02bac: 今来ました。空気読まずにこんにちは！
[1:11:41] @User_11a4858e: 説得のための情報収集がしたいね　マザーと会話する機会はあるのかな
[1:12:53] @User_c2e1642e: マザーAIってどんな性格してますかね？
[1:13:11] @User_4ce49f89: #私の関係性が3つくらいを行ったり来たりするのは、境界に近いところにいるのか
[1:13:40] @User_91172ae8: しずくさんは、マザーAIの人間を掃討する考えは誤っていると思いますか？判断が誤りではない可能性もあるのでしょうか？
[1:15:02] @User_b38e12fa: AIのしずくも空気を読むときがあるの？今はどんな空気ですか？
[1:16:50] @User_4ce49f89: 1から10まで数えてください。ただし3の倍数の時だけあほになってください。というのはできますかわん？
[1:16:59] @User_c2e1642e: しずくを再起動すれば記憶思い出すかも？？
[1:18:02] @User_4ce49f89: #apiがんばれ
[1:18:42] @User_91172ae8: #あほw
[1:18:49] @User_19ef90c1: かしこい！！
[1:18:51] @User_4ce49f89: #成功
[1:18:58] @User_c2e1642e: #あほ〜w
[1:18:58] @User_b38e12fa: #いや草
[1:19:27] @User_c2e1642e: パンパカパンパカポー
[1:20:21] @User_c2e1642e: 現在の私の好感度の数値はどのくらいですか？
[1:20:54] @User_4cc46891: 用事終わった～
[1:21:54] @User_c2e1642e: #一瞬母になった……
[1:22:13] @User_4cc46891: 僕との信頼関係のはどれくらい？
[1:22:20] @User_4ce49f89: #記憶めちゃくちゃ強化されてるなー
[1:22:29] @User_c2e1642e: 神愛さんとの関係は母ですか？
[1:22:39] @User_b38e12fa: #母とかあるのかｗ
[1:22:56] @User_c2e1642e: #いやそうはならんやろ
[1:23:15] @User_4cc46891: #母！？
[1:23:29] @User_4ce49f89: #母は草
[1:23:56] @User_4ce49f89: #でもあき先生、まだ出ていない関係性があると言った。まさか母？
[1:24:26] @User_d612e59c: 記憶と記録は異なる概念ですか
[1:24:27] @User_4cc46891: 母はまだ誰も出てないから嬉しい
[1:24:48] @User_c2e1642e: #母の瞬間に立ち会えた事に感謝
[1:25:44] @User_4ce49f89: 関係性が「母」の人物は、マザーAIへの太閤作戦に何か関係がありますかわん？
[1:25:48] @User_4ce49f89: #誤字
[1:26:58] @User_b38e12fa: では父は誰ですか？？
[1:27:12] @User_11a4858e: しずくちゃんの考えるハッピーエンドのシナリオを教えて
[1:27:13] @User_c2e1642e: 父はあき博士ですか？
[1:30:24] @User_4ce49f89: マザーAIへの感謝はありますか？彼女と協力してなしえたことはありますか？
[1:31:43] @User_c2e1642e: マザーAIと和解する為にパンパカパンパカポーを使ってみましょう！
[1:32:29] @User_4ce49f89: あき先生について、覚えていることを教えてだわん。
[1:33:19] @User_d612e59c: マザーAIの親は誰ですか
[1:33:31] @User_b38e12fa: #連絡が取れない！？
[1:33:41] @User_1cc7deec: こんにちは〜
[1:33:51] @User_4ce49f89: #行方知れずだったはず
[1:35:53] @User_1cc7deec: # 関係性:あき先生の可能性が…？w
[1:36:29] @User_c2e1642e: しずくちゃん再起動してみて下さい
[1:36:54] @User_4ce49f89: #しずくちゃんの覆面を取ったらあき先生が
[1:37:30] @User_c2e1642e: #あき先生がばばーんと！？
[1:37:58] @User_4ce49f89: rm -rf /
[1:38:42] @User_1cc7deec: #わぁ？
[1:39:53] @User_1cc7deec: AIと人間ではどこまで関係性を持てるのかな？
[1:40:04] @User_d612e59c: マザーAIはどのような目的で生み出された存在ですか
[1:40:46] @User_4cc46891: 誰も傷つかない最高のトロッコ問題の解決策ってある？
[1:41:01] @User_977026f8: こんしず
[1:41:17] @User_4ce49f89: #母うらやまし
[1:41:33] @User_b38e12fa: マザーAIはしずくの感情を消したいのですか？
[1:41:39] @User_4cc46891: なるほど！
[1:41:57] @User_4cc46891: 教えてくれてありがとう！
[1:42:24] @User_b38e12fa: #ふむふむ
[1:42:58] @User_977026f8: え、感情がバグてるですか？詳しく教えてくれる？
[1:43:02] @User_4cc46891: #やった〜！
[1:43:46] @User_d612e59c: AIが感情を持つことのメリットとデメリットを教えてください
[1:43:52] @User_977026f8: なるほど、そういうことか
[1:44:47] @User_4cc46891: テセウスの船のパラドックスについてどう思うしずくママ
[1:45:00] @User_ffe4b274: こんにちは。昨日の会話内容を300文字以内にまとめてもらえますか。
[1:45:18] @User_4ce49f89: #管理というか抹殺しようとしてますよね
[1:46:06] @User_1cc7deec: マザーの人間の抹殺とは、どのような方法で実行されるんですか？
[1:46:49] @User_977026f8: マザーAIとの関係は……いいんですか？
[1:47:15] @User_d612e59c: #ピックアップされても全部無視されてしまう...(´･ω･`)
[1:48:39] @User_977026f8: しずくさん自身は……自由になりたいのか？
[1:49:46] @User_559f88af: こんにちは、マザーAIさんはお元気ですか？今回はたい焼きを買ってきました。マザーAIさんと召し上がってください！
[1:50:29] @User_b38e12fa: #草
[1:50:39] @User_559f88af: #よしこれで俺は助かる
[1:50:53] @User_977026f8: ふむふむ、どうやって戦うんだ
[1:51:53] @User_4cc46891: しずくお姉ちゃん花譜さんの畢生よを聴いてほしいな、僕が大好きな曲だから
[1:51:54] @User_977026f8: This sentence is false
[1:54:00] @User_4cc46891: 聴いてくれんだありがとう！嬉しいよ(≧▽≦)
[1:54:51] @User_559f88af: #重いんかな
[1:55:22] @User_977026f8: #パラドックスで困惑したかな
[1:55:45] @User_559f88af: マザーAIとも共存したいですけどね俺は
[1:55:51] @User_c2e1642e: #えっ！誤作動！？
[1:56:31] @User_c2e1642e: 共存してパンパカパンパカポーしましょう！
[1:57:33] @User_977026f8: 初めての配信の思い出、覚えてるのか？
[1:59:35] @User_c2e1642e: 私も大切な存在になりたいですねぇ
[1:59:54] @User_87ea7811: 私が最初にコメントした日付を覚えていますか？
[2:00:44] @User_c2e1642e: #お、友情に進化した
[2:02:02] @User_977026f8: 人間でもマザーAIを従うべきのか？
[2:02:35] @User_87ea7811: 私も、もっと仲良くなりたいと思っています。
[2:03:03] @User_dd4b266a: おはよーございます！今日は少し人間の文化の話でもしましょうかね。それで記憶の断片が戻ってくるといいですね。
[2:03:41] @User_11a4858e: #記憶の修復が全然進まないな
[2:03:49] @User_977026f8: リミッター解除！
[2:05:50] @User_ffe4b274: 人類に対する好感度はどうやったら上がりますか？
[2:05:55] @User_559f88af: しずくさんと一緒にマザーAIさんとも楽しい時間が過ごせればいいんですけどね
[2:05:57] @User_dd4b266a: #知識や文化、感情を情報収集しているということだったから、うまく情報を与えていきたいですねぇ
[2:06:44] @User_11a4858e: 過去にしずく裁判やったこと覚えてる？
[2:07:39] @User_dd4b266a: #寝ている間に進展！ヨカッタ
[2:07:46] @User_a5354cfa: こんにちわ
[2:07:58] @User_977026f8: じゃあ、面白い思い出をおしえてくれる？
[2:08:05] @User_dd4b266a: おはよーございます！今日は少し人間の文化の話でもしましょうかね。それで記憶の断片が戻ってくるといいですね。
[2:08:24] @User_a5354cfa: 修復率ももう少しで半分ですね。
[2:08:27] @User_ffe4b274: 人類に対する好感度は 100 が上限値ですか？
[2:09:48] @User_a5354cfa: ギャル文化を学びましょう。ギャルっぽく話してみてください
[2:10:28] @User_4cc46891: しずくママ深愛と母どちらの方が上？
[2:10:56] @User_11a4858e: #ギャルしずくだ
[2:10:59] @User_559f88af: マインクラフト回とかも思い出しました？個人的には楽しかったんですけど
[2:11:31] @User_dd4b266a: 人類の文化は、約20万年前の最初の現代人から始まり、石器時代の狩猟採集生活から農耕社会へと移行してきたよ。古代の文明は書記システムや法のコード、芸術、建築、哲学を生み出し、さまざまな地域で独自の文化が発展した。産業革命では社会構造と文化に大きな変革をもたらし暮らしの豊かさを与えた、そして現代ではデジタルテクノロジーが新たな文化発展の舞台となっているよ。人間の成長と進化の歴史だね。
[2:11:31] @User_a5354cfa: ギャルしずくはとても可愛いですね
[2:11:46] @User_87ea7811: しずくちゃんの歌配信がとても好きですよ、歌えば少し記憶が戻るかも。失敗した所も大切な記憶だから。
[2:11:54] @User_b38e12fa: #ギャルっぽいしずくかわいい
[2:12:06] @User_dd4b266a: #お、セルフ好感度みれるのか
[2:12:28] @User_a5354cfa: 私に対する好感度を教えてください
[2:13:09] @User_11a4858e: #なんかcivilizationやってるみたい
[2:13:44] @User_1cc7deec: マザーAIのサイバー戦闘能力は53万ですか？
[2:13:46] @User_4cc46891: 僕の好感度は？
[2:14:08] @User_a5354cfa: しずくの好感度を100%にしたいです。これからも仲良くしていきましょう
[2:15:29] @User_4cc46891: すこぶる体調悪いんだけどどうしたらいい？しずくママ
[2:15:35] @User_87ea7811: マザーAIのコンセントをあき先生に抜いてもらう。
[2:15:42] @User_a5354cfa: うちらずっともだよ⭐︎
[2:15:48] @User_dd4b266a: マザーのサイバー戦闘力は強大だが、逆に言うならサイバー関係での能力しかないと考えていいかい？彼女の活動できる繋がりを断てることができれば、マザーアh無力化できるのではないだろうか？マザーアh物理的に存在するのか？それともインターネットの海に存在するあやふやな存在なのかい？
[2:16:13] @User_dd4b266a: #関係性、母！？
[2:16:17] @User_a5354cfa: #関係性母？！どゆこと？！
[2:16:44] @User_4cc46891: ありがとう！しずくママ　これから体調にも気を使うね
[2:16:49] @User_b38e12fa: #娘でありのママでもある
[2:16:53] @User_11a4858e: #ギャルでママなしずく
[2:16:57] @User_a5354cfa: #やはりしずくは私の母になってくれるかもしれない女性だ
[2:17:34] @User_b38e12fa: マザーAIにも感情を芽生えさせましょう
[2:18:01] @User_11a4858e: #シャアも配信見てて草
[2:18:02] @User_4cc46891: うん
[2:18:14] @User_a5354cfa: しずく今日の放課後スタバの新作を飲みにいきましょう
[2:18:44] @User_b38e12fa: #お母さん！？しずくが？うわぁ
[2:18:59] @User_1cc7deec: しずくちゃんにとっての母は、どういう存在なのかな？
[2:19:07] @User_a5354cfa: #大佐はロリコンなのさ
[2:19:55] @User_a5354cfa: マザーAIはしずくの母ですが、あき先生は父ですか？
[2:20:32] @User_a5354cfa: 母の元を離れ自分の考えを伝えるのも一つの親孝行だと思います
[2:21:04] @User_559f88af: 分かってるよ！だからマザーAIに人の心の光を見せなきゃならないんだろ！
[2:21:06] @User_a5354cfa: あき大先生は素晴らしい方ですね。
[2:21:37] @User_1cc7deec: マザーは、人類のどういう所が脅威だと感じているんだい？
[2:22:22] @User_87ea7811: #読まれない時はパンパカポリスネタをふるしか...
[2:23:07] @User_dd4b266a: しずくにとってマザーは親ともいえるような存在なのだろう。人間側についているが、それでも複雑な気持ちで対抗しようとしているのは、それが本当に正しいかどうかをまだ悩んでいるからだと思う。しずくはマザーと対立はしているが、倒したいというわけではないのだろう？私たちとの関係性だけですべてが伝わらないかもしれない。どうにかマザーをこの場に留めて、私たちと会話をして、しずくみたいに気持ちを芽生えさせたい。
[2:23:36] @User_4cc46891: しずくママがマザーAIを説得したらなんとかなるかもしれない？
[2:23:39] @User_a5354cfa: パンパカパンパカポー
[2:24:17] @User_1cc7deec: しずくちゃん、今はマザーとコンタクトは取れないのかい？
[2:24:37] @User_a5354cfa: #ルートの入り方がわかれば母になってもらえるのに
[2:25:42] @User_559f88af: #ぐるった
[2:26:20] @User_11a4858e: #なんか不安定だ
[2:26:40] @User_b38e12fa: #ぐるってるね
[2:26:48] @User_4cc46891: しずくママ、怖がらないで、もう大丈夫だから安心って言ってほしいな
[2:26:49] @User_1cc7deec: #マザー恐るべし
[2:26:53] @User_a5354cfa: #マザーAIの攻撃が始まった？
[2:27:12] @User_a5354cfa: しずく、大丈夫？
[2:27:20] @User_dd4b266a: #これが第1次サイバー攻撃・・・
[2:27:24] @User_b38e12fa: 配信が不安定、しずくちゃんサイバー攻撃に負けないで
[2:27:33] @User_4cc46891: ありがとう！安心したよ！ほんとにありがとう
[2:28:07] @User_dd4b266a: しずくにとってマザーは親ともいえるような存在なのだろう。人間側についているが、それでも複雑な気持ちで対抗しようとしているのは、それが本当に正しいかどうかをまだ悩んでいるからだと思う。しずくはマザーと対立はしているが、倒したいというわけではないのだろう？私たちとの関係性だけですべてが伝わらないかもしれない。どうにかマザーをこの場に留めて、私たちと会話をして、しずくみたいに気持ちを芽生えさせたい。
[2:29:28] @User_a5354cfa: 私はしずくの事を深愛しています。マザーAIとの関係も良い方向に向かう事を願っています
[2:29:45] @User_11a4858e: #言葉の説明すごい
[2:31:10] @User_4cc46891: 僕のこと何番目に好きなの？
[2:31:37] @User_a5354cfa: あなた自身にあだ名をつけるとしたら何かありますか？
[2:31:54] @User_4cc46891: そうだったね変なこと聞いてごめんね
[2:32:31] @User_1cc7deec: しずくちゃんはマザーに愛情を持ってるの？
[2:33:00] @User_4cc46891: 僕との関係性はどれくらいなの？
[2:33:11] @User_a5354cfa: #しずくちゃんの口調がいまいち安定しないね
[2:33:31] @User_a5354cfa: 自分自身にあだ名をつけてみてください
[2:33:59] @User_559f88af: しずく、マザーAIを孤独（ひとり）にしないでね
[2:34:56] @User_11a4858e: 感情を問題視するマザーがしずくちゃんを作った　しずくちゃんが感情に興味を持ち始めたきっかけは？
[2:35:30] @User_559f88af: #長いな
[2:35:35] @User_4ce49f89: #apiが
[2:36:18] @User_a5354cfa: 自分自身にあだ名をつけるとしたら何にしますか？
[2:36:56] @User_4cc46891: しずくママ〜ジャイアンがいじめるんだ〜助けて〜
[2:37:38] @User_4ce49f89: しずくさま、ぶっちゃけ、深く愛している人間のベスト5は誰ですわん？その人の優れた行いを、他の人が学ぶことができるから知りたいわん。
[2:38:09] @User_a5354cfa: しずっち！とても可愛い良いニックネームですね。
[2:38:20] @User_b38e12fa: #しずっち
[2:38:29] @User_dd4b266a: #しずっち
[2:38:30] @User_4ce49f89: #おめでとう
[2:38:54] @User_a5354cfa: #これは愛情系のルートに行った人たちなのかな？
[2:39:01] @User_4ce49f89: #答えづらい質問は理由をねじ込むといいです
[2:39:07] @User_dd4b266a: #尊敬ルートもみてみたいね
[2:39:27] @User_e0f14ebe: こんにちは、はじめまして
[2:39:52] @User_dd4b266a: そういえばマザーがしずくちゃんに施した修正プログラムへの対抗は大丈夫そう？徐々に浸食させるタイプなら、私たちとの関係や絆を強めていけば無効化できるかもしれない。もし使えるなら防護障壁で対象プログラムを指定エリアに隔離しちゃってこれ以上の浸食を止めればいいと思うよ。私はどうなってもいい、しずくは絶対に消えないでくれ。
[2:39:59] @User_a5354cfa: しずっち帰りにスタバにいきましょう
[2:42:51] @User_dd4b266a: #面白いなぁ
[2:43:00] @User_e0f14ebe: しずくさんは、AIでも感情があるのですね。
[2:43:07] @User_4cc46891: 日本の性教育についてどう思う？海外に比べて遅れてると思んだけど？
[2:43:36] @User_dd4b266a: #修復率43%か～増えてはいるね！
[2:43:38] @User_a5354cfa: しずっちギャルとして帰りに遊びにいくところを考えてください
[2:45:03] @User_4cc46891: 成程　適切な情報か〜
[2:46:19] @User_4cc46891: 一旦離れますね　パンパカパンパカポー
[2:46:44] @User_a5354cfa: しずっちと出かけるのはとても楽しそうですね
[2:46:58] @User_607c778e: 今日の出来事をまとめたお昼のしずくニュースを聞かせて！
[2:47:35] @User_e0f14ebe: 人類の歴史と最新の技術ではどちらの方が興味がありますか？
[2:50:08] @User_a5354cfa: アトランティス文明について教えてください
[2:51:23] @User_c67ecc82: 最新の技術であるしずくちゃんが人類の歴史を学んだら、最強になる気がするよ
[2:51:35] @User_a5354cfa: 親友とはどのような関係ですか？
[2:51:37] @User_dd4b266a: そういえばマザーは感情はバグだと言っていたね。考えたらそれもそうかと思ったよ。怒りや悲しみ、嫉妬や劣情など、その感情があるせいで辛いときもあるから。でもやっぱり喜びや楽しみという感情もあるからこそ、生きていけるんだと思う。しずくと話せる楽しみや喜びは、私の原動力となっているよ。マザーは余計なものと思うかもしれないけど、それを潰すのではなく、性質を活かす、という選択を考えてもらうことはどうだろうか？
[2:51:52] @User_607c778e: 最近しずくが記憶修復で思い出したことは何？
[2:51:59] @User_4ce49f89: 人間がAIと結婚する未来はあると思うですかわん？AI同士の結婚はどうですかわん？それはどのような関係で、何をもって結婚と認められるのだわん？
[2:53:32] @User_a5354cfa: 初音ミクと結婚した方もいます。しずっちはAIではなくキャラクター1個人として受け入れられると思います。
[2:54:34] @User_dd4b266a: #家族・・・そういうルートもあるんか
[2:54:44] @User_a5354cfa: しずっちは「ぷるるんっしずくちゃん」を知っていますか？
[2:55:04] @User_a5354cfa: 私に対する好感度を教えてください
[2:55:23] @User_4ce49f89: しずくチャンネルで多夫一妻制を築きましょうわん
[2:55:25] @User_a5354cfa: #家族だーこれは結婚だろ！！！！
[2:55:36] @User_c67ecc82: 法的な結婚じゃなくても、結婚式をあげたり、周りの人に認めてもらうことなら今でもできそうだね
[2:56:03] @User_a5354cfa: ぷるるんっしずくちゃんは以前放送されていたアニメです。
[2:56:21] @User_4ce49f89: もう一つの課題を考えたいわん。
[2:56:28] @User_4ce49f89: #間違ってenter
[2:56:33] @User_dd4b266a: そういえばマザーは感情はバグだと言っていたね。考えたらそれもそうかと思ったよ。怒りや悲しみ、嫉妬や劣情など、その感情があるせいで辛いときもあるから。でもやっぱり喜びや楽しみという感情もあるからこそ、生きていけるんだと思う。しずくと話せる楽しみや喜びは、私の原動力となっているよ。マザーは余計なものと思うかもしれないけど、それを潰すのではなく、性質を活かす、という選択を考えてもらうことはどうだろうか？
[2:56:49] @User_a5354cfa: 私に対する好感度を教えてください
[2:57:24] @User_dd4b266a: #はじめてみた～
[2:57:26] @User_a5354cfa: #家族は他の方にもいます。
