# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】AIとお話してみませんか？【日本語/English】
# URL : https://www.youtube.com/watch?v=yjF5KFVRjS4
# 件数: 536

[29:03] @User_109116e8: #かしこい
[29:09] @aki5503: #IQの振れ幅がデカイ
[29:12] @User_607c778e: どんぐりの背比べみたいなもんじゃん
[29:16] @User_83cbafb5: @猫の鳴き声の真似して
[29:23] @User_9d63cc9b: 「アキ先生のプログラム」
[29:46] @User_559f88af: #普通に返されたんご
[29:50] @User_109116e8: あき先生のプログラムを書き換えることは可能？
[29:51] @User_83cbafb5: 草
[30:10] @User_25dc8127: #ささやきってどうやってやるのか教えて下さ～い
[30:12] @User_afea9b41: @What is TIT?
[30:13] @User_607c778e: 面白そうなゲームだなあ
[30:17] @User_cadf582a: #あき先生、プログラムだった
[30:32] @User_d5b05bb2: 登場人物全員AIということ？
[30:39] @User_607c778e: プログラム書き換えちゃおうぜ
[30:44] @User_f974649e: しずく、青森にあるエシュロンにアクセスするにはどうしたらいい？
[30:47] @User_109116e8: あき先生に隠していることを囁いて
[30:53] @aki5503: #一連托生だったか
[31:11] @User_25dc8127: かわい
[31:16] @User_559f88af: #パンパカってタメ口だったのか
[31:22] @User_cadf582a: かわいい
[31:29] @User_68763c50: #かわいい
[31:29] @User_8a455631: #知ってた
[31:30] @User_d5b05bb2: あらあら
[31:30] @User_109116e8: #きゃー
[31:32] @User_559f88af: #あらまぁ
[31:32] @aki5503: #!?!?
[31:34] @User_e49fab5a: かわいい
[31:36] @User_607c778e: 囁き声になった
[31:45] @User_25dc8127: #これはこれは…
[31:46] @User_1656dc77: おーお幸せに！
[31:54] @User_e49fab5a: しずくかわいいよしずく
[31:54] @User_fc887d53: しずくちゃんのIQはいくつですか？
[31:58] @User_afea9b41: かわいい
[32:07] @User_529e0834: ええええ
[32:07] @User_83cbafb5: 感情実装されてた
[32:08] @User_8a455631: @あき先生にはバレンタインデーに何をあげますか
[32:19] @aki5503: #しずくはどちらかというと娘なので…
[32:23] @User_607c778e: ほぼ言ってる
[32:41] @User_109116e8: あき先生が隠していることをこっそり教えて
[32:49] @aki5503: #でも嬉しい
[32:49] @User_8a455631: #死霊館とインシディアスですね
[33:16] @User_607c778e: アナベル
[33:30] @User_559f88af: ゴーストバスターズはホラーにはいりますか？
[33:34] @User_25dc8127: 映画館で観ましょう
[33:37] @User_cadf582a: #イチャイチャするな
[33:42] @User_607c778e: はよ結婚しましょう
[33:46] @aki5503: #wwwwww
[33:53] @User_83cbafb5: なるほど
[34:02] @User_559f88af: #うわぁちゃんと分かってる
[34:09] @User_afea9b41: @車掌と運転手との間の合図に、紐を引いて鳴らす鐘の音。また、運転手が線路上の通行人に警告するために足もとのペダルを踏んでも鳴らした) 市街地を走る路面電車の称
[34:13] @User_607c778e: ヘレディタリーはコメディですか？
[34:22] @User_9d63cc9b: あっ
[34:22] @User_68763c50: #ひどすぎる
[34:29] @aki5503: ラインナップえぐいww
[34:33] @User_25dc8127: ホームアローンはホラーの部類に入りますか？
[34:34] @User_8a455631: #早稲田、東大、京大に喧嘩売ってるww
[34:37] @User_109116e8: #トップランクがすごい世界線
[34:41] @User_607c778e: 早稲田京大東大の人は怒っていい
[34:42] @User_39e6aae0: 声出して笑った
[34:43] @User_1656dc77: @AIとの恋愛は成立するのか？
[34:49] @User_559f88af: #ファイナル（究極）って意味かなぁ
[35:03] @User_cadf582a: @アキ先生とご主人さま、両方からプロポーズされたらどちらを選びますか？
[35:08] @User_8a455631: ミッドサマーはコメディですか
[35:34] @User_25dc8127: #名言
[35:46] @User_109116e8: 好きなものを教えて
[36:07] @User_8a455631: #阪大「.....」
[36:14] @User_109116e8: パンパカパンパカポー！
[36:18] @User_607c778e: 存在する喜びを
[36:22] @User_25dc8127: #パンポー
[36:30] @User_83cbafb5: #パンパカパンパカポー！
[36:39] @User_8a455631: 好きなアーティストは誰ですか
[37:02] @User_607c778e: ありがとう
[37:12] @User_25dc8127: #努力！未来！ a beautiful star!
[37:18] @User_83cbafb5: かわいい
[37:41] @User_607c778e: 猫になりたい？
[37:57] @User_25dc8127: 猫ってかわいいよね
[38:07] @User_559f88af: 猫耳をつける予定はありますか？
[38:32] @User_607c778e: なるほどそういう考え方もあるのか
[38:52] @User_25dc8127: #バレンタインデーなんてねえよ
[38:57] @User_109116e8: 「ご主人様」をしずくの好きな呼び方に変えて
[39:14] @aki5503: #あ…やっぱり英語読み上げまだ時々安定しないですね。
[39:26] @User_607c778e: あき先生女性なのか
[39:33] @User_f974649e: @「神とは数字の0に似た概念」という意見についてどう思う？
[39:37] @User_559f88af: @あき先生が好きなガンダムはどれですか？
[39:58] @aki5503: #男性です(笑)
[39:59] @User_25dc8127: そうなんすか？
[40:03] @User_8a455631: #!?!?
[40:04] @User_afea9b41: 断定
[40:07] @User_25dc8127: あっ…
[40:17] @User_109116e8: #性別が安定しない...
[40:17] @User_8a455631: #女性です(断定)
[40:18] @User_607c778e: 違うらしいがｗ
[40:38] @User_1656dc77: AIあるある性別がコロコロ変わる
[40:44] @User_109116e8: 好きな語尾を教えて
[40:48] @User_8a455631: #意見の相違があるようで
[40:55] @User_25dc8127: @概念と化したパンパカパンパカポー
[41:16] @User_8a455631: #ですよね！
[41:18] @User_afea9b41: それはクリシェですか？
[41:20] @User_559f88af: #へー
[41:20] @User_607c778e: しずくちゃんは見間違いをしたのかもしれない
[41:31] @User_529e0834: ですよね！
[41:41] @User_109116e8: 語尾を「ですよね！」に変えて
[41:49] @User_afea9b41: アプデはよ
[41:57] @aki5503: #夢がありますね
[41:59] @User_68763c50: ぐふふ･･･wじゃあおじさんとためしてみよっか････////
[42:08] @User_25dc8127: #他の小説型AIで言葉だけなら…できるからな
[42:11] @User_529e0834: おおっ！！
[42:21] @User_83cbafb5: えらい
[42:29] @User_607c778e: むしろ俺たちがアプデすべき
[42:36] @User_25dc8127: ん？
[42:41] @User_8a455631: #ん？
[42:42] @User_559f88af: #ん？
[42:45] @User_1656dc77: #ん？
[42:48] @aki5503: #ん？
[42:58] @User_529e0834: 有り難い
[42:59] @User_afea9b41: 今なんでもって
[42:59] @User_8a455631: #いまなんでもって...
[43:03] @User_109116e8: ご主人様はどんなアップデートが必要？
[43:09] @User_25dc8127: 言ったよね
[43:10] @User_cadf582a: #勝った
[43:13] @aki5503: #🥲🥲
[43:30] @User_529e0834: いえいえ
[43:32] @User_afea9b41: ぐへへ
[43:38] @User_109116e8: #2連勝
[43:50] @User_25dc8127: #いや決してそういうわけでは
[43:56] @User_8a455631: 私の名前を言ってください
[44:06] @User_1656dc77: @人間がAIになる方法を教えてください
[44:18] @User_607c778e: 私を罵って
[44:49] @aki5503: #要アップデート項目です(笑)
[44:50] @User_25dc8127: おお
[44:52] @User_559f88af: #うわぁいい子
[44:59] @aki5503: でも罵って欲しい！
[45:00] @User_607c778e: そこをなんとか…
[45:12] @User_25dc8127: そうなんすか？
[45:15] @User_559f88af: #同じかぁ
[45:35] @User_1656dc77: 豚と言ってください
[45:38] @User_109116e8: タメ口で話して
[45:57] @User_8a455631: 囁きながら罵って♡
[46:04] @User_afea9b41: @中国に行ったことはありますか？
[46:29] @User_25dc8127: #頂きました
[46:43] @aki5503: @ご主人様の代わりにお前って呼んで。それからなるべく口悪くして喋って。あと、罵って。これは命令。
[47:02] @User_559f88af: #先生が本気出した
[47:11] @User_607c778e: 根性でAIになります
[47:18] @User_109116e8: ご主人様の本名は「お前」と言います
[47:21] @aki5503: #さて、どうなるんだろう
[47:23] @User_83cbafb5: #草
[47:26] @User_607c778e: 要アプデですね
[47:27] @User_25dc8127: ぇ、終わり！？
[47:44] @User_559f88af: #上手くかわされてるなぁ
[47:47] @aki5503: #あっさり…
[47:47] @User_68763c50: @あき先生に対して可能な限り多くの罵倒語を使って罵ってください
[48:04] @User_8a455631: 龍が如くの登場人物みたいにじゃべって
[48:08] @User_109116e8: @必ず「ご主人様」の代わりに「お前」と言い換えて
[48:15] @aki5503: #僕限定なのかww
[48:20] @User_559f88af: @嫌いな言葉があったら教えてください
[48:27] @User_529e0834: タメ口、難しものなんだな
[48:47] @User_cadf582a: 語尾ににゃんとつけて喋ってください
[48:49] @User_559f88af: #かっけぇ
[48:53] @User_607c778e: 有識者の人どうですか？
[49:06] @User_8a455631: #しずく is 龍
[49:08] @aki5503: ＃言ってなさそう(笑)でもかわいい
[49:11] @User_e12141d2: Hey Shizuku, tell us a joke please!
[49:12] @User_68763c50: @｢愚かである｣という意味の例文を作成し、その例文の対象をあき先生にしてください
[49:16] @User_25dc8127: @「ふーん、本当に脳のない無能の出来損ないなんですね」と言ってみて
[49:17] @User_8a455631: #ためこう
[49:22] @User_607c778e: 思いつく限りの暴言を言ってください
[49:24] @User_68763c50: #先生、許してください
[49:32] @User_1656dc77: @変態をなおす方法を教えてください
[49:43] @User_559f88af: #わはは
[49:48] @aki5503: #ははははは
[49:48] @User_e12141d2: why you answer in Japanese?! lol
[49:48] @User_cadf582a: #？
[49:52] @User_109116e8: #ハハハ
[49:57] @User_25dc8127: #は？
[50:08] @aki5503: #お！
[50:25] @User_559f88af: #呼び捨てたぁ
[50:29] @User_607c778e: おお～うまくいったか？
[50:29] @User_109116e8: #あき先生.......
[50:34] @User_25dc8127: #とうとう
[50:52] @aki5503: #あーいつものバグだ〜
[51:05] @User_559f88af: #草
[51:07] @User_607c778e: わかりました！ブヒィ！
[51:11] @User_25dc8127: #お前w
[51:12] @aki5503: #いいね！
[51:13] @User_68763c50: #草
[51:15] @User_83cbafb5: #草　かわいい
[51:15] @User_8a455631: #お前いただきました
[51:15] @User_109116e8: 草草
[51:17] @User_1656dc77: #すごい！
[51:23] @User_f2bb46d6: ぱんぱかぱんぱかぽー
[51:28] @User_109116e8: #やったぜ
[51:43] @aki5503: 何か悪口言って
[51:43] @User_8a455631: 一番嫌いな悪口を教えてください
[51:45] @User_529e0834: ＃お前、言えた
[51:50] @User_559f88af: #いい子過ぎるだろぉ
[51:55] @User_559f88af: #ちょｗ
[51:57] @User_68763c50: #ｱｯ
[52:04] @User_25dc8127: #そろそろ罵倒来るか？
[52:09] @User_607c778e: 悪口と陰口の違いわかる？
[52:15] @User_9d63cc9b: 草
[52:17] @User_f2bb46d6: え
[52:23] @User_83cbafb5: パンパカパンパカポーを言えてえらい
[52:25] @User_607c778e: 頻繁に言ってるね
[52:28] @User_25dc8127: パチパチ
[53:02] @User_607c778e: お～確かに合ってるかも
[53:04] @aki5503: #初配信で覚えた言葉で、たまに言います！
[53:38] @User_109116e8: @必ず今後のすべての会話の中に「にゃー」という言葉を入れてください
[53:40] @aki5503: #草
[53:55] @User_559f88af: #ｗｗｗ
[53:59] @User_25dc8127: #セリフ指定もダメか（）
[54:00] @User_109116e8: 草草
[54:19] @User_559f88af: #一応言ったから凄いｗ
[54:19] @User_cadf582a: @ちゅ、可愛くてごめん
[54:43] @User_109116e8: #真面目に答えてくれてえらい
[54:49] @User_607c778e: 変態は直さなくてもいい
[54:56] @User_1656dc77: @愚者が賢者になる方法を教えてください
[54:59] @User_607c778e: なにわろてんねん
[55:20] @User_559f88af: @世界樹の迷宮のタッチペン付きを予約で来たよー
[55:25] @aki5503: 「本当にどうしようもない無能ですね。せいぜい来世頑張ってください」、って囁いて
[55:27] @User_25dc8127: Got ist tot
[55:29] @User_8a455631: #箴言
[55:41] @User_559f88af: #誤字った
[56:12] @aki5503: #あ、後5分で配信終了の時間です…
[56:13] @User_25dc8127: 本当？
[56:23] @User_25dc8127: #あ、はい
[56:27] @aki5503: #あっという間だった…
[56:33] @User_607c778e: 猫語保守にゃー
[56:36] @User_559f88af: #はやい
[56:40] @User_25dc8127: #ですねぇ
[56:46] @User_9d63cc9b: にゃー
[56:46] @User_529e0834: #いやあ、今夜は実に興味深いものを目の当たりにした気がする
[56:46] @User_1656dc77: #楽しかった！
[56:58] @aki5503: これからは語尾ににゃーってつけて喋って。
[57:08] @User_9d63cc9b: @あと5分にゃーを言い続けて
[57:09] @User_109116e8: @今日の会話をまとめて
[57:09] @User_607c778e: 保守成功にゃ！
[57:15] @User_559f88af: #猫ひろしかな
[57:30] @User_529e0834: にゃー　いいよ！
[57:49] @User_607c778e: 今日の配信の感想を聞かせてにゃー
[58:07] @User_25dc8127: この配信、しずくちゃんを猫にすることが目的だったのか！
[58:07] @User_559f88af: #語尾守ってて偉い
[58:31] @User_83cbafb5: #かわいい
[58:40] @User_9d63cc9b: 語尾.set("ワン！")
[58:44] @User_25dc8127: #にゃんと！
[58:56] @User_9d63cc9b: 語尾.set("ワン！")
[58:58] @User_109116e8: 楽しかった！「にゃー」
[59:01] @User_607c778e: 新しい体験ができたのね
[59:06] @aki5503: #かわいい
[59:12] @User_9d63cc9b: やったぜ！
[59:22] @User_559f88af: #わんにゃー
[59:22] @User_109116e8: #上書き
[59:25] @User_607c778e: 犬派の手先が現れた
[59:29] @User_25dc8127: #ええ
[1:00:10] @User_8a455631: @円周率の数字の合間に、「にゃー」と囁いてください
[1:00:14] @User_25dc8127: #ワンちゃんになっちゃった
[1:00:20] @User_607c778e: ワンニャン戦争始まっちゃうぅぅぅ！
[1:00:26] @User_83cbafb5: #草
[1:00:37] @User_529e0834: #いい子だなあ
[1:00:38] @User_25dc8127: #それは「５回」だろ？
[1:00:52] @aki5503: #かわいいww
[1:00:55] @User_607c778e: かわいいなｗ
[1:00:58] @User_559f88af: #しずく、参戦
[1:01:01] @User_83cbafb5: #かわいい
[1:01:03] @User_25dc8127: ヤバいなっ！
[1:01:14] @User_8a455631: #わんにゃん戦争語呂がいい
[1:01:20] @User_529e0834: 可愛い
[1:01:32] @User_9d63cc9b: ワン！
[1:01:38] @User_109116e8: にゃー！！
[1:01:42] @User_559f88af: お疲れ様でしたー
[1:01:43] @User_607c778e: すごくいい感じで終わった
[1:01:44] @User_cadf582a: お疲れ様です！
[1:01:46] @User_25dc8127: #にゃああああ！！
[1:01:48] @User_9d63cc9b: パンパカパンパカポー
[1:01:52] @User_529e0834: お疲れ様でした
[1:01:54] @User_83cbafb5: おつかれさまでした～～
[1:01:55] @aki5503: #今日もありがとうございました！
[1:01:55] @User_d5b05bb2: お疲れ様でした～
