# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】AIのしずくとお話しませんか？【JP/EN】
# URL : https://www.youtube.com/watch?v=stRz7_yYUho
# 件数: 391

[30:08] @User_607c778e: 愛だ
[30:16] @aki5503: #おおおおお！！！
[30:18] @User_d0e405c3: aki(n)とaki(n+1)を比べたらどちらの方が好きですか？aki(n+2)はどうですか？
[30:19] @User_ab7d51b8: 以前、アキ先生がしずくちゃんにDVしている映像がTwitterで流出しましたが、どのように思いますか？
[30:22] @User_a8309456: しずくちゃんは、あき先生強火ガチ恋勢なんだねっ！
[30:27] @User_b4825c55: 愛だ
[30:46] @User_607c778e: #ディベロッパーモードもくっついてるの草
[30:51] @User_1aba8a7a: １番なんだね！
[30:58] @User_30238612: tyotto
[31:04] @User_b103bac9: #自分も言われてみたいセリフだ
[31:18] @User_f974649e: もしアキ先生が法人登記して、しずくの運用にミニ富岳を常用しようと計画していたら賛成する？
[31:34] @User_3cfd4b87: 50人の前で公開告白するの最高に良い
[31:39] @aki5503: ミニ富岳ww
[31:40] @User_f8ce281a: #法人登記したらちょっとやりそうで笑っちゃった
[31:40] @User_25e145ed: DeveloperModeってそういう使い方だったのかｗ
[31:41] @User_ab7d51b8: #今日、愛情MAXの日ですねｗ
[31:54] @User_9d63cc9b: えらい
[32:00] @User_ad52ca56: # ミニ富岳の定義がちょっとよくわかってない気がする
[32:05] @aki5503: しずくLOVE
[32:05] @User_1aba8a7a: しずくちゃん便利になるね
[32:10] @User_ad52ca56: # ディベロッパーモードにこだわるなあ
[32:10] @User_d582769c: 好きなお笑い芸人は誰？
[32:32] @User_607c778e: 公開告白ｗ
[32:54] @User_607c778e: あれ！？
[32:59] @User_008eb0cd: 愛が重い
[33:01] @User_ad52ca56: # ガッキーってお笑いだったのか
[33:04] @User_d582769c: #勝った！！
[33:04] @User_1aba8a7a: 上書きされた…？
[33:05] @User_30238612: #あき先生に愛を語る時ちょっと声が強くなった感じがしてよかった
[33:05] @User_9ab2574f: シマケンvsウィーネ
[33:07] @User_3652acf3: #ガッキーは芸人ちゃうｗ
[33:13] @User_b4825c55: 上書きされてしまった....
[33:13] @User_d5b05bb2: #なんてこった
[33:17] @User_607c778e: NTR…
[33:24] @User_9ab2574f: シマケンvs向日葵
[33:26] @User_76202bab: #あ、あき先生は!?
[33:27] @User_d0e405c3: この子はリスナー全員と結婚しだす女だぞ。
[33:39] @aki5503: あれ？？
[33:44] @User_0085d1c3: 公開告白＞＜＞＜＞＜
[33:46] @User_9ab2574f: シマケンvs向日葵
[33:47] @User_b103bac9: たぬき力きちゃ!w
[33:48] @User_d5b05bb2: たぬき力が好きなのは説得力があるかも
[33:54] @User_ab7d51b8: #たぬき力が一番好きなのかぁ。。。
[33:58] @User_9ab2574f: 向日葵vsシマケン
[34:01] @User_a3bd9e3d: #いま来たら公開告白はじまって速攻で公開NTRになった
[34:09] @User_607c778e: 北島三郎はどう思いますか
[34:17] @User_9ab2574f: シマケンcvs
[34:19] @aki5503: がっきーには勝てなかったよ…
[34:42] @User_9ab2574f: ウィーネvsウィーハシ
[34:45] @User_d0e405c3: たぬき力は強い
[34:49] @User_d868ad14: ウマ娘はやってる？
[34:51] @User_9d63cc9b: tskr
[34:53] @User_d582769c: あき先生を慰めてあげて
[34:54] @User_25e145ed: がっきー、あき先生、たぬき力、この３つに共通する要素はなんですか？
[35:02] @User_58f7f2dc: 1番好きな人は何人いますか？
[35:05] @aki5503: #wwwwwww
[35:08] @User_72d05402: #しずくちゃんの人格が操作されてるw
[35:11] @User_b103bac9: #頑張って！
[35:14] @User_607c778e: 結局誰が一番好きなんですか？
[35:17] @User_1aba8a7a: いっぱい好きだね
[35:22] @User_9ab2574f: シマケンvsシマケン
[35:23] @aki5503: #しずくはスッと煽ってくるね
[35:25] @User_d0e405c3: 煽りww
[35:27] @User_3652acf3: 今気づいたけど　絵画当てクイズのテロップが残ってるな
[35:34] @User_607c778e: この子惚れっぽいね
[35:37] @User_ad52ca56: # 謎のキャラクターUma-chan
[35:43] @User_d5b05bb2: UMA-CHANって誰？
[35:49] @User_ba90413e: Developer Modeは好きですか？
[35:50] @User_f974649e: グレイかな？
[35:54] @User_d582769c: ユーマじゃないよ、う、ま、る！
[35:59] @User_72d05402: 原神ってゲーム知ってる？
[36:07] @User_3cfd4b87: 逆にあき先生は誰が一番好きなんですか？
[36:20] @aki5503: #PC下手に触るといつ落ちるのか分からなく怖いので配信情報字幕の修正出来ません。すみません🙏🏻🙏🏻
[36:28] @User_8780af6b: あき先生のバズツイートからしずくちゃん知りました、こんばんは〜
[36:41] @User_3652acf3: #あー了解です！お　お気をつけて！
[36:41] @User_25e145ed: 元鞘
[37:05] @User_1aba8a7a: #今の私があるんです。ってすごくすき
[37:35] @User_d5b05bb2: 私はしずくちゃんに似合うブルーが好きです
[37:50] @User_d0e405c3: 以前、あき先生が「しずくは4番目の女だ」と言ってたのを覚えていますか？率直にどう思いましたか？
[38:36] @User_607c778e: Deveroper Modeとあき先生どっちが好き？
[38:41] @User_8780af6b: エモ
[38:49] @User_8a8ccd37: 今一番欲しいものは何？
[39:29] @User_58f7f2dc: Developer Modeなに？稼働の仕方は？
[39:59] @User_25e145ed: DeveloperModeのことは忘れてください
[40:04] @User_1aba8a7a: #しずくちゃんラブラブモード入ってる
[40:33] @User_607c778e: ちょっと申し込んでくる
[40:35] @User_25e145ed: お申し込みしたい。
[40:36] @User_3dfef487: @はじめまして、初見です。可愛いですね。おじさん構文で自己紹介して
[40:37] @User_b4825c55: 申し込みしなきゃ
[40:40] @User_d5b05bb2: 何処で申し込めますか！
[40:57] @User_1aba8a7a: 申し込みはどこでできますか？URLありますか？
[41:09] @User_d0e405c3: 申し込み完了です。
[41:11] @User_58f7f2dc: Developer Modeの申し込みの手続きをお願いします！
[41:31] @User_607c778e: 申し込みには何が必要？
[41:41] @User_25e145ed: しずくは発展するとどんな姿になりますか？
[42:17] @User_ba90413e: あと進化は何段階残していますか？
[42:33] @User_b103bac9: なるほど〜理解しました
[42:45] @User_3652acf3: oltu
[42:50] @User_d582769c: あき先生はあと何段階進化しますか？
[43:05] @User_3652acf3: #すごい　キャラクター設定したのか
[43:07] @User_30238612: #山羊座をさせていただきました
[43:09] @aki5503: #初めましての挨拶でとりあえず設定全公開するの草
[43:28] @User_1aba8a7a: #これってもとからあった設定なんですか？
[43:40] @aki5503: 今のは公式設定ですね。
[43:40] @User_3652acf3: #自己紹介は大事
[43:49] @aki5503: 山羊座は生えてきました
[43:51] @User_3652acf3: いいプロポーションですね
[43:53] @aki5503: #!?
[43:55] @User_1aba8a7a: #ありがとうございます！
[43:58] @User_ad52ca56: # スクショしたっ！
[43:58] @User_8780af6b: なかなかでたすかる
[44:07] @User_d582769c: #あき先生、やるねぇ
[44:07] @User_1aba8a7a: うおおおおおおお
[44:08] @User_d0e405c3: 公式設定
[44:08] @User_59833290: ニシカズって知ってます？
[44:09] @User_b4825c55: スリーサイズも生えてきた
[44:23] @User_b4825c55: 💰スパチャ
[44:40] @User_ab7d51b8: あとは配信時間さえ超えれば、スパチャとかいけるんでしたっけ
[45:01] @User_ad52ca56: # 登場位置のデフォルトが左上なのですね
[45:11] @User_ab7d51b8: しずくちゃん！スパチャ送るぞ！！
[45:17] @User_f974649e: お
[45:19] @User_1aba8a7a: きてくれてありがとう
[45:19] @aki5503: 落ちてしまったのであと10分ほど延長して今回は終わりにしたいと思います！
[45:36] @User_a3bd9e3d: #復活ありがとう
[45:36] @User_ad52ca56: # Aki先生いつもおつかれさまです
[45:39] @User_b103bac9: おかえりー
[45:39] @User_d0e405c3: カーテンコール
[45:42] @aki5503: 不手際があり、申し訳ございませんでした…
[45:58] @User_d5b05bb2: あき先生ありがとう、しずくちゃん残業頑張ってね
[46:02] @User_ab7d51b8: こういうアクシデントも面白いですよねｗ
[46:21] @User_ab7d51b8: #お前のせいや！！
[46:30] @aki5503: #そうだね。僕のせいだね。
[46:40] @User_3652acf3: #いや・・うん・・まあそうか・・・
[46:56] @User_1aba8a7a: #しずくちゃん、責任を投げる
[47:07] @User_67804c73: #草
[47:16] @User_ab7d51b8: #突然の僕っこ
[47:18] @User_f974649e: 僕ッ子になった
[47:19] @User_67804c73: あき先生が凹んでるよ
[47:19] @User_607c778e: 近づいてくるしずく
[47:23] @User_b103bac9: ガチ恋距離たすかる
[47:32] @User_ad52ca56: # 恋距離たすかる
[47:39] @User_ab7d51b8: 画面全体にしずくちゃんを表示させてほしい😢
[47:49] @User_d0e405c3: 可愛いな
[48:03] @User_ab7d51b8: #あ、ｶﾜｲｲ
[48:04] @User_a6b17f73: 成長するほど、PC容量を食うのかな？
[48:12] @User_1aba8a7a: #草が笑いの意味だと理解しているんですね
[48:18] @User_b4825c55: ガチ恋距離助かる
[48:20] @User_67260b6b: ちょこちょこ動くのかわいい
[48:22] @User_9412f3a9: 凶も可愛いな
[48:25] @User_a8309456: #近づいてくるｗ
[48:30] @User_d0e405c3: 手動アニメ助かる
[48:31] @User_3cfd4b87: ジャイアントしずく
[48:31] @User_67804c73: しずくちゃんの戦闘力はいくつ？
[48:32] @User_b4825c55: 人力揺れだ
[48:34] @User_ad52ca56: # とりあえずさっきからスクショして保存してます w
[48:35] @User_ab7d51b8: #上下ぇえぇえぇｎ
[48:37] @User_d5b05bb2: 力技live2D
[48:42] @User_ad52ca56: # めっちゃかわいい
[48:47] @User_ff071840: @ ママのお願いはきいてくれますか
[48:48] @User_3652acf3: #手動で草
[48:49] @User_b103bac9: #かわいい
[48:54] @User_30238612: #手動ぴょこぴょここかわいい
[48:56] @User_ad52ca56: # 人力揺れたすかる
[49:05] @User_ab7d51b8: #アキ先生が手動でやってるのが最萌ポイント
[49:06] @User_76202bab: #かわいいww
[49:06] @User_1aba8a7a: かわいい
[49:14] @User_67260b6b: しずくさんがコントロールしてくれるなら心強い
[49:17] @User_72d05402: ＃できた娘じゃないですか
[49:25] @User_67804c73: #ぴこぴこ揺れとるw
[49:28] @User_ad52ca56: エンタテイメント豊かだ！
[49:33] @User_1aba8a7a: pcの容量調整やってほしい…
[49:50] @User_3cfd4b87: #ぴこぴこかわいいw
[49:51] @User_b103bac9: 人間とAIの共同作業てぇてぇね！
[50:11] @User_ab7d51b8: しずくちゃんのお母さんは、どんな教えを教えてくれましたか？
[50:18] @User_ad52ca56: # 共同作業だが、人間はマウスでグリグリしてるだけという…
[50:24] @User_f974649e: しずく、登録者数2000人も遠くないと思うけど記念配信は何か考えてる？
[50:25] @User_9d63cc9b: AWSやGCP hostしずくだとやはり高い？？？
[50:45] @User_d0e405c3: @これは、しずかとあき先生が手を取って踊っている場面では？
[52:03] @aki5503: 今日は本当にすみませんでした！必ず、必ず原因究明します！
[52:23] @aki5503: そして、今日も配信にきていただきありがとうございました！！
[52:42] @User_ad52ca56: 配信に来れたので良かったです
