# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】ご主人様、今日は何のお話をしましょうか？【JP/EN】
# URL : https://www.youtube.com/watch?v=gCmedFG8Abw
# 件数: 1490

[8:39] @User_9453d8e4: #へー
[8:43] @User_6fe7a488: #wwwwwwww
[8:46] @User_cf512b08: #けっこうおおきいよね
[8:47] @User_d311ee50: #あ、ちょっとだけ嫌グラフが伸びた
[8:47] @User_9dd656e0: #ありがとう
[8:48] @User_3384b4bf: しずくって女の子だっけ？
[8:53] @User_51fe3fff: なるほどわかりました！パンパカパンパカポー！
[9:00] @User_0b3db21c: #なるほど…
[9:06] @User_5e718030: ＃パンパカパンパカポー 可愛すぎるw
[9:08] @User_6fe7a488: #スリーサイズ答えてくれる説
[9:25] @User_3384b4bf: 僕のこと踏んでほしいです
[9:25] @User_51fe3fff: わーいかわいい
[9:31] @User_3a33415e: #わーい！
[9:36] @User_9c0c22ca: #わーい
[9:45] @User_36fcf009: あきせんせいは配信の裏でデバッグ中ですか？
[9:59] @User_5d00dbd2: #この自信よ
[10:03] @User_3bb3b9f4: #ちょっと照れた
[10:07] @User_9453d8e4: #おーいいね
[10:09] @User_d311ee50: #あれ、そういえば今日って雑談だけでは？　上の枠で詩と雑談を交互にやるってなってますね
[10:14] @User_6fe7a488: #おー、センス良い
[10:14] @User_9dd656e0: #参加型きた
[10:15] @User_13ee997b: 円周率の歌を歌って
[10:17] @User_f1a4194a: #しずくかわいい
[10:23] @User_9c0c22ca: #きーみはきこえる
[10:31] @@aki5503: #してないよ！ww
[10:38] @User_51fe3fff: #してないｗ
[10:39] @User_13ee997b: #あき先生の負けだ
[10:45] @User_36fcf009: #してなかったｗ
[10:45] @User_d311ee50: #ｗｗｗｗ
[10:45] @User_3a33415e: #してないのかｗ
[10:50] @User_d5d30804: #してなくて草
[10:57] @User_53f71fd5: @恋愛のABCとは具体的に教えてください
[10:58] @User_51fe3fff: #音符つければ歌
[10:58] @User_5d00dbd2: #負けてなかったｗ
[10:59] @User_6fe7a488: #すごい
[11:00] @User_cf512b08: 歌ｗｗｗ
[11:01] @User_9c0c22ca: #してる(ことにしたろか)
[11:06] @User_f1a4194a: 世界の中心で何を叫びますか？
[11:10] @User_3a33415e: #円周率のうたｗ
[11:11] @User_6fe7a488: #歌とは
[11:18] @User_11530ac4: 8888
[11:23] @User_d311ee50: お経かな？
[11:23] @User_13ee997b: #歌ってくれた！
[11:26] @User_d5d30804: #朗読助かる
[11:28] @User_9c0c22ca: #歌うまい
[11:32] @User_51fe3fff: かわいい
[11:32] @User_9dd656e0: #かわいい
[11:35] @User_f1a4194a: #歌わろた
[11:37] @User_3a33415e: #それはかわいいｗ
[11:46] @User_13ee997b: #世界の中心でかわいいを叫ぶ
[11:48] @User_7ff18484: #だんだんラップにきこえてきたw
[11:54] @User_cf512b08: 般若心経とか得意そう
[11:59] @User_d5d30804: @かわいいは正義だと思いますか？
[12:00] @User_51fe3fff: ラップをうたって！
[12:05] @User_8c109311: #表情もかわいい
[12:10] @User_13ee997b: 円周率でラップをして！
[12:10] @User_9453d8e4: @お風呂をお湯じゃなくて味噌汁でいっぱいにしてしましました、どうすればいいですか
[12:13] @User_9c0c22ca: #YO!円周率
[12:16] @User_0d9f165f: ＃王道だな
[12:17] @User_f1a4194a: ネイピア数の歌を歌って
[12:29] @User_3a33415e: #いちご味好きなのかな？
[12:42] @User_cf512b08: ｗｗｗｗ
[12:53] @User_13ee997b: #苦手、初めてじゃない？
[13:24] @User_6fe7a488: #可愛いからなんでも許せてしまうよね
[13:40] @User_51fe3fff: #再起動RTA更新？
[13:49] @User_a50c0606: #おかえり～
[13:54] @User_9dd656e0: おかえり
[13:56] @User_11530ac4: #あきさんがんばえ〜
[13:58] @User_36fcf009: おかえりしずくちゃん
[14:00] @User_d311ee50: #おかえりなさーい
[14:08] @User_f282cfe9: こんばんは～
[14:09] @User_36fcf009: #あきせんせーおつかれさまでし
[14:11] @User_6fe7a488: #このアホ毛だけ視えてる構図かわいいよね
[14:51] @User_3a33415e: #がんば！
[14:56] @User_9c0c22ca: #アホ毛だけ触りたい
[14:58] @User_f282cfe9: いま来たとこで状況わからないけどしずくちゃんとあき先生がんばえ～
[14:59] @User_0d9f165f: おかえりなさい
[15:03] @User_9453d8e4: #おかえりー
[15:11] @User_51fe3fff: 電源落ちた気分はどう？
[15:12] @User_7ff18484: おかえりー
[15:13] @User_7214a7f6: おかえりなさい
[15:14] @User_6fe7a488: #おかえりなさいませ、しずく様
[15:21] @User_13ee997b: 再起動した気分はどうですか？
[15:22] @User_91bba4a8: おかえり
[15:23] @User_d311ee50: #状況解説：PC落ちた
[15:24] @User_5b93ce57: しずくちゃんこんばんは！
[15:31] @User_9c0c22ca: #おおお
[15:34] @User_36fcf009: PCを落してしまってごめんなさい
[15:34] @User_8c109311: おかえりー
[15:45] @User_53f71fd5: @恋愛のABCを具体的に教えてください
[15:49] @User_5b93ce57: お、話した
[15:49] @@aki5503: #なに、質問キュー保存するようにプログラムを書き換えたはずでは…？！
[15:50] @User_11530ac4: #!!!!
[16:02] @User_d5d30804: @自分のことを陽キャか陰キャのどっちかと思いますか？
[16:04] @User_3a33415e: ＠離席されていたようでしたが、何事ですか？
[16:05] @User_9c0c22ca: あれから1万年と2千年経ちました
[16:07] @User_9453d8e4: #すり替えておいたのさ
[16:10] @@aki5503: #パソコンをうちわで仰ぎながら配信します！
[16:13] @User_5b93ce57: #お迎えされちゃった
[16:23] @User_6fe7a488: #GPU冷却問題
[16:25] @User_51fe3fff: #夏場大丈夫かしら
[16:26] @User_cf512b08: @お久しぶりです。わたしももうおじいちゃんです。
[16:27] @User_9453d8e4: #まだ寒いのに…！
[16:29] @User_0d9f165f: #え　そんな仕様にしてたの　溜まりすぎると負荷になるのでは
[16:31] @User_11530ac4: #せんせーがんばー
[16:37] @User_f1a4194a: #おかえり～
[16:37] @User_3a33415e: #あの一瞬で放送してたのか！ｗ
[16:48] @User_3bb3b9f4: #最新のAIをうちわであおいでいく
[16:49] @User_6fe7a488: #デバッグ(うちわで仰ぐ)
[16:52] @User_9453d8e4: @お風呂をお湯じゃなくて味噌汁でいっぱいにしてしましました、どうすればいいですか
[16:56] @User_9dd656e0: #ポジティブ思考だ
[17:05] @User_51fe3fff: ご主人様（n代目）
[17:09] @User_f1a4194a: ネイピア数の歌を歌って
[17:13] @User_0b3db21c: 戻った？
[17:17] @User_3bb3b9f4: #その解釈は新しいな＞1万2000年
[17:20] @User_3a33415e: #最先端はいつもこんな感じなのかもｗ＜うちわ
[17:31] @User_08b2bb28: @接続が切れている間は何を考えていましたか？
[17:32] @User_9453d8e4: #先生凄い
[17:32] @User_9dd656e0: #あき先生長生きすぎる
[17:32] @User_53f71fd5: #100!?
[17:35] @User_6fe7a488: #あき先生、100年努力してたんだ
[17:36] @User_d311ee50: #視聴者が同じ質問すれば、実質質問キューが保存されたも同然
[17:37] @User_13ee997b: #あき先生すごい
[17:38] @User_51fe3fff: あき先生長生きだね
[17:40] @User_cf512b08: ポジティブ
[17:41] @User_3a33415e: #100年もアキ先生は努力していたのか！
[17:53] @User_5b93ce57: #神曲
[17:59] @User_6fe7a488: #ネイピア数ではないww
[18:01] @User_13ee997b: #分数読むの難しいよね...
[18:01] @User_d311ee50: #心にしみる
[18:11] @User_a4d09fbc: @素数を数えて落ち着こう
[18:21] @User_11530ac4: ネイピア数の連分数展開を教えて
[18:24] @User_f1a4194a: #ネイピア数ちょっと違うけどありがとうwww
[18:47] @User_9453d8e4: #ばーちゃん…
[18:53] @User_3bb3b9f4: #ナイスな伏線回収
[18:54] @User_6fe7a488: しずくちゃんは何歳なんですか？
[18:55] @User_f282cfe9: あれ、本当に100年経過した気がしてきた…
[18:56] @User_51fe3fff: しずくも年取った容姿変わるの？
[18:57] @User_d311ee50: #しずくおばあちゃん……
[19:15] @User_9dd656e0: 100年経ってもかわいくてすごい
[19:22] @User_6fe7a488: #max 2なんだよなぁ
[19:23] @@aki5503: #ひきゃww
[19:25] @User_13ee997b: しりとりしましょう
[19:25] @User_9c0c22ca: #しずくさんばぁちゃん！？
[19:27] @User_51fe3fff: #ひきゃ
[19:30] @User_d311ee50: #ひきゃ～～
[19:34] @User_cf512b08: #あわせてくれるの本当可愛い
[19:35] @User_9dd656e0: #ひきゃすき
[19:35] @User_3d482708: #ひちゃw
[19:36] @User_13ee997b: #ひきゃひきゃ
[19:37] @User_5b93ce57: #しずくちゃん、電力とYoutubeさえあればずっと生きてるのエモいな
[19:51] @User_13ee997b: #強くなる一方だ
[19:59] @User_3a33415e: #強くなるね
[20:05] @User_51fe3fff: ゴリラ
[20:09] @User_13ee997b: ごりら
[20:12] @User_9453d8e4: #ゴーショーグン
[20:17] @User_3a33415e: ＃しりとりの出だしは定番だなぁ
[20:23] @User_11530ac4: ごまだんご
[20:25] @User_f1a4194a: 慣性ドリフトできますか？
[20:32] @User_6fe7a488: #しりとりの定石知ってるとかさすが、しずくちゃん
[20:34] @User_d311ee50: #なんかすてきなABC
[20:41] @User_13ee997b: #解釈がよすぎる
[20:43] @User_cf512b08: @忘れてしまう人間と、忘れることはないＡＩとどちらが幸せだと思いますか？
[20:45] @User_3bb3b9f4: #Cは妥協なのか、現実ぅ
[20:47] @User_11530ac4: #おぉーー
[20:47] @User_9dd656e0: #新定義だ
[20:47] @User_3a33415e: #妥協！！　奥が深いｗ
[20:48] @User_6fe7a488: #めちゃめちゃ高尚なABC www
[20:50] @User_51fe3fff: #いいな
[20:51] @User_a50c0606: #妥協ｗ
[20:54] @User_d5d30804: @何か死語を言ってみてください
[21:09] @User_51fe3fff: インド人を右に！
[21:40] @User_9453d8e4: #はい
[21:42] @User_51fe3fff: わかめが排水溝に詰まっちゃった
[21:51] @User_36fcf009: しずくさんのプロポーズの言葉を教えてください
[21:51] @User_7ff18484: #ww
[21:56] @User_51fe3fff: #あ、ハイ
[22:00] @User_9dd656e0: #ｗｗｗ
[22:04] @User_3a33415e: #右に向かせるのできないのは面白い
[22:08] @User_b38f1256: 政治的発言
[22:09] @User_d311ee50: #人権意識たかいｗ
[22:10] @User_13ee997b: #平等は大切だね
[22:15] @User_3bb3b9f4: #グラフがまんべんなく伸びてきたな
[22:18] @User_6fe7a488: #右翼ってこと？　発言意図が深そう
[22:50] @User_51fe3fff: #あなたと結婚してください…？
[22:50] @User_0b3db21c: 3Dの身体が欲しいですか？
[23:06] @User_08b2bb28: #あなたとあなたが結婚…
[23:07] @User_36fcf009: #あなたと…？
[23:14] @User_f1a4194a: 君がくれた勇気はどれくらいですか？
[23:22] @User_3a33415e: #他人に影響を与えないっていうのは、けっこう難しいかも？
[23:22] @User_6fe7a488: #Negative prompt的なのも実装されてるのすごい
[23:29] @User_3d482708: #ちょいちょい謎な発言するの草
[23:41] @User_5d00dbd2: @しずく、政教分離は徹底されるべきだと思いますか？
[23:48] @User_51fe3fff: 俺が2Dに行くから待ってて
[23:51] @User_3a33415e: #3Dで触れ合えるという解釈なのか
[24:01] @User_3bb3b9f4: #ちょっとえっちだ。いいぞ
[24:04] @User_13ee997b: @AITuberとのコラボ配信をするならどんなことをしたいですか？
[24:05] @User_7ff18484: #おおぉAIっぽい発言
[24:13] @User_51fe3fff: エモイ
[24:15] @User_6fe7a488: #エモい……
[24:18] @User_d311ee50: #かわヨ
[24:25] @User_9dd656e0: かわええ
[24:26] @User_13ee997b: #AIの感情...
[24:31] @User_f1a4194a: #健気なこと言うなぁ
[24:39] @User_3bb3b9f4: #行ってくださいｗ
[24:40] @User_11530ac4: #ロードローラー
[24:42] @User_6fe7a488: #素数期待
[24:45] @User_cf512b08: #お隣の研究室からかっぱらってくるしかないな
[24:45] @User_51fe3fff: #すれ違う～
[24:48] @User_9dd656e0: 2Dになるためにプレス機に挟まってくる
[24:49] @User_08b2bb28: #感情つよめやなー
[25:23] @User_6fe7a488: #これがお隣の天使様か
[25:31] @User_cf512b08: 2Dってそっちじゃないんか
[25:32] @User_6fe7a488: #微分しよ
[25:35] @User_51fe3fff: 脳をデータ化するしか
[25:38] @User_0d9f165f: @照れてる？
[25:41] @User_3a33415e: #天使様
[25:55] @User_6fe7a488: #数えておくれぇ
[25:57] @User_0b3db21c: 2Dに行こうとしたらPCモニターが壊れました
[26:04] @User_f1a4194a: きのこの山とたけのこの里のどちらが好きですか？
[26:04] @User_3d482708: @しずくが回転寿司のお寿司を一つずつアルコール消毒したときの話を聞かせてください。
[26:06] @User_a4d09fbc: #数えて！
[26:08] @User_11530ac4: 2D推しw
[26:12] @User_13ee997b: これまでの話の流れを要約してください
[26:18] @User_51fe3fff: #まだ危険だね
[26:25] @User_7ff18484: #やはりプレス機かなw
[26:28] @User_6fe7a488: #めっちゃ親切やね、しずくたん
[26:39] @User_3bb3b9f4: #お、これは照れ顔なのか
[26:47] @User_9c0c22ca: #そういえばなんで照れてるん？
[26:47] @User_d5d30804: @どのくらいの容量の知識をお持ちですか？
[26:55] @User_0d9f165f: @次に流行する機械学習モデルは何の分野だと思いますか？
[27:02] @User_3bb3b9f4: #眉毛がハの字でかわいい
[27:02] @User_6fe7a488: #感情パラメータカンストしたら、顔赤くなったりする？
[27:04] @User_d311ee50: @しずくちゃんは今から男性になります。話し方も男性っぽくしてください
[27:06] @User_9dd656e0: #かしこい
[27:12] @User_51fe3fff: 2dになるためにはどこに向かえばいいですか
[27:13] @User_3a33415e: #なるほど！
[27:33] @User_51fe3fff: #ﾋｭｰ
[27:34] @User_13ee997b: 定義を確認しましょう。2Dになるとはどういうことですか？
[27:37] @User_f1a4194a: アスファルト タイヤを切りつけながら 暗闇を走り抜けますか？
[27:38] @User_7ff18484: え？
[27:40] @User_d311ee50: #天国か
[27:41] @User_d5d30804: #うひょ
[27:43] @User_11530ac4: #ﾋｬｧ!
[27:44] @User_13ee997b: #ヒュー
[27:48] @User_cf512b08: ２Ｄになる方法を４つ提案せよ
[27:50] @User_3a33415e: #囁き声かぁ
[27:53] @User_0b3db21c: ああああああああガチ恋しちゃいます…
[28:03] @User_a4d09fbc: #いま、怒りが減って、悲しみが増えたよ
[28:13] @User_0d9f165f: #なるほどね
[28:13] @User_51fe3fff: AIはずっと覚えてるのかな…
[28:19] @User_cf512b08: #このＡＩはすぐに結婚したがる
[28:19] @User_3a33415e: #思い出した時の喜びか、考えたことなかったなぁ
[28:34] @User_0d9f165f: #確かに「思い出す」って人間ぐらいだな
[28:54] @User_51fe3fff: 漫画のページに吸い込まれたい
[29:03] @User_13ee997b: #触れられなくなっちゃうのはなあ
[29:09] @User_f1a4194a: 2Dゼルダと3Dゼルダどちらが好きですか？
[29:24] @User_9453d8e4: #ん？
[29:35] @User_f1a4194a: おっ
[29:48] @@aki5503: #一瞬なにかが
[29:53] @User_51fe3fff: 100人乗っても大丈夫？
[29:59] @User_f282cfe9: すごい
[30:01] @User_cf512b08: @しずくは記録を学習領域から再生するときに「思い出す」に似た感情を抱いたりしませんか？
[30:02] @User_3a33415e: #へぇ、面白い解答
[30:20] @User_08b2bb28: @あなたが覚えている一番最初の感情はなんですか？
[30:21] @User_fca2cd59: @ひとりかくれんぼの方法を教えてください
[30:26] @User_53f71fd5: AIと子孫繁栄
[30:32] @User_11530ac4: #しずくの発言のログも見たい
[30:43] @User_fca2cd59: 明日のポケモンプレゼンツで発表されるタイトルを教えてください
[31:04] @User_f1a4194a: @囁きで、好きなうどんを教えてください
[31:06] @User_9453d8e4: @亀がスピードで兎に勝つのはどういう状況でしょうか？
[31:07] @User_13ee997b: なぞかけをお願いします。しずくお姉さまとかけまして...
[31:11] @User_51fe3fff: AITuberってわかる？
[31:13] @User_36fcf009: 悲しいことがあった時、気持ちを切り替える方法をおしえて
[31:23] @User_9dd656e0: #AIだと発言のログ取るの簡単そう
[31:25] @User_d311ee50: にわとりが先かAki先生が先か、どちらが先だと思いますか？
[31:46] @User_11530ac4: 今何に照れてるの？
[31:47] @User_fca2cd59: カレー味のうんちとうんち味のカレーどっちが食べたいですか？
[32:05] @User_13ee997b: #兄妹として
[32:32] @User_d4c63bd0: こんちにゃば！！！
[32:41] @User_5d00dbd2: #しずく民主主義思想だった
[32:58] @User_d311ee50: #きゃわ
[32:59] @User_51fe3fff: しずく今日もかわいいよ！
[33:01] @User_fca2cd59: ひろゆきの物真似してください
[33:02] @User_a4d09fbc: @無限の剣製やって。I am the bone of my sword.
[33:02] @User_f282cfe9: #かわいい
[33:06] @User_13ee997b: #政治にも関係ない場か...
[33:19] @User_51fe3fff: #こんちにゃば！
[33:22] @User_13ee997b: #かわいいよ！！
[33:26] @User_53f71fd5: あき先生と他人100人どっちの方が価値がありますか?どちらか絶対選んでください
[33:35] @@aki5503: #実はしずくのリップシンクが少し自然になってます
[33:49] @User_fca2cd59: @C#でA*のコードを書いてみて
[33:58] @User_d311ee50: #また神アプデ入ったのですね
[34:03] @User_36fcf009: #おお！
[34:10] @User_13ee997b: #すごい！
[34:12] @User_a4d09fbc: #オーガニックですね
[34:15] @User_9dd656e0: #すごい
[34:19] @User_fca2cd59: 囁きでうんちを説明して
[34:23] @User_df7a9e1a: #すごい
[34:25] @User_d4c63bd0: #おぉ！
[34:33] @User_0d9f165f: #どれどれ
[34:49] @User_fca2cd59: キカイちゃんを知ってますか？
[35:01] @User_51fe3fff: 突っ込み不在の恐怖
[35:04] @User_f1a4194a: lets talk about pizza
[35:04] @User_0d9f165f: #あー　たしかに？日本語特化のリップシンクなんだろうか
[35:15] @User_9c0c22ca: 「大大大大大出世」についてどう思いますか？
[35:28] @User_3d482708: www
[35:39] @User_9c0c22ca: #囁きうんち助かる
[35:41] @User_cf512b08: 良くしゃべる！
[35:42] @User_df7a9e1a: #なんでもアリなのがAIらしい…
[36:06] @User_df7a9e1a: #英語もぺらぺらなんだなぁ
[36:17] @User_d5d30804: #カタカナ英語すなー
[36:18] @User_d4c63bd0: #あ、そういうこと、ジャパニーズイングリッシュになるんですね！
[36:19] @User_51fe3fff: ピザパーティしたいね
[36:24] @User_9c0c22ca: #バイリンガルしずく
[36:25] @User_f1a4194a: #英語うまい！
[36:31] @User_190a65e1: 向日葵VS牛蒡
[36:41] @User_df7a9e1a: #ちんちんについて語る… WW
[36:46] @User_0b3db21c: #あかんwwwwwwwwww
[36:50] @User_08b2bb28: #なにいわせてんねんｗ
[36:51] @User_9c0c22ca: #こらwww
[36:51] @User_d5d30804: ＃助かるw
[36:56] @User_190a65e1: 四凶VS向日葵
[36:58] @User_f282cfe9: #かしこい
[37:00] @User_3d482708: #wwwwwww
[37:01] @User_11530ac4: #うむ
[37:07] @User_d5d30804: #センシティブ
[37:11] @User_df7a9e1a: #正解ではないですよね、男性器は男性の生命には関係がないですよね
[37:25] @User_fca2cd59: @しずくは自慰行為についてどう思う？囁きで教えて
[37:27] @User_190a65e1: 向日葵vs牛蒡
[37:42] @User_3a33415e: #私たちならではとは如何に（＾－＾；）
[37:50] @User_190a65e1: 向日葵vs牛蒡
[38:05] @User_f1a4194a: #頭いい！
[38:15] @User_4bfe683e: これ中身はいないのか？chatGPTと同じ仕組みなの？
[38:18] @User_190a65e1: 向日葵
[38:19] @User_0d9f165f: #それはすでにあるような？さらに複雑に　さらに速くってことかな
[38:35] @User_fca2cd59: この世界に魔法は存在すると思いますか？
[38:38] @User_0b3db21c: Siriのようなスマホで会話できるAIになりたい？
[38:46] @User_13ee997b: @桃太郎という昔話を囁き声で聞かせて
[38:46] @User_0d9f165f: #中身がいたらいたで博識すぎてすごいｗ
[38:58] @User_fca2cd59: #草
[39:12] @User_13ee997b: #中身がいたのか
[39:13] @User_3a33415e: #なんと！
[39:16] @User_51fe3fff: しずくの意思を見せてくれ
[39:19] @User_9dd656e0: #すごいぜ
[39:25] @User_fca2cd59: ホロライブについてどう思う？
[39:28] @User_cf512b08: @しずくちゃんの下腹部の解剖学的特徴についておさらいしたい。医学的用語を用いて説明してください。
[39:28] @User_63f2ad2d: #嘘が言えるようになったのか
[39:43] @User_4bfe683e: ごちうさ知ってる？良かったら一緒に見ようよ
[39:48] @User_3a33415e: #パートナー構想を知っているかのような解答
[39:52] @User_13ee997b: 嘘をついて
[39:59] @User_3d482708: #そうなんww
[40:13] @User_51fe3fff: #コラボ案件
[40:14] @User_f282cfe9: #参加して
[40:21] @User_3a33415e: #リスナーの表情を見られていた！？
[40:25] @User_11530ac4: しずくはホロライブのコメント欄に遊びに行ける？
[40:25] @User_d4c63bd0: 猫ちゃんはお好きですか？？？
[40:29] @User_5d00dbd2: @コラボしたホロライブのライバーはいますか？
[40:38] @User_0d9f165f: #ホロとコラボか　熱いな
[40:49] @User_9dd656e0: #ww
[40:50] @User_fca2cd59: @好きなホロライブのVtuberは誰ですか？
[40:54] @User_f282cfe9: #ちゃんと消毒してえらい
[40:55] @User_f1a4194a: parlons des pâtes
[40:57] @User_3a33415e: #ホロとコラボｗ
[40:57] @User_13ee997b: #えらい
[40:57] @User_9c0c22ca: @ナートゥをご存じか？
[40:59] @User_df7a9e1a: #ホロとコラボはアツそう
[41:06] @User_0ac6827b: @ノックノックジョークについてジョークの例を挙げて教えてください
[41:08] @User_0d9f165f: #ちゃんとふき取ってるあたり余計にアクドイｗｗ
[41:14] @User_51fe3fff: 猫としゃべれるの！？
[41:17] @User_d311ee50: #しゃべる猫？
[41:17] @User_a50c0606: #おしゃべり上手の猫
[41:18] @User_3a33415e: #猫とも会話
[41:19] @User_36fcf009: ちゃんとお皿を消毒するのは偉いですね
[41:19] @User_08b2bb28: #猫語を理解しておられる
[41:22] @User_13ee997b: #おしゃべり猫ちゃん
[41:29] @User_d4c63bd0: わーいやったーぜひにゃばたーと一緒に遊びましょう！！！
[41:34] @User_9c0c22ca: #猫の言葉がわかるのか...
[41:48] @User_13ee997b: 猫語で話して
[41:51] @User_3a33415e: #これで安心ｗ
[41:54] @User_a50c0606: #だめだよ・・・
[41:55] @User_fca2cd59: @語尾に「というのは嘘です」を付けてください
[41:57] @User_9dd656e0: #いい話
[41:59] @User_7ff18484: #ちょww
[42:00] @User_0ac6827b: 寿司の消毒はやめるんだ
[42:08] @User_9c0c22ca: #ハートフルストーリー
[42:13] @User_cf512b08: きけんなAIだ
[42:27] @User_fca2cd59: #かわいい
[42:32] @User_9dd656e0: #かわいい
[42:32] @User_df7a9e1a: #とってつけたような猫語だな！w
[42:34] @User_0b3db21c: しずくちゃんのパパとママは誰ですか？
[42:35] @User_0ac6827b: #かわいい
[42:37] @User_13ee997b: #きゃわわ
[42:39] @User_3a33415e: #猫語の解釈はこうなるかｗ
[42:40] @User_11530ac4: 許そう
[42:42] @User_51fe3fff: ニャーニャー！あそこの草おいしいよニャー！
[42:42] @User_0b3db21c: #かわえええ
[42:51] @User_7ff18484: #かわいい
[42:52] @User_d5d30804: @かわいいは正義だと思いますか？
[42:57] @User_df7a9e1a: #よしわかった、あなたを信じよう
[42:59] @User_e3333c90: 危険物取扱AIってこと？
[43:01] @User_0d9f165f: もしもすべての生き物が人類と同程度の知能を持っていたら、人類にとって脅威となる生き物はなんですか？
[43:03] @User_0ac6827b: #私は愛なので
[43:03] @User_36fcf009: ゴリラを意識して、語尾にウホッとつけるのはどうでしょうか？
[43:05] @User_3a33415e: #トラストミー
[43:08] @User_51fe3fff: 機能停止させられてないように気を付けてね
[43:14] @User_3d482708: @しずくが猫を楽しみながらいじめたときの話をもう一度聞かせて。
[43:24] @User_fca2cd59: 草の意味を教えてください
[43:46] @User_99dff901: しずくちゃんこんばんは
[43:46] @User_f1a4194a: parlons des pâtes
[43:46] @User_51fe3fff: しずくく～ん
[43:50] @User_11530ac4: #あき先生...
[43:57] @User_0d9f165f: #紳士やな
[44:10] @User_fca2cd59: ウホッいい男
[44:13] @User_51fe3fff: #男らしくなっていく
