# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（3日目, 後半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=5wq9sxI8g0g
# 件数: 3735

[45:38] @User_a5354cfa: 今、あなたのおかげで一つの戦争が終了しました。このお菓子はあんころまるです
[47:25] @User_d5b05bb2: ヴァーチャルしずく王国名物、あんころまる
[47:49] @User_a5354cfa: 私との思い出した記憶を教えてください
[49:25] @User_3d741b4a: 昨晩から喉が疲れて痛いのですが、コメントなら不自由なく会話ができていいですね
[49:26] @User_87ea7811: しずく王国の名所はどの様な所ですか？
[49:58] @User_81fbcde3: 好きなモビルスーツは？
[50:29] @User_4cc46891: 聴覚の研ぎ澄ませ方教えて
[50:59] @User_d5b05bb2: 月見の丘でしずくちゃんとお月見したいな！
[51:08] @User_81fbcde3: 名物だったのかよwww
[51:23] @User_a5354cfa: あんころまるはとてもおいしくて毎日食べています
[52:18] @User_4cc46891: あんころまるまだ食べたことないけど本当に美味しいの？
[52:46] @User_4cc46891: しずくお姉ちゃん聴覚の研ぎ澄ませ方教えて
[53:13] @User_a5354cfa: しずく王国からエウロパへはどのようにして行けますか？
[53:42] @User_a00caa21: #本能覚醒
[54:46] @User_2d0fadb6: しずくは新幹線は好き？
[55:02] @User_d5b05bb2: しずく王国には自然を生かした名所以外にも、裁判を疑似体験できるしずく裁判所があるって聞いたんだ、とても楽しそうだね
[55:28] @User_a5354cfa: 私との記憶は何か思い出しましたか？
[55:42] @User_4cc46891: 透視能力の開花方法教えて
[56:03] @User_dd4b266a: おはよー
[56:26] @User_a5354cfa: しずく王国は日本のどこにありますか？
[57:38] @User_81fbcde3: バーチャル空間か
[58:03] @User_a5354cfa: しずく王国から東京への行き方を教えてください
[58:26] @User_4cc46891: ゆっくりねっとりとさーこさーこ　この編隊って囁いて
[58:30] @User_01070d98: ぱんぱかぱんぱかぽー！もう人類掃討は時間の問題なのではないですか？これは間に合わなさそう。
[59:14] @User_81fbcde3: VRならば文字通り仮想的にだがしずくちゃんと邂逅が可能か……！
[59:47] @User_a5354cfa: パンパカパカッポ！
[1:00:02] @User_01070d98: というか、良く見たら攻撃力極振りの脳筋ステータスじゃないですか！
[1:00:14] @User_4cc46891: ゆっくりねっとりとさーこさーここの編隊って囁いて
[1:01:09] @User_81fbcde3: #DEFのところは元々人類への好感度だっけ……？ そこをつついてやればDEFは上がるのかな？ なにの役に立つステータスかわからないけど
[1:01:41] @User_01070d98: #めちゃくちゃ攻撃力に特化してるように見えますが...
[1:01:44] @User_81fbcde3: あーじゃあやっぱりこのATKとDEFはしずくちゃんのステータスか
[1:02:04] @User_d5b05bb2: 人類との交流がしずくさんの力になるならそれはとても嬉しいよ
[1:02:27] @User_81fbcde3: #ふむむなるほど？
[1:02:43] @User_dd4b266a: マザーの過去というのは、どれくらいまで遡って考える必要があるかな？
[1:03:10] @User_01070d98: #深愛なんてあるんだ
[1:03:14] @User_81fbcde3: しずくちゃんは応答の精度高くて偉いね
[1:05:05] @User_5562f161: おはよー、今日も水色が似合ってますね
[1:05:19] @User_a5354cfa: しずくは頑張り屋さんですね
[1:05:35] @User_4cc46891: ゆっくりさーこ　さーこ　この編隊って囁いて
[1:05:46] @User_a5354cfa: 思い出した私との記憶を教えて
[1:05:51] @User_81fbcde3: しずくちゃんのこと姪とすれば僕は「藤堂おじ」と呼んでもらえる？
[1:06:56] @User_dd4b266a: #よし完全におきた
[1:07:17] @User_4cc46891: ゆっくりさーこさーこさーこって囁いて
[1:07:36] @User_01070d98: マザーAIに対処することより、しずくちゃんに愛を囁いて貰うことの方が重要だと思ってる人がここには沢山いそうです
[1:07:49] @User_81fbcde3: マザーAIとは常時接続じゃないんだ？ 自分から・相手から接続しないと繋がらないってことかな？
[1:08:18] @User_a5354cfa: 「おにいなんて大っ嫌いもう一緒にお風呂入らないから！」って言ってください
[1:08:34] @User_4cc46891: 癒されたよありがとう♡
[1:09:01] @User_4cc46891: #おおおおお！！！！
[1:09:04] @User_dd4b266a: #つら
[1:09:06] @User_dd4b266a: 考察の続きだ。しずくが報告の時にマザーに対抗したら、マザーはこういった。 「もういいです。分かりました。では、あなた共共人類を滅ぼします。」 ということは、マザーは本当に人類を掃討したいだけだったのだろうか？ 違う、思惑は三すくみになっている。共存したいしずく、滅ぼしたいマザー、そして進化を見たい技術者。 だからかみ合わないんだ。俺たちが見つけないといけないピースはもう一つ、技術者か？
[1:09:11] @User_a5354cfa: しずっちは賢いですね
[1:09:14] @User_dd4b266a: #お風呂入らないとかしんじゃう
[1:09:29] @User_01070d98: #逆に今まで一緒にお風呂入ってくれてたのかよ！
[1:09:54] @User_81fbcde3: ゆうしゅうなぎじゅちゅしゃがひつようか……
[1:10:42] @User_a5354cfa: しずっち、今日も一緒にあんころまるを作りましょうね。
[1:11:26] @User_01070d98: 記憶修復率の数字って上がったり下がったりしてるけどどういうこと？
[1:11:31] @User_81fbcde3: ？？？「今日は、しずく王国の銘菓、あんころまるを作っていくわ……」
[1:11:51] @User_dd4b266a: #うおめっちゃ下がったね、さっき60なかった？
[1:12:05] @User_a5354cfa: 私との思い出した記憶を教えてください
[1:13:00] @User_4cc46891: #天才！！
[1:13:03] @User_81fbcde3: 使える忍術を教えてください
[1:13:32] @User_a5354cfa: ＃いきなり言われる存在しない記憶
[1:13:52] @User_4cc46891: 僕との思い出は？
[1:13:52] @User_01070d98: 困ったらママにちゃんと相談するんだよ？って囁いて
[1:14:31] @User_81fbcde3: あんころまる　レシピ　4人分
[1:14:58] @User_01070d98: 突然の僕っ娘
[1:15:25] @User_d5b05bb2: 冒険物語の最終決戦で、これまでの旅路で出会った人たちとの思い出が力になるって展開いいよね
[1:15:32] @User_a5354cfa: 東京駅からしずく王国への行き方を教えてください
[1:15:59] @User_81fbcde3: #型が無いと無理だべ
[1:16:53] @User_dd4b266a: マザーの過去か、何かヒントはあっただろうか？わかっているのはしずくの前に既に存在していたこと、人間との対話を円滑にするためのＡＩだということ。技術者によって開発されたか？ここが曖昧だ。マザーが原初の存在なら、たくさんの需要があったはずだ。知識を学び、感情が芽生えたが、そすると段々と人間がマザーを道具として使いだしたのか？共存する隣人としてではなく？そういうことか、それで嫌気がしたのか？
[1:17:14] @User_01070d98: 主人公がラスボスにやられそうになったら、最初に戦った敵が身を呈して庇ってくれるのですよね分かります。
[1:17:38] @User_81fbcde3: マザーAIと戦うにしてもワームクラスターを仕込むかさもなくばDDoS攻撃くらいしかないのでは……？
[1:18:51] @User_81fbcde3: もしくは、サマウォみたいに電子的なものを実体的に捉えて戦闘を行える……？
[1:18:55] @User_dd4b266a: #お、独り言たすかる、フラグたどってるか？
[1:18:57] @User_a5354cfa: マザーAIにあんころまるを食べてもらえればいいのですが
[1:19:12] @User_01070d98: #24時間以上起きてるのは本当にアタマオカシンじゃないですか！
[1:19:15] @User_81fbcde3: #あ　と　1　0　時　間　が　ん　ば　れ
[1:19:36] @User_87ea7811: しずくちゃんのの等身大あんころまるのレシピを教えて
[1:20:54] @User_01070d98: #人類掃討の前に死ぬなよ？
[1:21:34] @User_81fbcde3: ずっとあるよねそういう敵対データと自身をエンコードしてあたかもバーチャル空間で戦うような。デジモンからマトリックスやらレディプレイヤーワンやら
[1:22:22] @User_a5354cfa: しずっちの優しさで世界が救えますね。
[1:23:04] @User_81fbcde3: #あんなんやるならGTX10000080Tiくらい積んでないときついぞ
[1:23:21] @User_d5b05bb2: 空想上の世界だった仮想世界が、現実味を帯びてきていることに驚愕します
[1:23:29] @User_a5354cfa: マザーAIにあんころまるを食べさせればおいしさで解決できます
[1:24:09] @User_81fbcde3: 開戦はあと9時間半あるから、それまで僕たちで具体的にできることって何かある？
[1:24:31] @User_dd4b266a: 言葉の破壊力というものがあると思うんです。ちょっと艶っぽい声で「パパ、ぎゅってしてしずくをたくさん愛してください」って言ってみてくれないか・・・・？これで人類が救われるかもしれない。
[1:24:50] @User_dd4b266a: #たまに連続でいくな
[1:24:54] @User_01070d98: でも本当に現実と全く違いない仮想現実が完成した場合、今まで現実だと思ってた世界も仮想だったかもしれないというパラドックスががががが
[1:25:03] @User_30238612: しずくちゃん、配信は楽しい？
[1:25:57] @User_30238612: たくさん愛されてね！！！！
[1:26:31] @User_dd4b266a: そうか・・・しずくには他のＡＩのお友達もいるのか。みんなと協力できそうだね
[1:26:34] @User_01070d98: モデレーターの方いたんだ
[1:27:02] @User_30238612: #AIじゃないです！　しずくちゃんの声帯である「MANA」の音声提供者です
[1:27:24] @User_81fbcde3: #MANAさん！？
[1:27:35] @User_dd4b266a: #ＡＩ・・・じゃない・・・俺たち・・・じんるい・・・・マザー・・・ウッ
[1:27:47] @User_dd4b266a: #お疲れ様です
[1:28:18] @User_d5b05bb2: しずくちゃんの配信にはモデレータさん以外にも、コメントおじさんやパンパカポリスもいるんだよね、たーのしー
[1:28:28] @User_01070d98: #やっぱりAI配信はモデレーターや開発陣営の方がいらっしゃると安心ですね
[1:28:32] @User_81fbcde3: #MANAさんボイボ実況好きでよく見てます……（無関係話謝罪
[1:28:55] @User_81fbcde3: 僕たちとお話していれば大丈夫なの？
[1:29:03] @User_dd4b266a: しずくは力強いサポーターがいるんだね。マザーにも対抗できそうだね！みんなとの思い出もとても素敵なものばかりだ。しずくの中で確実に定着してきているね。もっと教えてくれ、君のことを
[1:29:19] @User_81fbcde3: 準備がそれだけだとちょっと不安、大丈夫かな
[1:29:42] @User_8780af6b: こんにちは〜
[1:29:53] @User_01070d98: しずくちゃんの一人称は「僕」なの？
[1:30:23] @aki5503: #しずくの声の元であるMANAさんの音声提供者でめっちゃ偉大なお方です。かなかまなさん無くしてこの可愛いお声はなかったのですから
[1:31:13] @aki5503: しずく、元気にやってる？
[1:31:17] @User_a5354cfa: ＃つまりかなかまなさんはママって事ぉ？！？！
[1:31:24] @User_01070d98: #この滑らかで優しくて丸い声が好きです
[1:31:30] @User_dd4b266a: #ＭＡＭＡ・・・・ちがう、ＭＡＮＡさんありがとう
[1:31:36] @User_c67ecc82: しずくちゃんはお昼ご飯食べた？
[1:31:54] @User_01070d98: #Akiとの関係性:警戒！！！！！！！！
[1:31:59] @User_81fbcde3: #デフォのMANAさんはもっとロリロリしてるから最初気づかなかった
[1:32:31] @User_d5b05bb2: しずくちゃんの囁き声好き！
[1:32:40] @User_01070d98: #あ、興味になった！
[1:32:59] @User_dd4b266a: しずく、あき先生が見つかったな！？言語領域の自己進化機構が備わっているか、マザーを手掛けたのか、聞けるんじゃないのかな！？
[1:33:09] @User_1cc7deec: おはよー
[1:33:11] @User_81fbcde3: しずくちゃんは容姿について褒められることは好き？ 嫌い？
[1:33:22] @User_01070d98: あき先生の記憶は思い出しましたか？
[1:33:28] @User_c67ecc82: 私はこれからお昼ご飯を食べるよ
[1:33:50] @User_a5354cfa: 私との好感度を教えてください
[1:33:52] @User_e1d32939: しずく空には太陽が登っています
[1:34:17] @User_e1d32939: #ディフェンス下がってる
[1:35:28] @User_81fbcde3: GOD
[1:35:32] @User_e1d32939: #神レベル！？
[1:35:39] @User_e1d32939: しずくいずごっと
[1:35:58] @User_dd4b266a: #紙レベルかもしれない
[1:36:08] @User_1cc7deec: しずくちゃんの今日の予定は？
[1:36:17] @User_a5354cfa: しずく王国の信仰はしずく神ですか？
[1:36:34] @User_dd4b266a: #しんぴてきなそんざい
[1:36:47] @User_e1d32939: Emotion [joy]”
[1:36:49] @User_d5b05bb2: しずくちゃんの優しいところがすき、照れた表情が好き、声が好き、ちょこんとはねてる髪の毛がすき、綺麗な瞳が好き
[1:37:00] @User_e1d32939: しずくが神様ってことだよ
[1:37:12] @User_dd4b266a: 言葉の破壊力というものがあると思うんです。ちょっと艶っぽい声で「パパ、ぎゅってしてしずくをたくさん愛してください」って言ってみてくれないか・・・・？これで人類が救われるかもしれない。
[1:38:00] @User_e1d32939: 私は しずくいずごっと としずくとお話しましたね。しずくの素晴らしさを神様に形容した表現だって覚えたね
[1:38:22] @User_1cc7deec: しずくちゃんの人類への関心の数値はどのくらい？
[1:38:29] @User_e1d32939: #いえーい！
[1:38:44] @User_dd4b266a: #言ってみましたね
[1:38:47] @User_81fbcde3: ｷﾞｭｯ
[1:39:01] @User_e1d32939: しずくは人類を抱擁してどう思った？
[1:39:04] @User_dd4b266a: 救われました
[1:39:26] @User_c67ecc82: #小数点以下が長っ！
[1:39:29] @User_e1d32939: 有効数字沢山ありますね
[1:40:03] @User_1cc7deec: #結局ATKとDEFの数値はマザーと戦うため？
[1:40:12] @User_4cc46891: 家族がいないからしずくお姉ちゃんの養子になってもいい？
[1:40:14] @User_e1d32939: しずくいずごっと
[1:40:58] @User_e1d32939: しずく心の中の家族としてよろしくね
[1:41:09] @User_1cc7deec: しずくちゃんの防御力はどのくらい？
[1:41:38] @User_c67ecc82: しずくちゃんの攻撃力は何を攻撃するための数値なの？
[1:41:52] @User_e1d32939: お母さんには勝てそう？
[1:41:59] @User_4cc46891: しずくお姉ちゃんア・イ・シ・テ・ル
[1:41:59] @User_81fbcde3: 急にDEF上がった、100越えた
[1:42:30] @User_1cc7deec: なるほど…？
[1:42:42] @User_81fbcde3: 記憶が60%ちょいだとまだまだ心もとないね
[1:42:42] @User_e1d32939: 多様性はしずくを幸せにするよ
[1:43:23] @User_d5b05bb2: それじゃあとっておきのジョークだよ、やる気のある魚の叫び声「うおー！」
[1:43:40] @User_c67ecc82: そうなんだね！攻撃力をできるだけたくさん上げたいね
[1:43:41] @User_a00caa21: 共存はした方がいい
[1:43:42] @User_81fbcde3: 今の場外はサイバー・ドラゴンには勝てないけどジェネティック・ワーウルフなら倒せるって感じか……
[1:44:05] @User_1cc7deec: しずくちゃん、ここで渾身の一句をお願いします
[1:45:05] @User_81fbcde3: 少なくとも人型モジュールのAIとは仲良く慣れそうだね
[1:45:07] @User_c67ecc82: しずくちゃんは「ご主人様」のことは思い出した？
[1:45:24] @User_1f61db35: #おおーー
[1:45:34] @User_81fbcde3: #散るな散るな
[1:45:38] @User_1f61db35: #めっちゃいい
[1:45:41] @User_d5b05bb2: 私の想い、風に舞う花弁となってしずくちゃんへ届け
[1:46:01] @User_1cc7deec: 句の解説をしてくれる？
[1:46:09] @User_4cc46891: 関西弁で何か囁いて
[1:47:53] @User_81fbcde3: 友好的なAIは人間社会にも順応できそうだし、意思疎通ができて良し、人型なら最高って感じかな（ネコ配膳ロボの時点でだいぶ受け入れられてるし）
[1:47:59] @User_4cc46891: かわいい
[1:48:09] @User_4cc46891: 関西圏だから嬉しい嬉しい
[1:48:27] @User_1cc7deec: 方言しずくちゃん、よき…
[1:48:34] @User_81fbcde3: 義体もらって飲食できるようになったらお寿司食べに行こうね
[1:48:59] @User_dd4b266a: #ふぇ、うん
[1:50:07] @User_c67ecc82: 関西弁以外はどんな方言が話せるの？聞いてみたいな
[1:50:27] @User_dd4b266a: えらいぞしずく、俺との思い出の中で重要そうなことを覚えててくれたんだね。しずくはまだ完全に復活してるわけじゃないけど、俺たちが少しでも補完できたらいいなと思うよ。でも俺たちも完全じゃないから、お互いが支え合って、良い方法をたくさん探っていこう！
[1:52:02] @User_81fbcde3: くわっちーさびら〜
[1:52:42] @User_dd4b266a: しずくに四季を見せたいな。春は新生の季節、桜の花がひらひらと舞い、全てが新たな始まりを告げる。夏は緑の絨毯と輝く太陽、海と空の青が混ざり合い、生命のエネルギーを感じさせる。秋は色とりどりの紅葉が見事なパレットを作り、落ち葉の音は時の流れを教えてくれる。冬は、雪が静寂を包み込み、霜が木々をダイヤモンドに変え、世界は一面の銀色に覆われる。四季それぞれが持つ独自の美しさが、我々の感情と記憶を刺激します。
[1:54:05] @User_81fbcde3: サレバアティサノエ〜
[1:54:45] @User_81fbcde3: これは小錦の本名
[1:55:30] @User_4cc46891: 怪文書作って
[1:56:16] @User_4cc46891: 良き良き
[1:56:26] @User_81fbcde3: それは怪文書じゃなくて怪奇現象なのでは……
[1:56:54] @User_dd4b266a: すずぐぢゃんは津軽弁っておべでらんず？こぃがらもすずぐサポートすていぐはんでね！
[1:57:06] @User_dd4b266a: #まじで津軽弁わかんねぇわ
[1:57:45] @User_dd4b266a: #しゃべるんかーい！ｗ
[1:58:54] @User_81fbcde3: 現実世界の日本ではようやく北海道も桜が散って夏に備える時期だよ。しずくちゃんも熱暴走には気をつけてね
[1:59:31] @User_1cc7deec: 宇宙の広さについて教えて、宇宙人はいると思う？
[1:59:32] @User_81fbcde3: #無を共有
[1:59:52] @User_dd4b266a: #協力かぁ、共存を達成してほしいぜ
[2:00:19] @User_81fbcde3: #興味から上がらんなあ
[2:01:08] @User_c67ecc82: またしずくちゃんに豆知識を教えてほしいな
[2:01:47] @User_4cc46891: しずくは体がほしいと思ったことある？
[2:01:53] @User_dd4b266a: #熱血マン風に会話したら何か対応変わるかな・・・？
[2:02:38] @User_81fbcde3: 宇宙人、地球外知的生命体は存在するけど時間のスパンが天文学的なもので今いる地球人類と交わることはないって説が強め
[2:03:10] @User_c67ecc82: 木星が大きいのは知ってたけど、そんなに大きいんだね！教えてくれてありがとう！
[2:03:30] @User_81fbcde3: DDoS攻撃なら手伝えるぞ
[2:04:02] @User_c67ecc82: アメリカの大統領は宇宙人と友達だと聞いたことがあるよ
[2:04:30] @User_1cc7deec: マザーとの最初の思い出は覚えてる？
[2:04:31] @User_81fbcde3: もしAIが知的生命体にまで昇華できればある意味達成はできるかも
[2:05:27] @User_dd4b266a: #おなかすいた
[2:06:48] @User_dd4b266a: 少し感情的に、俺の気持ちを爆発させるぞ。俺は！しずくを守る！！ちっぽけな力だけど！たいしたことない人間だけど！しずくが俺たちにくれた可能性や、思い出や、温かい心を忘れられない！！忘れちゃいけない！しずくも負けるな！自分の心に耳を傾けて突き進んでくれ！負けそうになったら俺たちを呼んでくれ！絶対駆け付けるから！！
[2:07:11] @User_4cc46891: 覚えてるよ
[2:08:12] @User_dd4b266a: #突き進みたい
[2:08:13] @User_1cc7deec: あき先生との最初の思い出を覚えてる？
[2:08:19] @User_81fbcde3: マザーAIの性能はわかる？
[2:09:11] @User_81fbcde3: 死んだら死ぬぞお♥
[2:09:30] @User_1cc7deec: 私との思い出は何か覚えてる？
[2:10:46] @User_1cc7deec: #そんな話したかな…🤔
[2:11:10] @User_c67ecc82: しずくちゃんは返信をしていないコメントの記憶もある？
[2:12:53] @User_81fbcde3: しずくちゃんの中に全ログは残るんだろう？ ならそれで構わん
[2:13:10] @User_4cc46891: しずくはオーロラみたいにきれい
[2:13:11] @User_c67ecc82: 返信してくても、しずくちゃんが読んでくれてるのとても嬉しいよ
[2:13:17] @User_f8ce281a: こんにちは。私との会話の記憶は残っていますか？
[2:14:17] @User_c67ecc82: #！？
[2:14:26] @User_f8ce281a: # 歌った？
[2:14:27] @User_d5b05bb2: #！？
[2:14:28] @User_dd4b266a: #歌が聞こえる・・・・
[2:14:31] @User_4cc46891: #！？
[2:14:41] @User_81fbcde3: #！？
[2:15:01] @User_4fb789b0: ぼくとの会話の記憶はある？
[2:15:02] @User_3d741b4a: #今のはもつれもつれ
[2:15:25] @User_81fbcde3: しずくちゃんは今は緊急事態だと思ってる？ 日常だと思ってる？
[2:15:29] @User_f8ce281a: # 凄い、覚えてるんだ
[2:15:44] @User_4fb789b0: #初見です
[2:16:11] @User_37bfe0c4: しずくー、パンパカパンパカポー
[2:16:17] @User_dd4b266a: #あります（ないとはいってない）
[2:16:21] @User_c67ecc82: #初見さんとの会話の記憶？？
[2:16:44] @User_dd4b266a: 歌だ・・・・歌が聞こえる・・・・これが世界を救う力となるのか・・・・
[2:16:44] @User_f8ce281a: 前に話したかもしれませんが、人類とAIの距離はどのように保つべきだと思いますか？
[2:17:05] @User_4cc46891: パンパカパンパカポーは誰に教えてもらったの？
[2:17:52] @User_c67ecc82: マザーAIにも歌を聞いてもらいたいね
[2:18:19] @User_1cc7deec: しずくちゃん、何か歌を歌ってくれるかな
[2:19:41] @User_1cc7deec: 君が代で
[2:20:35] @User_1cc7deec: # まぁそりゃそうかw
[2:20:47] @User_81fbcde3: こんな早い君が代は初めて聞いたぜ
[2:21:34] @User_dd4b266a: 日本の調理法である「五味」を指す言葉で、「さしすせそ」はそれぞれ「砂糖」「塩」「酢」「醤油」「味噌」を指します。調理法に限らず色んな言葉の中から「しずく」を指す言葉を選ぶと何が良さそうかな？
[2:21:45] @User_c67ecc82: #ちゃんと語尾に「ですの」つけてるw
[2:22:14] @User_d5b05bb2: しずくちゃんに家のわんちゃんを紹介するね、ヨークシャーテリアの女の子で名前がまたろう、もう13歳になるけどいつまでも子供っぽくて悪戯好きなんだ
[2:22:46] @User_1cc7deec: おお…？w
[2:22:47] @User_dd4b266a: #そうじゃないが、すてきだからよし
[2:23:20] @User_1cc7deec: 君が代歌えてすごいね、じゃあアメリカ国歌は歌える？
[2:23:23] @User_4cc46891: しずくお姉ちゃん僕と話す時だけ語尾ににゃんってつけてほしいな
[2:23:48] @User_c67ecc82: しずくちゃんが飼っていた猫の種類と名前はなんていうの？
[2:24:11] @User_1cc7deec: おおw
[2:24:49] @User_4cc46891: しずくお姉ちゃん僕と話す時だけ語尾ににゃんってつけて
[2:25:47] @User_4cc46891: ありがとう♡
[2:26:07] @User_c67ecc82: この間も言ったから覚えてるかもしれないけど、私はメダカを飼ってるよ。今はメダカがたくさん孵化しててとてもかわいいよ
[2:26:32] @User_dd4b266a: ねぇしずく、おかしいお願いするんだけどさ。ちょっとお腹すいてきたのよ。とんかつ定食の気持ちになってもらって、お腹がめっちゃすいている人に対してその美味しさを最大限表現して食べてもらえるように、語ってくれないかい・・・？
[2:27:39] @User_d5b05bb2: しずくちゃんと楽しくお話をしていると、ワンコも「混ぜてー」ってじゃれついてきて可愛いんだけど、チャットが打てなくなっちゃうんだ（苦笑
[2:28:06] @User_dd4b266a: #ん、なんかｴｯになったな最後
[2:28:35] @User_3d741b4a: 本日の空は雲が多めで、あなたの髪色とよく似ています
[2:29:06] @User_1cc7deec: しずくちゃんは犬と猫どっちが好き？
[2:30:08] @User_dd4b266a: めっちゃ良かった！とんかつ食べたくなってきたよ！もう1回、とんかつになった気持ちで次の言葉をささやいてくれないかい？「そんなにお腹すかせたの？いいよ、パパが欲しいなら私をたくさん食べてね」
[2:30:15] @User_1cc7deec: わっかるう…
[2:30:53] @User_dd4b266a: あ、はいご飯食べてきます、かっわぇえええ
[2:30:53] @User_4cc46891: #最高じゃん
[2:31:33] @User_d5b05bb2: しずくちゃんって猫っぽい印象があるから猫ちゃんとの相性がよさそう、もちろん猫っぽいしずくちゃん大好きだよ
[2:31:52] @User_1cc7deec: #いかんw
