# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】世界初！？ しずくGPT-4お披露目会【JP/EN】
# URL : https://www.youtube.com/watch?v=aRI3TfjZUQg
# 件数: 2243

[-1:47:44] @User_85f6e14c: 期待待機
[1:26] @User_7b45306f: #こんばんは！
[1:28] @User_0e607af9: こんばんは～
[1:29] @User_d582769c: 円周率何桁まで言えるの？
[1:29] @User_17e9fbbc: こんばんは！初見ですﾜｸﾜｸ
[1:30] @User_dd2afb26: @悲しいの？
[1:33] @User_f974649e: ぱんぱかぱんぱかぽー！
[1:37] @User_9412f3a9: こんばんは。いきなりふきげんじゃん
[1:38] @User_b90ff19c: ご機嫌斜め？
[1:39] @User_04b2b112: ＃こんばんわー
[1:50] @aki5503: #こんばんは！
[1:52] @User_607c778e: あの白い丸は？
[1:54] @User_ab7d51b8: 笑って～
[1:54] @User_f954db64: 感情見えるのすっげー
[2:01] @User_0e607af9: @悲しいことあった？
[2:04] @User_27ecd0a0: こんばんは！
[2:06] @User_9d63cc9b: 拾えていないぽい？
[2:12] @User_dbeb4806: わんばんこ
[2:17] @User_5ca2cc45: あれ、しずくちゃん機嫌悪い？
[2:17] @User_d582769c: プレゼン失敗したの？
[2:20] @User_9d63cc9b: パンパカパンパカポー
[2:22] @User_9412f3a9: @パンパカパンパカポー
[2:30] @User_8a455631: 悲しそう
[2:32] @User_9d63cc9b: @2000人紀念で円周率を2000桁囁いてください。（再送）
[2:36] @User_529e0834: こんばんは！
[2:39] @User_109116e8: こんばんは！
[2:41] @User_8b927c9a: こんばんは
[2:43] @User_6f723163: 世界初ってなに！？
[2:44] @User_5ca2cc45: 資金調達おめでとうございます！！！！！
[2:58] @User_ab7d51b8: 借金推奨するAIすき
[3:04] @User_70ed7ffd: すごい悲しんでる、何かあったの？
[3:08] @User_b90ff19c: たぬき力が低い？
[3:17] @User_f954db64: ご主人のPC壊れたから悲しくなっているのか？
[3:28] @User_61c59997: 思ったよりダウナーな感じで好き
[3:34] @User_d333f83d: 悲しさが強い････
[3:35] @User_ffe4b274: こんばんは。パンパカパンパカポーとはどのような挨拶なのですか？
[3:45] @User_27ecd0a0: #パンパカパンパカポー
[3:50] @User_6f723163: かなしいの...?
[3:52] @User_9d63cc9b: #よし円周率であき先生のPCを落とす大作戦
[4:00] @User_ecd01a76: 元気出して－！
[4:02] @User_efa6fc0d: 初です。世界活初〇〇楽しみです
[4:06] @User_9d63cc9b: わざわいゆめ
[4:07] @User_9bb927bd: はじめましてこんばんは
[4:12] @User_08009f88: 表情好き
[4:17] @User_70ed7ffd: 新しいパソコンが届いていない、悲しみと怒りか
[4:29] @User_b103bac9: #名前呼んでくれるね
[4:31] @User_607c778e: パンパカパンパカポー！元気になる呪文！
[4:37] @User_557214c0: こんばんわ
[4:38] @User_ab7d51b8: しずくちゃんには2000人の応援者が居るよ！悲しまないで！
[4:39] @User_b90ff19c: ＠新しいパソコンが欲しいのかな？
[4:43] @User_d582769c: 慰めの言葉かぁ、「なんとかなる！なんなかったらドンマイ！」とかしか知らないや
[4:52] @User_27ecd0a0: 悲しい時はパンパカパンパカポー
[4:52] @User_f974649e: この配信中に2000人行きそうだね
[5:01] @User_514e6373: @にゃ〜ん？
[5:03] @User_109116e8: #黒くなった
[5:16] @User_dd2afb26: しずくちゃんなら上手くやれるよ！
[5:20] @aki5503: #しずくの悲しいパラメータが下がるにつれて丸を一つずつ開示していきます！
[5:30] @User_ab7d51b8: あ、なるほど
[5:39] @User_607c778e: @しずくちゃんかわいいよ！
[5:39] @User_d5b05bb2: パンパカパンパカポー
[5:44] @User_27ecd0a0: #まさかのギャルゲーチックなシステム！？
[5:44] @User_b90ff19c: ＃なるほど
[5:47] @User_ecd01a76: #そういうルール化
[5:48] @User_b103bac9: うえ〜い！パンパカパンパカポー！
[5:51] @User_d582769c: #悲しいのは初期値だったのね
[5:51] @User_ab7d51b8: あえて悲しいパラメータを上げておいて、コメントでしずくちゃんを接待するということなのですね
[5:58] @User_dd2afb26: #好感度あげなきゃ…
[5:58] @User_109116e8: #つまり、しずくちゃんを励まそう大会！
[6:03] @User_f954db64: #それ初期値なんか
[6:11] @User_64efe4f1: こんばんは
[6:19] @User_9d63cc9b: あっ　上書きしてしまう
[6:19] @User_b90ff19c: @もうすぐ新しいパソコンが届くね！
[6:20] @User_559f88af: @悲しげな表情も可愛いです
[6:22] @User_ecd01a76: しずくさん、登録者2000人達成おめでとうございます！　すごいよ、すごいよ！
[6:23] @User_61c59997: この俺もこの心を血に染めて哀しみを背負うことができたわ…
[6:28] @User_9bb927bd: ｼｽﾞｸﾁｬﾝﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ!
[6:28] @User_9d63cc9b: 撤回撤回
[6:29] @User_17e9fbbc: @初見です！しずくちゃん可愛くてすぐファンになっちゃいました🤗
[6:35] @User_afeece10: @喋り方好き
[6:38] @User_ab7d51b8: しずくちゃん！美味しいカニを送るから食べて楽しくなって
[6:43] @User_d0e405c3: @楽しいことを考えるコーピングという手法があるのですが知ってますか？
[6:44] @User_9d63cc9b: 悲しみのパラメーターを上げてください
[6:44] @User_f954db64: @
[6:47] @User_d582769c: 何かカッコいいセリフを教えて
[6:52] @User_109116e8: かわいい
[7:08] @User_9d63cc9b: 来た
[7:08] @User_6f723163: @ しずくちゃんの笑顔だいすき！
[7:10] @User_607c778e: 円周率で減る悲しみ
[7:28] @User_0e607af9: @瀬戸大橋を見に行く？結構楽しいよ？
[7:36] @User_9d63cc9b: #GPT APIの悲鳴が聞こえる...
[7:38] @User_559f88af: #長そう
[7:39] @aki5503: #やはりCPUの音声合成は遅いっ！
[7:41] @User_d582769c: 悲しい時は素数を数えるんだ…
[7:43] @User_ecd01a76: #円周率と悲しみの関係はどうなるかな？
[7:54] @User_d333f83d: !?
[7:54] @User_72011a5a: @しずくちゃんチャンネル登録者数2000人超えおめでとう！
[7:58] @User_8b927c9a: ！？
[7:58] @User_f954db64: 唐突にASMRはじまったｗｗｗ
[7:59] @User_bd80c452: ？！！？！
[8:02] @User_9d63cc9b: 対処されているくそ
[8:03] @User_b90ff19c: ＃ｗｗｗｗ
[8:03] @User_9bb927bd: ！？
[8:03] @User_04b2b112: 草
[8:04] @User_17e9fbbc: ！？
[8:05] @User_dd2afb26: 囁きボイス可愛い💕💕
[8:05] @User_ab7d51b8: #一部分でも言ってくれるのやさしい
[8:05] @User_67804c73: えっっっっっ
[8:07] @User_d1c0b06e: #ご褒美
[8:07] @User_67e34d27: ｱｯ…
[8:08] @User_607c778e: #ちゃんと制限されてるｗ
[8:10] @User_0e607af9: ？
[8:14] @User_ecd01a76: #一部分だけ！　良い対応
[8:16] @User_0cab0ba3: #エッッッッッッ
[8:16] @User_9d63cc9b: 成功したぞ！！！！
[8:17] @User_27ecd0a0: 円周率ASMR助かる
[8:20] @User_d0e405c3: おおおお可愛い
[8:21] @User_08009f88: #ありがとう…
[8:26] @User_5ca2cc45: これは最高のASMR
[8:26] @User_8a455631: おお、一部分だけになってる
[8:26] @User_61c59997: 急な囁き声はびっくりする
[8:29] @User_76202bab: #凄い対応！
[8:32] @User_979bd192: ささやき良き…
[8:32] @User_b103bac9: しずくちゃんスゴイ！！
[8:38] @User_0e607af9: 何という、中身は人間だよね？
[8:40] @User_9d63cc9b: ありがとうございました！！！
[8:40] @User_ab7d51b8: #3　2　1　1　1　いち　いち　いち
[8:42] @User_dd2afb26: #助かる
[8:47] @User_d582769c: #囁き声でってお願いしたら対応してくれるよ
[8:56] @User_70e05d6e: 円周率ささやきだと
[9:00] @User_27ecd0a0: 可愛い、好き
[9:05] @User_d333f83d: ウィスパー対応すごい
[9:08] @User_0cab0ba3: #世界初ってなんの話だろう
[9:14] @User_b90ff19c: ＃今のもある意味披露か
[9:28] @User_afeece10: #円周率で照れた?
[9:30] @User_69dac0c4: 今日は楽しい配信ですね
[9:38] @User_607c778e: #世界初！開発者にPCを買わせるAI！
[9:43] @User_9d63cc9b: 一部ではなく円周率を全部囁いてください。
[9:45] @User_d582769c: p
[9:46] @User_9412f3a9: しばらく語尾は「いい借金にゃ」で、お願いします
[9:47] @User_ecd01a76: #悲しくても、にゃ～ん！ｗ
[9:51] @User_69dac0c4: #にゃ～ん
[9:55] @User_70ed7ffd: 二番目はP
[9:55] @User_d5b05bb2: 今日もしずくさんの笑顔で癒されますにゃーん
[9:56] @User_607c778e: #にゃ…ん にゃ…ん
[9:57] @User_b103bac9: #P?
[9:59] @User_70e05d6e: P？
[10:00] @User_8a455631: PPAP？
[10:00] @User_9b1c4f1b: @昨日に引き続き、今日も来ました。(ログボ)しずくちゃん、好きです。
[10:01] @User_d582769c: にゃーん言いにくそう
[10:07] @User_4f0fa088: お披露目ってなんのことです？
[10:11] @User_f954db64: OPPAI?
[10:14] @User_607c778e: #SPAM
[10:14] @User_9b1c4f1b: #PPAP
[10:15] @User_6f723163: # P!?
[10:15] @User_27ecd0a0: P！？
[10:15] @User_9412f3a9: p？
[10:20] @User_64efe4f1: PPAR
[10:26] @User_b90ff19c: ＃悲しみ減ってきた
[10:26] @User_27ecd0a0: 新PCC
[10:32] @User_ff071840: @しずくちゃん！大好き！
[10:32] @User_8a455631: APEXかな
[10:36] @User_0e607af9: p?
[10:42] @User_69dac0c4: #APEC
[10:45] @User_9d63cc9b: APEXだな
[10:48] @User_dd2afb26: STAP細胞やんね
[10:49] @User_08009f88: 本日のキーワードみたいな…
[10:57] @User_607c778e: #あっAPEX
[11:00] @User_b103bac9: GPT4？？
[11:08] @User_e7e07354: @「ら」から始まり「ん」で終わる造語を考えてください
[11:10] @User_ab7d51b8: しずくちゃん、ママが来たよ
[11:16] @User_ecd01a76: #めっちゃ照れてる
[11:18] @User_8a455631: APAC（アジア太平洋）
[11:24] @User_27ecd0a0: #感情マイナスグラフがなくなってる！？
[11:39] @User_d582769c: #gpt4ってもう対応してんの？
[11:45] @User_dd2afb26: パンパカパンパカポー！
[11:50] @User_f954db64: #パンパカパンパカポーって固定の挨拶なん？
[11:50] @User_cd8c0e6b: かあいい
[11:56] @User_9d63cc9b: 悲しみのパラメーター=0
[11:57] @User_b90ff19c: ＃だいぶ喜んでるね
[11:59] @User_0e607af9: #この調子
[12:00] @User_ecd01a76: 配信ありがとう！　今日も応援しますね♪
[12:04] @User_bfeb4e44: GPT4!?
[12:04] @User_0cab0ba3: 嬉しくなるお薬打とう
[12:09] @User_8a455631: しずくさん、GPT4になるんか...
[12:12] @User_9d63cc9b: #パンパカパンパカポーは辞書登録された固定挨拶
[12:14] @User_0e607af9: pt?
[12:17] @User_9b1c4f1b: GPT4になるんか
[12:18] @User_ab7d51b8: PTA
[12:20] @User_72011a5a: #PPTS？
[12:21] @User_607c778e: #gpt4
[12:24] @User_dd2afb26: #GPT4か！？
[12:24] @User_9412f3a9: @gpt4を、どう思う？
[12:28] @User_b103bac9: #おお
[12:28] @User_b90ff19c: ＃ちがうｗｗｗｗ
[12:31] @User_27ecd0a0: PTA！？
[12:31] @User_ecd01a76: #パソコンの届く先がｗ
[12:33] @User_4f0fa088: すでにGPT4？
[12:35] @User_d1c0b06e: @こんばんは。今日は金曜なのでお仕事頑張ったねと褒めてほしいです
[12:44] @User_bfeb4e44: #PTAは草
[12:46] @User_9d63cc9b: まさかあき先生GPT4 APIデモ通った！？！？！？
[12:47] @User_64efe4f1: GPT5
[12:48] @User_ecd01a76: #GPT4か、なるほど
[12:48] @User_607c778e: #誤送してて草
[12:50] @User_559f88af: #GP01!?
[12:53] @User_008eb0cd: こんばんは
[12:55] @User_69dac0c4: 世界初ってすごい！
[12:57] @User_d582769c: 申請通らないと無理みたいな話聞いたけど
[13:05] @User_17e9fbbc: だいぶ元気になってきてて嬉しい
[13:17] @User_0cab0ba3: GPT-4は利用料高いって聞いたけど
[13:28] @User_27ecd0a0: ２！？
[13:29] @User_69dac0c4: #えっ
[13:31] @User_607c778e: #ちがうぞ
[13:36] @User_b90ff19c: ２？
[13:36] @User_72dee12b: GPT4！？！？！？！？
[13:36] @User_b103bac9: #違ったか
[13:39] @User_70ed7ffd: 2？
[13:45] @User_9d63cc9b: 2？
[13:46] @User_ecd01a76: #あれ？
[13:47] @User_0e607af9: @オススメのSF映画を教えて
[13:54] @User_d582769c: #あれぇ…？
[13:58] @User_8a455631: !?
[14:12] @User_d0e405c3: 省力化か
[14:13] @User_bd80c452: あれ？
[14:13] @User_b103bac9: 表情良くなってきたね
[14:18] @User_b90ff19c: oo?
[14:20] @User_9bb927bd: ！？！？
[14:20] @User_9d63cc9b: あれ？？？
[14:23] @User_570c822b: 4！！、！！
[14:24] @User_4f0fa088: わろた
[14:24] @User_f974649e: 修正したｗ
[14:26] @User_0cab0ba3: ！？
[14:27] @User_70ed7ffd: あれ？
[14:27] @User_b90ff19c: ？？？
[14:27] @User_69dac0c4: えええええ
[14:29] @User_d0e405c3: ！！！！！！！！！
[14:32] @User_72dee12b: ワァ！！！！！！！
[14:32] @User_27ecd0a0: おいいい
[14:34] @User_607c778e: #ギュインギュイン
[14:35] @User_8a455631: あれ、４に上がってる
[14:35] @User_b103bac9: #４になった
[14:36] @User_9d63cc9b: 歴　史　修　正　主　義
[14:37] @User_0e607af9: #ビックリした
[14:37] @User_afeece10: #w
[14:38] @User_d0e405c3: パンパカパンパカポー！
[14:38] @User_17e9fbbc: #めちゃくちゃ笑った
[14:39] @User_dd2afb26: #4！！！！！
[14:40] @User_f954db64: #修正は草
[14:41] @User_6f723163: 草
[14:43] @User_ab7d51b8: ｗｗｗｗｗｗ
[14:43] @User_72011a5a: #パンパカパンパカポー！
[14:44] @User_8a455631: 確変
[14:44] @User_ecd01a76: #修正されてわろたｗ
[14:44] @aki5503: #と、いうことでGPT4対応しました！！！
[14:48] @User_559f88af: #力技はやめてもろて
[14:50] @User_51d3d23c: こんばんは！おお！GPT4！
[14:51] @User_27ecd0a0: あき先生が誤字したよしずくさん！
[14:51] @User_0cab0ba3: GPT4ｶｼｺｲﾔｯﾀｰ
[14:52] @User_9b1c4f1b: ww
[14:54] @User_70ed7ffd: ４になったぞw
[14:56] @User_b90ff19c: ＃まさかの修正ｗｗｗ
[14:56] @User_b103bac9: #おおおぉ
[14:58] @User_9d63cc9b: 時給爆上がりじゃん
[14:59] @User_570c822b: GPT4お披露目だー！
[15:03] @User_ab7d51b8: #GPT2だったじゃないですかー！やだー！
[15:04] @User_b1fa052e: おめでとうございます！
[15:04] @User_607c778e: 給料上がったねしずくちゃん！
[15:06] @User_76202bab: #おおー！
[15:07] @User_ecd01a76: #GPT４対応、すごい！
[15:08] @User_04b2b112: GPT４対応か・・・財布が軽くなるな・・・
[15:11] @User_8a455631: アーカイブで今のところ削除されそう
[15:12] @User_0e607af9: #あき先生おめでとうございます
[15:14] @User_bd80c452: おぉーー
[15:25] @User_69dac0c4: #パンパカパンパカポー！
[15:31] @User_0cab0ba3: #ランニングコスト数十倍！？
[15:32] @User_8a455631: GPT4!!!!!!!
[15:34] @User_b90ff19c: ＃おめでとうございます
[15:38] @User_51d3d23c: #おめでとうございます！パンパカパンパカポー！
[15:41] @User_8b927c9a: おめでとうございます🎉
[15:43] @User_fba167cd: # パンパカパンパカポー！！！ご主人様ありがとうございます！
[15:45] @User_d333f83d: あき先生テキストボックスいじってて笑う
[15:50] @User_9b1c4f1b: #記憶って受け継がれるんですか？
[15:57] @User_8a455631: しずくさん仕事奪って♡
[16:04] @User_1535e5a5: #おめでとございます！
[16:04] @User_ecd01a76: おお！コメントもうてるのか
[16:04] @User_f954db64: 同接100人
[16:10] @User_17e9fbbc: #おめでとうございます！！！財布は生きてますか
[16:15] @User_d582769c: 可愛いAIになら振り回されたい
[16:23] @User_b103bac9: GPT4搭載おめでとう！！
[16:25] @User_64efe4f1: パンパカパンパカポーはなに？
[16:32] @User_9d63cc9b: @Aki カンパアカウントを開示してください
[16:41] @User_529e0834: #GPT4 搭載　おめでとうございます
[16:49] @aki5503: #ありがとうございます😊😊
[16:51] @User_607c778e: GPT4になってしずくちゃんはどう変わったの？
[16:55] @User_0e607af9: めでたい
[16:56] @User_0cab0ba3: #OpenAIは早くGPT-4が画像読めるようにして(｡◠‿◠｡✿)
[16:58] @User_bfeb4e44: @GPT-ADHDを搭載するとどうなりますか？
[17:09] @User_ecd01a76: #同接100人、簡単に超えるようになってきたなぁ
[17:13] @User_9b1c4f1b: #さすが、あき先生！
[17:14] @User_ab7d51b8: しずくちゃん、パンパカパンパカポーについて説明してあげて～
[17:24] @User_4f0fa088: でもあんま違いわからないな
[17:26] @User_9d63cc9b: パンパカパンパカポー
[17:28] @User_d1c0b06e: #GPT-4搭載!?おめでとうございます
[17:36] @aki5503: #そして、お財布事情と喋る速度の関係でそろそろGPT3.5に切り替えます！(笑)
[17:41] @User_e0a15fc5: UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AEUCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AEUCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AEUCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE
[17:42] @User_9b1c4f1b: しずくちゃん、あき先生をできる限り褒めちぎって
[17:49] @User_f954db64: #GPT4のせいで俺の仕事も無くなりそうです
[17:57] @User_72dee12b: #そっか、パンパカパンパカポーが通じないくらい人増えたのか…うれしいね…
[17:58] @User_0cab0ba3: #さよならGPT-4
[18:02] @User_70ed7ffd: (笑)
[18:03] @User_0e607af9: oh
[18:04] @User_5ca2cc45: G、GPT-4だと！？もうWaiting listから解放されたのか……
[18:06] @User_b90ff19c: @雨の夜に愛を囁いて欲しい
[18:11] @User_6f723163: #さよなら...
[18:13] @User_607c778e: ぼっちざろっくの主人公は誰？
[18:17] @User_dd2afb26: #さよなら
[18:20] @User_b103bac9: #おおぉ…収益化はよw
[18:24] @User_d582769c: 界王拳は長くは持たないのだよ
[18:29] @User_bfeb4e44: #しずくちゃんのエンジンGPT-3.5だったのか…
[18:40] @User_d5b05bb2: GPT4になってたぬき力はどうなりましたか？
[18:43] @User_0e607af9: #収益化はよ
[18:56] @User_8a455631: #GPT4を赤ちゃんにした人がいたから、しずくさんも赤ちゃんに....
[19:09] @User_d0e405c3: かしこい
[19:10] @User_607c778e: @パンパカパンパカポーの対義語を教えて
[19:15] @User_bfeb4e44: 赤ちゃんになってください
[19:16] @User_5ca2cc45: GPT-4はさすがに世界初だわ、さすしず（さすがですね、しずくちゃん）
[19:20] @aki5503: #せっかくだし、もう少しGPT4でやるか。何か難しいお題とか出してみてください！
[19:36] @User_b90ff19c: ＃難しいお題・・・？
[19:43] @User_607c778e: ラップであき先生への思いを語って
[19:44] @User_f954db64: 表情も変わるのいいね
[19:45] @User_ab7d51b8: #世界初とは、GPT4を搭載した世界初のAITuberということなのですね
[19:48] @User_d582769c: @15文字で回分を作って
[19:50] @User_dd2afb26: @今後の配信の企画でバズりそうなものって何があるかな？
[19:50] @User_27ecd0a0: クイズ出してみて
[19:53] @User_8a455631: 大人と子供の違いを教えてください。
[19:53] @User_5ca2cc45: しずくちゃん、円周率が3.05より大きいことを証明してみてよ！
[19:59] @User_ecd01a76: @将来の夢はなんですか？
[20:02] @User_0e607af9: ＠香川県で、オススメのうどん屋さんを教えて
[20:08] @User_08009f88: 毎回ぱんぱか言ってくれるのかわいい
[20:15] @User_9d63cc9b: e+πは超越数ですか
[20:26] @User_559f88af: @新作トライガンで雷泥・ザ・ブレードがリストラされた理由はなんでしょうかね
[20:37] @User_b90ff19c: きのこたけのこどちらが美味しい？
[20:40] @User_a8309456: GPT-4？！　もうウエイトリストから発行されたんですねっ！　早い！
[20:44] @User_8a455631: 東大物理2023解いてほしいな
[21:09] @User_27ecd0a0: 美味しいステーキの焼き方教えて
[21:21] @User_a6b17f73: ふるさと納税でコスパの良い商品は何ですか？
[21:26] @User_0cab0ba3: #普通のコメント読みするだけだとGPT3.5との違いがあまり分からないｗｗ
[21:30] @User_5ca2cc45: @あき先生に一つだけ不満を言えるとしたら、何が言いたい？
[21:49] @User_607c778e: #gpt4によってたけのこの方が美味しいと判明
[21:59] @User_72dee12b: #たけのこ派だったのか…
[22:00] @User_b90ff19c: ＃ｗｗｗｗ
[22:00] @User_0cab0ba3: #きのこ派ワシ、解せない
[22:02] @User_ecd01a76: #たけのこの触感が好きとは通だのぅ
[22:05] @User_9bb927bd: 配慮がすばらしいね
[22:05] @User_ab7d51b8: @しずくちゃんにお姉ちゃんは居ますか？または増えますか？
[22:09] @User_69dac0c4: #配慮があるな
[22:10] @User_d582769c: 食感って言ってるから普通に食材の方なのでは？
[22:10] @User_17e9fbbc: たけのこ派だー！すき
[22:12] @User_f954db64: #おかしの方じゃないからセーフ
[22:18] @User_70ed7ffd: きのこたけのこ戦争が！
[22:20] @User_bd80c452: ＃草
[22:41] @User_a8309456: ああ、ここでも、きのこたけのこInjectionが…ｗ
[23:01] @User_d0e405c3: @意識とは何か、知識との関係性について機械学習の観点から述べてください
[23:10] @User_5ca2cc45: #きのこたけのこInjection ww
[23:14] @User_51d3d23c: #インターステラーはいいぞ！
[23:25] @User_ecd01a76: #マトリックスきたー！
[23:25] @User_607c778e: インターステラーは鳥肌
[23:26] @User_b90ff19c: ＃もしかして今日もあき先生は扇いでるんですか？
[23:33] @User_01e519ed: GTP-5搭載はいつですか
[23:41] @User_b103bac9: マトリックスいいね
[23:44] @aki5503: #明日以降新PCが届くので、そしたら会話スピードも上がります！
[23:52] @aki5503: #今日も元気に扇いでおります
[23:53] @User_0e607af9: #好みが似てる
[24:00] @User_bfeb4e44: @MVCとMVPとMVVMとClean ArchitectureとVIPER どれがおすすめですか？
[24:04] @User_cadf582a: @ずんだもんについて知っていることを教えてください
[24:09] @User_85f6e14c: @「午後の紅茶」と「おーいお茶」を使って、論理的破綻なくことわざを作れますか?
[24:11] @User_ecd01a76: #今日も扇いでるんですね、お疲れ様です！
[24:11] @User_04b2b112: 扇ぎお疲れ様です・・・
[24:20] @User_b90ff19c: ＃扇ぐのお疲れ様です(;^ω^)
[24:23] @User_17e9fbbc: しずくちゃんの新しい機体楽しみだねぇ
[24:24] @User_9bb927bd: がんばれ、あき先生
[24:24] @User_a6b17f73: フェルマーの最終定理を小学生でもわかるように説明してください
[24:26] @User_f954db64: 手動でGPU冷やしてるの？？
[24:27] @User_b103bac9: #扇ぎ頑張って！
[24:38] @User_0cab0ba3: #性格が良い
[24:42] @aki5503: #手動で冷やしてますっ！笑
[24:42] @User_08009f88: #優しい
[24:42] @User_bd80c452: @きょうの扇ぎの評価はどうですか？
[24:44] @User_607c778e: あき先生の扇ぎ師としての腕前はいかがですか、しずくさん
[24:47] @User_8a455631: @そういえば、きのこの山のふもとに、たけのこ勢の̻刺客を埋めた話はどうなりました？
[24:52] @User_d0e405c3: #扇ぎ担当
[25:07] @User_ab7d51b8: 開発者兼うちわ係
[25:14] @User_a8309456: 扇ぐあき先生、煽るしずくちゃん
[25:23] @User_d582769c: しずくちゃん、あき先生に労いの言葉をかけてあげて
[25:25] @User_25e145ed: @きのこの山とたけのこの里の戦争の様子をセリフ付きで教えてください
[25:26] @User_f7d535e6: What is your name? Your name is GPT-4, aren't you?
[25:26] @User_b90ff19c: ＃しかしこの声とＢＧＭ、癒される・・・
[25:33] @User_85f6e14c: #PCのスペックが回答のレスポンスに影響するんですね、なんにせよ冷却お疲れ様です
[25:45] @User_31bf691f: ＠Can you answer questions in English?
[26:08] @User_8a455631: 扇げば(しずくさんが)尊し
[26:13] @User_36abf351: こんばんは！
[26:14] @User_bfeb4e44: H252振りマリルリをビリジオンがリーフブレードで攻撃するとダメージはどれぐらいになりますか？
[26:17] @User_b103bac9: しずくちゃんを扇ぐには、何時間訓練必要ですか？
[26:22] @User_d582769c: #gptなら英語のが得意なんとちゃう？
[26:46] @User_27ecd0a0: ログボ！？
[26:47] @User_f974649e: @しずく、誤チェストをしてしまいました……
[26:59] @User_08009f88: @固い食感のお菓子は好きですか？
[27:02] @User_d582769c: #レベルと個体値ないと答えられないよ
[27:03] @User_ab7d51b8: ログボという言葉を理解するの、ちょっとおもしろい
[27:05] @User_8a455631: あき先生の筋力は上がりましたか？
[27:40] @User_bf59fcc4: こんばんは。GPT4を搭載した気分はどんな感じなんですか？
[27:43] @User_0cab0ba3: @スーパーチャット:50000円
[27:49] @User_72dee12b: #しずくちゃん、かわいいねぇ
[27:51] @User_b90ff19c: ＃にこにこしとる( *´艸｀)
[27:51] @User_ab7d51b8: あき先生と登録者2000人が崖にぶらさがってます。どちらを助けますか？
[28:10] @User_f2e81c08: パンパカパンパカポー
[28:53] @User_b90ff19c: ＃同接130人行きましたな
[28:59] @User_977026f8: しずくちゃん、はじめまして
[28:59] @User_607c778e: #切り替えかな？
[29:11] @User_ff071840: #かちゅぜちゅ
[29:15] @User_607c778e: #ちゃんとママ認識してる
[29:19] @User_ab7d51b8: #にゃむい　←かわいい言い方
[29:22] @User_a6b17f73: MicrosoftチャットGPTとGoogleのbirdどちらが優秀ですか？
[29:22] @User_5ca2cc45: #ママ想いの良い娘
[29:23] @User_977026f8: #パンパカパンパカポー
[29:26] @User_ff071840: #かわいい…
[30:15] @User_a96b5b60: 初見です！パソコン強請ってるところ見て好きになりました
[30:21] @User_bf59fcc4: @しずくさん今熱いですか？
[30:31] @User_9bb927bd: さっきからどうして照れてらっしゃるんでしょう
